,Concept_ID,fa,da
66,Himmel::N,آسمان,himmel
67,Sonne::N,آفتاب,sol
68,Sonne::N,خورشید,sol
69,Mond::N,ماه,måne
70,Stern::N,ستاره,stjerne
71,Luft::N,هوا,luft
72,Wind::N,باد,vind
73,Welle::N,موج,bølge
74,Wasser::N,آب,vand
75,Stein::N,سنگ,sten
76,Boden::N,زمین,jord
77,Erde::N,خاک,jord
78,Erde::N,زمین,jord
79,Staub::N,گرد,støv
80,Staub::N,غبار,støv
81,Rauch::N,دود,røg
82,Funke::N,جرقه,gnist
83,Feuer::N,آتش,ild
84,Licht::N,نور,lys
85,Licht::N,روشنی,lys
86,Schatten::N,سایه,skygge
87,Wetter::N,هوا,vejr
88,Nebel::N,مه,tåge
89,Wolke::N,ابر,sky
90,Regen::N,باران,regn
91,Schnee::N,برف,sne
92,Eis::N,یخ,is
93,Frost::N,یخبندان,frost
94,Kälte::N,سرما,kulde
95,Hitze::N,گرما,hede
96,Hitze::N,حرارت,hede
97,Raureif::N,برف ریزه,rimfrost
98,Regenbogen::N,رنگین‌کمان,regnbue
99,Donner::N,رعد,torden
100,Strömung::N,جریان,strømning
101,Tropfen::N,قطره,dråbe
102,Schaum::N,کف,skum
103,Schmutz::N,گل,snavs
104,Schmutz::N,کثافت,snavs
105,See::N,دریاچه,sø
106,Sumpf::N,مرداب,sump
107,Sumpf::N,باتلاق,sump
108,Moor::N,باتلاق,mose
109,Wiese::N,چمن,eng
110,Wald::N,جنگل,skov
111,Hügel::N,تل,høj
112,Hügel::N,تل,bakke
113,Hügel::N,تپه,høj
114,Hügel::N,تپه,bakke
115,Anhöhe::N,بلندی,høj
116,Anhöhe::N,بلندی,bakke
117,Berg::N,کوه,bjerg
118,Gipfel::N,قله,top
119,Höhle::N,غار,hule
120,Abhang::N,سرازیری,skrænt
121,Abhang::N,سرازیری,skråning
122,Quelle::N,چشمه,kilde
123,Bach::N,نهر,bæk
124,Fluss::N,رود,flod
125,Ufer::N,ساحل,bred
126,Ufer::N,کرانه,bred
127,Küste::N,ساحل,kyst
128,Festland::N,خشکی,fastland
129,Meer::N,دریا,hav
130,Bucht::N,خلیج,bugt
131,Insel::N,جزیره,ø
132,Blume::N,گل,blomst
133,Gras::N,علف,græs
134,Wurzel::N,ریشه,rod
135,Baum::N,درخت,træ
136,Stamm::N,تنه,stamme
137,Rinde::N,توژ,bark
138,Rinde::N,پوست,bark
139,Ast::N,شاخه,gren
140,Zweig::N,شاخه,kvist
141,Blatt::N,برگ,blad
142,Birke::N,غان,birk
143,Kiefer[Baum]::N,کاج,fyrretræ
144,Weide[Baum]::N,بید,piletræ
145,Tanne::N,صنوبر,gran
146,Horn::N,شاخ,horn
147,Feder::N,پر,fjer
148,Fell::N,خز,skind
149,Flügel::N,پر,vinge
150,Flügel::N,بال,vinge
151,Klaue::N,چنگ,klov
152,Klaue::N,پنجه,klov
153,Kralle::N,پنجه,klo
154,Schwanz::N,دم,hale
155,Ei::N,تخم,æg
156,Nest::N,لانه,rede
157,Bau::N,بنا,bo
158,Bau::N,ساختمان,bo
159,Tier::N,هیوان,dyr
160,Herde::N,رمه,flok
161,Kuh::N,گاو,ko
162,Bulle::N,گاو نر,tyr
163,Pferd::N,اسب,hest
164,Schaf::N,گوسفند,får
165,Schwein::N,خوک,gris
166,Hund::N,سگ,hund
167,Katze::N,گربه,kat
168,Bär::N,خرس,bjørn
169,Eichhörnchen::N,سنجاب,egern
170,Elch::N,گوزن شمالی,elg
171,Fuchs::N,روباه,ræv
172,Hase::N,خرگوش,hare
173,Maus::N,موش,mus
174,Wolf::N,گرگ,ulv
175,Vogel::N,پرنده,fugl
176,Schwarm::N,دسته,sværm
177,Huhn::N,مرغ,høne
178,Hahn::N,خروس,hane
179,Gans::N,غاز,gås
180,Adler::N,عقاب,ørn
181,Ente::N,اردک,and
182,Ente::N,مرغابی,and
183,Eule::N,جغد,ugle
184,Kranich::N,درنا,trane
185,Krähe::N,زاغ,krage
186,Krähe::N,کلاغ,krage
187,Kuckuck::N,فاخته,gøg
188,Schwan::N,قو,svane
189,Fisch::N,ماهی,fisk
190,Barsch::N,ماهی خاردار,aborre
191,Hecht::N,اردک ماهی,gedde
192,Schlange[Tier]::N,مار,slange
193,Wurm::N,کرم,orm
194,Spinne::N,عنکبوت,edderkop
195,Ameise::N,مورچه,myre
196,Laus::N,شپش,lus
197,Mücke::N,پشه,myg
198,Fliege::N,مگس,flue
199,Schmetterling::N,پروانه,sommerfugl
200,Beere::N,گیله,bær
201,Apfel::N,سیب,æble
202,Pilz::N,قارچ,svamp
203,Zwiebel::N,پیاز,løg
204,Saat::N,بذر,sæd
205,Korn::N,تخم,korn
206,Korn::N,دانه,korn
207,Heu::N,علف خشک,hø
208,Schale::N,پوست,skræl
209,Grube::N,گودال,grav
210,Falle::N,دام,fælde
211,Schlinge::N,حلقه,snare
212,Spur::N,رد,spor
213,Asche::N,خاکستر,aske
214,Dreck::N,کثافت,snavs
215,Eisen::N,آهن,jern
216,Gold::N,زر,guld
217,Gold::N,طلا,guld
218,Silber::N,نقره,sølv
219,Kohle::N,زغال,kul
220,Glas::N,شیشه,glas
221,Lehm::N,گل,ler
222,Sand::N,شن,sand
223,Sand::N,ماسه,sand
224,Mensch::N,آدم,mennesge
225,Mensch::N,انسان,mennesge
226,Mann::N,مرد,mand
227,Frau::N,زن,kvinde
228,Kind::N,بچه,barn
229,Kind::N,کودک,barn
230,Junge::N,پسر,dreng
231,Mädchen::N,دختر,pige
232,Familie::N,فامیل,familie
233,Familie::N,خانواده,familie
234,Großvater::N,پدربزرگ,bedstefar
235,Großmutter::N,مادر‌بزرگ,bedstemor
236,Eltern::N,والدین,forældre
237,Eltern::N,پدر‌و‌مادر,forældre
238,Vater::N,پدر,far
239,Mutter::N,مادر,mor
240,Sohn::N,پسر,søn
241,Tochter::N,دختر,datter
242,Bruder::N,برادر,bror
243,Schwester::N,خواهر,søster
244,Onkel::N,عمو,onkel
245,Onkel::N,دایی,onkel
246,Tante::N,عمه,tante
247,Tante::N,خاله,tante
248,Ehemann::N,همسر,ægtemand
249,Ehefrau::N,همسر,hustru
250,Freude::N,شادی,glæde
251,Gelächter::N,خنده,latter
252,Gelächter::N,قاه‌قاه,latter
253,Glück::N,اقبال,lykke
254,Kummer::N,غم,sorg
255,Kummer::N,غصه,sorg
256,Wunsch::N,آرزو,ønske
257,Lust::N,هوس,lyst
258,Geist::N,روح,ånd
259,Gedanke::N,فکر,tanke
260,Gedächtnis::N,حافظه,hukommelse
261,Verstand::N,هوش,forstand
262,Sinn::N,معنا,mening
263,Sinn::N,معنا,betydning
264,Sinn::N,مفهوم,mening
265,Sinn::N,مفهوم,betydning
266,Grund::N,سبب,grund
267,Grund::N,دلیل,grund
268,Wahrheit::N,حقیقت,sandhed
269,Gespräch::N,صحبت,samtale
270,Gespräch::N,گفتگو,samtale
271,Märchen::N,قصه,eventyr
272,Märchen::N,افسانه,eventyr
273,Erzählung::N,داستان,fortælling
274,Nachricht::N,خبر,efterretning
275,Neuigkeit::N,خبر تازه,nyhed
276,Name::N,اسم,navn
277,Rätsel::N,معما,gåde
278,Rede::N,سخن,tale
279,Sprache::N,زبان,sprog
280,Stimme::N,صدا,stemme
281,Wort::N,کلمه,ord
282,Zeichen::N,نشان,tegn
283,Zeichen::N,علامت,tegn
284,Ruf::N,صدا,råb
285,Lärm::N,هیاهو,larm
286,Laut::N,صدا,lyd
287,Ton::N,آهنگ,tone
288,Lied::N,آواز,sang
289,Lied::N,ترانه,sang
290,Ruhe::N,آرامش,ro
291,Ruhe::N,آرامش,hvile
292,Leute::N,مردم,folk
293,Leute::N,مردم,mennesker
294,Volk::N,خلق,folk
295,Arbeit::N,کار,arbejde
296,Gast::N,مهمان,gæst
297,Geschenk::N,هدیه,gave
298,Spiel::N,بازی,leg
299,Gesellschaft::N,جمعیت,selskab
300,Hilfe::N,کمک,hjælp
301,Freund::N,دوست,ven
302,Kamerad::N,رفیق,kammerat
303,Angelegenheit::N,امر,sag
304,Angelegenheit::N,امر,anliggende
305,Angelegenheit::N,قضیه,sag
306,Angelegenheit::N,قضیه,anliggende
307,Anzahl::N,عده,antal
308,Anzahl::N,شمار,antal
309,Art::N,نوع,art
310,Stück::N,تکه,stykke
311,Stück::N,قطعه,stykke
312,Teil::N,بخش,del
313,Teil::N,قسمت,del
314,Hälfte::N,نیم,halvdel
315,Kreis::N,حلقه,cirkel
316,Kreis::N,دایره,cirkel
317,Kreuz::N,صلیب,kors
318,Kreuz::N,صلیب,kryds
319,Linie::N,خط,linie
320,Linie::N,سطر,linie
321,Strich::N,خط,streg
322,Abstand::N,فاصله,afstand
323,Entfernung::N,مسافت,afstand
324,Gegend::N,منطقه,egn
325,Platz::N,گنجایش,plads
326,Ort::N,جا,sted
327,Ort::N,محل,sted
328,Ort::N,مکان,sted
329,Seite::N,طرف,side
330,Mitte::N,وسط,midte
331,Mitte::N,میان,midte
332,Gegenstand::N,چیز,genstand
333,Sache::N,چیز,sag
334,Rand::N,کنار,rand
335,Rand::N,حاشیه,rand
336,Kante::N,لبه,kant
337,Ecke::N,گوشه,hjørne
338,Spitze::N,سر,spids
339,Spitze::N,نوک,spids
340,Ende::N,ته,ende
341,Ende::N,آخر,ende
342,Loch::N,سوراخ,hul
343,Winkel::N,کنج,vinkel
344,Muster::N,نقش,mønster
345,Größe::N,قد,størrelse
346,Größe::N,بزرگی,størrelse
347,Länge::N,طول,længde
348,Höhe::N,بلندی,højde
349,Gewicht::N,وزن,vægt
350,Menge::N,مقدار,mængde
351,Menge::N,اندازه,mængde
352,Haufen::N,توده,bunke
353,Reihe::N,ردیف,række
354,Boot::N,قایق,båd
355,Ruder::N,پارو,åre
356,Schlitten::N,سورتمه,kælk
357,Schlitten::N,سورتمه,slæde
358,Ski::N,اسکی,ski
359,Lagerfeuer::N,آتش,lejrbål
360,Last::N,بار,last
361,Last::N,بار,byrde
362,Last::N,سنگینی,last
363,Last::N,سنگینی,byrde
364,Gang::N,راه رفتن,gang
365,Schritt::N,قدم,skridt
366,Norden::N,شمال,nord
367,Süden::N,جنوب,syd
368,Westen::N,غرب,vest
369,Osten::N,شرق,øst
370,Holz::N,چوب,træ
371,Brett::N,تخته,bræt
372,Platte::N,صفحه,plade
373,Stütze::N,تکیه,støtte
374,Stange::N,میله,stang
375,Stock::N,چوب,stok
376,Stab::N,عصا,stav
377,Rohr::N,لوله,rør
378,Haus::N,منزل,hus
379,Heim::N,خانه,hjem
380,Heim::N,کاشانه,hjem
381,Ofen::N,بخاری,ovn
382,Fußboden::N,کف اتاق,gulv
383,Tisch::N,میز,bord
384,Stuhl::N,صندلی,stol
385,Wiege::N,گهواره,vugge
386,Bett::N,تختخواب,seng
387,Regal::N,قفسه,reol
388,Kiste::N,صندوق,kasse
389,Fenster::N,پنجره,vindue
390,Tür::N,در,dør
391,Tür::N,درب,dør
392,Tor::N,دروازه,port
393,Zaun::N,حصار,stakit
394,Dach::N,بام,tag
395,Leiter::N,نردبان,stige
396,Besen::N,جارو,kost
397,Spaten::N,بیل,spade
398,Schaufel::N,بیل,skovl
399,Schaufel::N,پارو,skovl
400,Gabel::N,چنگال,gaffel
401,Löffel::N,قاشق,ske
402,Messer::N,کارد,kniv
403,Nagel::N,میخ,søm
404,Netz::N,تور,net
405,Netz::N,شبکه,net
406,Haken::N,قلاب,krog
407,Griff::N,دسته,tag
408,Griff::N,دسته,håndtag
409,Schloss::N,قفل,lås
410,Bild::N,عکس,billede
411,Bild::N,تصویر,billede
412,Figur::N,تندیس,figur
413,Puppe::N,عروسک,dukke
414,Beutel::N,کیسه,pose
415,Bündel::N,بسته,bylt
416,Bündel::N,بسته,bundt
417,Tasche::N,کیف,taske
418,Eimer::N,سطل,spand
419,Deckel::N,در,låg
420,Geschirr::N,ظرف,husgeråd
421,Sack::N,گونی,sæk
422,Tasse::N,فنجان,kop
423,Topf::N,دیگ,gryde
424,Topf::N,قابلمه,gryde
425,Kessel::N,دیگ,kedel
426,Essen::N,خوراک,måltid
427,Nahrung::N,غذا,mad
428,Nahrung::N,غذا,næring
429,Speise::N,خوراک,ret
430,Fleisch::N,گوشت,kød
431,Getreide::N,غله,korn
432,Brei::N,فرنی,grød
433,Brei::N,حریره,grød
434,Brot::N,نان,brød
435,Scheibe::N,قاچ,skive
436,Scheibe::N,لزگه,skive
437,Fett::N,چربی,fedt
438,Butter::N,کره,smør
439,Öl::N,روغن,olie
440,Salz::N,نمک,salt
441,Suppe::N,آش,suppe
442,Suppe::N,سوپ,suppe
443,Honig::N,عسل,honning
444,Milch::N,شیر,mælk
445,Tee::N,چای,te
446,Leder::N,چرم,skind
447,Wolle::N,پشم,uld
448,Stoff::N,پارچه,stof
449,Nadel::N,سوزن,nål
450,Faden::N,نخ,tråd
451,Knopf::N,دکمه,knap
452,Knoten::N,گره,knude
453,Farbe::N,رنگ,farve
