,Concept_ID,myv,fi
0,Auge::N,сельме,silmä
1,Ohr::N,пиле,korva
2,Nase::N,судо,nenä
3,Mund::N,курго,suu
4,Zahn::N,пей,hammas
5,Zunge::N,кель,kieli
6,Lippe::N,турва,huuli
7,Wange::N,чамабока,poski
8,Wange::N,чамаумарь,poski
9,Gesicht::N,чама,naama
10,Gesicht::N,чама,kasvot
11,Stirn::N,коня,otsa
12,Haar::N,черь,hius
13,Haar::N,черь,tukka
14,Schnurrbart::N,ус,viikset
15,Schnurrbart::N,муюк,viikset
16,Bart::N,сакал,parta
17,Kinn::N,уло,leuka
18,Kiefer[Anatomie]::N,пейпакар,leukaluu
19,Kiefer[Anatomie]::N,пейловажа,leukaluu
20,Kehle::N,кирьгапарь,kurkku
21,Hals::N,кирьга,kaula
22,Genick::N,човонь,niska
23,Kopf::N,пря,pää
24,Rücken::N,копорь,selkä
25,Bauch::N,пеке,maha
26,Bauch::N,пеке,vatsa
27,Nabel::N,почо,napa
28,Busen::N,поте,rinta
29,Brust::N,меште,rinta
30,Schulter::N,лавтов,olka
31,Schulter::N,лавтов,hartia
32,Schulter::N,лавтов,olkapää
33,Arm::N,кедь,käsivarsi
34,Ellenbogen::N,кенерепакарь,kyynärpää
35,Hand::N,кедь,käsi
36,Handfläche::N,кедькуншка,kämmen
37,Handfläche::N,кедьлапушка,kämmen
38,Finger::N,сур,sormi
39,Fingernagel::N,кенже,kynsi
40,Nagel[Anatomie]::N,кенже,kynsi
41,Zeh::N,пильге сур,varvas
42,Fuß::N,пильге,jalka
43,Ferse::N,кочкаря,kantapää
44,Knie::N,эле,polvi
45,Knie::N,эзне,polvi
46,Knie::N,кумажа,polvi
47,Oberschenkel::N,качо,reisi
48,Bein::N,пильге,jalka
49,Körper::N,рунго,keho
50,Körper::N,рунго,ruumis
51,Haut::N,киське,iho
52,Blut::N,верь,veri
53,Ader::N,сан,suoni
54,Sehne::N,коське сан,jänne
55,Knochen::N,пакарь,luu
56,Gehirn::N,удем,aivot
57,Herz::N,седей,sydän
58,Magen::N,пеке,maha
59,Magen::N,пеке,vatsa
60,Leber::N,максо,maksa
61,Atem::N,лексема,henki
62,Atem::N,лексема,hengitys
63,Atem::N,оймень таргсема,henki
64,Atem::N,оймень таргсема,hengitys
65,Hunger::N,вачочи,nälkä
66,Träne::N,селведь,kyynel
67,Geschmack::N,тансть,maku
68,Geruch::N,чине,haju
69,Schlaf::N,удома,uni
70,Traum::N,он,uni
71,Himmel::N,менель,taivas
72,Sonne::N,чи,aurinko
73,Mond::N,ков,kuu
74,Stern::N,теште,tähti
75,Luft::N,кошт,ilma
76,Wind::N,варма,tuuli
77,Welle::N,толкун,aalto
78,Wasser::N,ведь,vesi
79,Stein::N,кев,kivi
80,Boden::N,мода,maa
81,Boden::N,мода,maaperä
82,Erde::N,мастор,maa
83,Staub::N,пуль,pöly
84,Rauch::N,качамо,savu
85,Funke::N,сятко,kipinä
86,Feuer::N,тол,tuli
87,Licht::N,валдо,valo
88,Schatten::N,сулей,varjo
89,Schatten::N,сулейкс,varjo
90,Wetter::N,ушо,sää
91,Nebel::N,сув,sumu
92,Wolke::N,пель,pilvi
93,Regen::N,пиземс,sade
94,Schnee::N,лов,lumi
95,Eis::N,эй,jää
96,Frost::N,кельме,halla
97,Frost::N,кельме,pakkanen
98,Kälte::N,якшамо,vilu
99,Kälte::N,якшамо,kylmyys
100,Hitze::N,пси,helle
101,Hitze::N,пси,kuumuus
102,Raureif::N,лекш,huurre
103,Regenbogen::N,пурьгинечирьке,sateenkaari
104,Regenbogen::N,пурьгинеёнкс,sateenkaari
105,Donner::N,пурьгине,jyrinä
106,Strömung::N,чудема,virtaus
107,Strömung::N,чудевкс,virtaus
108,Tropfen::N,петнявкс,tippa
109,Tropfen::N,петнявкс,pisara
110,Schaum::N,чов,vaahto
111,Schmutz::N,рудаз,loka
112,See::N,эрьке,järvi
113,Sumpf::N,чей,suo
114,Moor::N,чей,räme
115,Wiese::N,луга,niitty
116,Wald::N,вирь,metsä
117,Hügel::N,губорь,mäki
118,Hügel::N,губорь,kumpu
119,Hügel::N,губорь,kukkula
120,Hügel::N,пандыне,mäki
121,Hügel::N,пандыне,kumpu
122,Hügel::N,пандыне,kukkula
123,Anhöhe::N,губорь,mäki
124,Anhöhe::N,губорь,kumpare
125,Anhöhe::N,пандыне,mäki
126,Anhöhe::N,пандыне,kumpare
127,Berg::N,пандо,mäki
128,Berg::N,пандо,vuori
129,Gipfel::N,пря,laki
130,Gipfel::N,пря,huippu
131,Höhle::N,пещера,luola
132,Abhang::N,пандочама,rinne
133,Quelle::N,ушодкс,lähde
134,Bach::N,чудикерькс,puro
135,Fluss::N,лей,joki
136,Ufer::N,чире,ranta
137,Küste::N,лейчире,rannikko
138,Festland::N,мода,manner
139,Meer::N,моря,meri
140,Bucht::N,усия,lahti
141,Insel::N,усия,saari
142,Blume::N,цеця,kukka
143,Gras::N,тикше,ruoho
144,Wurzel::N,юр,juuri
145,Wurzel::N,ундокс,juuri
146,Baum::N,чувто,puu
147,Stamm::N,рунго,runko
148,Rinde::N,суд,kuori
149,Rinde::N,суд,parkki
150,Rinde::N,керь,kuori
151,Rinde::N,керь,parkki
152,Ast::N,морго,oksa
153,Zweig::N,тарад,haara
154,Blatt::N,лопа,lehti
155,Birke::N,килей,koivu
156,Kiefer[Baum]::N,пиче,mänty
157,Kiefer[Baum]::N,пиче,petäjä
158,Weide[Baum]::N,каль,paju
159,Tanne::N,куз,kuusi
160,Horn::N,сюро,sarvi
161,Feder::N,толга,sulka
162,Feder::N,толга,höyhen
163,Fell::N,пона,talja
164,Flügel::N,сёлмо,siipi
165,Klaue::N,кенже,kynsi
166,Kralle::N,кенже,kynsi
