,Concept_ID,hi,kk
0,Auge::N,आँख,көз
1,Auge::N,चक्षु,көз
2,Ohr::N,कान,құлақ
3,Ohr::N,कर्ण,құлақ
4,Nase::N,नाक,мұрын
5,Nase::N,नासा,мұрын
6,Mund::N,मुख,ауыз
7,Mund::N,मुँह,ауыз
8,Zahn::N,दंत,тіс
9,Zahn::N,दाँत,тіс
10,Zunge::N,जीभ,тіл
11,Zunge::N,ज़बान,тіл
12,Zunge::N,जिह्वा,тіл
13,Lippe::N,ओंठ,ерін
14,Lippe::N,होंठ,ерін
15,Wange::N,गाल,ұрт
16,Wange::N,कपोल,ұрт
17,Gesicht::N,मुँह,бет-аузы
18,Gesicht::N,चेहरा,бет-аузы
19,Stirn::N,माथा,маңдай
20,Stirn::N,मस्तक,маңдай
21,Haar::N,बाल,қыл
22,Schnurrbart::N,मूँछें,мұрт
23,Bart::N,दाढ़ी,сақал
24,Kinn::N,चिबुक,иек
25,Kiefer[Anatomie]::N,जबड़ा,жақ
26,Kehle::N,गला,алқым
27,Hals::N,गला,мойын
28,Hals::N,गरदन,мойын
29,Genick::N,गरदन,желке
30,Genick::N,ग्रीवा,желке
31,Kopf::N,सिर,кәллә
32,Kopf::N,शीर्ष,кәллә
33,Rücken::N,पीठ,арқа
34,Bauch::N,उदर,қарын
35,Nabel::N,नाभि,кіндік
36,Nabel::N,ढोंढी,кіндік
37,Busen::N,कुच,омырау
38,Busen::N,स्तन,омырау
39,Brust::N,वक्ष,кеуде
40,Schulter::N,कंधा,иық
41,Schulter::N,स्कंध,иық
42,Arm::N,बाँह,қол
43,Arm::N,बाज़ू,қол
44,Ellenbogen::N,कुहनी,шынтақ
45,Hand::N,हाथ,қол
46,Hand::N,हस्त,қол
47,Handfläche::N,हथेली,алақан
48,Finger::N,उँगली,саусақ
49,Finger::N,अँगुली,саусақ
50,Fingernagel::N,नख,тырнақ
51,Fingernagel::N,नाख़ून,тырнақ
52,Nagel[Anatomie]::N,नख,тырнақ
53,Nagel[Anatomie]::N,नाख़ून,тырнақ
54,Zeh::N,उँगली,тырнақ
55,Zeh::N,उँगली,тұяқ
56,Zeh::N,पाँव की उँगली,тырнақ
57,Zeh::N,पाँव की उँगली,тұяқ
58,Fuß::N,चरण,аяқ-басы
59,Fuß::N,पाँव,аяқ-басы
60,Ferse::N,एड़ी,өкше
61,Ferse::N,एड़ी,өкшелік
62,Knie::N,जानु,тізе
63,Knie::N,घुटना,тізе
64,Oberschenkel::N,उरु,жамбас
65,Bein::N,टाँग,аяқ
66,Körper::N,तन,дене
67,Körper::N,देह,дене
68,Körper::N,शरीर,дене
69,Haut::N,चर्म,тері
70,Haut::N,त्वचा,тері
71,Blut::N,लहू,қан
72,Blut::N,ख़ून,қан
73,Ader::N,रग,көктамыр
74,Ader::N,रग,күретамыр
75,Ader::N,शिरा,көктамыр
76,Ader::N,शिरा,күретамыр
77,Sehne::N,कंडरा,сіңір
78,Sehne::N,स्नायु,сіңір
79,Knochen::N,अस्थि,жілік
80,Gehirn::N,दिमाग़,ми
81,Gehirn::N,मस्तिष्क,ми
82,Herz::N,दिल,жүрек
83,Herz::N,हृदय,жүрек
84,Magen::N,मेदा,асқазан
85,Magen::N,अमाशय,асқазан
86,Leber::N,जिगर,бауыр
87,Leber::N,यकृत्,бауыр
88,Atem::N,दम,леп
89,Atem::N,साँस,леп
90,Atem::N,श्वास,леп
91,Hunger::N,भूख,ашаршылық
92,Hunger::N,क्षुधा,ашаршылық
93,Träne::N,आँसू,жас
94,Träne::N,अश्रु,жас
95,Geschmack::N,स्वाद,дәм
96,Geschmack::N,स्वाद,татым
97,Geschmack::N,स्वाद,талғам
98,Geschmack::N,ज़ायक़ा,дәм
99,Geschmack::N,ज़ायक़ा,татым
100,Geschmack::N,ज़ायक़ा,талғам
101,Geruch::N,बू,иіс
102,Geruch::N,गंध,иіс
103,Schlaf::N,नींद,ұйқы
104,Schlaf::N,नींद,ұйықтау
105,Schlaf::N,निद्रा,ұйқы
106,Schlaf::N,निद्रा,ұйықтау
107,Traum::N,सपना,түс
108,Traum::N,स्वप्न,түс
109,Himmel::N,आकाश,аспан
110,Himmel::N,आकाश,көқ
111,Himmel::N,आकाश,таңдай
112,Himmel::N,आसमान,аспан
113,Himmel::N,आसमान,көқ
114,Himmel::N,आसमान,таңдай
115,Sonne::N,रवि,күн
116,Sonne::N,सूरज,күн
117,Sonne::N,सूर्य,күн
118,Mond::N,चाँद,ай
119,Mond::N,चंद्र,ай
120,Stern::N,तारा,жұлдыз
121,Stern::N,सितारा,жұлдыз
122,Luft::N,हवा,әуе
123,Luft::N,वायु,әуе
124,Wind::N,पाद,жел
125,Welle::N,लहर,толқын
126,Welle::N,तरंग,толқын
127,Wasser::N,जल,су
128,Wasser::N,पानी,су
129,Stein::N,पत्थर,тас
130,Boden::N,मिट्टी,қыртыс
131,Erde::N,भूमि,топырақ
132,Erde::N,ज़मीन,топырақ
133,Staub::N,धूल,шаң
134,Rauch::N,धूआँ,түтін
135,Rauch::N,धुम्र,түтін
136,Funke::N,चिनगारी,ұшқын
137,Funke::N,स्फुलिंग,ұшқын
138,Feuer::N,आग,алау
139,Feuer::N,आतिश,алау
140,Feuer::N,अग्नि,алау
141,Licht::N,रोशनी,шұғыла
142,Licht::N,प्रकाश,шұғыла
143,Schatten::N,छाया,көлеңке
144,Schatten::N,परछाई,көлеңке
145,Wetter::N,ऋतु,ауа райы
146,Wetter::N,मौसम,ауа райы
147,Nebel::N,धुँध,тұман
148,Nebel::N,कुहरा,тұман
149,Wolke::N,मेघ,бұлт
150,Wolke::N,अभ्र,бұлт
151,Regen::N,मेंह,жаңбыр
152,Regen::N,बारिश,жаңбыр
153,Schnee::N,हिम,қар
154,Schnee::N,बर्फ़,қар
155,Eis::N,हिम,мұз
156,Eis::N,बर्फ़,мұз
157,Frost::N,ठंड,суық
158,Kälte::N,सर्दी,ызғар
159,Kälte::N,सर्दी,суықтық
160,Kälte::N,शीतलता,ызғар
161,Kälte::N,शीतलता,суықтық
162,Hitze::N,ताप,аптап
163,Hitze::N,गरमी,аптап
164,Raureif::N,पाला,қырау
165,Regenbogen::N,इंद्र-धनुष,кемпірқосақ
166,Donner::N,गरज,күн күркіреу
167,Donner::N,मेघ-गर्जन,күн күркіреу
168,Strömung::N,बहाव,ағын
169,Strömung::N,प्रवाह,ағын
170,Tropfen::N,बूँद,тамшы
171,Schaum::N,झाग,көбік
172,Schmutz::N,गंद,кір
173,Schmutz::N,कीचड़,кір
174,See::N,झील,көл
175,See::N,सरोवर,көл
176,Sumpf::N,दलदल,саз
177,Sumpf::N,धँसान,саз
178,Moor::N,झाबर,саз
179,Moor::N,धँसान,саз
180,Wiese::N,घास-स्थल,шалғын
181,Wald::N,जंगल,орман
182,Hügel::N,टीला,төбе
183,Hügel::N,टीला,белес
184,Hügel::N,टीला,белес-белес
185,Hügel::N,पहाड़,төбе
186,Hügel::N,पहाड़,белес
187,Hügel::N,पहाड़,белес-белес
188,Anhöhe::N,टीला,дөң
189,Anhöhe::N,टीला,адыр
190,Anhöhe::N,टीला,қырат
191,Anhöhe::N,पहाड़ी,дөң
192,Anhöhe::N,पहाड़ी,адыр
193,Anhöhe::N,पहाड़ी,қырат
194,Berg::N,पहाड़,тау
195,Gipfel::N,शिखर,төбе
196,Höhle::N,गुहा,үңгір
197,Höhle::N,गुफ़ा,үңгір
198,Abhang::N,ढाल,бауыр
199,Abhang::N,ढलान,бауыр
200,Quelle::N,चश्मा,қайнар
201,Bach::N,सोता,жылға
202,Bach::N,नदिका,жылға
203,Fluss::N,नदी,өзен
204,Fluss::N,सरिता,өзен
205,Ufer::N,तट,жиек
206,Ufer::N,किनारा,жиек
207,Küste::N,समुद्र-तट,жиегі
208,Küste::N,समुद्र-तट,жағалау
209,Festland::N,महाद्वीप,құрылық
210,Meer::N,सागर,теңіз
211,Meer::N,समुद्र,теңіз
212,Bucht::N,खाड़ी,шығанақ
213,Insel::N,टापू,арал
214,Insel::N,द्वीप,арал
215,Blume::N,फूल,гүл
216,Blume::N,पुष्प,гүл
217,Gras::N,घास,от
218,Wurzel::N,मूल,түбір
219,Baum::N,पेड़,ағаш
220,Baum::N,पेड़,дарақ
221,Baum::N,वृक्ष,ағаш
222,Baum::N,वृक्ष,дарақ
223,Stamm::N,धड़,сояу
224,Stamm::N,धड़,оқпан
225,Rinde::N,छाल,қабық
226,Rinde::N,वल्कल,қабық
227,Ast::N,डाल,бұтақ
228,Ast::N,शाखा,бұтақ
229,Zweig::N,टहनी,шыбық
230,Blatt::N,पत्र,жапырақ
231,Blatt::N,पत्ता,жапырақ
232,Birke::N,भूर्ज,қайың
233,Kiefer[Baum]::N,पाइन-वृक्ष,қарағай
234,Weide[Baum]::N,बेंत,тал
235,Tanne::N,फ़र,шырша
236,Horn::N,सींग,мүйіз
237,Horn::N,विषाण,мүйіз
238,Feder::N,पर,қаламұш
239,Feder::N,पंख,қаламұш
240,Fell::N,खाल,тері
241,Fell::N,पशु-चर्म,тері
242,Flügel::N,पंख,қанат
243,Flügel::N,डैना,қанат
244,Klaue::N,पंजा,тырнақ
245,Kralle::N,पंजा,аяқ
246,Kralle::N,नाख़ून,аяқ
247,Schwanz::N,पूँछ,құйрық
248,Ei::N,अंडा,жұмыртқа
249,Nest::N,नीड़,ұя
250,Nest::N,घोंसला,ұя
251,Bau::N,बिल,жатақ
252,Bau::N,माँद,жатақ
253,Tier::N,पशु,айуан
254,Tier::N,पशु,жануар
255,Tier::N,जानवर,айуан
256,Tier::N,जानवर,жануар
257,Herde::N,गल्ला,пада
258,Kuh::N,गौ,сиыр
259,Kuh::N,गाय,сиыр
260,Bulle::N,साँड़,өгіз
261,Pferd::N,अश्व,жылқы
262,Pferd::N,घोड़ा,жылқы
263,Schaf::N,भेड़,қой
264,Schwein::N,शूकर,шошқа
265,Hund::N,श्वान,ит
266,Hund::N,कुत्ता,ит
267,Katze::N,बिल्ली,мысық
268,Bär::N,रीछ,аю
269,Bär::N,भालू,аю
270,Eichhörnchen::N,गिलहरी,тиін
271,Elch::N,एल्क,бұғы
272,Fuchs::N,लोमड़ी,түлкі
273,Hase::N,खरहा,қоян
274,Hase::N,ख़रगोश,қоян
275,Maus::N,मूष,қаптесер
276,Maus::N,चूहा,қаптесер
277,Wolf::N,वृक,бөрі
278,Wolf::N,वृक,қасқыр
279,Wolf::N,भेड़िया,бөрі
280,Wolf::N,भेड़िया,қасқыр
281,Vogel::N,पक्षी,құс
282,Vogel::N,चिड़िया,құс
283,Schwarm::N,झुंड,топ
284,Schwarm::N,झुंड,үйір
285,Huhn::N,मुर्ग़ी,тауық
286,Huhn::N,मुर्ग़ी,мекиен
287,Hahn::N,मुर्ग़ा,әтеш
288,Hahn::N,मुर्ग़ा,қораз
289,Gans::N,हंस,қаз
290,Gans::N,हंसिनी,қаз
291,Adler::N,उक़ाब,бүркіт
292,Ente::N,बतख़,үйрек
293,Ente::N,बत्तक,үйрек
294,Eule::N,उल्लू,жапалақ
295,Kranich::N,सारस,тырна
296,Kranich::N,क्रौंंच,тырна
297,Krähe::N,काक,қарға
298,Kuckuck::N,कोयल,көкек
299,Kuckuck::N,कोकिल,көкек
300,Schwan::N,हंस,аққу
301,Schwan::N,मराल,аққу
302,Fisch::N,मछली,балық
303,Fisch::N,मत्स्य,балық
304,Barsch::N,पर्च,алабұға
305,Hecht::N,पाइक,шортан
306,Schlange[Tier]::N,सर्प,жылан
307,Wurm::N,कृमि,шұбалшаң
308,Wurm::N,कीड़ा,шұбалшаң
309,Spinne::N,लूता,өрмекші
310,Spinne::N,मकड़ी,өрмекші
311,Ameise::N,चींटी,қүмырска
312,Laus::N,जूँ,бит
313,Mücke::N,डाँस,маса
314,Fliege::N,मक्खी,шыбын
315,Fliege::N,मक्षिका,шыбын
316,Schmetterling::N,तितली,көбелек
317,Beere::N,बेरी,жидек
318,Apfel::N,सेब,алма
319,Pilz::N,खुंबी,қозықұйрық
320,Pilz::N,खुंबी,саңыраукулақ
