,Concept_ID,ka,ru
0,Auge::N,თვალი,глаз
1,Ohr::N,ყური,ухо
2,Nase::N,ცხვირი,нос
3,Mund::N,პირი,рот
4,Zahn::N,კბილი,зуб
5,Zunge::N,ენა,язык
6,Lippe::N,ბაგე,губа
7,Wange::N,ლოყა,щека
8,Gesicht::N,სახე,лицо
9,Stirn::N,შუბლი,лоб
10,Haar::N,თმა,волос
11,Haar::N,თმა,волосы
12,Schnurrbart::N,ულვაში,ус
13,Schnurrbart::N,ულვაში,усы
14,Bart::N,წვერი,борода
15,Kinn::N,ნიკაპი,подбородок
16,Kiefer[Anatomie]::N,ყბა,челюсть
17,Kehle::N,ყელი,горло
18,Hals::N,ყელი,шея
19,Hals::N,კისერი,шея
20,Genick::N,კეფა,затылок
21,Kopf::N,თავი,голова
22,Rücken::N,ზურგი,спина
23,Bauch::N,მუცელი,живот
24,Nabel::N,ჭიპი,пупок
25,Busen::N,ძუძუ,женская грудь
26,Brust::N,მკერდი,грудь
27,Schulter::N,მხარი,плечо
28,Schulter::N,მკლავი,плечо
29,Arm::N,ხელი,рука
30,Ellenbogen::N,იდაყვი,локоть
31,Hand::N,ხელი,кисть
32,Handfläche::N,ნები,ладонь
33,Handfläche::N,ხელისგული,ладонь
34,Finger::N,თითი,палец
35,Fingernagel::N,ფრჩხილი,ноготь
36,Nagel[Anatomie]::N,ფრჩხილი,ноготь
37,Zeh::N,ფეხის თითი,палец
38,Fuß::N,ტერფი,ступня
39,Fuß::N,ფეხისგული,ступня
40,Ferse::N,ქუსლი,пята
41,Ferse::N,ქუსლი,пятка
42,Knie::N,მუხლი,колено
43,Oberschenkel::N,ბარძაყი,бедро
44,Bein::N,ფეხი,нога
45,Körper::N,ტანი,тело
46,Körper::N,სხეული,тело
47,Haut::N,კანი,кожа
48,Blut::N,სისხლი,кровь
49,Ader::N,ძარღვი,вена
50,Ader::N,ძარღვი,сосуд
51,Sehne::N,მყესი,жила
52,Sehne::N,მყესი,тетива
53,Sehne::N,მყესი,сухожилие
54,Knochen::N,ძვალი,кость
55,Gehirn::N,ტვინი,мозг
56,Herz::N,გული,сердце
57,Magen::N,კუჭი,желудок
58,Leber::N,ღვიძლი,печень
59,Atem::N,სუნთქვა,дух
60,Atem::N,სუნთქვა,дыхание
61,Hunger::N,შიმშილი,голод
62,Träne::N,ცრემლი,слеза
63,Geschmack::N,გემო,вкус
64,Geruch::N,სუნი,запах
65,Schlaf::N,ძილი,сон
66,Traum::N,სიზმარი,сновидение
