,Concept_ID,ce,mrj
0,Auge::N,бӏаьрг,сӹнзӓ
1,Ohr::N,лерг,пӹлӹш
2,Nase::N,мара,нер
3,Mund::N,бага,ышма
4,Zahn::N,церг,пӱ
5,Zunge::N,мотт,йӹлмӹ
6,Lippe::N,балда,тӹрвӹ
7,Wange::N,бесни,шӹргӹ
8,Gesicht::N,юьхь,лицӓ
9,Stirn::N,хьаж,лепкӓ
10,Haar::N,мас,ӱп
11,Schnurrbart::N,мекх,öрш
12,Bart::N,маж,пандаш
13,Kinn::N,чӏениг,онгылаш
14,Kiefer[Anatomie]::N,мочхал,пӱ арата
15,Kehle::N,къамкъарг,логер
16,Hals::N,ворта,шӱ
17,Genick::N,кӏесаркӏаг,ланга
18,Kopf::N,корта,вуй
19,Rücken::N,букъ,туп
20,Bauch::N,кийра,мӹшкӹр
21,Nabel::N,цӏонга,кӹлӹмдӹ
22,Busen::N,зударийн накха,цӹзӹ
23,Brust::N,накха,мел
24,Schulter::N,белш,ӹнгӹжӓ
25,Arm::N,пхьарс,кид
26,Ellenbogen::N,пхьаьрсан гола,кӹнервуй
27,Hand::N,куьг,лапа
28,Handfläche::N,кераюкъ,кид лапа
29,Finger::N,пӏелг,парня
30,Fingernagel::N,мӏара,кӹч
31,Nagel[Anatomie]::N,мӏара,кӹч
32,Zeh::N,кога пӏелг,парня
33,Fuß::N,ког,ял лапа
34,Ferse::N,кӏажа,ялгавал
35,Ferse::N,кӏажа,ял кавал
36,Knie::N,гола,пылвуй
37,Oberschenkel::N,варе,ӓрдӹ
38,Bein::N,ког,ял
39,Körper::N,хӏума,монгыр
40,Haut::N,чкъор,кавашты
41,Blut::N,цӏий,вӹр
42,Ader::N,пха,вӹршӓр
43,Sehne::N,хьорзам,кукшышӱн
44,Knochen::N,даьӏахк,лу
45,Gehirn::N,хье,вим
46,Herz::N,дог,шӱм
47,Magen::N,зорх,шӱм
48,Leber::N,доӏах,мокш
49,Atem::N,садеӏар,шӱлӹш
50,Hunger::N,мацалла,шужымаш
51,Träne::N,бӏаьрхи,сӹнзӓвӹд
52,Geschmack::N,чам,тот
53,Geruch::N,хьожа,пыш
54,Schlaf::N,наб,ом
55,Traum::N,гӏан,ом
56,Himmel::N,стигал,пӹлгом
57,Sonne::N,малх,кечӹ
58,Mond::N,бутт,тӹлзӹ
59,Stern::N,седа,шӹдӹр
60,Luft::N,xӏаваъ,юж
61,Luft::N,xӏаваъ,воздух
62,Wind::N,мох,мардеж
63,Welle::N,тулгӏе,ко
64,Welle::N,тулгӏе,коэ
65,Wasser::N,хи,вӹд
66,Stein::N,тӏулг,кӱ
67,Boden::N,цӏенкъа,рок
68,Erde::N,латта,свет
69,Staub::N,чан,пырак
70,Rauch::N,кӏур,шӹкш
71,Funke::N,суй,ип
72,Funke::N,суй,тылип
73,Feuer::N,цӏе,тыл
74,Licht::N,серло,соты
75,Licht::N,серло,валгыды
76,Schatten::N,ӏиндагӏ,ӹмӹл
77,Wetter::N,хенан хӏоттам,игечӹ
78,Nebel::N,дохк,тӹтӹрӓ
79,Wolke::N,марха,пӹл
80,Regen::N,догӏа,юр
81,Schnee::N,ло,лым
82,Eis::N,ша,и
83,Frost::N,шело,ӱштӹ
84,Kälte::N,шело,ӱштӹ
85,Hitze::N,йовхо,шокшы
86,Raureif::N,йис,пöрш
87,Regenbogen::N,стелаӏад,шанавӹл
88,Donner::N,ткъес,хӹдӹртӹш
89,Strömung::N,дӏаэхар,йогы
90,Strömung::N,дӏасалелар,йогы
91,Tropfen::N,тӏадам,капльы
92,Tropfen::N,тӏадам,капльык
93,Schaum::N,чопа,шонг
94,Schmutz::N,хатт,лявӹрӓ
95,See::N,ӏам,йӓр
96,Sumpf::N,уьшал,лӱкӹ
97,Moor::N,уьшал,куп
98,Wiese::N,бай,алык
