,Concept_ID,ca,it
0,Auge::N,ull,occhio
1,Ohr::N,orella,orecchio
2,Nase::N,nas,naso
3,Mund::N,boca,bocca
4,Zahn::N,dent,dente
5,Zunge::N,llēngua,lingua
6,Lippe::N,llavi,labbro
7,Wange::N,galta,guancia
8,Gesicht::N,cara,viso
9,Gesicht::N,cara,faccia
10,Stirn::N,front,fronte
11,Haar::N,cabēll,capello
12,Schnurrbart::N,bigoti,baffi
13,Schnurrbart::N,bigoti,mustacchi
14,Bart::N,barba,barba
15,Kinn::N,mentó,mento
16,Kinn::N,barbeta,mento
17,Kiefer[Anatomie]::N,queix,mascella
18,Kiefer[Anatomie]::N,mandíbula,mascella
19,Kehle::N,gola,gola
20,Kehle::N,gorja,gola
21,Hals::N,coll,collo
22,Genick::N,nuca,nuca
23,Kopf::N,cap,capo
24,Kopf::N,cap,testa
25,Rücken::N,esquena,dorso
26,Rücken::N,esquena,schiena
27,Bauch::N,panxa,ventre
28,Nabel::N,llombrígol,ombelico
29,Busen::N,pit,seno
30,Busen::N,mama,seno
31,Brust::N,pit,petto
32,Schulter::N,espatlla,spalla
33,Arm::N,braç,braccio
34,Ellenbogen::N,colze,gomito
35,Hand::N,mà,mano
36,Handfläche::N,palma,palma
37,Finger::N,dit,dito
38,Fingernagel::N,ungla,unghia
39,Nagel[Anatomie]::N,ungla,unghia
40,Zeh::N,dit del peu,dito del piede
41,Fuß::N,peu,piede
42,Ferse::N,taló,tallone
43,Ferse::N,taló,calcagno
44,Knie::N,genoll,ginocchio
45,Oberschenkel::N,cuixa,fèmore
46,Bein::N,cama,gamba
47,Körper::N,cos,corpo
48,Haut::N,pell,pelle
49,Blut::N,sang,sangue
50,Ader::N,vena,vena
51,Sehne::N,tendó,tèndine
52,Knochen::N,os,osso
53,Gehirn::N,cervell,cervello
54,Herz::N,cor,cuore
55,Magen::N,estómac,stòmaco
56,Leber::N,fetge,fegato
57,Atem::N,alè,fiato
58,Atem::N,alè,respiro
59,Atem::N,hàlit,fiato
60,Atem::N,hàlit,respiro
61,Hunger::N,fam,fame
62,Hunger::N,gana,fame
63,Träne::N,llàgrima,làcrima
64,Geschmack::N,gust,gusto
65,Geschmack::N,gust,sapore
66,Geschmack::N,sabor,gusto
67,Geschmack::N,sabor,sapore
68,Geruch::N,olor,odore
69,Schlaf::N,son,sonno
70,Traum::N,somni,sogno
71,Himmel::N,celm,cielo
72,Sonne::N,sol,sole
73,Mond::N,lluna,luna
74,Stern::N,estel,stella
75,Stern::N,estrella,stella
76,Luft::N,aire,aria
77,Wind::N,vent,vento
78,Welle::N,ona,onda
79,Wasser::N,āigua,acqua
80,Stein::N,pedra,sasso
81,Stein::N,pedra,pietra
82,Boden::N,sòl,suolo
83,Boden::N,sòl,terreno
84,Erde::N,terra,terra
85,Staub::N,pols,polvere
86,Rauch::N,fum,fumo
87,Funke::N,guspira,scintilla
88,Funke::N,centella,scintilla
89,Feuer::N,foc,fuoco
90,Licht::N,llum,luce
91,Schatten::N,ombra,ombra
92,Wetter::N,temps,tempo
93,Nebel::N,boira,nebbia
