,Concept_ID,ml,tt
0,Auge::N,കണ്ണ്,күз
1,Ohr::N,ചെവി,колак
2,Nase::N,മൂക്ക്,борын
3,Mund::N,വായ,авыз
4,Mund::N,വായ,тамак
5,Zahn::N,പല്ല്,теш
6,Zunge::N,നാക്ക്,тел
7,Lippe::N,ചുണ്ട്,ирен
8,Wange::N,കവിൾത്തടം,яңак
9,Gesicht::N,മുഖം,йөз
10,Stirn::N,നെറ്റി,маңгай
11,Haar::N,തലമുടി,чәч
12,Schnurrbart::N,മീശ,мыек
13,Bart::N,താടിരോമം,сакал
14,Kinn::N,താടി,ияк
15,Kiefer[Anatomie]::N,താടിയെല്ല്,казналык
16,Kehle::N,കണ്ഠനാളം,тамак
17,Hals::N,കഴുത്ത്,бугаз
18,Genick::N,പിടലി,җилкә
19,Kopf::N,തല,баш
20,Rücken::N,മുതുക്,сырт
21,Bauch::N,നയറ്,корсак
22,Nabel::N,നാഭി,кендек
23,Busen::N,സ്തനം,түш
24,Brust::N,സ്തനം,имчәк
25,Brust::N,സ്തനം,күкрәк
26,Schulter::N,തോൾ,иңбаш
27,Schulter::N,തോൾ,кулбаш
28,Arm::N,കൈ,кул
29,Ellenbogen::N,കൈമുട്ട്,терсәк
30,Hand::N,കൈ,кул
31,Handfläche::N,ഉള്ളം കൈ,уч
32,Finger::N,വിരൽ,бармак
33,Fingernagel::N,നഖം,тырнак
34,Nagel[Anatomie]::N,നഖം,тырнак
35,Zeh::N,കാൽവിരൽ,бармак
36,Fuß::N,കാൽപ്പാദം,табан
37,Ferse::N,ഉപ്പൂറ്റി,үкчә
38,Knie::N,കാൽമുട്ട്,тез
39,Oberschenkel::N,തുട,бот
40,Bein::N,കാൽ,аяк
41,Körper::N,ശരീരം,тән
42,Körper::N,ശരീരം,җисем
43,Haut::N,ചർമ്മം,тире
44,Blut::N,രക്തം,кан
45,Ader::N,ഞരമ്പ്,тамыр
46,Sehne::N,സ്നായു,сеңер
47,Knochen::N,അസ്ഥി,сөяк
48,Gehirn::N,തലച്ചോറ്,ми
49,Herz::N,ഹൃദയം,йөрәк
50,Magen::N,വയർ,ашказаны
51,Leber::N,കരൾ,бавыр
52,Atem::N,ശ്വാസം,сулыш
53,Hunger::N,വിശപ്പ്,ачлык
54,Träne::N,കണ്ണീർ,яшь
55,Geschmack::N,രുചി,тәм
56,Geschmack::N,രുചി,зәвык
57,Geruch::N,ഗന്ധം,ис
58,Schlaf::N,ഉറകും,йокы
59,Traum::N,സ്വപ്നം,төш
60,Himmel::N,ആകാശം,күк
61,Sonne::N,സൂര്യൻ,кояш
62,Mond::N,ചന്ദ്രൻ,ай
63,Stern::N,നക്ഷത്രം,йолдыз
64,Luft::N,കാറ്റ്,һава
65,Wind::N,കാറ്റ്,җил
66,Welle::N,തിരമാല,дулкын
67,Wasser::N,വെള്ളം,су
68,Stein::N,ശില,таш
69,Stein::N,കല്ല്,таш
70,Boden::N,തറ,туфрак
71,Boden::N,നിലം,туфрак
72,Erde::N,മണ്ണ്,җир
73,Staub::N,പൊടി,тузан
74,Rauch::N,പുക,төтен
75,Funke::N,തീപ്പൊരി,очкын
76,Feuer::N,തീ,ут
77,Licht::N,വിളക്ക്,якты
78,Licht::N,സൂര്യപ്രകാശം,якты
79,Schatten::N,തണൽ,күләгә
80,Wetter::N,കാലാവസ്ഥ,һава
81,Nebel::N,മൂടൽമഞ്ഞ്,томан
82,Wolke::N,മേഘം,болыт
83,Regen::N,മഴ,яңгыр
84,Schnee::N,മഞ്ഞ്,кар
85,Eis::N,ഐസ്,боз
86,Frost::N,മൂടൽമഞ്ഞ്,суык
87,Frost::N,മൂടൽമഞ്ഞ്,салкын
88,Kälte::N,തണുപ്പ്,суык
89,Kälte::N,തണുപ്പ്,салкын
90,Hitze::N,ചൂട്,эсселек
