,Concept_ID,az,fi
0,Auge::N,göz,silmä
1,Ohr::N,qulaq,korva
2,Nase::N,burun,nenä
3,Mund::N,ağız,suu
4,Zahn::N,diş,hammas
5,Zunge::N,dil,kieli
6,Lippe::N,dodaq,huuli
7,Wange::N,yanaq,poski
8,Gesicht::N,üz,naama
9,Gesicht::N,üz,kasvot
10,Stirn::N,alın,otsa
11,Haar::N,saç,hius
12,Haar::N,saç,tukka
13,Schnurrbart::N,bığ,viikset
14,Bart::N,saqqal,parta
15,Kinn::N,çənə,leuka
16,Kiefer[Anatomie]::N,çənə,leukaluu
17,Kehle::N,boğaz,kurkku
18,Hals::N,boyun,kaula
19,Genick::N,ənsə,niska
20,Kopf::N,baş,pää
21,Rücken::N,bel,selkä
22,Bauch::N,qarın,maha
23,Bauch::N,qarın,vatsa
24,Nabel::N,göbək,napa
25,Busen::N,məmə,rinta
26,Brust::N,döş,rinta
27,Schulter::N,çiyin,olka
28,Schulter::N,çiyin,hartia
29,Schulter::N,çiyin,olkapää
30,Arm::N,qol,käsivarsi
31,Ellenbogen::N,dirsək,kyynärpää
32,Hand::N,əl,käsi
33,Handfläche::N,ovuc,kämmen
34,Finger::N,barmaq,sormi
35,Fingernagel::N,barmaq dırnağı,kynsi
36,Nagel[Anatomie]::N,dırnak,kynsi
37,Zeh::N,ayaq barmağı,varvas
38,Fuß::N,ayaq,jalka
39,Ferse::N,daban,kantapää
40,Knie::N,diz,polvi
41,Oberschenkel::N,bud,reisi
42,Bein::N,qıç,jalka
43,Körper::N,əndam,keho
44,Körper::N,əndam,ruumis
45,Haut::N,dəri,iho
46,Blut::N,qan,veri
47,Ader::N,damar,suoni
48,Sehne::N,vətər,jänne
49,Knochen::N,sümük,luu
50,Gehirn::N,beyin,aivot
51,Herz::N,ürək,sydän
52,Magen::N,mədə,maha
53,Magen::N,mədə,vatsa
54,Leber::N,qara ciyər,maksa
55,Atem::N,nəfəs,henki
56,Atem::N,nəfəs,hengitys
57,Hunger::N,aclıq,nälkä
58,Träne::N,göz yaşı,kyynel
59,Geschmack::N,tam,maku
60,Geschmack::N,ləzzət,maku
61,Geruch::N,qoxu,haju
62,Schlaf::N,yuxu,uni
63,Traum::N,röya,uni
64,Himmel::N,göy,taivas
65,Himmel::N,səma,taivas
66,Sonne::N,günəş,aurinko
67,Mond::N,ay,kuu
68,Stern::N,ulduz,tähti
69,Luft::N,hava,ilma
70,Wind::N,yel,tuuli
71,Wind::N,külək,tuuli
72,Welle::N,dalğa,aalto
73,Wasser::N,su,vesi
74,Stein::N,daş,kivi
75,Boden::N,yer,maa
76,Boden::N,yer,maaperä
77,Boden::N,zəmin,maa
78,Boden::N,zəmin,maaperä
79,Erde::N,yer torpaq,maa
80,Staub::N,toz,pöly
81,Rauch::N,tüstü,savu
82,Funke::N,qığılcım,kipinä
83,Feuer::N,od,tuli
84,Licht::N,işıq,valo
85,Schatten::N,kölgə,varjo
86,Wetter::N,hava,sää
87,Nebel::N,duman,sumu
88,Wolke::N,bulud,pilvi
89,Regen::N,yağış,sade
90,Regen::N,yağmur,sade
91,Schnee::N,qar,lumi
92,Eis::N,buz,jää
93,Frost::N,ayaz,halla
94,Frost::N,ayaz,pakkanen
95,Kälte::N,soyuq,vilu
96,Kälte::N,soyuq,kylmyys
97,Hitze::N,coşğunluq,helle
98,Hitze::N,coşğunluq,kuumuus
99,Raureif::N,qırov,huurre
100,Regenbogen::N,göy qurşağı,sateenkaari
101,Donner::N,göy gurultusu,jyrinä
102,Strömung::N,axın,virtaus
103,Tropfen::N,damcı,tippa
104,Tropfen::N,damcı,pisara
105,Schaum::N,köpük,vaahto
106,Schmutz::N,çamır,loka
107,See::N,göl,järvi
108,Sumpf::N,bataqlıq,suo
109,Moor::N,bataqlıq,räme
110,Wiese::N,çəmən,niitty
111,Wald::N,meşə,metsä
112,Hügel::N,təpə,mäki
113,Hügel::N,təpə,kumpu
114,Hügel::N,təpə,kukkula
115,Anhöhe::N,təpə,mäki
116,Anhöhe::N,təpə,kumpare
117,Berg::N,dağ,mäki
118,Berg::N,dağ,vuori
119,Gipfel::N,zirvə,laki
120,Gipfel::N,zirvə,huippu
121,Höhle::N,mağara,luola
122,Abhang::N,yamac,rinne
123,Quelle::N,bulaq,lähde
124,Bach::N,kiçik çay,puro
125,Fluss::N,çay,joki
126,Ufer::N,kənar,ranta
127,Küste::N,sahil,rannikko
128,Festland::N,materik,manner
129,Meer::N,dəniz,meri
130,Bucht::N,körfəz,lahti
131,Insel::N,ada,saari
132,Blume::N,çiçək,kukka
133,Gras::N,ot,ruoho
134,Wurzel::N,kök,juuri
135,Baum::N,ağac,puu
136,Stamm::N,gövdə,runko
137,Rinde::N,qabıq,kuori
138,Rinde::N,qabıq,parkki
139,Ast::N,şax,oksa
140,Zweig::N,budaq,haara
141,Blatt::N,yarpaq,lehti
142,Birke::N,tozağacı,koivu
143,Kiefer[Baum]::N,şam,mänty
144,Kiefer[Baum]::N,şam,petäjä
145,Weide[Baum]::N,söyüd,paju
146,Tanne::N,küknar,kuusi
147,Horn::N,buynuz,sarvi
148,Feder::N,tük,sulka
149,Feder::N,tük,höyhen
150,Feder::N,lələk,sulka
151,Feder::N,lələk,höyhen
152,Fell::N,xəz,talja
153,Flügel::N,qanad,siipi
154,Klaue::N,pəncə,kynsi
155,Kralle::N,dırnaq,kynsi
156,Schwanz::N,quyruq,häntä
157,Schwanz::N,quyruq,pyrstö
158,Ei::N,yumurta,muna
159,Nest::N,yuva,pesä
160,Bau::N,yuva,pesä
161,Tier::N,heyvan,eläin
162,Herde::N,sürü,lauma
163,Kuh::N,inək,lehmä
164,Bulle::N,öküz,sonni
165,Pferd::N,at,hevonen
166,Schaf::N,qoyun,lammas
167,Schwein::N,donuz,sika
168,Hund::N,it,koira
169,Hund::N,köpək,koira
170,Katze::N,pişik,kissa
171,Bär::N,ayı,karhu
172,Eichhörnchen::N,dələ,orava
173,Elch::N,sığın,hirvi
174,Fuchs::N,tülkü,kettu
175,Hase::N,dovşan,jänis
176,Maus::N,siçan,hiiri
177,Wolf::N,qurd,susi
178,Vogel::N,quş,lintu
179,Schwarm::N,sürü,parvi
180,Huhn::N,toyuq,kana
181,Hahn::N,xoruz,kukko
182,Gans::N,qaz,hanhi
183,Adler::N,qartal,kotka
184,Adler::N,qaraquş,kotka
185,Ente::N,ördək,ankka
186,Eule::N,bayquş,pöllö
187,Kranich::N,durna,kurki
188,Krähe::N,qarğa,varis
189,Kuckuck::N,ququ,käki
190,Schwan::N,qu quşu,joutsen
191,Fisch::N,balıq,kala
192,Barsch::N,tar,ahven
193,Hecht::N,durnabalığı,hauki
194,Schlange[Tier]::N,ilan,käärme
195,Wurm::N,qurd,mato
196,Spinne::N,hörümçək,hämähäkki
197,Ameise::N,qarışqa,muurahainen
198,Laus::N,bit,täi
199,Mücke::N,ağcaqanad,sääski
200,Mücke::N,ağcaqanad,hyttynen
201,Fliege::N,milçək,kärpänen
202,Schmetterling::N,kəpənək,perhonen
203,Beere::N,gilə,marja
204,Apfel::N,alma,omena
205,Pilz::N,göbələk,sieni
206,Zwiebel::N,soğan,sipuli
207,Saat::N,əkin,siemenet
208,Korn::N,taxıl,jyvä
209,Korn::N,taxıl,vilja
210,Heu::N,quru ot,heinä
211,Schale::N,qabıq,kuori
212,Grube::N,çuxur,kuoppa
213,Falle::N,tələ,loukku
214,Falle::N,duzaq,loukku
215,Schlinge::N,ilmək,ansa
216,Spur::N,iz,jälki
217,Asche::N,kül,tuhka
218,Dreck::N,kir,lika
219,Eisen::N,dəmir,rauta
220,Gold::N,altun,kulta
221,Silber::N,gümüş,hopea
222,Kohle::N,kömür,hiili
223,Glas::N,şüşə,lasi
224,Lehm::N,gil,savi
225,Lehm::N,palçıq,savi
226,Sand::N,qum,hiekka
227,Mensch::N,adam,ihminen
228,Mensch::N,insan,ihminen
229,Mann::N,kişi,mies
230,Frau::N,qadın,nainen
231,Kind::N,uşaq,lapsi
232,Junge::N,oğlan,poika
233,Mädchen::N,qız,tyttö
234,Familie::N,ailə,perhe
235,Großvater::N,baba,isoisä
236,Großmutter::N,nənə,isoäiti
237,Eltern::N,valideyn,vanhemmat
238,Vater::N,ata,isä
239,Mutter::N,ana,äiti
240,Sohn::N,oğul,poika
241,Tochter::N,qız,tytär
242,Bruder::N,qardaş,veli
243,Schwester::N,bacı,sisko
244,Onkel::N,əmi,eno
245,Onkel::N,əmi,setä
246,Onkel::N,dayı,eno
247,Onkel::N,dayı,setä
248,Tante::N,bibi,täti
249,Ehemann::N,ər,mies
250,Ehemann::N,ər,aviomies
251,Ehefrau::N,arvad,vaimo
252,Ehefrau::N,arvad,aviovaimo
253,Freude::N,nəşə,ilo
254,Freude::N,nəşə,riemu
255,Freude::N,sevinc,ilo
256,Freude::N,sevinc,riemu
257,Gelächter::N,gülüş,nauru
258,Gelächter::N,qəhqəhə,nauru
259,Glück::N,səadət,onni
260,Glück::N,xoşbəxtlik,onni
261,Kummer::N,qəm,suru
262,Kummer::N,qəm,murhe
263,Kummer::N,kədər,suru
264,Kummer::N,kədər,murhe
265,Wunsch::N,arzu,toive
266,Wunsch::N,arzu,toivomus
267,Lust::N,həvəs,himo
268,Geist::N,ruh,henki
269,Gedanke::N,fikir,aate
270,Gedanke::N,fikir,ajatus
271,Gedanke::N,düşüncə,aate
272,Gedanke::N,düşüncə,ajatus
273,Gedächtnis::N,xatir,muisti
274,Gedächtnis::N,hafizə,muisti
275,Verstand::N,ağıl,äly
276,Verstand::N,ağıl,järki
277,Verstand::N,ağıl,ymmärrys
278,Sinn::N,məna,merkitys
279,Grund::N,səbəb,syy
280,Grund::N,səbəb,peruste
281,Wahrheit::N,haqq,tosi
282,Wahrheit::N,haqq,totuus
283,Wahrheit::N,doğruluq,tosi
284,Wahrheit::N,doğruluq,totuus
285,Gespräch::N,söhbət,puhelu
286,Gespräch::N,söhbət,keskustelu
287,Gespräch::N,qonuşma,puhelu
288,Gespräch::N,qonuşma,keskustelu
289,Märchen::N,nağıl,satu
290,Erzählung::N,hekayə,tarina
291,Erzählung::N,hekayə,kertomus
292,Nachricht::N,xəbər,tieto
293,Nachricht::N,xəbər,ilmoitus
294,Neuigkeit::N,xəbər,uutinen
295,Neuigkeit::N,yenilik,uutinen
296,Name::N,ad,nimi
297,Rätsel::N,tapmaca,arvoitus
298,Rede::N,nitq,puhe
299,Sprache::N,dil,kieli
300,Stimme::N,səs,ääni
301,Wort::N,söz,sana
302,Wort::N,kəlmə,sana
303,Zeichen::N,nişan,merkki
304,Ruf::N,çığırtı,kutsu
305,Lärm::N,gurultu,melu
306,Lärm::N,gurultu,hälinä
307,Laut::N,səs,ääni
308,Ton::N,ton,sävel
309,Lied::N,mahnı,laulu
310,Ruhe::N,sakitlik,lepo
311,Ruhe::N,sakitlik,rauha
312,Leute::N,xalq,väki
313,Leute::N,xalq,ihmiset
314,Volk::N,millət,kansa
315,Arbeit::N,iş,työ
316,Arbeit::N,əmək,työ
317,Gast::N,qonaq,vieras
318,Gast::N,müsafir,vieras
319,Geschenk::N,hədiyyə,lahja
320,Spiel::N,oyun,peli
321,Spiel::N,oyun,leikki
322,Spiel::N,tamaşa,peli
323,Spiel::N,tamaşa,leikki
324,Gesellschaft::N,cəmiyyet,seura
325,Hilfe::N,kömək,apu
326,Hilfe::N,yardım,apu
327,Freund::N,dost,ystävä
328,Kamerad::N,yoldaş,toveri
329,Angelegenheit::N,iş,asia
330,Anzahl::N,say,lukumäärä
331,Art::N,çeşid,laji
332,Stück::N,dənə,pala
333,Stück::N,dənə,kappale
334,Stück::N,parça,pala
335,Stück::N,parça,kappale
336,Teil::N,qisim,osa
337,Hälfte::N,yarım,puoli
338,Kreis::N,dairə,ympyrä
339,Kreuz::N,xaç,risti
340,Linie::N,xətt,viiva
341,Strich::N,cızıq,piirto
342,Abstand::N,məsafə,väli
343,Abstand::N,məsafə,väljyys
344,Entfernung::N,məsafə,etäisyys
345,Entfernung::N,uzaqlıq,etäisyys
346,Gegend::N,bölgə,seutu
347,Platz::N,yer,tila
348,Ort::N,yer,kohta
349,Ort::N,yer,paikka
350,Seite::N,yan,sivu
351,Seite::N,yan,kylki
352,Seite::N,tərəf,sivu
353,Seite::N,tərəf,kylki
354,Mitte::N,orta,keskus
355,Mitte::N,orta,puoliväli
356,Gegenstand::N,şey,kalu
357,Gegenstand::N,şey,esine
358,Sache::N,şey,asia
359,Rand::N,kənar,ääri
360,Rand::N,kənar,syrjä
361,Kante::N,tiyə,särmä
362,Kante::N,kənar,särmä
363,Ecke::N,bucaq,nurkka
364,Spitze::N,uc,terä
365,Spitze::N,uc,kärki
366,Ende::N,son,pää
367,Ende::N,son,perä
368,Ende::N,axır,pää
369,Ende::N,axır,perä
370,Loch::N,deşik,kolo
371,Loch::N,deşik,reikä
372,Winkel::N,guşə,kulma
373,Muster::N,ülgü,kuvio
374,Größe::N,böyüklük,koko
375,Größe::N,böyüklük,suuruus
376,Länge::N,uzunluq,pituus
377,Höhe::N,yüksəklik,korkeus
378,Gewicht::N,çəki,paino
379,Gewicht::N,ağırlıq,paino
380,Menge::N,miqdar,määrä
381,Haufen::N,yığın,kasa
382,Reihe::N,səf,rivi
383,Reihe::N,sıra,rivi
384,Boot::N,qayıq,vene
385,Ruder::N,kürək,airo
386,Schlitten::N,kirşə,reki
387,Schlitten::N,kirşə,kelkka
388,Ski::N,xizək,suksi
389,Lagerfeuer::N,düşərgə tonqalı,nuotio
390,Last::N,yük,kuorma
391,Gang::N,yeriş,kulku
392,Gang::N,yeriş,käynti
393,Schritt::N,addım,askel
394,Norden::N,şimal,pohjoinen
395,Süden::N,cənub,etelä
396,Westen::N,qərb,länsi
397,Osten::N,şərq,itä
398,Holz::N,ağac,puu
399,Holz::N,taxta,puu
400,Brett::N,taxta,lauta
401,Platte::N,lövhə,levy
402,Stütze::N,dayaq,noja
403,Stütze::N,dəstək,noja
404,Stange::N,şüvül,tanko
405,Stock::N,dəyənək,keppi
406,Stab::N,əsa,sauva
407,Stab::N,əsa,seiväs
408,Stab::N,şüvül,sauva
409,Stab::N,şüvül,seiväs
410,Rohr::N,boru,putki
