,Concept_ID,cs,bn
0,Auge::N,oko,চক্ষু
1,Ohr::N,ucho,কর্ণ
2,Nase::N,nos,নাক
3,Mund::N,pusa,মুখ
4,Zahn::N,zub,দাঁত
5,Zunge::N,jazyk,জিহবা
6,Lippe::N,ret,অধর
7,Wange::N,tvář,গণ্ড
8,Gesicht::N,obličej,মুখমণ্ডল
9,Stirn::N,čelo,কপাল
10,Haar::N,vlas,চুল
11,Haar::N,vlasy,চুল
12,Schnurrbart::N,kníry,গোঁফ
13,Bart::N,vousy,শ্মশ্রু
14,Kinn::N,brada,চিবুক
15,Kiefer[Anatomie]::N,čelist,চোয়াল
16,Kehle::N,hrdlo,কণ্ঠ
17,Hals::N,krk,গল
18,Genick::N,týl,ঘাড়
19,Kopf::N,hlava,মাথা
20,Rücken::N,záda,পৃষ্ঠ
21,Rücken::N,hřbet,পৃষ্ঠ
22,Bauch::N,břicho,উদর
23,Nabel::N,pupek,নাভি
24,Busen::N,ňadra,স্তন
25,Brust::N,prsa,বুক
26,Schulter::N,plece,স্কন্ধ
27,Schulter::N,rameno,স্কন্ধ
28,Arm::N,ruka,বাহু
29,Ellenbogen::N,loket,কনুই
30,Hand::N,ruka,হাত
31,Handfläche::N,dlaň,করতল
32,Finger::N,prst,আঙ্গুল
33,Fingernagel::N,nehet,হাতের নখ
34,Nagel[Anatomie]::N,nehet,নখ
35,Zeh::N,prst u nohy,আঙ্গুল
36,Fuß::N,noha,পা
37,Ferse::N,pata,গোড়ালি
38,Knie::N,koleno,হাঁটু
39,Oberschenkel::N,stehno,ঊরু
40,Bein::N,noha,পা
41,Körper::N,tělo,দেহ
42,Haut::N,kůže,ত্বক
43,Blut::N,krev,রক্ত
44,Ader::N,céva,শিরা
45,Sehne::N,šlacha,কণ্ডরা
46,Knochen::N,kost,অস্থি
47,Gehirn::N,mozek,মস্তিষ্ক
48,Herz::N,srdce,হৃৎপিণ্ড
49,Magen::N,žaludek,পাকস্থলী
50,Leber::N,játra,যকৃৎ
51,Atem::N,dech,শ্বাস
52,Hunger::N,hlad,ক্ষুধা
53,Träne::N,slza,অশ্রু
54,Geschmack::N,vkus,স্বাদ
55,Geruch::N,vůně,গন্ধ
56,Geruch::N,zápach,গন্ধ
57,Schlaf::N,spánek,ঘুম
58,Traum::N,sen,স্বপ্ন
59,Himmel::N,nebe,আকাশ
60,Sonne::N,slunce,সূর্য
61,Mond::N,měsíc,চন্দ্র
62,Stern::N,hvězda,নক্ষত্র
63,Luft::N,vzduch,বায়ু
64,Wind::N,vítr,বাতাস
65,Welle::N,vlna,ঢেউ
66,Welle::N,vlna,তরঙ্গ
67,Wasser::N,voda,জল
68,Stein::N,kámen,ঢিল
69,Stein::N,kámen,প্রস্তর
70,Boden::N,půda,ভূতল
71,Erde::N,země,ভূমি
72,Staub::N,prach,ধুলা
73,Rauch::N,dým,ধোঁয়া
74,Rauch::N,kouř,ধোঁয়া
75,Funke::N,jiskra,স্ফুলিঙ্গ
76,Feuer::N,oheň,অগ্নি
77,Licht::N,světlo,আলো
78,Schatten::N,stín,ছায়া
79,Wetter::N,počasí,আবহাওয়া
80,Nebel::N,mlha,কুহেলিকা
81,Wolke::N,mrak,মেঘ
82,Wolke::N,oblak,মেঘ
83,Regen::N,déšť,বৃষ্টি
84,Schnee::N,sníh,তুষার
85,Eis::N,led,বরফ
86,Frost::N,mráz,তুষার
87,Kälte::N,chlad,শৈত্য
88,Hitze::N,horko,তাপ
89,Raureif::N,jinovatka,তুহিন
90,Regenbogen::N,duha,রামধনু
91,Donner::N,hrom,বজ্রধ্বনি
92,Strömung::N,proudění,স্রোত
93,Tropfen::N,kapka,ফোঁটা
94,Schaum::N,pěna,ফেনা
95,Schmutz::N,špína,ধুলা
96,See::N,jezero,হ্রদ
97,Sumpf::N,močál,জলা
98,Sumpf::N,bažina,জলা
99,Moor::N,bažina,মাঠ
100,Moor::N,slatina,মাঠ
101,Wiese::N,louka,তৃণভূমি
102,Wald::N,les,বন
103,Hügel::N,kopec,পাহাড়
104,Anhöhe::N,pahorek,টিলা
105,Berg::N,hora,পর্বত
106,Gipfel::N,vrchol,শীর্ষ
107,Höhle::N,jeskyně,গুহা
108,Abhang::N,svah,ঢাল
109,Abhang::N,stráň,ঢাল
110,Quelle::N,pramen,উৎস
111,Bach::N,potok,ক্ষুদ্র নদী
112,Fluss::N,řeka,নদী
113,Ufer::N,břeh,উপকূল
114,Küste::N,pobřeží,তীর
115,Festland::N,souš,ভূমি
116,Festland::N,pevnina,ভূমি
117,Meer::N,moře,সমুদ্র
118,Bucht::N,záliv,উপসাগর
119,Bucht::N,zátoka,উপসাগর
120,Insel::N,ostrov,দ্বীপ
121,Blume::N,květina,ফুল
122,Gras::N,tráva,ঘাস
123,Wurzel::N,kořen,শিকড়
124,Baum::N,strom,গাছ
125,Stamm::N,kmen,স্কন্ধ
126,Rinde::N,kůra,বল্কল
127,Ast::N,větev,শাখা
128,Zweig::N,větev,ডাল
129,Blatt::N,lupen,পর্ণ
