,Concept_ID,tt,udm
0,Auge::N,күз,син
1,Ohr::N,колак,пель
2,Nase::N,борын,ныр
3,Mund::N,авыз,ым
4,Mund::N,тамак,ым
5,Zahn::N,теш,пинь
6,Zunge::N,тел,кыл
7,Lippe::N,ирен,ымдур
8,Wange::N,яңак,бам
9,Gesicht::N,йөз,ымныр
10,Stirn::N,маңгай,кымес
11,Haar::N,чәч,йырси
12,Schnurrbart::N,мыек,мыйык
13,Bart::N,сакал,туш
14,Kinn::N,ияк,ангес
15,Kiefer[Anatomie]::N,казналык,ан
16,Kiefer[Anatomie]::N,казналык,анлы
17,Kehle::N,тамак,гульым
18,Hals::N,бугаз,чырты
19,Genick::N,җилкә,йырбер
20,Kopf::N,баш,йыр
21,Rücken::N,сырт,мыш
22,Bauch::N,корсак,кӧт
23,Nabel::N,кендек,гогы
24,Busen::N,түш,ноны
25,Brust::N,имчәк,мӧля
26,Brust::N,күкрәк,мӧля
27,Schulter::N,иңбаш,пельпум
28,Schulter::N,кулбаш,пельпум
29,Arm::N,кул,суй
30,Ellenbogen::N,терсәк,гырпум
31,Hand::N,кул,ки
32,Handfläche::N,уч,ки пыдэс
33,Handfläche::N,уч,кырым пыдэс
34,Finger::N,бармак,чиньы
35,Fingernagel::N,тырнак,гижы
36,Fingernagel::N,тырнак,гиждӥнь
37,Nagel[Anatomie]::N,тырнак,гижы
38,Zeh::N,бармак,пыдчиньы
39,Fuß::N,табан,пыд
40,Ferse::N,үкчә,пыдбер
41,Knie::N,тез,пыдес
42,Oberschenkel::N,бот,макес
43,Bein::N,аяк,пыд
44,Körper::N,тән,мугор
45,Körper::N,тән,вылтыр
46,Körper::N,җисем,мугор
47,Körper::N,җисем,вылтыр
48,Haut::N,тире,ку
49,Blut::N,кан,вир
50,Ader::N,тамыр,вирсэр
51,Sehne::N,сеңер,вуж
52,Knochen::N,сөяк,лы
53,Gehirn::N,ми,вим
54,Herz::N,йөрәк,сюлэм
55,Magen::N,ашказаны,ӝуш
56,Leber::N,бавыр,мус
57,Atem::N,сулыш,лул
58,Atem::N,сулыш,шокан
59,Hunger::N,ачлык,кӧтсюман
60,Träne::N,яшь,синкыли
61,Geschmack::N,тәм,шӧм
62,Geschmack::N,зәвык,шӧм
63,Geruch::N,ис,зын
64,Schlaf::N,йокы,вӧт
65,Traum::N,төш,уйвӧт
66,Himmel::N,күк,ин
67,Sonne::N,кояш,шунды
68,Mond::N,ай,толэзь
69,Stern::N,йолдыз,кизили
70,Luft::N,һава,омыр
71,Wind::N,җил,тӧл
72,Welle::N,дулкын,тулкым
73,Wasser::N,су,ву
74,Stein::N,таш,из
75,Boden::N,туфрак,музъем
76,Erde::N,җир,му
77,Staub::N,тузан,пыль
78,Rauch::N,төтен,ӵын
79,Funke::N,очкын,гизьы
80,Feuer::N,ут,тыл
81,Licht::N,якты,тыл
82,Schatten::N,күләгә,вужер
83,Wetter::N,һава,куазь
84,Nebel::N,томан,бус
85,Wolke::N,болыт,пилем
86,Regen::N,яңгыр,зор
87,Schnee::N,кар,лымы
88,Eis::N,боз,йӧ
89,Frost::N,суык,кезьыт
90,Frost::N,салкын,кезьыт
91,Kälte::N,суык,кезьыт
92,Kälte::N,салкын,кезьыт
93,Hitze::N,эсселек,пӧсь
94,Raureif::N,бәс,гӧр
95,Raureif::N,сыкы,гӧр
96,Regenbogen::N,салават күпере,вуюись
97,Donner::N,күкрәү,гудыри
98,Strömung::N,агыш'агым,бызён
99,Tropfen::N,тамчы,шапык
100,Schaum::N,күбек,шукы
101,Schmutz::N,пычрак,нӧд
102,Schmutz::N,пычрак,дэри
103,See::N,күл,ты
104,Sumpf::N,саз,нюр
105,Moor::N,торфлык,нюр
106,Wiese::N,болын,возь
107,Wiese::N,болын,возьвыл
108,Wald::N,урман,сик
109,Wald::N,урман,нюлэс
110,Hügel::N,калку,выр
111,Hügel::N,калку,вырйыл
112,Anhöhe::N,үр,выр
113,Anhöhe::N,үр,вырйыл
114,Berg::N,тау,гурезь
115,Gipfel::N,оч,йыл
116,Höhle::N,мәгарә,гу
117,Abhang::N,кабырга,бам
118,Quelle::N,чишмә,ошмес
119,Bach::N,елга,пичи шур
120,Fluss::N,дәрья,шур
121,Ufer::N,су кырые,ярдур
122,Küste::N,яр буе,вудур
123,Festland::N,коры җир,мувыр
124,Meer::N,диңгез,зарезь
125,Bucht::N,бухта,вукож
126,Bucht::N,култык,вукож
127,Insel::N,атау,вумуӵ
128,Insel::N,атау,шормуӵ
129,Insel::N,утрау,вумуӵ
130,Insel::N,утрау,шормуӵ
131,Blume::N,чәчкә,сяська
132,Gras::N,үлән,турын
133,Wurzel::N,тамыр,выжы
134,Baum::N,агач,пу
135,Stamm::N,кәүсә,модос
136,Rinde::N,кабык,сул
137,Ast::N,ботак,ул
138,Zweig::N,ботак,вай
139,Zweig::N,тармак,вай
140,Blatt::N,яфрак,куар
141,Birke::N,каен,кызьпу
142,Kiefer[Baum]::N,нарат,пужым
143,Weide[Baum]::N,тал,бадьпу
144,Tanne::N,чыршы,кыз
145,Horn::N,мөгез,сюр
146,Feder::N,йон,тылы
147,Fell::N,тире,ку
148,Flügel::N,канат,бурд
149,Klaue::N,тырнак,гижы
150,Kralle::N,тырнак,пыд
151,Schwanz::N,койрык,быж
152,Ei::N,күкәй,пуз
153,Ei::N,күкәй,кукей
154,Ei::N,йомырка,пуз
155,Ei::N,йомырка,кукей
156,Nest::N,оя,кар
157,Nest::N,оя,пузкар
158,Bau::N,өн,кар
159,Bau::N,өн,гу
160,Tier::N,хайван,пӧйшур
161,Herde::N,көтү,уллё
162,Kuh::N,сыер,скал
163,Bulle::N,үгез,ош
164,Bulle::N,үгез,пороз
165,Pferd::N,ат,вал
166,Schaf::N,сарык,ыж
167,Schwein::N,дуңгыз,парсь
168,Hund::N,эт,пуны
169,Katze::N,песи,коӵыш
170,Bär::N,аю,гондыр
171,Eichhörnchen::N,тиен,коньы
172,Elch::N,поши,койык
173,Fuchs::N,төлке,ӟичы
174,Hase::N,куян,кеч
175,Maus::N,тычкан,шыр
176,Wolf::N,бүре,кион
177,Vogel::N,кош,тылобурдо
178,Schwarm::N,көтү,уллё
179,Huhn::N,тавык,курег
180,Hahn::N,әтәч,атас
181,Gans::N,каз,ӟазег
182,Adler::N,каракош,ӧрзи
183,Ente::N,үрдәк,ӵӧж
184,Eule::N,ябалак,кучыран
185,Kranich::N,торна,тури
186,Krähe::N,карга,куака
187,Kuckuck::N,күке,кикы
188,Kuckuck::N,кәккүк,кикы
189,Schwan::N,аккош,юсь
190,Fisch::N,балык,чорыг
191,Barsch::N,алабуга,юш
192,Hecht::N,чуртан,чипей
193,Schlange[Tier]::N,елан,кый
194,Wurm::N,корт,нумыр
195,Spinne::N,үрмәкүч,чонари
196,Ameise::N,кырмыска,кузьыли
197,Laus::N,бет,тэй
198,Mücke::N,черки,нымы
199,Mücke::N,черки,чибинь
200,Mücke::N,озынборын,нымы
201,Mücke::N,озынборын,чибинь
202,Fliege::N,чебен,кут
203,Schmetterling::N,күбәләк,бубыли
204,Beere::N,җиләк,узы-боры
205,Apfel::N,алма,яблок
206,Pilz::N,гөмбә,губи
207,Zwiebel::N,суган,сугон
208,Zwiebel::N,суганбаш,сугон
209,Saat::N,орлык,кидыс
210,Korn::N,иген,тысь
211,Korn::N,орлык,тысь
212,Heu::N,печән,турын
213,Schale::N,кабык,кыд
214,Grube::N,баз,гу
215,Grube::N,баз,гоп
216,Grube::N,чокыр,гу
217,Grube::N,чокыр,гоп
218,Falle::N,тозак,налик
219,Falle::N,капкын,налик
220,Schlinge::N,элмәк,гиӟ
221,Schlinge::N,элмәк,герд
222,Spur::N,эз,пытьы
223,Spur::N,эз,бервыл
224,Asche::N,көл,пень
225,Dreck::N,пычрак,дэри
226,Eisen::N,тимер,корт
227,Gold::N,алтын,зарни
228,Silber::N,көмеш,азвесь
229,Kohle::N,күмер,эгыр
230,Glas::N,пыяла,стекло
231,Glas::N,пыяла,пияла
232,Lehm::N,балчык,сюй
233,Sand::N,ком,луо
234,Mensch::N,адәм,мурт
235,Mensch::N,адәм,адями
236,Mensch::N,инсан,мурт
237,Mensch::N,инсан,адями
238,Mann::N,ир,воргорон
239,Frau::N,хатын,кышномурт
240,Kind::N,бала,нуны
241,Kind::N,бала,пинал
242,Junge::N,малай,пи
243,Mädchen::N,кыз,ныл
244,Familie::N,гаилә,семья
245,Großvater::N,бабай,песятай
246,Großvater::N,бабай,пересь атай
247,Großmutter::N,әби,песянай
248,Großmutter::N,әби,пересь анай
249,Eltern::N,ата-ана,атай-анай
250,Eltern::N,ата-ана,бубы-мумы
251,Vater::N,ата,айы
252,Vater::N,ата,атай
253,Mutter::N,ана,мумы
254,Sohn::N,ул,пи
255,Tochter::N,кыз,ныл
256,Bruder::N,кардәш,агай
257,Schwester::N,апа,апа
258,Schwester::N,апа,сузэр
259,Schwester::N,сеңел,апа
260,Schwester::N,сеңел,сузэр
261,Onkel::N,дәдә,агай
262,Onkel::N,дәдәй,агай
263,Tante::N,түти,апа
264,Tante::N,түти,кенак
265,Tante::N,тәтәй,апа
266,Tante::N,тәтәй,кенак
267,Ehemann::N,ир,карт
268,Ehefrau::N,хатын,кышно
269,Freude::N,сөенеч,шумпотон
270,Gelächter::N,көлү,горем
271,Gelächter::N,көлеш,горем
272,Glück::N,бәхет,шуд
273,Kummer::N,хәсрәт,кайгу
274,Kummer::N,хәсрәт,куректон
275,Wunsch::N,теләк,мылпотон
276,Lust::N,теләк,потон
277,Lust::N,теләү,потон
278,Geist::N,рух,лул
279,Gedanke::N,уй,малпан
280,Gedanke::N,фикер,малпан
281,Gedächtnis::N,хәтер,йырсазь
282,Gedächtnis::N,хәтер,тодэваён
283,Verstand::N,акыл,йырвизь
284,Sinn::N,мәгънә,смысл
285,Grund::N,сәбәп,муг
286,Grund::N,сәбәп,ньӧм
287,Wahrheit::N,хак,зэм
288,Wahrheit::N,хак,шонер
289,Gespräch::N,әңгәмә,вераськон
290,Märchen::N,әкият,выжыкыл
291,Erzählung::N,хикәя,верос
292,Nachricht::N,хәбәр,ивор
293,Neuigkeit::N,яңалык,выльивор
294,Name::N,исем,ним
295,Rätsel::N,табышмак,мадькыл
296,Rede::N,нотык,верам
297,Sprache::N,тел,кыл
298,Stimme::N,тавыш,куара
299,Wort::N,сүз,кыл
300,Zeichen::N,ишарә,пус
301,Zeichen::N,ишарә,тодмет
302,Ruf::N,дәшү,ӧтён
303,Ruf::N,дәшү,чортон
304,Lärm::N,шау,ӵашетон
305,Laut::N,аваз,куара
306,Ton::N,шалтырату,куара
307,Lied::N,җыр,кырӟан
308,Ruhe::N,тынлык,чалмыт улон
309,Leute::N,халык,адямиос
310,Volk::N,халык,калык
311,Arbeit::N,эш,уж
312,Arbeit::N,хезмәт,уж
313,Gast::N,кунак,куно
314,Geschenk::N,бүләк,салам
315,Geschenk::N,бүләк,кузьым
316,Spiel::N,уен,шудон
317,Gesellschaft::N,җәмгыять,калык
318,Hilfe::N,ярдәм,юрттон
319,Hilfe::N,булышлык,юрттон
320,Freund::N,дус,эш
321,Freund::N,дус,юлтош
322,Kamerad::N,иптәш,тодмо
323,Angelegenheit::N,эш,уж
324,Anzahl::N,микъдар,лыд
325,Art::N,төр,тус
326,Stück::N,кисәк,юдэс
327,Teil::N,өлеш,люкет
328,Hälfte::N,ярым,ӝыны
329,Kreis::N,түгәрәк,котырес
330,Kreuz::N,хач,крест
331,Kreuz::N,тәре,крест
332,Linie::N,сызык,гож
333,Strich::N,сызык,гож
334,Abstand::N,ара,вис
335,Abstand::N,ара,кусып
336,Entfernung::N,ераклык,кусып
337,Gegend::N,урын,инты
338,Platz::N,бушлык,инты
339,Ort::N,урын,инты
340,Ort::N,урын,места
341,Seite::N,як,пал
342,Mitte::N,урта,шор
343,Gegenstand::N,нәрсә,арбери
344,Sache::N,нәрсә,котыр
345,Rand::N,чит,дур
346,Rand::N,чит,шаер
347,Kante::N,кырый,дур
348,Ecke::N,почмак,сэрег
349,Spitze::N,оч,йыл
350,Ende::N,азак,пум
351,Loch::N,тишек,пась
352,Winkel::N,почмак,сэрег
353,Muster::N,парча,пужы
354,Größe::N,зурлык,быдӟала
355,Länge::N,озынлык,кузьдала
356,Höhe::N,биеклек,ӝуждала
357,Gewicht::N,авырлык,сектала
358,Gewicht::N,авырлык,секытлык
359,Menge::N,микъдар,лыд
360,Menge::N,микъдар,лыдпус
361,Haufen::N,өем,люк
362,Reihe::N,рәт,чур
