,Concept_ID,la,bg
0,Auge::N,oculus,око
1,Ohr::N,auris,ухо
2,Nase::N,nasus,нос
3,Mund::N,os,уста
4,Zahn::N,dens,зъб
5,Zunge::N,lingua,език
6,Lippe::N,labrum,устна
7,Wange::N,gena,буза
8,Gesicht::N,vultus,лице
9,Gesicht::N,vultus,образ
10,Stirn::N,frons,чело
11,Haar::N,capillus,коса
12,Haar::N,capillus,косъм
13,Schnurrbart::N,barba labri superioris,мустаци
14,Bart::N,barba,брада
15,Kinn::N,mentum,брада
16,Kinn::N,mentum,брадичка
17,Kiefer[Anatomie]::N,mala,челюст
18,Kehle::N,iugulums,гърло
19,Hals::N,collum,врат
20,Genick::N,cervices,тил
21,Kopf::N,caput,глава
22,Rücken::N,tergum,гръб
23,Bauch::N,venter,корем
24,Nabel::N,umbilicus,пъп
25,Busen::N,sinus,бозка
26,Brust::N,pectus,гръд
27,Schulter::N,umerus,рамо
28,Schulter::N,umerus,плещи
29,Arm::N,bracchium,ръка
30,Ellenbogen::N,cubitum,лакът
31,Hand::N,manus,ръка
32,Hand::N,manus,китка
33,Handfläche::N,palma,длан
34,Finger::N,digitus,пръст
35,Fingernagel::N,unguiculus,нокът
36,Nagel[Anatomie]::N,unguis,нокът
37,Zeh::N,digitus,пръст на крак
38,Fuß::N,pes,крак
39,Fuß::N,pes,нога
40,Ferse::N,calx,пета
41,Knie::N,genu,коляно
42,Oberschenkel::N,femur,бедро
43,Bein::N,crus,крак
44,Bein::N,crus,нога
45,Körper::N,corpus,тяло
46,Haut::N,cutis,кожа
47,Haut::N,pellis,кожа
48,Blut::N,sanguis,кръв
49,Ader::N,vena,вена
50,Ader::N,vena,артерия
51,Sehne::N,nervus,жила
52,Sehne::N,nervus,сухожилие
53,Knochen::N,os,кост
54,Gehirn::N,cerebrum,мозък
55,Herz::N,cor,сърце
56,Herz::N,animus,сърце
57,Magen::N,stomachus,стомах
58,Leber::N,iecur,черен дроб
59,Atem::N,spiritus,дишане
60,Hunger::N,fames,глад
61,Träne::N,lacrima,сълза
62,Geschmack::N,sapor,вкус
63,Geschmack::N,gustus,вкус
64,Geruch::N,odor,миризма
65,Schlaf::N,somnus,сън
66,Traum::N,somnium,сън
67,Himmel::N,caelum,небе
68,Sonne::N,sol,слънце
69,Mond::N,luna,луна
70,Mond::N,luna,месец
71,Stern::N,sidus,звезда
72,Stern::N,stella,звезда
73,Luft::N,aer,въздух
74,Wind::N,ventus,вятър
75,Welle::N,unda,вълна
76,Wasser::N,aqua,вода
77,Stein::N,lapis,камък
78,Boden::N,solum,земя
79,Boden::N,solum,почва
80,Erde::N,terra,земя
81,Erde::N,terra,почва
82,Staub::N,pulvis,прах
83,Rauch::N,fumus,дим
84,Rauch::N,fumus,пушек
85,Funke::N,scintilla,искра
86,Feuer::N,ignis,огън
87,Licht::N,lux,светлина
88,Licht::N,lumen,светлина
89,Schatten::N,umbra,сянка
90,Wetter::N,caelum,време
91,Wetter::N,tempestas,време
92,Nebel::N,nebula,мъгла
93,Wolke::N,nubes,облак
94,Regen::N,imber,дъжд
95,Regen::N,pluvia,дъжд
96,Schnee::N,nix,сняг
97,Eis::N,glacies,лед
98,Frost::N,gelu,мраз
99,Kälte::N,frigus,студ
100,Hitze::N,calor,жега
101,Hitze::N,calor,горещина
102,Hitze::N,aestus,жега
103,Hitze::N,aestus,горещина
104,Raureif::N,pruina,скреж
105,Raureif::N,pruina,слана
106,Regenbogen::N,arcus,дъга
107,Donner::N,tonitrus,гръм
108,Strömung::N,fluctus,течение
109,Tropfen::N,gutta,капка
110,Schaum::N,spuma,пяна
111,Schmutz::N,sordes,кал
112,Schmutz::N,sordes,мръсотия
113,Schmutz::N,squalor,кал
114,Schmutz::N,squalor,мръсотия
115,See::N,lacus,езеро
116,Sumpf::N,palus,блато
117,Moor::N,palus,мочурище
118,Wiese::N,pratum,ливада
119,Wald::N,silva,гора
120,Hügel::N,collis,рид
121,Hügel::N,collis,хълм
122,Anhöhe::N,specula,могила
123,Anhöhe::N,specula,възвишение
124,Berg::N,mons,планина
125,Gipfel::N,vertex,връх
126,Höhle::N,caverna,пещера
127,Höhle::N,spelunca,пещера
128,Abhang::N,declivum,склон
129,Abhang::N,declivum,стръмнина
130,Quelle::N,fons,извор
131,Bach::N,rivus,поток
132,Fluss::N,flumen,река
133,Ufer::N,ripa,бряг
134,Küste::N,litus,бряг
135,Küste::N,litus,крайбрежие
136,Festland::N,continens,суша
137,Meer::N,mare,море
138,Bucht::N,sinus,залив
139,Insel::N,insula,остров
140,Blume::N,flos,цвете
141,Gras::N,herba,трева
142,Gras::N,gramen,трева
143,Wurzel::N,radix,корен
144,Baum::N,arbor,дърво
145,Stamm::N,truncus,стъбло
146,Rinde::N,cortex,кора
147,Ast::N,ramus,клон
148,Zweig::N,ramus,клон
149,Blatt::N,folium,лист
150,Birke::N,betulla,бреза
151,Kiefer[Baum]::N,pinus,бор
152,Weide[Baum]::N,salix,върба
153,Tanne::N,abies,ела
154,Horn::N,cornu,рог
155,Feder::N,penna,перо
156,Fell::N,pellis,кожа
157,Flügel::N,ala,крило
158,Klaue::N,unguis,нокът
159,Kralle::N,unguis,нокът
160,Schwanz::N,cauda,опашка
161,Ei::N,ovum,яйце
162,Nest::N,nidus,гнездо
163,Bau::N,cavum,дупка
164,Bau::N,latibulum,дупка
165,Tier::N,bestia,животно
166,Herde::N,grex,стадо
167,Kuh::N,vacca,крава
168,Bulle::N,taurus,бик
169,Pferd::N,equus,кон
170,Schaf::N,ovis,овца
171,Schwein::N,sus,свиня
172,Schwein::N,porcus,свиня
173,Hund::N,canis,куче
174,Katze::N,felis,котка
175,Bär::N,ursus,мечка
176,Eichhörnchen::N,sciurus,катерица
177,Elch::N,alces,лос
178,Fuchs::N,vulpes,лисица
179,Hase::N,lepus,заек
180,Maus::N,mus,мишка
181,Wolf::N,lupus,вълк
182,Vogel::N,avis,птица
183,Schwarm::N,examen,рой
184,Schwarm::N,examen,рояк
185,Huhn::N,gallina,кокошка
186,Hahn::N,gallus,петел
187,Gans::N,anser,гъска
188,Adler::N,aquila,орел
189,Ente::N,anas,патица
190,Eule::N,ulula,сова
191,Eule::N,noctua,сова
192,Kranich::N,grus,жерав
193,Krähe::N,cornix,врана
194,Kuckuck::N,cuculus,кукувица
195,Schwan::N,olor,лебед
196,Schwan::N,cycnus,лебед
197,Fisch::N,piscis,риба
198,Barsch::N,perca,костур
199,Hecht::N,esox,щука
200,Schlange[Tier]::N,serpens,змия
201,Wurm::N,vermis,червей
202,Spinne::N,aranea,паяк
203,Ameise::N,formica,мравка
204,Laus::N,pediculus,въшка
205,Mücke::N,culex,комар
206,Fliege::N,musca,муха
207,Schmetterling::N,papilio,пеперуда
208,Beere::N,baca,плод
209,Apfel::N,malum,ябълка
210,Pilz::N,fungus,гъба
211,Zwiebel::N,cepa,лук
212,Zwiebel::N,cepa,кромид
213,Saat::N,seges,семе
214,Korn::N,granum,зърно
215,Heu::N,faenum,сено
216,Schale::N,putamen,кора
217,Grube::N,fovea,яма
218,Grube::N,fovea,дупка
219,Falle::N,pedica,примка
220,Schlinge::N,laqueus,клуп
221,Spur::N,vestigium,диря
222,Spur::N,vestigium,следа
223,Asche::N,cinis,пепел
224,Dreck::N,lutum,кал
225,Eisen::N,ferrum,желязо
226,Gold::N,aurum,злато
227,Silber::N,argentum,сребро
228,Kohle::N,carbo,въглища
229,Glas::N,vitrum,стъкло
230,Lehm::N,lutum,глина
231,Sand::N,arena,пясък
232,Mensch::N,homo,човек
233,Mann::N,vir,мъж
234,Frau::N,mulier,жена
235,Kind::N,puer,дете
236,Kind::N,infans,дете
237,Junge::N,puer,момче
238,Mädchen::N,puella,момиче
239,Familie::N,familia,фамилия
240,Familie::N,familia,семейство
241,Großvater::N,avus,дядо
242,Großmutter::N,avia,баба
243,Eltern::N,parentes,родители
244,Vater::N,pater,баща
245,Mutter::N,mater,майка
246,Sohn::N,filius,син
247,Tochter::N,filia,дъщеря
248,Bruder::N,frater,брат
249,Schwester::N,soror,сестра
250,Onkel::N,patruus,чичо
251,Onkel::N,patruus,вуйчо
252,Onkel::N,avunculus,чичо
253,Onkel::N,avunculus,вуйчо
254,Tante::N,amita,леля
255,Ehemann::N,maritus,съпруг
256,Ehefrau::N,uxor,съпруга
257,Freude::N,gaudium,радост
258,Freude::N,laetitia,радост
259,Gelächter::N,risus,смях
260,Glück::N,felicitas,щастие
261,Kummer::N,aegritudo,тъга
262,Wunsch::N,voluntas,желание
263,Wunsch::N,desiderium,желание
264,Lust::N,libido,желание
265,Lust::N,voluptas,желание
266,Geist::N,mens,дух
267,Geist::N,animus,дух
268,Gedanke::N,sententia,мисъл
269,Gedächtnis::N,memoria,памет
270,Verstand::N,ratio,ум
271,Verstand::N,ratio,разум
272,Verstand::N,ingenium,ум
273,Verstand::N,ingenium,разум
274,Sinn::N,sensus,смисъл
275,Grund::N,causa,причина
276,Wahrheit::N,veritas,правда
277,Gespräch::N,sermo,разговор
278,Märchen::N,fabula,приказка
279,Erzählung::N,fabula,разказ
280,Erzählung::N,narratio,разказ
281,Nachricht::N,nuntius,вест
282,Nachricht::N,nuntius,известие
283,Neuigkeit::N,novitas,новина
284,Name::N,nomen,име
285,Rätsel::N,aenigma,гатанка
286,Rede::N,oratio,реч
287,Rede::N,oratio,слово
288,Sprache::N,lingua,език
289,Stimme::N,vox,глас
290,Wort::N,verbum,дума
291,Wort::N,vocabulum,дума
292,Zeichen::N,signum,знак
293,Ruf::N,clamor,зов
294,Lärm::N,strepitus,шум
295,Lärm::N,strepitus,глъчка
296,Laut::N,sonus,звук
297,Ton::N,sonus,тон
298,Lied::N,carmen,песен
299,Ruhe::N,quies,тишина
300,Ruhe::N,quies,спокойствие
301,Leute::N,homines,хора
302,Volk::N,populus,народ
303,Arbeit::N,labor,труд
304,Arbeit::N,labor,работа
305,Gast::N,hospes,гост
306,Gast::N,conviva,гост
307,Geschenk::N,munus,дар
308,Geschenk::N,munus,подарък
309,Spiel::N,ludus,игра
310,Gesellschaft::N,societas,общество
311,Hilfe::N,auxilium,помощ
312,Hilfe::N,subsidium,помощ
313,Freund::N,amicus,приятел
314,Kamerad::N,socius,другар
315,Angelegenheit::N,res,работа
316,Anzahl::N,numerus,брой
317,Anzahl::N,numerus,количество
318,Art::N,genus,вид
319,Stück::N,frustum,къс
320,Stück::N,frustum,парче
321,Stück::N,fragmentum,къс
322,Stück::N,fragmentum,парче
323,Teil::N,pars,дял
324,Teil::N,pars,част
325,Hälfte::N,dimidium,половина
326,Kreis::N,orbis,кръг
327,Kreis::N,circus,кръг
328,Kreuz::N,crux,кръст
329,Linie::N,linea,черта
330,Strich::N,lineamentum,щрих
331,Strich::N,lineamentum,черта
332,Abstand::N,intervallum,дистанция
333,Abstand::N,intervallum,разстояние
334,Entfernung::N,spatium,разстояние
335,Gegend::N,loca,местност
336,Gegend::N,regio,местност
337,Platz::N,locus,място
338,Ort::N,locus,място
339,Seite::N,latus,страна
340,Mitte::N,medium,среда
341,Gegenstand::N,res,предмет
342,Sache::N,res,вещ
343,Rand::N,margo,ръб
344,Kante::N,angulus,ръб
345,Kante::N,angulus,кант
346,Ecke::N,angulus,ъгъл
347,Spitze::N,cacumen,връх
348,Spitze::N,cacumen,острие
349,Ende::N,caput,край
350,Loch::N,foramen,дупка
351,Winkel::N,angulus,кът
352,Winkel::N,angulus,ъгъл
353,Muster::N,exemplum,десен
354,Muster::N,exemplum,образец
355,Größe::N,magnitudo,големина
356,Länge::N,longitudo,дължина
357,Höhe::N,altitudo,висота
358,Höhe::N,altitudo,височина
359,Gewicht::N,pondus,тегло
360,Gewicht::N,pondus,тежест
361,Menge::N,copia,количество
362,Haufen::N,acervus,куп
363,Haufen::N,acervus,грамада
364,Reihe::N,ordo,ред
365,Reihe::N,ordo,редица
366,Boot::N,navicula,лодка
367,Ruder::N,remus,весло
368,Ruder::N,remus,гребло
369,Schlitten::N,sclodia,шейна
370,Ski::N,narta,ски
371,Lagerfeuer::N,ignis,огнище
372,Last::N,onus,товар
373,Gang::N,cursus,ход
374,Gang::N,cursus,вървеж
375,Schritt::N,gradus,стъпка
376,Norden::N,septentriones,север
377,Süden::N,meridies,юг
378,Westen::N,occidens,запад
379,Osten::N,oriens,изток
380,Holz::N,lignum,дърво
381,Brett::N,tabula,дъска
382,Platte::N,lamina,
383,Stütze::N,adminiculum,
384,Stange::N,pertica,прът
385,Stange::N,pertica,върлина
386,Stock::N,baculum,прът
387,Stock::N,baculum,тояга
388,Stab::N,scipio,прът
389,Rohr::N,tubus,цев
390,Rohr::N,tubus,тръба
391,Haus::N,aedes,къща
392,Heim::N,domicilium,дом
393,Ofen::N,fornax,печка
394,Fußboden::N,solum,под
395,Tisch::N,mensa,маса
396,Stuhl::N,sella,стол
397,Wiege::N,cunae,люлка
398,Bett::N,lectus,легло
399,Bett::N,lectus,креват
400,Regal::N,foruli,рафт
401,Regal::N,foruli,етажерка
402,Kiste::N,cista,кутия
403,Kiste::N,cista,сандък
404,Fenster::N,fenestra,прозорец
405,Tür::N,ianua,врата
406,Tor::N,porta,врата
407,Zaun::N,saepes,ограда
408,Dach::N,tectum,покрив
409,Leiter::N,scalae,стълба
410,Besen::N,scopae,метла
411,Spaten::N,pala,лопата
412,Schaufel::N,pala,лопата
413,Gabel::N,fuscinula,вилица
414,Löffel::N,coclear,лъжица
