,Concept_ID,uk,ba
175,Wurm::N,черв’як,селяүсен
176,Spinne::N,павук,үрмәксе
177,Ameise::N,мурашка,ҡырмыҫҡа
178,Laus::N,воша,бет
179,Mücke::N,комар,серәкәй
180,Fliege::N,муха,себен
181,Schmetterling::N,метелик,күбәләк
182,Beere::N,ягода,еләк
183,Apfel::N,яблуко,алма
184,Pilz::N,гриб,бәшмәк
185,Zwiebel::N,цибуля,һуган
186,Saat::N,сім’я,орлоҡ
187,Korn::N,зерно,иген
188,Heu::N,сіно,бесән
189,Schale::N,шкірка,ҡабыҡ
190,Grube::N,яма,соҡор
191,Falle::N,пастка,тоҙак
192,Falle::N,пастка,ҡапҡан
193,Schlinge::N,петля,тоҙак
194,Spur::N,слід,әҫер
195,Asche::N,зола,көл
196,Asche::N,попіл,көл
197,Dreck::N,бруд,батҡаҡ
198,Eisen::N,залізо,тимер
199,Gold::N,золото,алтын
200,Silber::N,срібло,көмөш
201,Kohle::N,вугілля,күмер
202,Glas::N,скло,быяла
203,Lehm::N,глина,балсыҡ
204,Sand::N,пісок,ҡом
205,Mensch::N,людина,кеше
206,Mann::N,чоловік,ир
207,Frau::N,жінка,ҡатын
208,Kind::N,дитина,бала
209,Junge::N,хлопець,малай
210,Mädchen::N,дівчина,ҡыҙ
211,Mädchen::N,дівчина,ҡыҙыҡай
212,Familie::N,сім’я,ғаилә
213,Familie::N,родина,ғаилә
214,Großvater::N,дідусь,олатай
215,Großmutter::N,бабуся,әбәй
216,Eltern::N,батьки,ата-әсә
217,Vater::N,батько,атай
218,Mutter::N,мати,әсә
219,Sohn::N,син,ул
220,Tochter::N,дочка,ҡыҙ
221,Bruder::N,брат,агай
222,Schwester::N,сестра,алай
223,Schwester::N,сестра,һеңле
224,Onkel::N,дядько,ағай
225,Tante::N,тітка,апай
226,Ehemann::N,чоловік,ир
227,Ehefrau::N,жінка,ҡатын
228,Ehefrau::N,дружина,ҡатын
229,Freude::N,радощі,шатлыҡ
230,Freude::N,радощі,ҡыуаныс
231,Gelächter::N,сміх,көлөү
232,Glück::N,щастя,бәхет
233,Kummer::N,горе,ҡайғы
234,Wunsch::N,бажання,теләк
235,Lust::N,бажання,әүәҫлек
236,Geist::N,дух,аң
237,Geist::N,дух,рух
238,Gedanke::N,думка,уй
239,Gedanke::N,думка,фекер
240,Gedächtnis::N,пам’ять,хәтер
241,Verstand::N,розум,аҡыл
242,Sinn::N,зміст,мәғәня
243,Sinn::N,значення,мәғәня
244,Grund::N,причина,сәбәп
245,Wahrheit::N,правда,дөрөҫлөк
246,Gespräch::N,розмова,әңгәмә
247,Märchen::N,байка,әкиәт
248,Erzählung::N,повість,хикәйә
249,Erzählung::N,оповідання,хикәйә
250,Nachricht::N,повідомлення,хәбәр
251,Neuigkeit::N,новина,яңылыҡ
252,Name::N,ім’я,исем
253,Rätsel::N,загадка,йомаҡ
254,Rede::N,промова,телмәр
255,Sprache::N,мова,тел
256,Sprache::N,мова,телмәр
257,Stimme::N,голос,тауыш
258,Wort::N,слово,һүҙ
259,Zeichen::N,знак,билдә
260,Ruf::N,оклик,саҡырыу
261,Lärm::N,шум,шаулау
262,Laut::N,звук,тауыш
263,Ton::N,тон,яңғырау
264,Lied::N,пісня,йыр
265,Ruhe::N,спокій,ял
266,Ruhe::N,спокій,тыныслыҡ
267,Leute::N,люди,кешеләр
268,Volk::N,народ,халҡ
269,Arbeit::N,робота,эш
270,Gast::N,гість,ҡунаҡ
271,Geschenk::N,подарунок,бүләк
272,Spiel::N,гра,уйын
273,Gesellschaft::N,товариство,йәмғиәт
274,Hilfe::N,допомога,ярҙам
275,Freund::N,друг,дуҫ
276,Freund::N,приятель,дуҫ
277,Kamerad::N,товариш,иптәш
278,Angelegenheit::N,справа,әш
279,Anzahl::N,число,һан
280,Art::N,рід,төр
281,Stück::N,кусок,киҫәк
282,Teil::N,частина,өлөш
283,Hälfte::N,половина,ярты
284,Kreis::N,круг,түңәрәк
285,Kreis::N,коло,түңәрәк
286,Kreuz::N,хрест,тәре
287,Linie::N,лінія,һыҙыҡ
288,Strich::N,штрих,һыҙат
289,Abstand::N,проміжок,ара
290,Entfernung::N,відстань,алыҫлыҡ
291,Gegend::N,місцевість,урын
292,Platz::N,площа,арауыҡ
293,Ort::N,місце,ерҙәр
294,Ort::N,місце,урындар
295,Ort::N,місце,эш урыны
296,Seite::N,сторона,яҡ
297,Mitte::N,середина,урталыҡ
298,Gegenstand::N,предмет,нәмә
299,Sache::N,річ,нәмә
300,Sache::N,річ,әйбер
301,Rand::N,край,сит
302,Kante::N,ребро,ҡабырға
303,Kante::N,ребро,ян
304,Ecke::N,ріг,мөйөш
305,Spitze::N,кінчик,ос
306,Ende::N,кінець,аҙаҡ
307,Loch::N,діра,тишек
308,Winkel::N,куток,мөйөш
309,Muster::N,узор,биҙәк
310,Größe::N,розмір,ҙурлыҡ
311,Länge::N,довжина,оҙонлоҡ
312,Höhe::N,висота,бейеклек
313,Gewicht::N,вага,үлсәү
314,Menge::N,кількість,һан
315,Haufen::N,купа,өйөм
316,Reihe::N,ряд,рәт
317,Boot::N,човен,кәмә
318,Ruder::N,весло,ишкәк
319,Schlitten::N,сани,сана
320,Ski::N,лижа,саңгы
321,Lagerfeuer::N,вогнище,костер
322,Last::N,тягар,ауырлыҡ
323,Last::N,вантаж,ауырлыҡ
324,Gang::N,хід,барыу
325,Schritt::N,крок,аҙым
326,Norden::N,північ,төньяҡ
327,Süden::N,південь,көньяҡ
328,Westen::N,захід,көнбайыш
329,Osten::N,схід,көнсығыш
330,Holz::N,дрова,үағас
331,Brett::N,дошка,таҡта
332,Platte::N,плита,плита
333,Stütze::N,підпірка,терәк
334,Stange::N,жердина,кәртә
335,Stock::N,палиця,таяҡ
336,Stab::N,палиця,ҡолға
337,Rohr::N,труба,торба
338,Haus::N,дім,өй
339,Haus::N,дім,йорт
340,Haus::N,хата,өй
341,Haus::N,хата,йорт
342,Heim::N,житло,өй
343,Ofen::N,піч,мейес
344,Fußboden::N,підлога,енес
345,Tisch::N,стіл,өҫтәл
346,Stuhl::N,стілець,ултырғыс
347,Wiege::N,колиска,бишек
348,Bett::N,ліжко,карауат
349,Bett::N,постіль,карауат
350,Regal::N,полиця,кәштә
351,Kiste::N,ящик,йәшинк
352,Fenster::N,вікно,тәҙрә
353,Tür::N,двері,ишек
354,Tor::N,ворота,ҡапҡа
355,Zaun::N,паркан,ҡойма
356,Zaun::N,огорожа,ҡойма
357,Dach::N,дах,түбә
358,Dach::N,дах,ҡыйыҡ
359,Leiter::N,драбина,баҫҡыс
360,Besen::N,мітла,һепертке
361,Spaten::N,заступ,көрәк
362,Schaufel::N,совок,көрәк
363,Schaufel::N,лопата,көрәк
364,Gabel::N,виделка,сәнске
365,Löffel::N,ложка,ҡалаҡ
366,Messer::N,ніж,бысаҡ
367,Nagel::N,цвях,сөй
368,Netz::N,сіть,ау
369,Haken::N,крюк,ыргаҡ
370,Griff::N,ручка,тотҡа
371,Griff::N,держак,тотҡа
372,Schloss::N,замок,йоҙаҡ
373,Bild::N,картина,картина
374,Figur::N,фігура,һын
375,Puppe::N,лялька,ҡурсаҡ
376,Beutel::N,мішечок,тоҡ
377,Beutel::N,торбинка,тоҡ
378,Bündel::N,в’язка,төргәк
379,Tasche::N,сумка,сумка
380,Eimer::N,відро,биҙрә
381,Deckel::N,кришка,ҡапҡас
382,Geschirr::N,посуд,һауыт-һаба
383,Sack::N,мішок,тоҡ
384,Tasse::N,чашка,сынаяҡ
385,Topf::N,горщик,кәстрүл
386,Kessel::N,котел,ҡаҙан
387,Essen::N,їжа,ашау
388,Nahrung::N,харч,аҙыҡ
389,Speise::N,страва,аш
390,Fleisch::N,м’ясо,ит
391,Getreide::N,хліб,иген
392,Getreide::N,хліб,ашлыҡ
393,Getreide::N,збіжжя,иген
394,Getreide::N,збіжжя,ашлыҡ
395,Brei::N,каша,бутҡа
396,Brot::N,хліб,икмәк
397,Scheibe::N,скибочка,телем
398,Fett::N,жир,май
399,Butter::N,масло,май
400,Öl::N,олія,май буяуы
401,Salz::N,сіль,тоҙ
402,Suppe::N,суп,һурпа
403,Honig::N,мед,бал
404,Milch::N,молоко,һөт
405,Tee::N,чай,сәй
406,Leder::N,шкіра,күн
407,Wolle::N,шерсть,йөн
408,Stoff::N,тканина,туҡыма
409,Nadel::N,голка,энә
410,Faden::N,нитка,еп
411,Knopf::N,ґудзик,төймә
412,Knoten::N,вузол,төйөн
413,Farbe::N,фарба,буяу
414,Kleidung::N,одяг,кейем
415,Kleidung::N,убрання,кейем
416,Hemd::N,сорочка,күлдәк
417,Kragen::N,комір,яға
418,Ärmel::N,рукав,ең
419,Hose::N,брюки,салбар
420,Gürtel::N,пояс,ҡайыш
421,Mütze::N,шапка,бүрк
422,Schuh::N,ботинок,туфли
423,Stiefel::N,чобіт,итек
424,Ring::N,кільце,йөҙөк
425,Ring::N,кільце,балдаҡ
426,Band::N,стрічка,таҫма
427,Kamm::N,гребінець,тараҡ
428,Spiegel::N,дзеркало,көзгө
429,Riemen::N,ремінь,ҡайыш
430,Schnur::N,вірьовка,бау
431,Leine::N,шворка,бау
432,Decke::N,ковдра,одеяд
433,Kissen::N,подушка,мендәр
434,Tuch::N,хустка,яулыҡ
435,Handtuch::N,рушник,таҫтамал
436,Kraft::N,сила,көс
437,Stärke::N,сила,көс
438,Gesundheit::N,здоров’я,һаулыҡ
439,Krankheit::N,хвороба,сир
440,Krankheit::N,хвороба,ауырыу
441,Schmerz::N,біль,һыҙлау
442,Schmerz::N,біль,әрнеү
443,Wunde::N,рана,йәрәхәт
444,Fieber::N,гарячка,тапма
445,Fieber::N,гарячка,биҙгәк
446,Arznei::N,ліки,дарыу
447,Brücke::N,міст,күпер
448,Brunnen::N,колодязь,ҡоҙоҡ
449,Weide::N,пасовище,көтөүлек
450,Pfad::N,стежка,һуҡмаҡ
451,Weg::N,шлях,юл
452,Weg::N,дорога,юл
453,Straße::N,вулиця,урам
454,Dorf::N,село,ауыл
455,Stadt::N,місто,ҡала
456,Brief::N,лист,хат
457,Buch::N,книга,китап
458,Buch::N,книга,кенәгә
459,Buch::N,книжка,китап
460,Buch::N,книжка,кенәгә
461,Buchstabe::N,буква,хәреф
462,Buchstabe::N,літера,хәреф
463,Zeitung::N,газета,гәзит
464,Leben::N,життя,йәшәү
465,Tod::N,смерть,үлем
466,Grab::N,могила,ҡәбер
467,Kirche::N,церква,сиркәү
468,Sünde::N,гріх,гөнаһ
469,Gott::N,бог,алла
470,Gott::N,бог,хоҙай
471,Arbeiter::N,робітник,эшсе
472,Chef::N,хазяїн,башлыҡ
473,Meister::N,умілець,оҫта
474,Arzt::N,лікар,врач
475,Lehrer::N,вчитель,уҡытыусы
476,Geld::N,гроші,аҡса
477,Geschäft::N,заняття,эш
478,Laden::N,магазин,магазин
479,Laden::N,крамниця,магазин
480,Preis::N,ціна,хаҡ
481,Ware::N,товар,тауар
482,Nutzen::N,вигода,файҙа
483,Nutzen::N,користь,файҙа
484,Reichtum::N,багатство,байлыҡ
485,Welt::N,світ,донъя
