,Concept_ID,mrj,ku
0,Auge::N,сӹнзӓ,çav
1,Ohr::N,пӹлӹш,guh
2,Nase::N,нер,bêvil
3,Mund::N,ышма,dev
4,Zahn::N,пӱ,didan
5,Zunge::N,йӹлмӹ,ziman
6,Lippe::N,тӹрвӹ,lêv
7,Wange::N,шӹргӹ,dêm
8,Wange::N,шӹргӹ,hinarik
9,Gesicht::N,лицӓ,rû
10,Stirn::N,лепкӓ,enî
11,Haar::N,ӱп,por
12,Schnurrbart::N,öрш,simbêl
13,Bart::N,пандаш,rih
14,Kinn::N,онгылаш,zenî
15,Kiefer[Anatomie]::N,пӱ арата,arguşk
16,Kehle::N,логер,qirik
17,Hals::N,шӱ,stû
18,Hals::N,шӱ,qirik
19,Genick::N,ланга,stû
20,Kopf::N,вуй,serî
21,Rücken::N,туп,pişt
22,Bauch::N,мӹшкӹр,ûr
23,Bauch::N,мӹшкӹр,zik
24,Nabel::N,кӹлӹмдӹ,navik
25,Busen::N,цӹзӹ,sîng
26,Brust::N,мел,sîng
27,Schulter::N,ӹнгӹжӓ,mil
28,Arm::N,кид,çepil
29,Ellenbogen::N,кӹнервуй,enîşk
30,Hand::N,лапа,dest
31,Handfläche::N,кид лапа,kefadest
32,Finger::N,парня,tilî
33,Fingernagel::N,кӹч,neynuk
34,Nagel[Anatomie]::N,кӹч,bizmar
35,Zeh::N,парня,tilî linga
36,Fuß::N,ял лапа,ling
37,Ferse::N,ялгавал,pahnî
38,Ferse::N,ял кавал,pahnî
39,Knie::N,пылвуй,kabok
40,Oberschenkel::N,ӓрдӹ,rahn
41,Bein::N,ял,çip
42,Körper::N,монгыр,laş
43,Körper::N,монгыр,gowde
44,Haut::N,кавашты,çerm
45,Blut::N,вӹр,xwîn
46,Ader::N,вӹршӓр,reh
47,Sehne::N,кукшышӱн,reh
48,Knochen::N,лу,hestî
49,Gehirn::N,вим,mêjî
50,Herz::N,шӱм,dil
51,Magen::N,шӱм,navêş
52,Leber::N,мокш,kezeb
53,Atem::N,шӱлӹш,hilm
54,Hunger::N,шужымаш,birçîtî
55,Träne::N,сӹнзӓвӹд,hêstir
56,Geschmack::N,тот,tam
57,Geruch::N,пыш,bêhn
58,Schlaf::N,ом,xew
59,Traum::N,ом,xewn
60,Himmel::N,пӹлгом,ezman
61,Sonne::N,кечӹ,roj
62,Mond::N,тӹлзӹ,heyv
63,Stern::N,шӹдӹр,stêrk
64,Luft::N,юж,ba
65,Luft::N,воздух,ba
66,Wind::N,мардеж,ba
67,Welle::N,ко,şewl
68,Welle::N,коэ,şewl
69,Wasser::N,вӹд,av
70,Stein::N,кӱ,kevir
71,Boden::N,рок,herd
72,Erde::N,свет,ax
73,Staub::N,пырак,toz
74,Rauch::N,шӹкш,dû
75,Funke::N,ип,çirûşk
76,Funke::N,тылип,çirûşk
77,Feuer::N,тыл,agir
78,Licht::N,соты,ronahî
79,Licht::N,валгыды,ronahî
80,Schatten::N,ӹмӹл,sî
81,Wetter::N,игечӹ,hewa
82,Nebel::N,тӹтӹрӓ,mij
83,Wolke::N,пӹл,ewr
84,Regen::N,юр,baran
85,Schnee::N,лым,berf
86,Eis::N,и,qeşa
87,Frost::N,ӱштӹ,xûsik
88,Kälte::N,ӱштӹ,serma
89,Hitze::N,шокшы,germayî
90,Raureif::N,пöрш,şext
91,Regenbogen::N,шанавӹл,heftreng
92,Donner::N,хӹдӹртӹш,gire-gir
93,Strömung::N,йогы,şewl
94,Tropfen::N,капльы,dilop
95,Tropfen::N,капльык,dilop
96,Schaum::N,шонг,kef
97,Schmutz::N,лявӹрӓ,gemar
98,See::N,йӓр,gol
