,Concept_ID,bg,cy
0,Auge::N,око,llygad
1,Ohr::N,ухо,clust
2,Nase::N,нос,trwyn
3,Mund::N,уста,ceg
4,Zahn::N,зъб,dant
5,Zunge::N,език,tafod
6,Lippe::N,устна,gwefus
7,Wange::N,буза,boch
8,Gesicht::N,лице,wyneb
9,Gesicht::N,образ,wyneb
10,Stirn::N,чело,talcen
11,Haar::N,коса,blew
12,Haar::N,косъм,blew
13,Schnurrbart::N,мустаци,mwstas
14,Bart::N,брада,barf
15,Kinn::N,брада,gên
16,Kinn::N,брадичка,gên
17,Kiefer[Anatomie]::N,челюст,gên
18,Kehle::N,гърло,gwddf
19,Hals::N,врат,gwddf
20,Genick::N,тил,gwar
21,Genick::N,тил,gwegil
22,Kopf::N,глава,pen
23,Rücken::N,гръб,cefn
24,Bauch::N,корем,bol
25,Nabel::N,пъп,bogail
26,Busen::N,бозка,bron
27,Brust::N,гръд,brest
28,Schulter::N,рамо,ysgwydd
29,Schulter::N,плещи,ysgwydd
30,Arm::N,ръка,braich
31,Ellenbogen::N,лакът,penelin
32,Hand::N,ръка,llaw
33,Hand::N,китка,llaw
34,Handfläche::N,длан,palf
35,Finger::N,пръст,bys
36,Fingernagel::N,нокът,ewin
37,Nagel[Anatomie]::N,нокът,ewin
38,Zeh::N,пръст на крак,bys troed
39,Fuß::N,крак,troed
40,Fuß::N,нога,troed
41,Ferse::N,пета,sawdl
42,Knie::N,коляно,glin
43,Oberschenkel::N,бедро,clun
44,Bein::N,крак,coes
45,Bein::N,нога,coes
46,Körper::N,тяло,corff
47,Haut::N,кожа,croen
48,Blut::N,кръв,gwaed
49,Ader::N,вена,gwythïen
50,Ader::N,артерия,gwythïen
51,Sehne::N,жила,gewyn
52,Sehne::N,сухожилие,gewyn
53,Knochen::N,кост,asgwrn
54,Gehirn::N,мозък,ymennydd
55,Herz::N,сърце,calon
56,Magen::N,стомах,cylla
57,Magen::N,стомах,stumog
58,Leber::N,черен дроб,iau
59,Atem::N,дишане,anadl
60,Hunger::N,глад,newyn
61,Träne::N,сълза,deigryn
62,Geschmack::N,вкус,cyflas
63,Geruch::N,миризма,aroglau
64,Schlaf::N,сън,cwsg
65,Traum::N,сън,breuddwyd
66,Himmel::N,небе,awyr
67,Sonne::N,слънце,haul
68,Mond::N,луна,lleuad
69,Mond::N,месец,lleuad
70,Stern::N,звезда,seren
71,Luft::N,въздух,awyr
72,Wind::N,вятър,gwynt
73,Welle::N,вълна,ton
74,Wasser::N,вода,dŵr
75,Stein::N,камък,carreg
76,Boden::N,земя,llawr
77,Boden::N,почва,llawr
78,Erde::N,земя,pridd
79,Erde::N,почва,pridd
80,Staub::N,прах,llwch
81,Rauch::N,дим,mwg
82,Rauch::N,пушек,mwg
83,Funke::N,искра,gwreichioni
84,Feuer::N,огън,tân
85,Licht::N,светлина,golau
86,Schatten::N,сянка,cysgod
87,Wetter::N,време,tywydd
88,Nebel::N,мъгла,niwl
89,Wolke::N,облак,cwmwl
90,Regen::N,дъжд,glaw
91,Schnee::N,сняг,ôd
92,Schnee::N,сняг,eira
93,Eis::N,лед,iâ
94,Frost::N,мраз,rhew
95,Kälte::N,студ,oerni
96,Kälte::N,студ,annwyd
97,Hitze::N,жега,gwres
98,Hitze::N,горещина,gwres
99,Raureif::N,скреж,barrug
100,Raureif::N,слана,barrug
101,Regenbogen::N,дъга,enfys
102,Donner::N,гръм,tyrfau
103,Strömung::N,течение,cerrynt
104,Tropfen::N,капка,dafn
105,Tropfen::N,капка,diferyn
106,Schaum::N,пяна,ewyn
107,Schmutz::N,кал,baw
108,Schmutz::N,кал,budreddi
109,Schmutz::N,мръсотия,baw
110,Schmutz::N,мръсотия,budreddi
111,See::N,езеро,llyn
112,Sumpf::N,блато,cors
113,Moor::N,мочурище,rhos
114,Wiese::N,ливада,dôl
115,Wald::N,гора,coedwig
116,Hügel::N,рид,bryn
117,Hügel::N,хълм,bryn
118,Anhöhe::N,могила,bryn
119,Anhöhe::N,възвишение,bryn
120,Berg::N,планина,mynydd
