,Concept_ID,mdf,ml
0,Auge::N,сельме,കണ്ണ്
1,Ohr::N,пиле,ചെവി
2,Nase::N,шалхка,മൂക്ക്
3,Mund::N,курга,വായ
4,Zahn::N,пей,പല്ല്
5,Zunge::N,кяль,നാക്ക്
6,Lippe::N,търва́,ചുണ്ട്
7,Wange::N,щёка,കവിൾത്തടം
8,Gesicht::N,шама,മുഖം
9,Stirn::N,коня,നെറ്റി
10,Haar::N,шя́ярь,തലമുടി
11,Schnurrbart::N,уса́,മീശ
12,Bart::N,сакал,താടിരോമം
13,Kinn::N,ула,താടി
14,Kiefer[Anatomie]::N,саласка,താടിയെല്ല്
15,Kehle::N,кълдома,കണ്ഠനാളം
16,Kehle::N,кърга́парь,കണ്ഠനാളം
17,Hals::N,сялдаз,കഴുത്ത്
18,Genick::N,шовонь,പിടലി
19,Kopf::N,пря,തല
20,Rücken::N,копорь,മുതുക്
21,Bauch::N,пеке,നയറ്
22,Nabel::N,по́кон,നാഭി
23,Busen::N,потя,സ്തനം
24,Brust::N,мяште,സ്തനം
25,Schulter::N,лафту,തോൾ
26,Arm::N,кядь,കൈ
27,Ellenbogen::N,кенерьба́карь,കൈമുട്ട്
28,Hand::N,кядь,കൈ
29,Handfläche::N,кядьлапш,ഉള്ളം കൈ
30,Finger::N,сур,വിരൽ
31,Fingernagel::N,кенже,നഖം
32,Nagel[Anatomie]::N,кенже,നഖം
33,Zeh::N,пильгосу́р,കാൽവിരൽ
34,Fuß::N,пильге,കാൽപ്പാദം
35,Fuß::N,пильгелапа,കാൽപ്പാദം
36,Ferse::N,кочкяря,ഉപ്പൂറ്റി
37,Knie::N,эль,കാൽമുട്ട്
38,Knie::N,пълма́нжа,കാൽമുട്ട്
39,Oberschenkel::N,пильгепукша,തുട
40,Bein::N,пильге,കാൽ
41,Körper::N,ро́нга,ശരീരം
42,Körper::N,по́нда,ശരീരം
43,Haut::N,киське,ചർമ്മം
44,Blut::N,вер,രക്തം
45,Ader::N,сан,ഞരമ്പ്
46,Ader::N,верза́н,ഞരമ്പ്
47,Sehne::N,коське сан,സ്നായു
48,Knochen::N,пакарь,അസ്ഥി
49,Gehirn::N,уй,തലച്ചോറ്
50,Herz::N,седи,ഹൃദയം
51,Magen::N,коткърдазь,വയർ
52,Leber::N,макса,കരൾ
53,Atem::N,лекома,ശ്വാസം
54,Atem::N,ваймонь тарксема,ശ്വാസം
55,Hunger::N,вачеши,വിശപ്പ്
56,Träne::N,сельмове́дь,കണ്ണീർ
57,Geschmack::N,таньф,രുചി
58,Geruch::N,шине,ഗന്ധം
59,Schlaf::N,удома́,ഉറകും
60,Traum::N,он,സ്വപ്നം
61,Himmel::N,менель,ആകാശം
62,Sonne::N,ши,സൂര്യൻ
63,Mond::N,ков,ചന്ദ്രൻ
64,Stern::N,тяште,നക്ഷത്രം
65,Luft::N,кожф,കാറ്റ്
66,Wind::N,варма,കാറ്റ്
67,Welle::N,тавла,തിരമാല
68,Wasser::N,ведь,വെള്ളം
69,Stein::N,кев,ശില
70,Stein::N,кев,കല്ല്
71,Boden::N,мода,തറ
72,Boden::N,мода,നിലം
73,Boden::N,потмакс,തറ
74,Boden::N,потмакс,നിലം
75,Erde::N,мода,മണ്ണ്
76,Erde::N,мастор,മണ്ണ്
77,Staub::N,пуль,പൊടി
78,Rauch::N,качам,പുക
79,Funke::N,ця́тка,തീപ്പൊരി
80,Feuer::N,тол,തീ
