,Concept_ID,se,no
0,Auge::N,tjelmie,øye
1,Auge::N,tjalmme,øye
2,Auge::N,čalbmi,øye
3,Auge::N,čalme,øye
4,Auge::N,čâ´lmm,øye
5,Auge::N,ча̄лльм,øye
6,Ohr::N,bieljie,øre
7,Ohr::N,biellje,øre
8,Ohr::N,beallji,øre
9,Ohr::N,pelji,øre
10,Ohr::N,pe´llj,øre
11,Ohr::N,пе̄лльй,øre
12,Nase::N,njuenie,nese
13,Nase::N,njunnje,nese
14,Nase::N,njunni,nese
15,Nase::N,njuṇe,nese
16,Nase::N,njuu´nn,nese
17,Nase::N,нюннҍ,nese
18,Mund::N,njaelmie,munn
19,Mund::N,njálmme,munn
20,Mund::N,njálbmi,munn
21,Mund::N,njälmi,munn
22,Mund::N,njä´lmm,munn
23,Mund::N,ня̄лльм,munn
24,Zahn::N,baenie,tann
25,Zahn::N,bádne,tann
26,Zahn::N,bátni,tann
27,Zahn::N,pääṇi,tann
28,Zahn::N,pää´nn,tann
29,Zahn::N,па̄ннҍ,tann
30,Zunge::N,njoektjeme,tunge
31,Zunge::N,njuovtjav,tunge
32,Zunge::N,njuovčča,tunge
33,Zunge::N,njuovčâ,tunge
34,Zunge::N,njuhččâm,tunge
35,Zunge::N,нюхчем,tunge
36,Lippe::N,bangseme,leppe
37,Lippe::N,njálmmerabdda,leppe
38,Lippe::N,bavssa,leppe
39,Lippe::N,poovsâ,leppe
40,Lippe::N,põõus,leppe
41,Lippe::N,пэ̄кс,leppe
42,Wange::N,skiehrie,kinn
43,Wange::N,nierra,kinn
44,Wange::N,muohtu,kinn
45,Wange::N,nieṛâ,kinn
46,Wange::N,njiõrr,kinn
47,Wange::N,нӣрр,kinn
48,Gesicht::N,ååredæjja,fjes
49,Gesicht::N,ååredæjja,ansikt
50,Gesicht::N,muohto,fjes
51,Gesicht::N,muohto,ansikt
52,Gesicht::N,muođut,fjes
53,Gesicht::N,muođut,ansikt
54,Gesicht::N,ámadadju,fjes
55,Gesicht::N,ámadadju,ansikt
56,Gesicht::N,muáđuh,fjes
57,Gesicht::N,muáđuh,ansikt
58,Gesicht::N,muâđ,fjes
59,Gesicht::N,muâđ,ansikt
60,Gesicht::N,ка̄ссв,fjes
61,Gesicht::N,ка̄ссв,ansikt
62,Stirn::N,gaalloe,panne
63,Stirn::N,gállo,panne
64,Stirn::N,gállu,panne
65,Stirn::N,kállu,panne
66,Stirn::N,käll,panne
67,Stirn::N,вуэххьц,panne
68,Haar::N,voepte,hår
69,Haar::N,vuoppta,hår
70,Haar::N,vuokta,hår
71,Haar::N,vuop'tâ,hår
72,Haar::N,vuõpt,hår
73,Haar::N,вӯппт,hår
74,Schnurrbart::N,bijjie-skaavtjoe,bart
75,Schnurrbart::N,njunjevuolskávttjá,bart
76,Schnurrbart::N,seamu,bart
77,Schnurrbart::N,siämu,bart
78,Schnurrbart::N,ää´bben,bart
79,Schnurrbart::N,о̄а̄бпан,bart
80,Bart::N,skaavtja,skjegg
81,Bart::N,skaavtjoe,skjegg
82,Bart::N,skávttjá,skjegg
83,Bart::N,seamu,skjegg
84,Bart::N,siämu,skjegg
85,Bart::N,seäm,skjegg
86,Bart::N,ся̄м,skjegg
87,Kinn::N,gaejpie,hake
88,Kinn::N,gájbbe,hake
89,Kinn::N,gáibi,hake
90,Kinn::N,käibi,hake
91,Kinn::N,käi´bb,hake
92,Kinn::N,ка̄ййп,hake
93,Kiefer[Anatomie]::N,gaejpie,kjeve
94,Kiefer[Anatomie]::N,oalol,kjeve
95,Kiefer[Anatomie]::N,oaloldákte,kjeve
96,Kiefer[Anatomie]::N,gáibi,kjeve
97,Kiefer[Anatomie]::N,uá'lultähti,kjeve
98,Kiefer[Anatomie]::N,vuâl'lõš,kjeve
99,Kiefer[Anatomie]::N,вуаллнешш,kjeve
100,Kehle::N,gealoe,strupe
101,Kehle::N,tjåttå,strupe
102,Kehle::N,njiello,strupe
103,Kehle::N,čotta,strupe
104,Kehle::N,čuudâ,strupe
105,Kehle::N,čoodd,strupe
106,Kehle::N,чонт,strupe
107,Kehle::N,кэ̄ҏс,strupe
108,Hals::N,tjeapohke,hals
109,Hals::N,tjiebet,hals
110,Hals::N,čeabet,hals
111,Hals::N,čiäppát,hals
112,Hals::N,čeäppat,hals
113,Hals::N,ча̄пэх,hals
114,Genick::N,tjovrese,nakke
115,Genick::N,nisske,nakke
116,Genick::N,niehkki,nakke
117,Genick::N,niski,nakke
118,Genick::N,niek'ki,nakke
119,Genick::N,nji´šǩǩmaadd,nakke
120,Genick::N,нышшькмоант,nakke
121,Kopf::N,åejjie,hode
122,Kopf::N,oajvve,hode
123,Kopf::N,oaivi,hode
124,Kopf::N,uái'vi,hode
125,Kopf::N,vuei´vv,hode
126,Kopf::N,вуэййв,hode
127,Rücken::N,rudtje,rygg
128,Rücken::N,hárddo,rygg
129,Rücken::N,tjavelk,rygg
130,Rücken::N,sealgi,rygg
131,Rücken::N,selgi,rygg
132,Rücken::N,čielgi,rygg
133,Rücken::N,seä´lǧǧ,rygg
134,Rücken::N,се̄лльк,rygg
135,Bauch::N,tjåejjie,buk
136,Bauch::N,tjåejjie,mage
137,Bauch::N,tjoajvve,buk
138,Bauch::N,tjoajvve,mage
139,Bauch::N,čoavji,buk
140,Bauch::N,čoavji,mage
141,Bauch::N,čuáv'ji,buk
142,Bauch::N,čuáv'ji,mage
143,Bauch::N,čåu´jj,buk
144,Bauch::N,čåu´jj,mage
145,Bauch::N,чо̄ввьй,buk
146,Bauch::N,чо̄ввьй,mage
147,Nabel::N,naepie,navle
148,Nabel::N,náhpe,navle
149,Nabel::N,náhpi,navle
150,Nabel::N,nääpi,navle
151,Nabel::N,nää´pp,navle
152,Nabel::N,на̄бпь,navle
153,Busen::N,boenge,barm
154,Busen::N,bållå,barm
155,Busen::N,čižži,barm
156,Busen::N,njamma,barm
157,Busen::N,njižže,barm
158,Busen::N,nje´ǯǯ,barm
159,Busen::N,раннҍт,barm
160,Brust::N,mïelke,bryst
161,Brust::N,radde,bryst
162,Brust::N,mielgga,bryst
163,Brust::N,raddi,bryst
164,Brust::N,radde,bryst
165,Brust::N,râ´dd,bryst
166,Brust::N,раннҍт,bryst
167,Schulter::N,åelkie,skulder
168,Schulter::N,oalgge,skulder
169,Schulter::N,hárdu,skulder
170,Schulter::N,ärdee,skulder
171,Schulter::N,uál'gi,skulder
172,Schulter::N,a´rddi,skulder
173,Schulter::N,vuä´lǧǧ,skulder
174,Schulter::N,вуэллык,skulder
175,Arm::N,gïete,arm
176,Arm::N,giehta,arm
177,Arm::N,giehta,arm
178,Arm::N,kietâ,arm
179,Arm::N,kie'tâkaaṿâ,arm
180,Arm::N,ǩiõtt,arm
181,Arm::N,кӣдт,arm
182,Ellenbogen::N,gernjere,albue
183,Ellenbogen::N,garŋŋel,albue
184,Ellenbogen::N,gargŋil,albue
