,Concept_ID,lt,nl
0,Auge::N,akis,oog
1,Ohr::N,ausis,oor
2,Nase::N,nosis,neus
3,Mund::N,burna,mond
4,Zahn::N,dantis,tand
5,Zunge::N,liežuvis,tong
6,Lippe::N,lūpa,lip
7,Wange::N,žandas,wang
8,Wange::N,skruostas,wang
9,Gesicht::N,veidas,gelaat
10,Gesicht::N,veidas,gezicht
11,Stirn::N,kakta,voorhoofd
12,Haar::N,plaukai,haar
13,Schnurrbart::N,ūsai,snor
14,Bart::N,barzda,baard
15,Kinn::N,smakras,kin
16,Kiefer[Anatomie]::N,žandikaulis,kaak
17,Kehle::N,gerklė,keel
18,Kehle::N,gerklė,strot
19,Hals::N,kaklas,hals
20,Genick::N,sprandas,nek
21,Kopf::N,galva,hoofd
22,Rücken::N,nugara,rug
23,Bauch::N,pilvas,buik
24,Nabel::N,bamba,navel
25,Busen::N,krūtinė,boezem
26,Brust::N,krūtis,borst
27,Schulter::N,petys,schouder
28,Arm::N,ranka,arm
29,Ellenbogen::N,alkūnė,elleboog
30,Hand::N,ranka,hand
31,Hand::N,plaštaka,hand
32,Handfläche::N,delnas,handpalm
33,Handfläche::N,plaštaka,handpalm
34,Finger::N,pirštas,vinger
35,Fingernagel::N,nagas,nagel
36,Nagel[Anatomie]::N,nagas,nagel
37,Zeh::N,pirštas,teen
38,Fuß::N,pėda,voet
39,Ferse::N,kulnas,hak
40,Ferse::N,kulnas,hiel
41,Knie::N,kelis,knie
42,Oberschenkel::N,kulšis,dij
43,Oberschenkel::N,šlaunis,dij
44,Bein::N,koja,been
45,Körper::N,kūnas,lichaam
46,Haut::N,oda,huid
47,Blut::N,kraujas,bloed
48,Ader::N,kraujagyslė,ader
49,Sehne::N,sausgyslė,pees
50,Knochen::N,kaulas,bot
51,Knochen::N,kaulas,been
52,Knochen::N,kaulas,knook
53,Gehirn::N,smegenys,hersenen
54,Herz::N,širdis,hart
55,Magen::N,skrandis,maag
56,Leber::N,kepenys,lever
57,Atem::N,kvapas,adem
58,Hunger::N,badas,honger
59,Hunger::N,alkis,honger
60,Träne::N,ašara,traan
61,Geschmack::N,skonis,smaak
62,Geruch::N,kvapas,geur
63,Schlaf::N,miegas,slaap
64,Traum::N,sapnas,droom
65,Himmel::N,dangus,hemel
66,Sonne::N,saulė,zon
67,Mond::N,mėnulis,maan
68,Stern::N,žvaigždė,ster
69,Luft::N,oras,lucht
70,Wind::N,vėjas,wind
71,Welle::N,banga,golf
72,Welle::N,vilnis,golf
73,Wasser::N,vanduo,water
74,Stein::N,akmuo,steen
75,Boden::N,žemė,grond
76,Boden::N,dugnas,grond
77,Erde::N,žemė,aarde
78,Staub::N,dulkės,stof
79,Rauch::N,dūmai,rook
80,Funke::N,kibirkštis,vonk
81,Feuer::N,ugnis,vuur
82,Licht::N,šviesa,licht
83,Schatten::N,paūksmė,schaduw
84,Wetter::N,oras,weer
85,Nebel::N,migla,mist
86,Nebel::N,migla,nevel
87,Nebel::N,rūkas,mist
88,Nebel::N,rūkas,nevel
89,Wolke::N,debesis,wolk
90,Regen::N,lietus,regen
91,Schnee::N,sniegas,sneeuw
92,Eis::N,ledas,ijs
93,Frost::N,šalna,vorst
94,Kälte::N,šaltis,kou
95,Kälte::N,šaltis,koude
96,Hitze::N,karštis,hitte
97,Raureif::N,šerkšnas,rijp
98,Regenbogen::N,vaivorykštė,regenboog
99,Donner::N,perkūnas,donder
100,Donner::N,griaustinis,donder
101,Strömung::N,tėkmė,stroming
102,Tropfen::N,lašas,druppel
103,Schaum::N,putos,schuim
104,Schmutz::N,purvas,vuil
105,See::N,ežeras,meer
106,Sumpf::N,klampynė,moeras
107,Sumpf::N,liūnas,moeras
108,Moor::N,pelkė,veen
109,Wiese::N,pieva,wei
110,Wiese::N,pieva,weide
111,Wald::N,miškas,bos
112,Hügel::N,kalva,heuvel
113,Anhöhe::N,kauburys,hoogte
114,Berg::N,kalnas,berg
115,Gipfel::N,viršūnė,top
116,Höhle::N,ola,hol
117,Abhang::N,šlaitas,helling
118,Abhang::N,nuokalnė,helling
119,Quelle::N,versmė,bron
120,Quelle::N,šaltinis,bron
121,Bach::N,upelis,beek
122,Fluss::N,upė,stroom
123,Ufer::N,krantas,wal
124,Ufer::N,krantas,oever
