,Concept_ID,ca,uk
0,Auge::N,ull,око
1,Ohr::N,orella,вухо
2,Nase::N,nas,ніс
3,Mund::N,boca,рот
4,Zahn::N,dent,зуб
5,Zunge::N,llēngua,язик
6,Lippe::N,llavi,губа
7,Wange::N,galta,щока
8,Gesicht::N,cara,обличчя
9,Stirn::N,front,лоб
10,Haar::N,cabēll,волосся
11,Schnurrbart::N,bigoti,вуса
12,Bart::N,barba,борода
13,Kinn::N,mentó,підборіддя
14,Kinn::N,barbeta,підборіддя
15,Kiefer[Anatomie]::N,queix,щелепа
16,Kiefer[Anatomie]::N,mandíbula,щелепа
17,Kehle::N,gola,горло
18,Kehle::N,gorja,горло
19,Hals::N,coll,шия
20,Genick::N,nuca,потилиця
21,Kopf::N,cap,голова
22,Rücken::N,esquena,спина
23,Bauch::N,panxa,живіт
24,Nabel::N,llombrígol,пупок
25,Busen::N,pit,груди
26,Busen::N,mama,груди
27,Brust::N,pit,груди
28,Schulter::N,espatlla,плече
29,Arm::N,braç,рука
30,Ellenbogen::N,colze,лікоть
31,Hand::N,mà,рука
32,Handfläche::N,palma,долоня
33,Finger::N,dit,палець
34,Fingernagel::N,ungla,ніготь
35,Nagel[Anatomie]::N,ungla,ніготь
36,Zeh::N,dit del peu,палець на нозі
37,Fuß::N,peu,нога
38,Ferse::N,taló,п’ятка
39,Knie::N,genoll,коліно
40,Oberschenkel::N,cuixa,стегно
41,Bein::N,cama,нога
42,Körper::N,cos,тіло
43,Haut::N,pell,шкіра
44,Blut::N,sang,кров
45,Ader::N,vena,вена
46,Sehne::N,tendó,сухожилля
47,Knochen::N,os,кістка
48,Gehirn::N,cervell,мозок
49,Herz::N,cor,серце
50,Magen::N,estómac,шлунок
51,Leber::N,fetge,печінка
52,Atem::N,alè,дихання
53,Atem::N,hàlit,дихання
54,Hunger::N,fam,голод
55,Hunger::N,gana,голод
56,Träne::N,llàgrima,сльоза
57,Geschmack::N,gust,смак
58,Geschmack::N,sabor,смак
59,Geruch::N,olor,запах
60,Schlaf::N,son,сон
61,Schlaf::N,son,сплячка
62,Traum::N,somni,сон
63,Himmel::N,celm,небо
64,Sonne::N,sol,сонце
65,Mond::N,lluna,місяць
66,Stern::N,estel,зірка
67,Stern::N,estrella,зірка
68,Luft::N,aire,повітря
69,Wind::N,vent,вітер
70,Welle::N,ona,хвиля
71,Wasser::N,āigua,вода
72,Stein::N,pedra,камінь
73,Boden::N,sòl,ґрунт
74,Erde::N,terra,земля
75,Staub::N,pols,пил
76,Rauch::N,fum,дим
77,Funke::N,guspira,іскра
78,Funke::N,centella,іскра
79,Feuer::N,foc,вогонь
80,Licht::N,llum,світло
81,Schatten::N,ombra,тінь
82,Wetter::N,temps,погода
83,Nebel::N,boira,туман
84,Wolke::N,núvol,хмара
85,Regen::N,pluja,дощ
86,Schnee::N,neu,сніг
