,Concept_ID,lv,udm
0,Auge::N,син,син
1,Auge::N,acs,син
2,Ohr::N,пель,пель
3,Ohr::N,auss,пель
4,Nase::N,ныр,ныр
5,Nase::N,deguns,ныр
6,Mund::N,вом,ым
7,Mund::N,mute,ым
8,Zahn::N,пинь,пинь
9,Zahn::N,zobs,пинь
10,Zunge::N,кыв,кыл
11,Zunge::N,mēle,кыл
12,Lippe::N,вом дор,ымдур
13,Lippe::N,lūpa,ымдур
14,Wange::N,бан,бам
15,Wange::N,vaigs,бам
16,Gesicht::N,чужӧм,ымныр
17,Gesicht::N,seja,ымныр
18,Gesicht::N,ģīmis,ымныр
19,Stirn::N,плеш,кымес
20,Stirn::N,кымӧс,кымес
21,Stirn::N,piere,кымес
22,Haar::N,си,йырси
23,Haar::N,юрси,йырси
24,Haar::N,mats,йырси
25,Schnurrbart::N,ус,мыйык
26,Schnurrbart::N,пыртсим,мыйык
27,Schnurrbart::N,ūsas,мыйык
28,Bart::N,тош,туш
29,Bart::N,bārda,туш
30,Kinn::N,тшӧка,ангес
31,Kinn::N,zods,ангес
32,Kinn::N,smakrs,ангес
33,Kiefer[Anatomie]::N,черлы,ан
34,Kiefer[Anatomie]::N,черлы,анлы
35,Kiefer[Anatomie]::N,алака лы,ан
36,Kiefer[Anatomie]::N,алака лы,анлы
37,Kiefer[Anatomie]::N,вомкӧтш лы,ан
38,Kiefer[Anatomie]::N,вомкӧтш лы,анлы
39,Kiefer[Anatomie]::N,žoklis,ан
40,Kiefer[Anatomie]::N,žoklis,анлы
41,Kehle::N,голя,гульым
42,Kehle::N,rīkle,гульым
43,Hals::N,сьылі,чырты
44,Hals::N,kakls,чырты
45,Genick::N,юрбӧр,йырбер
46,Genick::N,балябӧж,йырбер
47,Genick::N,sprands,йырбер
48,Kopf::N,юр,йыр
49,Kopf::N,galva,йыр
50,Rücken::N,мыш,мыш
51,Rücken::N,mugura,мыш
52,Bauch::N,рушку,кӧт
53,Bauch::N,vēders,кӧт
54,Nabel::N,гӧг,гогы
55,Nabel::N,naba,гогы
56,Busen::N,морӧс,ноны
57,Busen::N,krūts,ноны
58,Brust::N,морӧс,мӧля
59,Brust::N,krūts,мӧля
60,Schulter::N,пельпом,пельпум
61,Schulter::N,plecs,пельпум
62,Arm::N,ки,суй
63,Arm::N,roka,суй
64,Arm::N,delms,суй
65,Ellenbogen::N,гырддза,гырпум
66,Ellenbogen::N,elkonis,гырпум
67,Hand::N,ки,ки
68,Hand::N,roka,ки
69,Hand::N,plauksta,ки
70,Handfläche::N,ки пыдӧс,ки пыдэс
71,Handfläche::N,ки пыдӧс,кырым пыдэс
72,Handfläche::N,delna,ки пыдэс
73,Handfläche::N,delna,кырым пыдэс
74,Handfläche::N,plauksta,ки пыдэс
75,Handfläche::N,plauksta,кырым пыдэс
76,Finger::N,чунь,чиньы
77,Finger::N,pirksts,чиньы
78,Fingernagel::N,гыж,гижы
79,Fingernagel::N,гыж,гиждӥнь
80,Fingernagel::N,nags,гижы
81,Fingernagel::N,nags,гиждӥнь
82,Nagel[Anatomie]::N,гыж,гижы
83,Nagel[Anatomie]::N,nags,гижы
84,Zeh::N,кок чунь,пыдчиньы
85,Zeh::N,pirksts,пыдчиньы
