,Concept_ID,ga,nl
0,Auge::N,súil,oog
1,Ohr::N,cluas,oor
2,Nase::N,soc,neus
3,Mund::N,béal,mond
4,Zahn::N,fiacail,tand
5,Zunge::N,teanga,tong
6,Lippe::N,liopa,lip
7,Wange::N,grua,wang
8,Wange::N,leiceann,wang
9,Gesicht::N,éadan,gelaat
10,Gesicht::N,éadan,gezicht
11,Gesicht::N,aghaidh,gelaat
12,Gesicht::N,aghaidh,gezicht
13,Stirn::N,baithis,voorhoofd
14,Stirn::N,clár éadain,voorhoofd
15,Haar::N,gruaig,haar
16,Schnurrbart::N,croiméal,snor
17,Bart::N,féasóg,baard
18,Kinn::N,smig,kin
19,Kiefer[Anatomie]::N,giall,kaak
20,Kehle::N,scornach,keel
21,Kehle::N,scornach,strot
22,Hals::N,muinéal,hals
23,Genick::N,baic,nek
24,Kopf::N,ceann,hoofd
25,Rücken::N,droim,rug
26,Bauch::N,bolg,buik
27,Nabel::N,imleacán,navel
28,Busen::N,cíoch,boezem
29,Brust::N,brollach,borst
30,Schulter::N,gualainn,schouder
31,Arm::N,lámh,arm
32,Ellenbogen::N,uillinn,elleboog
33,Hand::N,lámh,hand
34,Handfläche::N,bos,handpalm
35,Finger::N,méar,vinger
36,Fingernagel::N,ionga,nagel
37,Nagel[Anatomie]::N,ionga,nagel
38,Zeh::N,ladhar,teen
39,Fuß::N,cos,voet
40,Fuß::N,troigh,voet
41,Ferse::N,sáil,hak
42,Ferse::N,sáil,hiel
43,Knie::N,glúin,knie
44,Oberschenkel::N,ceathrú,dij
45,Bein::N,cos,been
46,Körper::N,corp,lichaam
47,Körper::N,colainn,lichaam
48,Haut::N,cneas,huid
49,Haut::N,craiceann,huid
50,Blut::N,fuil,bloed
51,Sehne::N,teannán,pees
52,Sehne::N,féitheog,pees
53,Knochen::N,cnámh,bot
54,Knochen::N,cnámh,been
55,Knochen::N,cnámh,knook
56,Gehirn::N,inchinn,hersenen
57,Herz::N,croí,hart
58,Magen::N,bolg,maag
59,Magen::N,goile,maag
60,Leber::N,ae,lever
61,Atem::N,anáil,adem
62,Hunger::N,ocras,honger
63,Träne::N,deoir,traan
64,Geschmack::N,blas,smaak
65,Geruch::N,boladh,geur
66,Schlaf::N,suan,slaap
67,Schlaf::N,codladh,slaap
68,Traum::N,taibhreamh,droom
69,Himmel::N,spéir,hemel
70,Sonne::N,grian,zon
71,Mond::N,ré,maan
72,Mond::N,gealach,maan
73,Stern::N,rinn,ster
74,Stern::N,réalta,ster
75,Luft::N,aer,lucht
76,Wind::N,gaoth,wind
77,Welle::N,tonn,golf
78,Wasser::N,uisce,water
79,Stein::N,cloch,steen
80,Boden::N,talamh,grond
81,Erde::N,cré,aarde
82,Erde::N,ithir,aarde
83,Staub::N,dusta,stof
84,Staub::N,deannach,stof
85,Rauch::N,toit,rook
86,Rauch::N,deatach,rook
87,Funke::N,drithle,vonk
88,Feuer::N,tine,vuur
89,Licht::N,solas,licht
90,Schatten::N,scáth,schaduw
91,Wetter::N,aimsir,weer
92,Nebel::N,ceo,mist
93,Nebel::N,ceo,nevel
94,Wolke::N,néal,wolk
95,Wolke::N,scamall,wolk
96,Regen::N,báisteach,regen
97,Regen::N,fearthainn,regen
98,Schnee::N,sneachta,sneeuw
99,Eis::N,oighear,ijs
100,Frost::N,sioc,vorst
101,Kälte::N,fuacht,kou
102,Kälte::N,fuacht,koude
103,Hitze::N,teas,hitte
104,Hitze::N,teocht,hitte
105,Raureif::N,sioc bán,rijp
106,Regenbogen::N,stua ceatha,regenboog
107,Regenbogen::N,bogha báistí,regenboog
108,Donner::N,toirneach,donder
109,Strömung::N,sruth,stroming
110,Tropfen::N,deoir,druppel
111,Schaum::N,cúr,schuim
112,Schmutz::N,salachar,vuil
113,See::N,loch,meer
114,Sumpf::N,portach,moeras
115,Moor::N,caorán,veen
116,Moor::N,móinteán,veen
117,Wiese::N,cluain,wei
118,Wiese::N,cluain,weide
119,Wiese::N,móinéar,wei
120,Wiese::N,móinéar,weide
121,Wald::N,coill,bos
122,Wald::N,foraois,bos
123,Hügel::N,ard,heuvel
124,Anhöhe::N,ard,hoogte
125,Anhöhe::N,ardán,hoogte
126,Berg::N,sliabh,berg
127,Gipfel::N,barr,top
128,Gipfel::N,mullach,top
129,Höhle::N,uaimh,hol
130,Höhle::N,pluais,hol
131,Abhang::N,fána,helling
132,Quelle::N,foinse,bron
133,Bach::N,sruthán,beek
134,Fluss::N,abhainn,stroom
135,Ufer::N,bruach,wal
136,Ufer::N,bruach,oever
137,Küste::N,cósta,kust
138,Küste::N,cladach,kust
139,Festland::N,míntír,vasteland
