,Concept_ID,mn,la
0,Auge::N,нүд,oculus
1,Ohr::N,чих,auris
2,Nase::N,хамар,nasus
3,Mund::N,ам,os
4,Zahn::N,шүд,dens
5,Zunge::N,хэл,lingua
6,Lippe::N,уруул,labrum
7,Wange::N,хацар,gena
8,Gesicht::N,царай,vultus
9,Gesicht::N,нүүр,vultus
10,Stirn::N,дух,frons
11,Haar::N,үс,capillus
12,Schnurrbart::N,дээд сахал,barba labri superioris
13,Schnurrbart::N,живэр сахал,barba labri superioris
14,Bart::N,сахал,barba
15,Kinn::N,эрүү,mentum
16,Kiefer[Anatomie]::N,эрүү,mala
17,Kehle::N,хоолой,iugulums
18,Hals::N,хүзүү,collum
19,Genick::N,шил,cervices
20,Genick::N,хүзүү,cervices
21,Kopf::N,толгой,caput
22,Rücken::N,ар,tergum
23,Rücken::N,нуруу,tergum
24,Bauch::N,хэвлий,venter
25,Bauch::N,гэдэс,venter
26,Nabel::N,хүйс,umbilicus
27,Busen::N,хөх,sinus
28,Brust::N,цээж,pectus
29,Schulter::N,мөр,umerus
30,Schulter::N,бугалга,umerus
31,Arm::N,гар,bracchium
32,Ellenbogen::N,тохой,cubitum
33,Hand::N,гар,manus
34,Hand::N,алга,manus
35,Handfläche::N,алга,palma
36,Finger::N,хуруу,digitus
37,Fingernagel::N,хурууны хумс,unguiculus
38,Nagel[Anatomie]::N,хумс,unguis
39,Zeh::N,хуруу,digitus
40,Fuß::N,хөл,pes
41,Ferse::N,өсгий,calx
42,Knie::N,өвдөг,genu
43,Oberschenkel::N,гуя,femur
44,Bein::N,хөл,crus
45,Körper::N,бие,corpus
46,Haut::N,арьс,cutis
47,Haut::N,арьс,pellis
48,Blut::N,цус,sanguis
49,Ader::N,судас,vena
50,Sehne::N,бүлх,nervus
51,Sehne::N,шандас,nervus
52,Knochen::N,яс,os
53,Gehirn::N,тархи,cerebrum
54,Herz::N,зүрх,cor
55,Herz::N,зүрх,animus
56,Magen::N,ходоод,stomachus
57,Leber::N,элэг,iecur
58,Atem::N,амьсгаа,spiritus
59,Hunger::N,өлсгөлөн,fames
