,Concept_ID,ce,ru
0,Auge::N,бӏаьрг,глаз
1,Ohr::N,лерг,ухо
2,Nase::N,мара,нос
3,Mund::N,бага,рот
4,Zahn::N,церг,зуб
5,Zunge::N,мотт,язык
6,Lippe::N,балда,губа
7,Wange::N,бесни,щека
8,Gesicht::N,юьхь,лицо
9,Stirn::N,хьаж,лоб
10,Haar::N,мас,волос
11,Haar::N,мас,волосы
12,Schnurrbart::N,мекх,ус
13,Schnurrbart::N,мекх,усы
14,Bart::N,маж,борода
15,Kinn::N,чӏениг,подбородок
16,Kiefer[Anatomie]::N,мочхал,челюсть
17,Kehle::N,къамкъарг,горло
18,Hals::N,ворта,шея
19,Genick::N,кӏесаркӏаг,затылок
20,Kopf::N,корта,голова
21,Rücken::N,букъ,спина
22,Bauch::N,кийра,живот
23,Nabel::N,цӏонга,пупок
24,Busen::N,зударийн накха,женская грудь
25,Brust::N,накха,грудь
26,Schulter::N,белш,плечо
27,Arm::N,пхьарс,рука
28,Ellenbogen::N,пхьаьрсан гола,локоть
29,Hand::N,куьг,кисть
30,Handfläche::N,кераюкъ,ладонь
31,Finger::N,пӏелг,палец
32,Fingernagel::N,мӏара,ноготь
33,Nagel[Anatomie]::N,мӏара,ноготь
34,Zeh::N,кога пӏелг,палец
35,Fuß::N,ког,ступня
36,Ferse::N,кӏажа,пята
37,Ferse::N,кӏажа,пятка
38,Knie::N,гола,колено
39,Oberschenkel::N,варе,бедро
40,Bein::N,ког,нога
41,Körper::N,хӏума,тело
42,Haut::N,чкъор,кожа
43,Blut::N,цӏий,кровь
44,Ader::N,пха,вена
45,Ader::N,пха,сосуд
46,Sehne::N,хьорзам,жила
47,Sehne::N,хьорзам,тетива
48,Sehne::N,хьорзам,сухожилие
49,Knochen::N,даьӏахк,кость
50,Gehirn::N,хье,мозг
51,Herz::N,дог,сердце
52,Magen::N,зорх,желудок
53,Leber::N,доӏах,печень
54,Atem::N,садеӏар,дух
55,Atem::N,садеӏар,дыхание
56,Hunger::N,мацалла,голод
57,Träne::N,бӏаьрхи,слеза
58,Geschmack::N,чам,вкус
59,Geruch::N,хьожа,запах
60,Schlaf::N,наб,сон
61,Traum::N,гӏан,сновидение
62,Himmel::N,стигал,небо
63,Sonne::N,малх,солнце
64,Mond::N,бутт,луна
65,Stern::N,седа,звезда
66,Luft::N,xӏаваъ,воздух
67,Wind::N,мох,ветер
68,Welle::N,тулгӏе,волна
69,Wasser::N,хи,вода
70,Stein::N,тӏулг,камень
71,Boden::N,цӏенкъа,почва
72,Erde::N,латта,земля
73,Staub::N,чан,пыль
74,Rauch::N,кӏур,дым
75,Funke::N,суй,искра
76,Feuer::N,цӏе,огонь
77,Licht::N,серло,свет
78,Schatten::N,ӏиндагӏ,тень
79,Wetter::N,хенан хӏоттам,погода
80,Nebel::N,дохк,туман
81,Wolke::N,марха,облако
82,Regen::N,догӏа,дождь
83,Schnee::N,ло,снег
84,Eis::N,ша,лед
85,Frost::N,шело,мороз
86,Kälte::N,шело,холод
87,Hitze::N,йовхо,жара
88,Raureif::N,йис,иней
89,Regenbogen::N,стелаӏад,радуга
90,Donner::N,ткъес,гром
91,Strömung::N,дӏаэхар,течение
92,Strömung::N,дӏасалелар,течение
93,Tropfen::N,тӏадам,капля
94,Schaum::N,чопа,пена
95,Schmutz::N,хатт,грязь
96,See::N,ӏам,озеро
97,Sumpf::N,уьшал,топь
98,Moor::N,уьшал,болото
99,Wiese::N,бай,луг
100,Wald::N,хьун,лес
101,Hügel::N,гу,холм
102,Hügel::N,шу,холм
103,Hügel::N,барз,холм
104,Anhöhe::N,акъари,возвышенность
105,Berg::N,лам,гора
106,Gipfel::N,бохь,вершина
107,Höhle::N,хьех,пещера
108,Abhang::N,басе,склон
109,Quelle::N,шовда,источник
110,Bach::N,татол,ручей
111,Fluss::N,хи,река
112,Ufer::N,хийист,берег
113,Küste::N,йист,побережье
114,Festland::N,латта,суша
115,Meer::N,xӏорд,море
116,Bucht::N,чож,бухта
117,Insel::N,гӏайре,остров
118,Blume::N,зезаг,цветок
119,Gras::N,буц,трава
120,Wurzel::N,орам,корень
121,Baum::N,дитт,дерево
122,Stamm::N,гӏад,ствол
123,Stamm::N,тайпа,ствол
124,Rinde::N,кевстиг,кора
125,Ast::N,га,сук
126,Zweig::N,га,ветвь
127,Blatt::N,гӏа,лист
128,Birke::N,дакх,береза
129,Kiefer[Baum]::N,бага,сосна
130,Weide[Baum]::N,дак,ива
131,Tanne::N,база,ель
132,Horn::N,маӏа,рог
133,Feder::N,пелаг,перо
134,Fell::N,цӏока,шкура
135,Flügel::N,тӏам,крыло
136,Klaue::N,мӏара,коготь
137,Kralle::N,тlод,лапа
138,Schwanz::N,цӏога,хвост
139,Ei::N,xӏoa,яйцо
140,Nest::N,бен,гнездо
141,Bau::N,lуьрг,нора
142,Tier::N,дийнат,животное
143,Herde::N,жа,стадо
144,Kuh::N,етт,корова
145,Bulle::N,сту,бык
146,Pferd::N,говр,лошадь
147,Schaf::N,жий,овца
148,Schaf::N,уьстагӏ,овца
149,Schwein::N,хьакха,свинья
150,Hund::N,жӏаьла,собака
151,Katze::N,цициг,кошка
152,Bär::N,ча,медведь
153,Eichhörnchen::N,тарсал,белка
154,Elch::N,сай,лось
155,Fuchs::N,цхьогал,лиса
156,Hase::N,пхьагал,заяц
157,Maus::N,дахка,мышь
158,Wolf::N,борз,волк
159,Vogel::N,олхазар,птица
160,Huhn::N,котам,курица
161,Hahn::N,нӏаьна,петух
162,Hahn::N,боргӏал,петух
163,Gans::N,гӏаз,гусь
164,Adler::N,aьрзу,орел
165,Ente::N,бад,утка
166,Eule::N,бухӏа,сова
167,Kranich::N,гӏаргӏули,журавль
168,Krähe::N,къиг,ворона
169,Kuckuck::N,aттйокх,кукушка
170,Schwan::N,гӏургӏаз,лебедь
171,Fisch::N,чӏара,рыба
172,Barsch::N,окунь,окунь
173,Hecht::N,гӏазкхийн чӏара,щука
174,Schlange[Tier]::N,лаьхьа,змея
175,Wurm::N,нӏаьна,червяк
176,Spinne::N,гезг,паук
177,Ameise::N,зингат,муравей
178,Laus::N,меза,вошь
179,Laus::N,гӏениг,вошь
180,Mücke::N,чуьрк,комар
181,Fliege::N,моза,муха
182,Schmetterling::N,полла,бабочка
183,Beere::N,цӏазам,ягода
184,Apfel::N,ӏаж,яблоко
185,Pilz::N,жӏаьлин нускал,гриб
186,Zwiebel::N,xох,луковица
187,Saat::N,чlу,семя
188,Korn::N,буьртиг,зерно
189,Heu::N,йол,сено
190,Schale::N,пардо,шелуха
191,Grube::N,ор,яма
192,Falle::N,кӏело,ловушка
193,Spur::N,лар,след
194,Asche::N,чим,зола
195,Asche::N,чим,пепел
196,Dreck::N,мода,грязь
197,Eisen::N,эчиг,железо
198,Gold::N,деши,золото
199,Silber::N,дети,серебро
200,Kohle::N,кӏора,уголь
201,Glas::N,aнгали,стекло
202,Lehm::N,поппар,глина
203,Sand::N,гӏум,песок
204,Mensch::N,адам,человек
205,Mann::N,майра,мужчина
206,Frau::N,зуда,женщина
207,Kind::N,бер,ребенок
208,Junge::N,жимха,мальчик
209,Mädchen::N,жима йоӏ,девочка
210,Familie::N,доьзал,семья
211,Großvater::N,ненада,дедушка
212,Großmutter::N,денана,бабушка
213,Eltern::N,да-нана,родители
214,Vater::N,да,отец
215,Mutter::N,нана,мать
216,Sohn::N,кӏант,сын
217,Tochter::N,йоӏ,дочь
218,Bruder::N,ваша,брат
219,Schwester::N,йиша,сестра
220,Onkel::N,деваша,дядя
221,Tante::N,дейиша,тетя
222,Ehemann::N,майра,муж
223,Ehefrau::N,зуда,жена
224,Freude::N,самукъа,радость
225,Freude::N,хазахетар,радость
226,Gelächter::N,белам,смех
227,Glück::N,ирс,счастье
228,Kummer::N,бала,горе
229,Wunsch::N,лаам,желание
230,Lust::N,лаам,влечение
231,Geist::N,са,дух
232,Gedanke::N,ойла,мысль
233,Gedächtnis::N,диццадалар,память
234,Verstand::N,хьекъал,ум
235,Sinn::N,маьӏна,смысл
236,Grund::N,бахьана,повод
237,Wahrheit::N,бакъдерг,правда
238,Gespräch::N,къамел,беседа
239,Märchen::N,туьйра,сказка
240,Erzählung::N,дийцар,рассказ
241,Nachricht::N,хаам,сообщение
242,Neuigkeit::N,керланиг,новость
243,Name::N,цӏе,имя
244,Rätsel::N,хӏетал-метал,загадка
245,Rede::N,къамел,речь
246,Sprache::N,мотт,язык
247,Stimme::N,aз,голос
248,Wort::N,дош,слово
249,Zeichen::N,билгало,знак
250,Ruf::N,кхайкхар,зов
251,Lärm::N,гӏовгӏа,шум
252,Laut::N,аз,звук
253,Ton::N,aз,звучание
254,Lied::N,илли,песня
255,Ruhe::N,тийналла,покой
256,Leute::N,нах,люди
257,Volk::N,халкъ,народ
258,Arbeit::N,болх,работа
259,Gast::N,хьаша,гость
260,Geschenk::N,совгӏат,подарок
261,Spiel::N,ловзар,игра
262,Gesellschaft::N,юкъаралла,общество
263,Hilfe::N,гӏо,помощь
264,Freund::N,доттагl,друг
265,Kamerad::N,накъост,приятель
266,Angelegenheit::N,гӏуллакх,дело
267,Anzahl::N,терахь,количество
268,Stück::N,юьхк,кусок
269,Teil::N,дакъа,часть
270,Hälfte::N,ах,половина
271,Kreis::N,го,круг
272,Kreuz::N,жӏара,крест
273,Linie::N,сиз,линия
274,Strich::N,сиз,черта
275,Abstand::N,юкъ,промежуток
276,Gegend::N,мeттиг,местность
277,Platz::N,майда,пространство
278,Ort::N,меттиг,место
279,Seite::N,aгӏo,сторона
280,Mitte::N,юкъ,середина
281,Gegenstand::N,хӏума,предмет
282,Sache::N,хӏума,вещь
283,Rand::N,йист,край
284,Kante::N,йист,ребро
285,Ecke::N,са,угол
286,Spitze::N,ралла,кончик
287,Ende::N,юьхьиг,конец
288,Loch::N,ӏуьрг,дыра
289,Winkel::N,са,угол
290,Muster::N,дагар,узор
291,Muster::N,тӏамар,узор
292,Größe::N,барам,размер
293,Länge::N,йохалла,длина
294,Höhe::N,локхалла,высота
295,Gewicht::N,йозалла,вес
296,Menge::N,дукхалла,количество
297,Haufen::N,сал,куча
298,Haufen::N,оьла,куча
299,Reihe::N,рагӏ,ряд
300,Reihe::N,могӏа,ряд
301,Boot::N,кема,лодка
302,Ruder::N,пийсиг,весло
303,Schlitten::N,салаз,сани
304,Ski::N,когсалаз,лыжа
305,Lagerfeuer::N,цӏе,костер
306,Last::N,дукъ,тяжесть
307,Gang::N,лелар,ход
308,Schritt::N,гӏулч,шаг
309,Norden::N,къилбаседе,север
310,Süden::N,къилбе,юг
311,Westen::N,малхбузе,запад
312,Osten::N,малхбале,восток
313,Holz::N,дечиг,древесина
314,Brett::N,у,доска
315,Platte::N,у,плита
316,Stütze::N,гӏopтоp,подпорка
317,Stange::N,гӏуркх,жердь
318,Stock::N,ӏаса,палка
319,Stab::N,гӏаж,шест
320,Rohr::N,биргӏа,труба
321,Haus::N,цӏа,дом
322,Heim::N,кхерч,дом
323,Ofen::N,кхерч,печь
324,Fußboden::N,цӏенкъа,пол
325,Tisch::N,шун,стол
326,Stuhl::N,гӏант,стул
327,Wiege::N,ага,колыбель
328,Bett::N,маьнга,постель
329,Regal::N,терхи,полка
330,Kiste::N,яьшка,ящик
331,Fenster::N,кор,окно
332,Tür::N,неӏ,дверь
333,Tor::N,ков,ворота
334,Zaun::N,керт,забор
335,Dach::N,тхов,крыша
336,Leiter::N,лами,лестница
337,Besen::N,нуй,метла
338,Spaten::N,бел,лопата
339,Schaufel::N,аьшкал,совок
340,Gabel::N,мӏара,вилка
341,Löffel::N,ӏайг,ложка
342,Messer::N,урс,нож
343,Nagel::N,хьостам,гвоздь
344,Netz::N,бой,сеть
345,Haken::N,мӏара,крюк
346,Schloss::N,чӏега,замок
347,Bild::N,сурт,картина
348,Puppe::N,тайниг,кукла
349,Beutel::N,гали,мешок
350,Bündel::N,кочар,связка
351,Tasche::N,тӏоьрмиг,сумка
352,Eimer::N,чийлик,ведро
353,Deckel::N,негӏар,крышка
354,Geschirr::N,пхьегӏа,посуда
355,Sack::N,гали,мешок
356,Tasse::N,кад,чашка
357,Topf::N,яй,кастрюля
358,Kessel::N,яй,котел
359,Essen::N,юург,еда
360,Nahrung::N,кхача,пища
361,Speise::N,юург,блюдо
362,Speise::N,юург,кушанье
363,Fleisch::N,жижиг,мясо
364,Getreide::N,буьртиг,хлеб
365,Brei::N,xудар,каша
366,Brot::N,бепиг,хлеб
367,Brot::N,кхаллар,хлеб
368,Scheibe::N,цастар,ломоть
369,Fett::N,мохь,жир
370,Butter::N,налха,масло
371,Öl::N,даьтта,масло
372,Salz::N,туьха,соль
373,Suppe::N,чорпа,суп
374,Honig::N,моз,мед
375,Milch::N,шура,молоко
376,Tee::N,чай,чай
377,Leder::N,цӏока,кожа
378,Wolle::N,тӏapгӏa,шерсть
379,Stoff::N,кӏади,ткань
380,Nadel::N,маха,игла
381,Faden::N,тай,нитка
382,Knopf::N,нуьйда,пуговица
383,Knoten::N,шад,узел
384,Farbe::N,сир,краска
385,Farbe::N,басар,краска
386,Kleidung::N,бедар,одежда
387,Hemd::N,коч,рубашка
388,Kragen::N,кач,воротник
389,Ärmel::N,пхьош,рукав
390,Hose::N,хеча,брюки
391,Gürtel::N,доьхка,пояс
392,Mütze::N,куй,шапка
393,Schuh::N,мача,ботинок
394,Stiefel::N,этка,сапог
395,Ring::N,чӏуг,кольцо
396,Band::N,лента,лента
397,Kamm::N,ехк,расческа
398,Spiegel::N,куьзга,зеркало
399,Riemen::N,доьхка,ремень
400,Schnur::N,муш,веревка
401,Leine::N,кочатосу доьхка,поводок
402,Decke::N,юргӏа,одеяло
403,Kissen::N,гIайба,подушка
404,Tuch::N,исхар,платок
405,Handtuch::N,гата,полотенце
406,Kraft::N,гӏора,сила
407,Stärke::N,гӏап,крепость
408,Gesundheit::N,могашалла,здоровье
409,Krankheit::N,цамгар,болезнь
410,Schmerz::N,лазар,боль
411,Wunde::N,чов,рана
412,Fieber::N,xорша,лихорадка
413,Fieber::N,xорша,температура
414,Arznei::N,молха,лекарство
415,Brücke::N,тӏай,мост
416,Brunnen::N,гӏу,колодец
417,Weide::N,дак,пастбище
418,Pfad::N,тача,тропа
419,Weg::N,некъ,путь
420,Weg::N,некъ,дорога
421,Straße::N,урам,улица
422,Straße::N,урам,дорога
423,Dorf::N,юрт,деревня
424,Stadt::N,гӏала,город
425,Brief::N,кехат,письмо
426,Buch::N,жайна,книга
427,Buchstabe::N,элп,буква
428,Zeitung::N,газет,газета
429,Leben::N,дахар,жизнь
430,Tod::N,далар,смерть
431,Tod::N,ӏожалла,смерть
432,Grab::N,каш,могила
433,Kirche::N,килс,церковь
434,Sünde::N,къа,грех
435,Gott::N,дела,бог
436,Arbeiter::N,белхало,рабочий
437,Chef::N,хьаькам,начальник
438,Meister::N,говзанча,мастер
439,Arzt::N,лор,врач
440,Lehrer::N,хьехархо,учитель
441,Geld::N,aхча,деньги
442,Geschäft::N,туька,занятие
443,Laden::N,туька,магазин
444,Preis::N,мах,цена
445,Ware::N,хlума,товар
446,Nutzen::N,пайда,выгода
447,Reichtum::N,хьал,богатство
448,Welt::N,дуьне,мир
449,Land::N,мохк,страна
450,Staat::N,пачхьалкх,государство
451,König::N,паччахь,король
452,Macht::N,ӏедал,власть
453,Grenze::N,доза,граница
454,Krieg::N,тӏом,война
455,Feind::N,мостагӏ,враг
456,Gewalt::N,гӏело,насилие
457,Kampf::N,къийсам,борьба
458,Pfeil::N,пха,стрела
459,Gewehr::N,топ,ружье
460,Fehler::N,гӏалат,ошибка
461,Lüge::N,аьшпаш,ложь
462,Schaden::N,зен,вред
463,Unglück::N,бала,беда
464,Schuld::N,бехк,вина
465,Alter::N,хан,возраст
466,Schluss::N,чакхе,окончание
467,Zeit::N,хан,время
468,Tag::N,де,день
469,Morgen::N,ӏуьйре,утро
470,Mittag::N,делкъе,полдень
471,Abend::N,суьйре,вечер
472,Nacht::N,буьйса,ночь
473,Woche::N,кӏира,неделя
474,Monat::N,бутт,месяц
475,Jahr::N,шо,год
476,Frühling::N,бӏаьсте,весна
477,Sommer::N,аьхке,лето
478,Herbst::N,гуьйре,осень
479,Winter::N,ӏа,зима
480,Januar::N,январь,январь
481,Februar::N,февраль,февраль
482,März::N,март,март
483,April::N,апрель,апрель
484,Mai::N,май,май
485,Juni::N,июнь,июнь
486,Juli::N,июль,июль
487,August::N,август,август
488,September::N,сентябрь,сентябрь
489,Oktober::N,октябрь,октябрь
490,November::N,ноябрь,ноябрь
491,Dezember::N,декабрь,декабрь
492,Montag::N,оршот,понедельник
493,Dienstag::N,шинара,вторник
494,Mittwoch::N,кхаара,среда
495,Donnerstag::N,еара,четверг
496,Freitag::N,пӏераска,пятница
497,Samstag::N,шот,суббота
498,Sonntag::N,кӏиранде,воскресенье
499,groß::A,доккха,большой
500,klein::A,кегий,маленький
501,lang::A,еха,длинный
502,kurz::A,доца,короткий
503,breit::A,шуьйра,широкий
504,schmal::A,готта,узкий
505,dicht::A,луьста,густой
506,dick[Gegenstand]::A,стомма,толстый
507,dünn::A,дуткъа,тонкий
508,fein::A,ховха,тонкий
509,fest::A,чӏогӏа,крепкий
510,flach::A,чӏапа,плоский
511,glatt::A,шера,гладкий
