,Concept_ID,sq,is
0,Auge::N,sy,auga
1,Ohr::N,vesh,eyra
2,Nase::N,hundë,nef
3,Mund::N,gojë,munnur
4,Zahn::N,dhëmb,tönn
5,Zunge::N,gjuhë,tunga
6,Lippe::N,buzë,vör
7,Wange::N,faqe,kinn
8,Wange::N,faqe,vangi
9,Wange::N,mollëz,kinn
10,Wange::N,mollëz,vangi
11,Gesicht::N,fytyrë,andlit
12,Stirn::N,ballë,enni
13,Haar::N,flokë,hár
14,Schnurrbart::N,mustaqe,yfirskegg
15,Bart::N,mjekër,skegg
16,Kinn::N,mjekër,haka
17,Kiefer[Anatomie]::N,nofull,kjálki
18,Kiefer[Anatomie]::N,nofull,skoltur
19,Kehle::N,fyt,kverk
20,Kehle::N,grykë,kverk
21,Hals::N,qafë,háls
22,Genick::N,arrëz,hnakki
23,Kopf::N,kokë,höfuð
24,Rücken::N,kurriz,hryggur
25,Bauch::N,bark,kviður
26,Nabel::N,kërthizë,nafli
27,Busen::N,gji,barmur
28,Brust::N,gjoks,brjóst
29,Brust::N,kraharor,brjóst
30,Schulter::N,sup,öxl
31,Schulter::N,krah,öxl
32,Arm::N,krah,armur
33,Ellenbogen::N,bërryl,olnbogi
34,Hand::N,dorë,hönd
35,Handfläche::N,pëllëmbë,lófi
36,Finger::N,gisht,fingur
37,Fingernagel::N,thua,fingurnögl
38,Nagel[Anatomie]::N,thua,nögl
39,Zeh::N,gisht i këmbës,tá
40,Fuß::N,këmbë,fótur
41,Ferse::N,thembër,hæll
42,Knie::N,gju,kné
43,Oberschenkel::N,kofshë,læri
44,Bein::N,këmbë,fótleggur
45,Körper::N,trup,búkur
46,Körper::N,trup,líkami
47,Haut::N,lëkurë,húð
48,Haut::N,lëkurë,skinn
49,Blut::N,gjak,blóð
50,Ader::N,venë,æð
51,Sehne::N,dell,sin
52,Knochen::N,asht,bein
53,Knochen::N,kockë,bein
54,Gehirn::N,tru,heili
55,Herz::N,zemër,hjarta
56,Magen::N,stomak,magi
57,Leber::N,mëlçi,lifur
58,Atem::N,frymë,andi
59,Atem::N,frymë,andardráttur
60,Hunger::N,uri,hungur
61,Träne::N,lot,tár
62,Geschmack::N,shije,smekkur
63,Geruch::N,erë,lykt
64,Schlaf::N,gjumë,svefn
65,Traum::N,ëndërr,draumur
66,Himmel::N,qiell,himinn
67,Sonne::N,diell,sól
68,Mond::N,hënë,tungl
69,Stern::N,yll,stjarna
70,Luft::N,ajër,loft
71,Wind::N,erë,vindur
72,Welle::N,valë,alda
73,Welle::N,valë,bylgja
74,Welle::N,dallgë,alda
75,Welle::N,dallgë,bylgja
76,Wasser::N,ujë,vatn
77,Stein::N,gur,steinn
78,Boden::N,tokë,botn
79,Boden::N,truall,botn
80,Erde::N,dhe,jörð
81,Erde::N,baltë,jörð
82,Staub::N,pluhur,ryk
83,Staub::N,pluhur,duft
84,Rauch::N,tym,reykur
85,Funke::N,xixë,neisti
86,Funke::N,shkëndijë,neisti
87,Feuer::N,zjarr,eldur
88,Licht::N,dritë,ljós
89,Schatten::N,hije,skuggi
90,Wetter::N,mot,veður
91,Nebel::N,mjegull,þoka
92,Wolke::N,re,ský
93,Regen::N,shi,regn
94,Schnee::N,borë,snjór
95,Eis::N,akull,ís
96,Frost::N,ngricë,frost
97,Kälte::N,të ftohtë,kuldi
98,Hitze::N,vapë,hiti
99,Hitze::N,nxehtësi,hiti
100,Raureif::N,cikmë,hrím
101,Regenbogen::N,ylber,regnbogi
102,Donner::N,gjëmim,þruma
103,Donner::N,bubullimë,þruma
104,Strömung::N,rrymë,straumur
105,Tropfen::N,pikë,dropi
106,Schaum::N,shkumë,froða
107,Schmutz::N,baltë,óhreinindi
108,See::N,liqen,stöðuvatn
109,Sumpf::N,batak,fen
110,Moor::N,kënetë,mýri
111,Wiese::N,livadh,engi
112,Wald::N,pyll,skógur
113,Hügel::N,kodër,hæð
114,Hügel::N,kodër,hóll
115,Anhöhe::N,bregore,hæð
116,Anhöhe::N,bregore,hóll
117,Berg::N,mal,fell
118,Berg::N,mal,fjall
119,Gipfel::N,kulm,tindur
120,Höhle::N,shpellë,hellir
121,Höhle::N,zgafelle,hellir
122,Abhang::N,shpat,hlíð
123,Abhang::N,shpat,brekka
124,Abhang::N,tatëpjetë,hlíð
125,Abhang::N,tatëpjetë,brekka
126,Quelle::N,krua,lind
127,Quelle::N,krua,uppspretta
128,Quelle::N,burim,lind
129,Quelle::N,burim,uppspretta
130,Bach::N,virua,lækur
131,Fluss::N,lumë,á
132,Fluss::N,lumë,fljót
133,Ufer::N,breg,árbakki
134,Ufer::N,breg,sjávarbakki
135,Küste::N,anëdet,strönd
136,Küste::N,bregdet,strönd
137,Festland::N,kontinent,meginland
138,Meer::N,det,haf
139,Meer::N,det,sjór
140,Bucht::N,gji deti,vík
141,Insel::N,ishull,eyja
142,Insel::N,ujdhesë,eyja
143,Blume::N,lule,blóm
144,Gras::N,bar,gras
145,Wurzel::N,rrënjë,rót
146,Baum::N,pemë,tré
147,Stamm::N,trung,stofn
148,Rinde::N,lëvore,börkur
149,Ast::N,degë,grein
150,Zweig::N,bisk,angi
151,Zweig::N,bisk,kvistur
152,Blatt::N,fletë,blað
153,Blatt::N,gjethe,blað
154,Birke::N,mështekën,birki
155,Kiefer[Baum]::N,pishë,fura
156,Weide[Baum]::N,shelg,víðir
157,Tanne::N,bredh,greni
158,Horn::N,bri,horn
159,Feder::N,pupël,fjöður
160,Fell::N,lëkurë,skinn
161,Flügel::N,krah,vængur
162,Flügel::N,fletë,vængur
163,Klaue::N,kthetër,kló
164,Kralle::N,thua,kló
165,Kralle::N,kthetër,kló
166,Schwanz::N,bisht,rófa
167,Schwanz::N,bisht,skott
168,Ei::N,vezë,egg
169,Nest::N,fole,hreiður
170,Bau::N,strofkë,greni
171,Bau::N,strofkë,bæli
172,Tier::N,kafshë,dýr
173,Herde::N,kope,hjörð
174,Herde::N,grigjë,hjörð
175,Kuh::N,lopë,kýr
176,Bulle::N,dem,boli
177,Pferd::N,kalë,hestur
178,Schaf::N,dele,kind
179,Schwein::N,derr,svín
180,Hund::N,qen,hundur
181,Katze::N,mace,köttur
182,Bär::N,ari,björn
183,Eichhörnchen::N,ketër,íkorni
184,Elch::N,dre brilopatë,elgur
185,Fuchs::N,dhelpër,refur
186,Hase::N,lepur,héri
187,Maus::N,mi,mús
188,Wolf::N,ujk,úlfur
189,Vogel::N,zog,fugl
190,Vogel::N,shpend,fugl
191,Schwarm::N,luzmë,sægur
192,Huhn::N,pulë,hæna
193,Hahn::N,gjel,hani
194,Hahn::N,këndes,hani
195,Gans::N,patë,gæs
196,Adler::N,shqiponjë,örn
197,Ente::N,rosë,önd
198,Eule::N,buf,uggla
199,Kranich::N,lejlek,trana
200,Kranich::N,kurrillë,trana
201,Krähe::N,sorrë,kráka
202,Kuckuck::N,qyqe,gaukur
203,Schwan::N,mjellmë,svanur
204,Fisch::N,peshk,fiskur
205,Barsch::N,purtekë,aborri
206,Hecht::N,mlysh,gedda
207,Schlange[Tier]::N,gjarpër,naðra
208,Wurm::N,krimb,ormur
209,Spinne::N,marimangë,kónguló
210,Ameise::N,thnegël,maur
211,Ameise::N,milingonë,maur
212,Laus::N,morr,lús
213,Mücke::N,kunup,mý
214,Mücke::N,kunup,mýfluga
215,Mücke::N,mushkonjë,mý
216,Mücke::N,mushkonjë,mýfluga
217,Fliege::N,mizë,fluga
218,Schmetterling::N,flutur,fiðrildi
219,Beere::N,frutë,ber
220,Beere::N,manaferrë,ber
221,Apfel::N,mollë,epli
222,Pilz::N,kërpudhë,sveppur
223,Zwiebel::N,qepë,laukur
224,Saat::N,farë,fræ
225,Saat::N,farë,útsæði
226,Korn::N,grurë,korn
227,Korn::N,kokërr,korn
228,Heu::N,sanë,hey
229,Schale::N,lëkurë,hýði
230,Grube::N,gropë,gryfja
231,Falle::N,kurth,gildra
232,Falle::N,grackë,gildra
233,Schlinge::N,nyjë,snara
234,Spur::N,gjurmë,spor
235,Asche::N,hi,aska
236,Dreck::N,baltë,óþverri
237,Eisen::N,hekur,járn
238,Gold::N,ar,gull
239,Gold::N,flori,gull
240,Silber::N,argjend,silfur
241,Kohle::N,qymyr,kol
242,Glas::N,qelq,gler
243,Lehm::N,argjilë,leir
244,Sand::N,rërë,sandur
245,Mensch::N,njeri,maður
246,Mensch::N,njeri,manneskja
247,Mann::N,burrë,maður
248,Mann::N,burrë,karlmaður
249,Mann::N,mashkull,maður
250,Mann::N,mashkull,karlmaður
251,Frau::N,grua,kona
252,Frau::N,femër,kona
253,Kind::N,kalama,barn
254,Kind::N,kalama,krakki
255,Junge::N,djalë,drengur
256,Mädchen::N,gocë,stelpa
257,Mädchen::N,vajzë,stelpa
258,Familie::N,familje,fjölskylda
259,Großvater::N,gjysh,afi
260,Großmutter::N,gjyshe,amma
261,Eltern::N,prindër,foreldrar
262,Vater::N,atë,faðir
263,Mutter::N,nënë,móðir
264,Sohn::N,bir,sonur
265,Tochter::N,bijë,dóttir
266,Bruder::N,vëlla,bróðir
267,Schwester::N,motër,systir
268,Onkel::N,dajë,föðurbróðir
269,Onkel::N,xhaxha,föðurbróðir
270,Tante::N,teze,frænka
271,Tante::N,teze,móðursystir
272,Tante::N,hallë,frænka
273,Tante::N,hallë,móðursystir
274,Ehemann::N,burrë,eiginmaður
275,Ehemann::N,bashkëshort,eiginmaður
276,Ehefrau::N,grua,eiginkona
277,Ehefrau::N,bashkëshorte,eiginkona
278,Freude::N,gaz,gleði
279,Freude::N,gëzim,gleði
280,Gelächter::N,qeshje,hlátur
281,Glück::N,lumturi,gæfa
282,Kummer::N,brengë,sorg
283,Kummer::N,pikëllim,sorg
284,Wunsch::N,dëshirë,ósk
285,Lust::N,epsh,fýsn
286,Lust::N,epsh,löngun
287,Lust::N,dashuri,fýsn
288,Lust::N,dashuri,löngun
289,Geist::N,frymë,andi
290,Geist::N,shpirt,andi
291,Gedanke::N,ide,hugsun
292,Gedanke::N,mendim,hugsun
293,Gedächtnis::N,kujtesë,minni
294,Verstand::N,mend,vit
295,Sinn::N,kuptim,merking
296,Grund::N,arsye,ástæða
297,Wahrheit::N,vërtetë,sannleikur
298,Gespräch::N,bisedim,samtal
299,Märchen::N,përrallë,ævintýri
300,Erzählung::N,tregim,saga
301,Nachricht::N,lajm,frétt
302,Neuigkeit::N,risi,frétt
303,Name::N,emër,nafn
304,Rätsel::N,gjëzë,gáta
305,Rätsel::N,gjëegjëzë,gáta
306,Rede::N,fjalim,ræða
307,Sprache::N,gjuhë,mál
308,Sprache::N,gjuhë,tungumál
309,Stimme::N,zë,rödd
310,Wort::N,fjalë,orð
311,Zeichen::N,shenjë,tákn
312,Zeichen::N,shenjë,merki
313,Ruf::N,thirrmë,kall
314,Lärm::N,zhurmë,hávaði
315,Laut::N,tingull,hljóð
316,Ton::N,ton,tónn
317,Lied::N,këngë,ljóð
318,Lied::N,këngë,söngur
319,Ruhe::N,qetësi,ró
320,Ruhe::N,qetësi,kyrrð
321,Leute::N,botë,fólk
322,Leute::N,njerëz,fólk
323,Volk::N,popull,þjóð
324,Arbeit::N,punë,vinna
325,Gast::N,mik,gestur
326,Gast::N,mysafir,gestur
327,Geschenk::N,dhuratë,gjöf
328,Geschenk::N,peshqesh,gjöf
329,Spiel::N,lojë,leikur
330,Gesellschaft::N,shoqëri,selskapur
331,Hilfe::N,ndihmë,hjálp
332,Freund::N,mik,vinur
333,Kamerad::N,shok,félagi
334,Angelegenheit::N,punë,mál
335,Angelegenheit::N,punë,málefni
336,Anzahl::N,sasi,tala
337,Anzahl::N,sasi,fjöldi
338,Art::N,lloj,tegund
339,Stück::N,copë,biti
340,Stück::N,copë,stykki
341,Teil::N,pjesë,hluti
342,Teil::N,pjesë,partur
343,Hälfte::N,gjysmë,helmingur
344,Kreis::N,qark,hringur
345,Kreis::N,rreth,hringur
346,Kreuz::N,kryq,kross
347,Kreuz::N,kryq,krossmark
348,Linie::N,vijë,lína
349,Strich::N,vizë,strik
350,Abstand::N,distancë,millibil
351,Entfernung::N,largim,fjarlægð
352,Gegend::N,vise,hérað
353,Gegend::N,krahinë,hérað
354,Platz::N,shesh,pláss
355,Ort::N,vend,staður
356,Seite::N,anë,hlið
357,Mitte::N,mes,miðja
358,Gegenstand::N,send,hlutur
359,Sache::N,gjë,mál
360,Sache::N,send,mál
361,Rand::N,qoshe,brún
362,Kante::N,teh,rönd
363,Ecke::N,qoshe,horn
364,Spitze::N,majë,oddur
365,Ende::N,skaj,endi
366,Ende::N,bisht,endi
367,Loch::N,vrimë,gat
368,Loch::N,vrimë,hola
369,Winkel::N,kënd,skot
370,Winkel::N,kënd,krókur
371,Muster::N,mostër,munstur
372,Größe::N,madhësi,stærð
373,Länge::N,gjatësi,lengd
374,Höhe::N,lartësi,hæð
375,Gewicht::N,peshë,vigt
376,Gewicht::N,peshë,þyngd
377,Menge::N,sasi,magn
378,Haufen::N,grumbull,hrúga
379,Haufen::N,grumbull,haugur
380,Reihe::N,radhë,röð
381,Reihe::N,rresht,röð
382,Boot::N,barkë,bátur
383,Boot::N,lundër,bátur
384,Ruder::N,rrem,ár
385,Schlitten::N,sajë,sleði
386,Ski::N,ski,skíði
387,Lagerfeuer::N,flakadan,varðeldur
388,Lagerfeuer::N,zjarr i madh,varðeldur
389,Last::N,barrë,byrði
390,Last::N,barrë,farmur
391,Gang::N,ecje,ganga
392,Schritt::N,hap,skref
393,Norden::N,veri,norður
394,Süden::N,jug,suður
395,Westen::N,perëndim,vestur
396,Osten::N,lindje,austur
397,Holz::N,dru,viður
398,Brett::N,dërrasë,fjöl
399,Platte::N,pllakë,flötur
400,Stütze::N,shtyllë,stoð
401,Stütze::N,mbështetesë,stoð
402,Stange::N,shufër,stöng
403,Stock::N,dajak,prik
404,Stock::N,dajak,stafur
405,Stab::N,shkop,prik
406,Stab::N,shkop,stafur
407,Rohr::N,tub,rör
408,Rohr::N,tub,pípa
409,Haus::N,shtëpi,hús
410,Heim::N,konak,heimili
411,Heim::N,shtëpi,heimili
412,Ofen::N,sobë,ofn
413,Ofen::N,stufë,ofn
414,Fußboden::N,dysheme,gólf
415,Tisch::N,tryezë,borð
416,Stuhl::N,karrige,stóll
417,Wiege::N,djep,vagga
418,Bett::N,shtrat,rúm
419,Bett::N,shtrat,hvíla
420,Regal::N,raft,hilla
421,Kiste::N,kuti,kassi
422,Fenster::N,dritare,gluggi
423,Tür::N,derë,dyr
424,Tür::N,derë,hurð
425,Tor::N,portë,hlið
426,Zaun::N,gardh,girðing
427,Zaun::N,gardh,limgarður
428,Dach::N,çati,þak
429,Leiter::N,shkallë,stigi
430,Besen::N,fshesë,sópur
431,Spaten::N,lopatë,spaði
432,Schaufel::N,qyrek,skófla
433,Gabel::N,pirun,gaffall
434,Löffel::N,lugë,skeið
435,Messer::N,thikë,hnífur
