,Concept_ID,ru,mrj
0,Auge::N,глаз,сӹнзӓ
1,Ohr::N,ухо,пӹлӹш
2,Nase::N,нос,нер
3,Mund::N,рот,ышма
4,Zahn::N,зуб,пӱ
5,Zunge::N,язык,йӹлмӹ
6,Lippe::N,губа,тӹрвӹ
7,Wange::N,щека,шӹргӹ
8,Gesicht::N,лицо,лицӓ
9,Stirn::N,лоб,лепкӓ
10,Haar::N,волос,ӱп
11,Haar::N,волосы,ӱп
12,Schnurrbart::N,ус,öрш
13,Schnurrbart::N,усы,öрш
14,Bart::N,борода,пандаш
15,Kinn::N,подбородок,онгылаш
16,Kiefer[Anatomie]::N,челюсть,пӱ арата
17,Kehle::N,горло,логер
18,Hals::N,шея,шӱ
19,Genick::N,затылок,ланга
20,Kopf::N,голова,вуй
21,Rücken::N,спина,туп
22,Bauch::N,живот,мӹшкӹр
23,Nabel::N,пупок,кӹлӹмдӹ
24,Busen::N,женская грудь,цӹзӹ
25,Brust::N,грудь,мел
26,Schulter::N,плечо,ӹнгӹжӓ
27,Arm::N,рука,кид
28,Ellenbogen::N,локоть,кӹнервуй
29,Hand::N,кисть,лапа
30,Handfläche::N,ладонь,кид лапа
31,Finger::N,палец,парня
32,Fingernagel::N,ноготь,кӹч
33,Nagel[Anatomie]::N,ноготь,кӹч
34,Zeh::N,палец,парня
35,Fuß::N,ступня,ял лапа
36,Ferse::N,пята,ялгавал
37,Ferse::N,пята,ял кавал
38,Ferse::N,пятка,ялгавал
39,Ferse::N,пятка,ял кавал
40,Knie::N,колено,пылвуй
41,Oberschenkel::N,бедро,ӓрдӹ
42,Bein::N,нога,ял
43,Körper::N,тело,монгыр
44,Haut::N,кожа,кавашты
45,Blut::N,кровь,вӹр
46,Ader::N,вена,вӹршӓр
47,Ader::N,сосуд,вӹршӓр
48,Sehne::N,жила,кукшышӱн
49,Sehne::N,тетива,кукшышӱн
50,Sehne::N,сухожилие,кукшышӱн
51,Knochen::N,кость,лу
52,Gehirn::N,мозг,вим
53,Herz::N,сердце,шӱм
54,Magen::N,желудок,шӱм
55,Leber::N,печень,мокш
56,Atem::N,дух,шӱлӹш
57,Atem::N,дыхание,шӱлӹш
58,Hunger::N,голод,шужымаш
59,Träne::N,слеза,сӹнзӓвӹд
60,Geschmack::N,вкус,тот
61,Geruch::N,запах,пыш
62,Schlaf::N,сон,ом
63,Traum::N,сновидение,ом
64,Himmel::N,небо,пӹлгом
65,Sonne::N,солнце,кечӹ
66,Mond::N,луна,тӹлзӹ
67,Stern::N,звезда,шӹдӹр
68,Luft::N,воздух,юж
69,Luft::N,воздух,воздух
70,Wind::N,ветер,мардеж
71,Welle::N,волна,ко
72,Welle::N,волна,коэ
73,Wasser::N,вода,вӹд
74,Stein::N,камень,кӱ
75,Boden::N,почва,рок
76,Erde::N,земля,свет
77,Staub::N,пыль,пырак
78,Rauch::N,дым,шӹкш
79,Funke::N,искра,ип
80,Funke::N,искра,тылип
81,Feuer::N,огонь,тыл
82,Licht::N,свет,соты
83,Licht::N,свет,валгыды
84,Schatten::N,тень,ӹмӹл
85,Wetter::N,погода,игечӹ
86,Nebel::N,туман,тӹтӹрӓ
87,Wolke::N,облако,пӹл
88,Regen::N,дождь,юр
89,Schnee::N,снег,лым
90,Eis::N,лед,и
91,Frost::N,мороз,ӱштӹ
92,Kälte::N,холод,ӱштӹ
93,Hitze::N,жара,шокшы
94,Raureif::N,иней,пöрш
95,Regenbogen::N,радуга,шанавӹл
96,Donner::N,гром,хӹдӹртӹш
97,Strömung::N,течение,йогы
98,Tropfen::N,капля,капльы
99,Tropfen::N,капля,капльык
100,Schaum::N,пена,шонг
101,Schmutz::N,грязь,лявӹрӓ
102,See::N,озеро,йӓр
103,Sumpf::N,топь,лӱкӹ
104,Moor::N,болото,куп
105,Wiese::N,луг,алык
106,Wald::N,лес,шӹргӹ
107,Hügel::N,холм,пӱгӹрикӓ
108,Anhöhe::N,возвышенность,кӱкшикӓ
109,Berg::N,гора,кырык
110,Gipfel::N,вершина,неркӓ
111,Höhle::N,пещера,ы́раж
112,Abhang::N,склон,полом
113,Quelle::N,источник,вӹдсӹнзӓ
114,Bach::N,ручей,ӓнгӹр
115,Fluss::N,река,вӹд
116,Ufer::N,берег,сир
117,Küste::N,побережье,сир
118,Festland::N,суша,мӱлӓндӹ
119,Meer::N,море,тангыж
120,Bucht::N,бухта,вӹдъял
121,Insel::N,остров,острок
122,Blume::N,цветок,пеледӹш
123,Gras::N,трава,шуды
124,Wurzel::N,корень,важ
125,Baum::N,дерево,пушӓнгӹ
126,Stamm::N,ствол,пушӓнгӹ тӹнг
127,Rinde::N,кора,каргыж
128,Ast::N,сук,укш
129,Zweig::N,ветвь,укш
130,Blatt::N,лист,листӹ
131,Birke::N,береза,куги
132,Kiefer[Baum]::N,сосна,йӓктӹ
133,Weide[Baum]::N,ива,уа
134,Tanne::N,ель,кож
135,Horn::N,рог,шур
136,Feder::N,перо,пын
137,Fell::N,шкура,кавашты
138,Flügel::N,крыло,шылдыр
139,Klaue::N,коготь,кӹч
140,Kralle::N,лапа,лапа
141,Schwanz::N,хвост,пач
142,Ei::N,яйцо,мыны
143,Nest::N,гнездо,пӹжӓш
144,Bau::N,нора,ыраж
145,Tier::N,животное,во́льык
146,Herde::N,стадо,кӹтö
147,Kuh::N,корова,ышкал
148,Bulle::N,бык,ӱшкӱж
149,Pferd::N,лошадь,имни
150,Schaf::N,овца,шарык
151,Schwein::N,свинья,сасна
152,Hund::N,собака,пи
153,Katze::N,кошка,коти
154,Bär::N,медведь,мöскӓ
155,Eichhörnchen::N,белка,ур
156,Elch::N,лось,шарды
157,Fuchs::N,лиса,рӹвӹж
158,Hase::N,заяц,морен
159,Maus::N,мышь,каля
160,Wolf::N,волк,пирӹ
161,Vogel::N,птица,кек
162,Schwarm::N,стая,цуца
163,Huhn::N,курица,цӹвӹ
164,Hahn::N,петух,ӓптӓн
165,Gans::N,гусь,комбы
166,Adler::N,орел,кучкыж
167,Ente::N,утка,лыды
168,Eule::N,сова,тымана
169,Kranich::N,журавль,тырня
170,Kranich::N,журавль,тыртня
171,Krähe::N,ворона,лудыгарак
172,Kuckuck::N,кукушка,куку
173,Schwan::N,лебедь,йӱксӹ
174,Fisch::N,рыба,кол
175,Barsch::N,окунь,алангы
176,Hecht::N,щука,нуж
177,Hecht::N,щука,нужгол
178,Schlange[Tier]::N,змея,кӹшкы
179,Wurm::N,червяк,шукш
180,Spinne::N,паук,ӓнгӹремшӹ
181,Ameise::N,муравей,кыткы
182,Laus::N,вошь,ти
183,Mücke::N,комар,кужнер
184,Mücke::N,комар,кужынер
185,Fliege::N,муха,шӹнгӓ
186,Schmetterling::N,бабочка,лӹпӹ
187,Beere::N,ягода,мöр
188,Apfel::N,яблоко,олма
189,Pilz::N,гриб,понгы
190,Zwiebel::N,луковица,охыра
191,Saat::N,семя,нӱшмӹ
192,Saat::N,семя,нӱшмӱ
193,Korn::N,зерно,пӹрцӹ
194,Heu::N,сено,шуды
195,Schale::N,шелуха,аваха
196,Schale::N,шелуха,карлангы
197,Grube::N,яма,йӓм
198,Falle::N,ловушка,лӱдӹ
199,Falle::N,ловушка,лӱдӹш
200,Schlinge::N,силок,онгы
201,Spur::N,след,кишӓ
202,Asche::N,зола,ломых
203,Asche::N,зола,ломпыж
204,Asche::N,пепел,ломых
205,Asche::N,пепел,ломпыж
206,Dreck::N,грязь,лявӹрӓ
207,Eisen::N,железо,кӹртни
208,Gold::N,золото,шöртни
209,Gold::N,золото,шöртньӹ
210,Silber::N,серебро,ши
211,Kohle::N,уголь,шӱ
212,Glas::N,стекло,охоница
213,Lehm::N,глина,шун
214,Sand::N,песок,ошма
215,Mensch::N,человек,эдем
216,Mann::N,мужчина,пӱэргӹ
217,Frau::N,женщина,ӹдӹрӓмӓш
218,Kind::N,ребенок,ӓзӓ
219,Kind::N,ребенок,шачшы
220,Junge::N,мальчик,рвезӹ
221,Junge::N,мальчик,ӹрвезӹ
222,Mädchen::N,девочка,ӹдӹрӓш
223,Familie::N,семья,йиш
224,Familie::N,семья,семня
225,Großvater::N,дедушка,тьоти
226,Großmutter::N,бабушка,папа
227,Eltern::N,родители,ӓтя-ӓвӓ
228,Vater::N,отец,ӓтя
229,Mutter::N,мать,ӓвӓ
230,Sohn::N,сын,эргӹ
231,Tochter::N,дочь,ӹдӹр
232,Bruder::N,брат,ӹза
233,Schwester::N,сестра,ӓкӓ
234,Onkel::N,дядя,кугуза
235,Tante::N,тетя,куака
236,Ehemann::N,муж,мары
237,Ehefrau::N,жена,вӓтӹ
238,Freude::N,радость,ӹвӹртӹмӓш
239,Gelächter::N,смех,ваштылмаш
240,Glück::N,счастье,пиӓл
241,Kummer::N,горе,ясы
242,Wunsch::N,желание,охата
243,Wunsch::N,желание,шанымаш
244,Lust::N,влечение,шӓр
245,Lust::N,влечение,охата
246,Lust::N,влечение,шанымаш
247,Geist::N,дух,тух
248,Gedanke::N,мысль,шанымаш
249,Gedächtnis::N,память,ӓш
250,Verstand::N,ум,ыш
251,Sinn::N,смысл,кын
252,Grund::N,повод,вир
253,Wahrheit::N,правда,тöр
254,Gespräch::N,беседа,хытырымаш
255,Märchen::N,сказка,ямак
256,Erzählung::N,рассказ,шайыштмаш
257,Nachricht::N,сообщение,увертӓрӹмӓш
258,Neuigkeit::N,новость,увер
259,Name::N,имя,лӹм
260,Rätsel::N,загадка,тышты
261,Rede::N,речь,шая
262,Rede::N,речь,шамак
263,Sprache::N,язык,йӹлмӹ
264,Stimme::N,голос,юк
265,Wort::N,слово,шамак
266,Zeichen::N,знак,палӹ
267,Ruf::N,зов,сӹгӹрӹмӓш
268,Lärm::N,шум,юкланымащ
269,Laut::N,звук,юк
270,Ton::N,звучание,юк
271,Lied::N,песня,мыры
272,Ruhe::N,покой,тыр
273,Leute::N,люди,эдемвлӓ
274,Volk::N,народ,халык
275,Arbeit::N,работа,пӓшӓ
276,Gast::N,гость,хына
277,Geschenk::N,подарок,подарка
278,Spiel::N,игра,мадыш
279,Gesellschaft::N,общество,йӓл
280,Gesellschaft::N,общество,йӓлвлӓ
281,Hilfe::N,помощь,палшык
282,Freund::N,друг,тӓнг
283,Kamerad::N,приятель,тос
284,Angelegenheit::N,дело,дела
285,Angelegenheit::N,дело,йела
286,Angelegenheit::N,дело,йыла
287,Angelegenheit::N,дело,пӓшӓ
288,Anzahl::N,количество,шот
289,Art::N,вид,цӹре
290,Stück::N,кусок,лаштык
291,Teil::N,часть,пай
292,Teil::N,часть,часть
293,Hälfte::N,половина,пел
294,Kreis::N,круг,тӹртӹш
295,Kreuz::N,крест,крестӹ
296,Linie::N,линия,
297,Strich::N,черта,
298,Abstand::N,промежуток,ло
299,Entfernung::N,расстояние,ло
300,Gegend::N,местность,вӓр
301,Platz::N,пространство,вӓр
302,Ort::N,место,вӓр
303,Seite::N,сторона,öрдӹж
304,Mitte::N,середина,ло
305,Gegenstand::N,предмет,хӓдӹр
306,Sache::N,вещь,хӓдӹр
307,Rand::N,край,шöр
308,Kante::N,ребро,шöр
309,Ecke::N,угол,лык
310,Spitze::N,кончик,вуй
311,Ende::N,конец,вуй
312,Ende::N,конец,мычаш
313,Loch::N,дыра,ыраж
314,Winkel::N,угол,лык
315,Muster::N,узор,тӹрлец
316,Größe::N,размер,кӱкшӹц
317,Länge::N,длина,кыт
318,Höhe::N,высота,кӱкшӹц
319,Gewicht::N,вес,нелӹц
320,Menge::N,количество,шот
321,Haufen::N,куча,ара
322,Reihe::N,ряд,ряд
323,Boot::N,лодка,пыш
324,Ruder::N,весло,вешлӓ
325,Schlitten::N,сани,тир
326,Ski::N,лыжа,ечӹ
327,Lagerfeuer::N,костер,тыл
328,Last::N,тяжесть,нелӹц
329,Gang::N,ход,ход
330,Schritt::N,шаг,ашкыл
331,Norden::N,север,йыдпелвел
332,Süden::N,юг,кечӹвӓлвел
333,Westen::N,запад,кечӹ шӹцмӹ
334,Osten::N,восток,ирвел
