,Concept_ID,ka,mn
0,Auge::N,თვალი,нүд
1,Ohr::N,ყური,чих
2,Nase::N,ცხვირი,хамар
3,Mund::N,პირი,ам
4,Zahn::N,კბილი,шүд
5,Zunge::N,ენა,хэл
6,Lippe::N,ბაგე,уруул
7,Wange::N,ლოყა,хацар
8,Gesicht::N,სახე,царай
9,Gesicht::N,სახე,нүүр
10,Stirn::N,შუბლი,дух
11,Haar::N,თმა,үс
12,Schnurrbart::N,ულვაში,дээд сахал
13,Schnurrbart::N,ულვაში,живэр сахал
14,Bart::N,წვერი,сахал
15,Kinn::N,ნიკაპი,эрүү
16,Kiefer[Anatomie]::N,ყბა,эрүү
17,Kehle::N,ყელი,хоолой
18,Hals::N,ყელი,хүзүү
19,Hals::N,კისერი,хүзүү
20,Genick::N,კეფა,шил
21,Genick::N,კეფა,хүзүү
22,Kopf::N,თავი,толгой
23,Rücken::N,ზურგი,ар
24,Rücken::N,ზურგი,нуруу
25,Bauch::N,მუცელი,хэвлий
26,Bauch::N,მუცელი,гэдэс
27,Nabel::N,ჭიპი,хүйс
28,Busen::N,ძუძუ,хөх
29,Brust::N,მკერდი,цээж
30,Schulter::N,მხარი,мөр
31,Schulter::N,მხარი,бугалга
32,Schulter::N,მკლავი,мөр
33,Schulter::N,მკლავი,бугалга
34,Arm::N,ხელი,гар
35,Ellenbogen::N,იდაყვი,тохой
36,Hand::N,ხელი,гар
37,Hand::N,ხელი,алга
38,Handfläche::N,ნები,алга
39,Handfläche::N,ხელისგული,алга
40,Finger::N,თითი,хуруу
41,Fingernagel::N,ფრჩხილი,хурууны хумс
42,Nagel[Anatomie]::N,ფრჩხილი,хумс
43,Zeh::N,ფეხის თითი,хуруу
44,Fuß::N,ტერფი,хөл
45,Fuß::N,ფეხისგული,хөл
46,Ferse::N,ქუსლი,өсгий
47,Knie::N,მუხლი,өвдөг
48,Oberschenkel::N,ბარძაყი,гуя
49,Bein::N,ფეხი,хөл
50,Körper::N,ტანი,бие
51,Körper::N,სხეული,бие
52,Haut::N,კანი,арьс
53,Blut::N,სისხლი,цус
54,Ader::N,ძარღვი,судас
55,Sehne::N,მყესი,бүлх
56,Sehne::N,მყესი,шандас
57,Knochen::N,ძვალი,яс
58,Gehirn::N,ტვინი,тархи
59,Herz::N,გული,зүрх
60,Magen::N,კუჭი,ходоод
61,Leber::N,ღვიძლი,элэг
62,Atem::N,სუნთქვა,амьсгаа
63,Hunger::N,შიმშილი,өлсгөлөн
64,Träne::N,ცრემლი,нулимс
65,Geschmack::N,გემო,амт
66,Geruch::N,სუნი,үнэр
67,Schlaf::N,ძილი,нойр
68,Traum::N,სიზმარი,зүүд
69,Himmel::N,ცა,тэнгэр
70,Himmel::N,ცა,огторгуй
71,Sonne::N,მზე,нар
72,Mond::N,მთვარე,сар
73,Stern::N,ვარსკვლავი,од
74,Luft::N,ჰაერი,агаар
75,Wind::N,ქარი,салхи
76,Welle::N,ტალღა,долгио
77,Welle::N,ტალღა,давалгаа
78,Wasser::N,წყალი,ус
79,Stein::N,ქვა,чулуу
80,Boden::N,მიწა,хөрс
81,Erde::N,ნიადაგი,газар
82,Erde::N,ნიადაგი,шороо
83,Staub::N,მტვერი,тоос
84,Rauch::N,ბოლი,утаа
85,Rauch::N,კვამლი,утаа
86,Funke::N,ნაკვესი,оч
87,Feuer::N,ცეცხლი,гал
88,Licht::N,შუქი,гэрэл
89,Licht::N,შუქი,гэгээ
90,Licht::N,სინათლე,гэрэл
91,Licht::N,სინათლე,гэгээ
92,Schatten::N,ლანდი,сүүдэр
93,Schatten::N,ჩრდილი,сүүдэр
94,Wetter::N,ამინდი,тэнгэр
95,Wetter::N,ამინდი,цаг уур
96,Nebel::N,ნისლი,будан
97,Wolke::N,ღრუბელი,үүл
98,Regen::N,წვიმა,бороо
99,Schnee::N,თოვლი,цас
100,Eis::N,თოში,мөс
101,Eis::N,ყინული,мөс
102,Frost::N,ყინვა,хүйт
103,Kälte::N,სიცივე,хүйт
104,Hitze::N,სიცხე,халуун
105,Raureif::N,ჭირხლი,цан
106,Raureif::N,ჭირხლი,хяруу
107,Raureif::N,თრთვილი,цан
108,Raureif::N,თრთვილი,хяруу
109,Regenbogen::N,ცისარტყელა,солонго
110,Donner::N,ქუხილი,тэнгэрийн дуу
111,Strömung::N,დინება,урсгал
112,Tropfen::N,წვეთი,дусал
113,Schaum::N,ქაფი,хөөс
114,Schaum::N,დორბლი,хөөс
115,Schmutz::N,ჭუჭყი,хир
116,Schmutz::N,ჭუჭყი,шавхай
117,Schmutz::N,ტალახი,хир
118,Schmutz::N,ტალახი,шавхай
119,See::N,ტბა,нуур
120,Sumpf::N,ჭაობი,намаг
121,Sumpf::N,ჭაობი,балчиг
122,Moor::N,ტორფნარი,хүлрийн намаг
123,Wiese::N,ველი,нуга
124,Wiese::N,მდელო,нуга
125,Wald::N,ტყე,ой
126,Hügel::N,ბორცვი,болдог
127,Anhöhe::N,მაღლობი,гүвээ
128,Berg::N,მთა,уул
129,Gipfel::N,მწვერვალი,орой
130,Gipfel::N,მწვერვალი,оргил
131,Höhle::N,მღვიმე,агуй
132,Höhle::N,გამოქვებული,агуй
133,Abhang::N,ფერდობი,хүр
134,Quelle::N,წყარო,булаг
135,Quelle::N,სათავე,булаг
136,Bach::N,რუ,горхи
137,Bach::N,ნაკადული,горхи
138,Fluss::N,მდინარე,гол
139,Fluss::N,მდინარე,мөрөн
140,Ufer::N,კიდე,эрэг
141,Ufer::N,ნაპირი,эрэг
142,Küste::N,ნაპირი,эрэг
143,Festland::N,ხმელეთი,хуурай газар
144,Meer::N,ზღვა,далай
145,Meer::N,ზღვა,тэнгис
146,Bucht::N,ყურე,булан
147,Bucht::N,ყურე,далайн тохой
148,Insel::N,კუნძული,арал
