,Concept_ID,myv,ca
0,Auge::N,сельме,ull
1,Ohr::N,пиле,orella
2,Nase::N,судо,nas
3,Mund::N,курго,boca
4,Zahn::N,пей,dent
5,Zunge::N,кель,llēngua
6,Lippe::N,турва,llavi
7,Wange::N,чамабока,galta
8,Wange::N,чамаумарь,galta
9,Gesicht::N,чама,cara
10,Stirn::N,коня,front
11,Haar::N,черь,cabēll
12,Schnurrbart::N,ус,bigoti
13,Schnurrbart::N,муюк,bigoti
14,Bart::N,сакал,barba
15,Kinn::N,уло,mentó
16,Kinn::N,уло,barbeta
17,Kiefer[Anatomie]::N,пейпакар,queix
18,Kiefer[Anatomie]::N,пейпакар,mandíbula
19,Kiefer[Anatomie]::N,пейловажа,queix
20,Kiefer[Anatomie]::N,пейловажа,mandíbula
21,Kehle::N,кирьгапарь,gola
22,Kehle::N,кирьгапарь,gorja
23,Hals::N,кирьга,coll
24,Genick::N,човонь,nuca
25,Kopf::N,пря,cap
26,Rücken::N,копорь,esquena
27,Bauch::N,пеке,panxa
28,Nabel::N,почо,llombrígol
29,Busen::N,поте,pit
30,Busen::N,поте,mama
31,Brust::N,меште,pit
32,Schulter::N,лавтов,espatlla
33,Arm::N,кедь,braç
34,Ellenbogen::N,кенерепакарь,colze
35,Hand::N,кедь,mà
36,Handfläche::N,кедькуншка,palma
37,Handfläche::N,кедьлапушка,palma
38,Finger::N,сур,dit
39,Fingernagel::N,кенже,ungla
40,Nagel[Anatomie]::N,кенже,ungla
41,Zeh::N,пильге сур,dit del peu
42,Fuß::N,пильге,peu
43,Ferse::N,кочкаря,taló
44,Knie::N,эле,genoll
45,Knie::N,эзне,genoll
46,Knie::N,кумажа,genoll
47,Oberschenkel::N,качо,cuixa
48,Bein::N,пильге,cama
49,Körper::N,рунго,cos
50,Haut::N,киське,pell
51,Blut::N,верь,sang
52,Ader::N,сан,vena
53,Sehne::N,коське сан,tendó
54,Knochen::N,пакарь,os
55,Gehirn::N,удем,cervell
56,Herz::N,седей,cor
57,Magen::N,пеке,estómac
58,Leber::N,максо,fetge
59,Atem::N,лексема,alè
60,Atem::N,лексема,hàlit
61,Atem::N,оймень таргсема,alè
62,Atem::N,оймень таргсема,hàlit
63,Hunger::N,вачочи,fam
64,Hunger::N,вачочи,gana
65,Träne::N,селведь,llàgrima
66,Geschmack::N,тансть,gust
67,Geschmack::N,тансть,sabor
68,Geruch::N,чине,olor
69,Schlaf::N,удома,son
70,Traum::N,он,somni
71,Himmel::N,менель,celm
72,Sonne::N,чи,sol
73,Mond::N,ков,lluna
74,Stern::N,теште,estel
75,Stern::N,теште,estrella
76,Luft::N,кошт,aire
77,Wind::N,варма,vent
78,Welle::N,толкун,ona
79,Wasser::N,ведь,āigua
80,Stein::N,кев,pedra
81,Boden::N,мода,sòl
82,Erde::N,мастор,terra
83,Staub::N,пуль,pols
84,Rauch::N,качамо,fum
85,Funke::N,сятко,guspira
86,Funke::N,сятко,centella
87,Feuer::N,тол,foc
88,Licht::N,валдо,llum
89,Schatten::N,сулей,ombra
90,Schatten::N,сулейкс,ombra
91,Wetter::N,ушо,temps
92,Nebel::N,сув,boira
93,Wolke::N,пель,núvol
94,Regen::N,пиземс,pluja
95,Schnee::N,лов,neu
96,Eis::N,эй,gel
97,Eis::N,эй,glaç
98,Frost::N,кельме,glaçada
99,Kälte::N,якшамо,fred
100,Hitze::N,пси,calor
101,Raureif::N,лекш,gebre
102,Regenbogen::N,пурьгинечирьке,arc iris
103,Regenbogen::N,пурьгинеёнкс,arc iris
104,Donner::N,пурьгине,tro
105,Strömung::N,чудема,corrent
106,Strömung::N,чудевкс,corrent
107,Tropfen::N,петнявкс,gota
108,Schaum::N,чов,escuma
109,Schmutz::N,рудаз,brutícia
110,See::N,эрьке,llac
111,Sumpf::N,чей,pantà
112,Moor::N,чей,pantà
113,Wiese::N,луга,prat
114,Wiese::N,луга,prada
115,Wald::N,вирь,bosc
116,Hügel::N,губорь,puig
117,Hügel::N,губорь,pujol
118,Hügel::N,пандыне,puig
119,Hügel::N,пандыне,pujol
120,Anhöhe::N,губорь,turó
121,Anhöhe::N,пандыне,turó
122,Berg::N,пандо,muntanya
123,Gipfel::N,пря,cim
124,Höhle::N,пещера,cova
125,Abhang::N,пандочама,coster
126,Quelle::N,ушодкс,font
127,Bach::N,чудикерькс,riera
128,Fluss::N,лей,riu
129,Ufer::N,чире,riba
130,Küste::N,лейчире,costa
131,Festland::N,мода,terra ferma
132,Meer::N,моря,mar
133,Bucht::N,усия,cala
134,Bucht::N,усия,badia
135,Insel::N,усия,illa
136,Blume::N,цеця,flor
137,Gras::N,тикше,herba
138,Wurzel::N,юр,rel
139,Wurzel::N,юр,arrel
140,Wurzel::N,ундокс,rel
141,Wurzel::N,ундокс,arrel
142,Baum::N,чувто,arbre
143,Stamm::N,рунго,tronc
144,Rinde::N,суд,escorça
145,Rinde::N,керь,escorça
146,Ast::N,морго,branca
147,Zweig::N,тарад,ram
148,Blatt::N,лопа,fulla
149,Birke::N,килей,bedoll
150,Kiefer[Baum]::N,пиче,pi
151,Weide[Baum]::N,каль,salze
152,Tanne::N,куз,avet
153,Horn::N,сюро,corn
154,Horn::N,сюро,banya
155,Feder::N,толга,ploma
156,Fell::N,пона,pell
157,Flügel::N,сёлмо,ala
158,Klaue::N,кенже,urpa
159,Kralle::N,кенже,grapa
160,Schwanz::N,пуло,cua
161,Ei::N,ал,ou
162,Nest::N,пизэ,niu
163,Bau::N,варя,cau
164,Bau::N,пизе,cau
165,Tier::N,ракша,animāl
166,Herde::N,стада,ramat
167,Kuh::N,скал,vaca
168,Bulle::N,бука,toro
169,Pferd::N,лишме,cavāll
170,Schaf::N,реве,be
171,Schaf::N,реве,ovella
172,Schwein::N,туво,bacó
173,Hund::N,пине,ca
174,Hund::N,пине,gos
175,Hund::N,киска,ca
176,Hund::N,киска,gos
177,Katze::N,псака,gat
178,Bär::N,овто,ós
179,Eichhörnchen::N,ур,esquirol
180,Elch::N,сярдо,ant
181,Fuchs::N,ривезь,guilla
182,Hase::N,нумоло,llebre
183,Maus::N,чеерь,ratolí
184,Wolf::N,верьгиз,llop
185,Vogel::N,нармунь,au
186,Vogel::N,нармунь,ocēll
187,Schwarm::N,полк,bandada
188,Schwarm::N,стада,bandada
189,Huhn::N,сараз,gallina
190,Hahn::N,атякш,gall
191,Gans::N,гала,oca
192,Gans::N,мацей,oca
193,Adler::N,куцькан,àguila
194,Adler::N,тумоатякш,àguila
195,Ente::N,яксярго,ànec
196,Eule::N,корж,òliba
197,Eule::N,корж,mussol
198,Kranich::N,карго,grua
199,Krähe::N,варака,cornella
200,Kuckuck::N,куко,cucut
201,Schwan::N,локсей,cigne
202,Fisch::N,кал,peix
203,Barsch::N,окунь,perca
204,Hecht::N,щука,lluç
205,Schlange[Tier]::N,гуй,serp
206,Wurm::N,сукс,cuc
207,Spinne::N,шанжав,aranya
208,Ameise::N,коткудав,formiga
209,Laus::N,сий,poll
210,Mücke::N,сеське,mosquit
211,Fliege::N,карво,mosca
212,Schmetterling::N,нимиляв,papallona
213,Beere::N,умарь,baia
214,Apfel::N,умарь,poma
215,Pilz::N,панго,bolet
216,Zwiebel::N,чурька,ceba
217,Saat::N,видьметь,sembra
218,Korn::N,сюро,gra
219,Heu::N,тикше,fenc
220,Schale::N,кедь,closca
221,Schale::N,ваткавкс,closca
222,Grube::N,латко,sot
223,Grube::N,латко,clot
224,Falle::N,тувор,trampa
225,Falle::N,кундамка,trampa
226,Schlinge::N,килькш,baga
227,Spur::N,челькс,traça
228,Spur::N,пильгеки,traça
229,Asche::N,кулов,cendra
230,Dreck::N,рудаз,llot
231,Eisen::N,кшни,ferro
232,Gold::N,сырне,or
233,Silber::N,сия,plata
234,Kohle::N,сэдь,carbó
235,Kohle::N,уголия,carbó
236,Glas::N,сулика,vidre
237,Lehm::N,сёвонь,fang
238,Lehm::N,сёвонь,argila
239,Sand::N,човар,arena
240,Mensch::N,ломань,humà
241,Mensch::N,ломань,persona
242,Mann::N,аля,home
243,Mann::N,цёраломань,home
244,Frau::N,ава,dona
245,Kind::N,эйкакш,nen
246,Junge::N,цёрыне,noi
247,Mädchen::N,тейтерне,noia
248,Familie::N,семия,família
249,Großvater::N,покштя,avi
250,Großmutter::N,баба,àvia
251,Eltern::N,тетят-ават,pares
252,Vater::N,тетя,pare
253,Mutter::N,ава,mare
254,Sohn::N,цёра,fill
255,Tochter::N,тейтерь,filla
256,Bruder::N,леля,germà
257,Bruder::N,ялакс,germà
258,Schwester::N,сазор,germana
259,Onkel::N,леля,oncle
260,Tante::N,патя,tia
261,Ehemann::N,мирде,espòs
262,Ehefrau::N,ни,muller
263,Freude::N,кеняркс,goig
264,Freude::N,кеняркс,alegria
265,Gelächter::N,ракамо,riallada
266,Gelächter::N,пейдема,riallada
267,Glück::N,уцяска,felicitat
268,Kummer::N,рискс,pena
269,Kummer::N,мелявкс,pena
270,Wunsch::N,мель,desig
271,Wunsch::N,бажамо,desig
272,Lust::N,бажамо,ganes
273,Geist::N,ойме,ment
274,Geist::N,ойме,esperit
275,Gedanke::N,мель,pensament
276,Gedächtnis::N,мель,memòria
277,Verstand::N,прев,raó
278,Verstand::N,прев,seny
279,Sinn::N,толк,solta
280,Sinn::N,толк,sentit
281,Sinn::N,смысла,solta
282,Sinn::N,смысла,sentit
283,Grund::N,тувтал,raó
284,Grund::N,тувтал,causa
285,Wahrheit::N,видечи,veritāt
286,Gespräch::N,кортнема,conversa
287,Märchen::N,ёвкс,conte
288,Erzählung::N,ёвтнема,narració
289,Nachricht::N,куля,missatge
290,Neuigkeit::N,куля,novetat
291,Name::N,лем,nom
292,Rätsel::N,содамоёвкс,endevinalla
293,Rede::N,кортамо,discurs
294,Sprache::N,кель,llēngua
295,Stimme::N,ваигель,veu
296,Wort::N,вал,mot
297,Wort::N,вал,paraula
298,Zeichen::N,теште,signe
299,Zeichen::N,теште,senyal
300,Ruf::N,тердема,crida
301,Lärm::N,шалнома,sorōll
302,Laut::N,вайгель,so
303,Ton::N,гайнема,to
304,Lied::N,моро,cançó
305,Ruhe::N,оймамо,calma
306,Ruhe::N,оймамо,silenci
307,Leute::N,ломанть,gent
308,Volk::N,народ,poble
309,Arbeit::N,тев,labor
310,Arbeit::N,тев,treball
311,Gast::N,инже,hoste
312,Geschenk::N,казне,regal
313,Geschenk::N,казне,obsequi
314,Spiel::N,налксема,joc
315,Gesellschaft::N,община,companyia
316,Hilfe::N,лездамо,ajut
317,Freund::N,оя,amīc
318,Freund::N,ялга,amīc
319,Kamerad::N,оя,company
320,Kamerad::N,оя,camarada
321,Kamerad::N,ялга,company
322,Kamerad::N,ялга,camarada
323,Angelegenheit::N,тев,afer
324,Angelegenheit::N,тев,assumpte
325,Anzahl::N,ламоксчи,nombre
326,Anzahl::N,ламоксчи,quantitat
327,Art::N,вид,tipus
328,Art::N,вид,classe
329,Stück::N,пакш,peça
330,Stück::N,пелькс,peça
331,Teil::N,часть,part
332,Teil::N,пелькс,part
333,Hälfte::N,пель,meitat
334,Hälfte::N,пелькс,meitat
335,Kreis::N,кирькс,cercle
336,Kreuz::N,крёст,creu
337,Linie::N,кикс,línia
338,Strich::N,межа,traç
339,Strich::N,межа,ratlla
340,Abstand::N,ютко,distància
341,Entfernung::N,ютко,distància
342,Gegend::N,тарка,regió
343,Gegend::N,тарка,contrada
344,Gegend::N,пертьпелькс,regió
345,Gegend::N,пертьпелькс,contrada
346,Platz::N,васолкс,cabuda
347,Ort::N,тарка,lloc
348,Seite::N,ён,banda
349,Seite::N,ён,costāt
350,Seite::N,чире,banda
351,Seite::N,чире,costāt
352,Mitte::N,куншка,mig
353,Mitte::N,куншка,centre
354,Gegenstand::N,предмет,objecte
355,Sache::N,тев,cosa
356,Sache::N,веща,cosa
357,Rand::N,пе,vora
358,Rand::N,пе,marge
359,Rand::N,чире,vora
360,Rand::N,чире,marge
361,Kante::N,ирдез,caire
362,Kante::N,ирдез,cantell
363,Ecke::N,ужо,cantonada
364,Spitze::N,пряне,punta
365,Spitze::N,пе,punta
366,Ende::N,пе,cap
367,Loch::N,варя,forāt
368,Winkel::N,ужо,racó
369,Muster::N,сёрма,dibuix
370,Muster::N,сёрма,disseny
371,Größe::N,сэрь,grandària
372,Größe::N,покшолма,grandària
373,Länge::N,кувалмо,longitud
374,Höhe::N,сэрь,altura
375,Höhe::N,сэрь,altitud
376,Höhe::N,пандо,altura
377,Höhe::N,пандо,altitud
378,Gewicht::N,сталмо,pes
379,Menge::N,лововкс,quantitat
380,Haufen::N,мар,pila
381,Haufen::N,валявкс,pila
382,Reihe::N,ряд,fila
383,Boot::N,венч,bot
384,Boot::N,венч,barca
385,Ruder::N,милё,rem
386,Schlitten::N,нурдт,trineu
387,Ski::N,сокс,esquí
388,Lagerfeuer::N,толбандя,foc de campament
389,Last::N,сталмо,càrrega
390,Last::N,кандома,càrrega
391,Gang::N,молема,marxa
392,Gang::N,якамо,marxa
393,Schritt::N,эскелькс,pas
394,Norden::N,якшамо ёнкс,nord
395,Süden::N,лембе ёнкс,sud
396,Westen::N,чивалгома,oest
397,Westen::N,чивалгома,occident
398,Osten::N,чилисема,est
399,Osten::N,чилисема,orient
400,Holz::N,чувто,fusta
401,Brett::N,лаз,taula
402,Platte::N,плита,placa
403,Stütze::N,неже,suport
404,Stange::N,олга,vara
405,Stock::N,мандо,pal
406,Stab::N,олога,bastó
407,Rohr::N,турба,tub
408,Haus::N,кудо,casa
409,Heim::N,кудо,llar
410,Ofen::N,каштомо,estufa
411,Fußboden::N,киякс,terra
412,Tisch::N,столь,taula
413,Stuhl::N,стул,cadira
414,Wiege::N,лавсь,bressol
415,Wiege::N,нурямот,bressol
416,Bett::N,ацамо,llit
417,Regal::N,лався,prestatgeria
418,Regal::N,лавсяланго,prestatgeria
419,Kiste::N,горобия,caixa
420,Kiste::N,сундук,caixa
421,Fenster::N,вальма,finestra
422,Tür::N,кенкш,porta
423,Tor::N,ортат,portal
424,Zaun::N,пирявт,tanca
425,Zaun::N,пирвякс,tanca
426,Dach::N,кудопря,teulada
427,Leiter::N,кузтема,escala
428,Leiter::N,кузтема,escala de mà
429,Besen::N,тенсть,escombra
430,Spaten::N,койме,pala
431,Schaufel::N,кече,pala
432,Schaufel::N,келей койме,pala
433,Gabel::N,сянгине,forquilla
434,Löffel::N,пенч,cullera
435,Messer::N,пеель,coltell
436,Nagel::N,эске,clau
437,Netz::N,алтыма,filat
438,Haken::N,кечказ,ganxo
439,Griff::N,кедне,puny
440,Griff::N,кедне,mànec
