,Concept_ID,he,cs
0,Auge::N,עין,oko
1,Ohr::N,אזן,ucho
2,Nase::N,אף,nos
3,Nase::N,חטם,nos
4,Mund::N,פה,pusa
5,Zahn::N,שן,zub
6,Zunge::N,לשון,jazyk
7,Lippe::N,שפה,ret
8,Wange::N,לחי,tvář
9,Gesicht::N,פנים,obličej
10,Stirn::N,מצח,čelo
11,Haar::N,שערה,vlas
12,Haar::N,שערה,vlasy
13,Schnurrbart::N,שפם,kníry
14,Bart::N,זקן,vousy
15,Kinn::N,סנטר,brada
16,Kiefer[Anatomie]::N,לסת,čelist
17,Kehle::N,גרון,hrdlo
18,Hals::N,צואר,krk
19,Genick::N,ערף,týl
20,Kopf::N,ראש,hlava
21,Rücken::N,גב,záda
22,Rücken::N,גב,hřbet
23,Bauch::N,בטן,břicho
24,Nabel::N,טבור,pupek
25,Busen::N,שד,ňadra
26,Brust::N,חזה,prsa
27,Schulter::N,כתף,plece
28,Schulter::N,כתף,rameno
29,Arm::N,זרוע,ruka
30,Ellenbogen::N,מרפק,loket
31,Hand::N,יד,ruka
32,Handfläche::N,כף יד,dlaň
33,Finger::N,אצבע,prst
34,Fingernagel::N,צפרן,nehet
35,Nagel[Anatomie]::N,צפרן,nehet
36,Zeh::N,אצבע,prst u nohy
37,Fuß::N,רגל,noha
38,Ferse::N,עקב,pata
39,Knie::N,ברך,koleno
40,Oberschenkel::N,ירך,stehno
41,Bein::N,רגל,noha
42,Körper::N,גוף,tělo
43,Haut::N,עור,kůže
44,Blut::N,דם,krev
45,Ader::N,וריד,céva
46,Sehne::N,גיד,šlacha
47,Knochen::N,עצם,kost
48,Gehirn::N,מוח,mozek
49,Herz::N,לב,srdce
50,Magen::N,קבה,žaludek
51,Leber::N,כבד,játra
52,Atem::N,נשימה,dech
53,Hunger::N,רעב,hlad
54,Träne::N,דמעה,slza
55,Geschmack::N,טעם,vkus
56,Geruch::N,ריח,vůně
57,Geruch::N,ריח,zápach
58,Schlaf::N,שנה,spánek
59,Traum::N,חלום,sen
60,Himmel::N,שמים,nebe
61,Sonne::N,שמש,slunce
62,Mond::N,ירח,měsíc
63,Stern::N,כוכב,hvězda
64,Luft::N,אויר,vzduch
65,Wind::N,רוח,vítr
66,Welle::N,גל,vlna
67,Wasser::N,מים,voda
68,Stein::N,אבן,kámen
69,Boden::N,קרקע,půda
70,Erde::N,אדמה,země
71,Staub::N,אבק,prach
72,Rauch::N,עשן,dým
73,Rauch::N,עשן,kouř
74,Funke::N,ניצוץ,jiskra
75,Feuer::N,אש,oheň
76,Licht::N,אור,světlo
77,Schatten::N,צל,stín
78,Wetter::N,מזג אויר,počasí
79,Nebel::N,ערפל,mlha
80,Wolke::N,ענן,mrak
81,Wolke::N,ענן,oblak
82,Regen::N,גשם,déšť
83,Schnee::N,שלג,sníh
84,Eis::N,קרח,led
85,Frost::N,צנה,mráz
86,Kälte::N,קר,chlad
87,Hitze::N,חם,horko
88,Raureif::N,כפור,jinovatka
89,Regenbogen::N,קשת,duha
90,Donner::N,רעם,hrom
91,Strömung::N,זרימה,proudění
92,Tropfen::N,טפה,kapka
93,Schaum::N,קצף,pěna
94,Schmutz::N,לכלוך,špína
95,See::N,אגם,jezero
96,Sumpf::N,בצה,močál
97,Sumpf::N,בצה,bažina
98,Moor::N,בצה,bažina
99,Moor::N,בצה,slatina
100,Wiese::N,מרעה,louka
101,Wald::N,יער,les
102,Hügel::N,תל,kopec
103,Anhöhe::N,מעלה,pahorek
104,Berg::N,הר,hora
105,Gipfel::N,פסגה,vrchol
106,Höhle::N,מערה,jeskyně
107,Abhang::N,מדרון,svah
108,Abhang::N,מדרון,stráň
109,Abhang::N,שפוע,svah
110,Abhang::N,שפוע,stráň
111,Quelle::N,מעין,pramen
112,Bach::N,נחל,potok
113,Fluss::N,נהר,řeka
114,Ufer::N,גדה,břeh
115,Küste::N,חוף,pobřeží
116,Festland::N,יבשה,souš
117,Festland::N,יבשה,pevnina
118,Meer::N,ים,moře
119,Bucht::N,מפרץ,záliv
120,Bucht::N,מפרץ,zátoka
121,Insel::N,אי,ostrov
122,Blume::N,פרח,květina
123,Gras::N,דשא,tráva
124,Wurzel::N,שרש,kořen
