,Concept_ID,mrj,ga
0,Auge::N,сӹнзӓ,súil
1,Ohr::N,пӹлӹш,cluas
2,Nase::N,нер,soc
3,Mund::N,ышма,béal
4,Zahn::N,пӱ,fiacail
5,Zunge::N,йӹлмӹ,teanga
6,Lippe::N,тӹрвӹ,liopa
7,Wange::N,шӹргӹ,grua
8,Wange::N,шӹргӹ,leiceann
9,Gesicht::N,лицӓ,éadan
10,Gesicht::N,лицӓ,aghaidh
11,Stirn::N,лепкӓ,baithis
12,Stirn::N,лепкӓ,clár éadain
13,Haar::N,ӱп,gruaig
14,Schnurrbart::N,öрш,croiméal
15,Bart::N,пандаш,féasóg
16,Kinn::N,онгылаш,smig
17,Kiefer[Anatomie]::N,пӱ арата,giall
18,Kehle::N,логер,scornach
19,Hals::N,шӱ,muinéal
20,Genick::N,ланга,baic
21,Kopf::N,вуй,ceann
22,Rücken::N,туп,droim
23,Bauch::N,мӹшкӹр,bolg
24,Nabel::N,кӹлӹмдӹ,imleacán
25,Busen::N,цӹзӹ,cíoch
26,Brust::N,мел,brollach
27,Schulter::N,ӹнгӹжӓ,gualainn
28,Arm::N,кид,lámh
29,Ellenbogen::N,кӹнервуй,uillinn
30,Hand::N,лапа,lámh
31,Handfläche::N,кид лапа,bos
32,Finger::N,парня,méar
33,Fingernagel::N,кӹч,ionga
34,Nagel[Anatomie]::N,кӹч,ionga
35,Zeh::N,парня,ladhar
36,Fuß::N,ял лапа,cos
37,Fuß::N,ял лапа,troigh
38,Ferse::N,ялгавал,sáil
39,Ferse::N,ял кавал,sáil
40,Knie::N,пылвуй,glúin
41,Oberschenkel::N,ӓрдӹ,ceathrú
42,Bein::N,ял,cos
43,Körper::N,монгыр,corp
44,Körper::N,монгыр,colainn
45,Haut::N,кавашты,cneas
46,Haut::N,кавашты,craiceann
47,Blut::N,вӹр,fuil
48,Ader::N,вӹршӓр,
49,Sehne::N,кукшышӱн,teannán
50,Sehne::N,кукшышӱн,féitheog
51,Knochen::N,лу,cnámh
52,Gehirn::N,вим,inchinn
53,Herz::N,шӱм,croí
54,Magen::N,шӱм,bolg
55,Magen::N,шӱм,goile
56,Leber::N,мокш,ae
57,Atem::N,шӱлӹш,anáil
58,Hunger::N,шужымаш,ocras
59,Träne::N,сӹнзӓвӹд,deoir
60,Geschmack::N,тот,blas
61,Geruch::N,пыш,boladh
62,Schlaf::N,ом,suan
63,Schlaf::N,ом,codladh
64,Traum::N,ом,taibhreamh
65,Himmel::N,пӹлгом,spéir
66,Sonne::N,кечӹ,grian
67,Mond::N,тӹлзӹ,ré
68,Mond::N,тӹлзӹ,gealach
69,Stern::N,шӹдӹр,rinn
70,Stern::N,шӹдӹр,réalta
71,Luft::N,юж,aer
72,Luft::N,воздух,aer
73,Wind::N,мардеж,gaoth
74,Welle::N,ко,tonn
75,Welle::N,коэ,tonn
76,Wasser::N,вӹд,uisce
77,Stein::N,кӱ,cloch
78,Boden::N,рок,talamh
79,Erde::N,свет,cré
80,Erde::N,свет,ithir
81,Staub::N,пырак,dusta
82,Staub::N,пырак,deannach
83,Rauch::N,шӹкш,toit
84,Rauch::N,шӹкш,deatach
85,Funke::N,ип,drithle
86,Funke::N,тылип,drithle
87,Feuer::N,тыл,tine
88,Licht::N,соты,solas
89,Licht::N,валгыды,solas
90,Schatten::N,ӹмӹл,scáth
91,Wetter::N,игечӹ,aimsir
92,Nebel::N,тӹтӹрӓ,ceo
93,Wolke::N,пӹл,néal
94,Wolke::N,пӹл,scamall
95,Regen::N,юр,báisteach
96,Regen::N,юр,fearthainn
97,Schnee::N,лым,sneachta
98,Eis::N,и,oighear
99,Frost::N,ӱштӹ,sioc
100,Kälte::N,ӱштӹ,fuacht
101,Hitze::N,шокшы,teas
102,Hitze::N,шокшы,teocht
103,Raureif::N,пöрш,sioc bán
104,Regenbogen::N,шанавӹл,stua ceatha
105,Regenbogen::N,шанавӹл,bogha báistí
106,Donner::N,хӹдӹртӹш,toirneach
107,Strömung::N,йогы,sruth
108,Tropfen::N,капльы,deoir
109,Tropfen::N,капльык,deoir
110,Schaum::N,шонг,cúr
111,Schmutz::N,лявӹрӓ,salachar
112,See::N,йӓр,loch
113,Sumpf::N,лӱкӹ,portach
114,Moor::N,куп,caorán
115,Moor::N,куп,móinteán
116,Wiese::N,алык,cluain
117,Wiese::N,алык,móinéar
118,Wald::N,шӹргӹ,coill
119,Wald::N,шӹргӹ,foraois
120,Hügel::N,пӱгӹрикӓ,ard
121,Anhöhe::N,кӱкшикӓ,ard
122,Anhöhe::N,кӱкшикӓ,ardán
123,Berg::N,кырык,sliabh
124,Gipfel::N,неркӓ,barr
125,Gipfel::N,неркӓ,mullach
126,Höhle::N,ы́раж,uaimh
127,Höhle::N,ы́раж,pluais
128,Abhang::N,полом,fána
129,Quelle::N,вӹдсӹнзӓ,foinse
130,Bach::N,ӓнгӹр,sruthán
131,Fluss::N,вӹд,abhainn
132,Ufer::N,сир,bruach
133,Küste::N,сир,cósta
134,Küste::N,сир,cladach
135,Festland::N,мӱлӓндӹ,míntír
136,Meer::N,тангыж,muir
137,Meer::N,тангыж,farraige
138,Bucht::N,вӹдъял,bá
139,Bucht::N,вӹдъял,cuan
140,Insel::N,острок,inis
141,Insel::N,острок,oileán
142,Blume::N,пеледӹш,bláth
143,Gras::N,шуды,féar
144,Wurzel::N,важ,rúta
145,Wurzel::N,важ,fréamh
146,Baum::N,пушӓнгӹ,crann
147,Stamm::N,пушӓнгӹ тӹнг,stoc
148,Stamm::N,пушӓнгӹ тӹнг,tamhan
149,Rinde::N,каргыж,coirt
150,Rinde::N,каргыж,craiceann
151,Ast::N,укш,géag
152,Zweig::N,укш,géag
153,Zweig::N,укш,craobh
154,Blatt::N,листӹ,duille
155,Blatt::N,листӹ,duilleog
156,Birke::N,куги,beith
157,Birke::N,куги,crann beithe
158,Kiefer[Baum]::N,йӓктӹ,péine
159,Weide[Baum]::N,уа,saileach
160,Tanne::N,кож,giúis
161,Horn::N,шур,adharc
162,Feder::N,пын,cleite
163,Fell::N,кавашты,clúmh
164,Flügel::N,шылдыр,eite
165,Flügel::N,шылдыр,sciathán
166,Klaue::N,кӹч,crúb
167,Klaue::N,кӹч,crobh
168,Kralle::N,лапа,crobh
169,Schwanz::N,пач,eireaball
170,Ei::N,мыны,ubh
171,Nest::N,пӹжӓш,nead
172,Bau::N,ыраж,brocais
173,Tier::N,во́льык,ainmhí
174,Tier::N,во́льык,beithíoch
175,Herde::N,кӹтö,tréad
176,Kuh::N,ышкал,bó
177,Bulle::N,ӱшкӱж,tarbh
178,Pferd::N,имни,each
179,Pferd::N,имни,capall
180,Schaf::N,шарык,caora
181,Schwein::N,сасна,muc
182,Hund::N,пи,madra
183,Katze::N,коти,cat
184,Bär::N,мöскӓ,béar
185,Eichhörnchen::N,ур,iora
186,Elch::N,шарды,eilc
187,Fuchs::N,рӹвӹж,sionnach
188,Fuchs::N,рӹвӹж,madra rua
189,Hase::N,морен,giorria
190,Maus::N,каля,luch
191,Wolf::N,пирӹ,mac tíre
192,Vogel::N,кек,éan
193,Schwarm::N,цуца,saithe
194,Huhn::N,цӹвӹ,cearc
195,Hahn::N,ӓптӓн,coileach
196,Gans::N,комбы,gé
197,Adler::N,кучкыж,iolar
198,Ente::N,лыды,lacha
199,Eule::N,тымана,ulchabhán
200,Kranich::N,тырня,grús
201,Kranich::N,тыртня,grús
202,Krähe::N,лудыгарак,caróg
203,Krähe::N,лудыгарак,préachán
204,Kuckuck::N,куку,cuach
205,Schwan::N,йӱксӹ,eala
206,Fisch::N,кол,iasc
207,Barsch::N,алангы,péirse
208,Hecht::N,нуж,liús
209,Hecht::N,нужгол,liús
210,Schlange[Tier]::N,кӹшкы,nathair
211,Wurm::N,шукш,péist
212,Spinne::N,ӓнгӹремшӹ,damhán alla
213,Ameise::N,кыткы,seangán
214,Laus::N,ти,míol
215,Mücke::N,кужнер,muiscít
216,Mücke::N,кужнер,corrmhíol
217,Mücke::N,кужынер,muiscít
218,Mücke::N,кужынер,corrmhíol
219,Fliege::N,шӹнгӓ,cuil
220,Fliege::N,шӹнгӓ,cuileog
221,Schmetterling::N,лӹпӹ,féileacán
222,Beere::N,мöр,caor
223,Apfel::N,олма,úll
224,Pilz::N,понгы,beacán
225,Pilz::N,понгы,muisiriún
226,Zwiebel::N,охыра,oinniún
227,Saat::N,нӱшмӹ,síol
228,Saat::N,нӱшмӱ,síol
229,Korn::N,пӹрцӹ,gráinne
230,Heu::N,шуды,féar
231,Schale::N,аваха,scaimh
232,Schale::N,карлангы,scaimh
233,Grube::N,йӓм,poll
234,Falle::N,лӱдӹ,gaiste
235,Falle::N,лӱдӹш,gaiste
236,Schlinge::N,онгы,sealán
237,Spur::N,кишӓ,rian
238,Asche::N,ломых,luaith
239,Asche::N,ломпыж,luaith
240,Dreck::N,лявӹрӓ,salachar
241,Eisen::N,кӹртни,iarann
242,Gold::N,шöртни,ór
243,Gold::N,шöртньӹ,ór
244,Silber::N,ши,airgead
245,Kohle::N,шӱ,gual
246,Glas::N,охоница,gloine
247,Lehm::N,шун,cré
248,Sand::N,ошма,gaineamh
249,Mensch::N,эдем,duine
250,Mann::N,пӱэргӹ,fear
251,Frau::N,ӹдӹрӓмӓш,bean
252,Kind::N,ӓзӓ,gasúr
253,Kind::N,ӓзӓ,páiste
254,Kind::N,шачшы,gasúr
255,Kind::N,шачшы,páiste
256,Junge::N,рвезӹ,buachaill
257,Junge::N,ӹрвезӹ,buachaill
258,Mädchen::N,ӹдӹрӓш,cailín
259,Familie::N,йиш,teaghlach
260,Familie::N,йиш,comhluadar
261,Familie::N,семня,teaghlach
262,Familie::N,семня,comhluadar
263,Großvater::N,тьоти,seanathair
264,Großmutter::N,папа,seanmháthair
265,Eltern::N,ӓтя-ӓвӓ,tuismitheoirí
266,Vater::N,ӓтя,athair
267,Mutter::N,ӓвӓ,máthair
268,Sohn::N,эргӹ,mac
269,Tochter::N,ӹдӹр,iníon
270,Bruder::N,ӹза,deartháir
271,Schwester::N,ӓкӓ,deirfiúr
272,Onkel::N,кугуза,uncail
273,Tante::N,куака,aintín
274,Ehemann::N,мары,fear céile
275,Ehefrau::N,вӓтӹ,bean chéile
276,Freude::N,ӹвӹртӹмӓш,áthas
277,Gelächter::N,ваштылмаш,gáire
278,Glück::N,пиӓл,séan
279,Glück::N,пиӓл,sonas
280,Kummer::N,ясы,brón
281,Kummer::N,ясы,buairt
282,Wunsch::N,охата,guí
283,Wunsch::N,охата,achainí
284,Wunsch::N,шанымаш,guí
285,Wunsch::N,шанымаш,achainí
286,Lust::N,шӓр,fonn
287,Lust::N,охата,fonn
288,Lust::N,шанымаш,fonn
289,Geist::N,тух,meon
290,Geist::N,тух,spiorad
291,Gedanke::N,шанымаш,smaoineamh
292,Gedächtnis::N,ӓш,cuimhne
293,Verstand::N,ыш,ciall
294,Verstand::N,ыш,intinn
295,Sinn::N,кын,brí
296,Sinn::N,кын,ciall
297,Grund::N,вир,fáth
298,Wahrheit::N,тöр,fírinne
299,Gespräch::N,хытырымаш,comhrá
300,Märchen::N,ямак,scéal
301,Erzählung::N,шайыштмаш,scéal
302,Nachricht::N,увертӓрӹмӓш,teachtaireacht
303,Neuigkeit::N,увер,scéala
304,Name::N,лӹм,ainm
305,Rätsel::N,тышты,tomhas
306,Rede::N,шая,óráid
307,Rede::N,шая,aitheasc
308,Rede::N,шамак,óráid
309,Rede::N,шамак,aitheasc
310,Sprache::N,йӹлмӹ,teanga
311,Stimme::N,юк,guth
312,Wort::N,шамак,focal
313,Zeichen::N,палӹ,comhartha
314,Ruf::N,сӹгӹрӹмӓш,glaoch
315,Lärm::N,юкланымащ,torann
316,Laut::N,юк,fuaim
317,Ton::N,юк,ton
318,Lied::N,мыры,amhrán
319,Ruhe::N,тыр,suaimhneas
320,Leute::N,эдемвлӓ,muintir
321,Volk::N,халык,pobal
322,Arbeit::N,пӓшӓ,obair
323,Gast::N,хына,aoi
324,Geschenk::N,подарка,féirín
325,Geschenk::N,подарка,bronntanas
326,Spiel::N,мадыш,cluiche
327,Gesellschaft::N,йӓл,comhluadar
328,Gesellschaft::N,йӓлвлӓ,comhluadar
329,Hilfe::N,палшык,cúnamh
330,Hilfe::N,палшык,cabhair
331,Freund::N,тӓнг,cara
332,Kamerad::N,тос,comrádaí
333,Angelegenheit::N,дела,ábhar
334,Angelegenheit::N,йела,ábhar
335,Angelegenheit::N,йыла,ábhar
336,Angelegenheit::N,пӓшӓ,ábhar
337,Anzahl::N,шот,líon
338,Art::N,цӹре,sórt
339,Art::N,цӹре,saghas
340,Stück::N,лаштык,píosa
341,Teil::N,пай,cuid
342,Teil::N,пай,páirt
343,Teil::N,часть,cuid
344,Teil::N,часть,páirt
345,Hälfte::N,пел,leath
346,Kreis::N,тӹртӹш,ciorcal
347,Kreuz::N,крестӹ,cros
348,Abstand::N,ло,achar
349,Entfernung::N,ло,fad
350,Gegend::N,вӓр,ceantar
351,Platz::N,вӓр,áit
352,Platz::N,вӓр,spás
353,Ort::N,вӓр,áit
354,Seite::N,öрдӹж,taobh
355,Mitte::N,ло,lár
356,Gegenstand::N,хӓдӹр,ball
357,Gegenstand::N,хӓдӹр,ábhar
358,Sache::N,хӓдӹр,ní
359,Sache::N,хӓдӹр,rud
360,Rand::N,шöр,imeall
361,Rand::N,шöр,ciumhais
362,Kante::N,шöр,corr
363,Kante::N,шöр,colbha
364,Ecke::N,лык,coirnéal
365,Spitze::N,вуй,gob
366,Spitze::N,вуй,barr
367,Ende::N,вуй,ceann
368,Ende::N,вуй,foirceann
369,Ende::N,мычаш,ceann
370,Ende::N,мычаш,foirceann
371,Loch::N,ыраж,poll
372,Winkel::N,лык,cúinne
373,Winkel::N,лык,uillinn
374,Muster::N,тӹрлец,patrún
375,Größe::N,кӱкшӹц,méid
376,Größe::N,кӱкшӹц,toise
377,Länge::N,кыт,fad
378,Höhe::N,кӱкшӹц,airde
379,Gewicht::N,нелӹц,meáchan
380,Menge::N,шот,méid
381,Haufen::N,ара,cnap
382,Reihe::N,ряд,líne
383,Reihe::N,ряд,sraith
384,Boot::N,пыш,bád
385,Ruder::N,вешлӓ,rámh
386,Ruder::N,вешлӓ,maide rámha
387,Schlitten::N,тир,carr sleamhnáin
388,Ski::N,ечӹ,scí
389,Lagerfeuer::N,тыл,tine champa
390,Last::N,нелӹц,ualach
391,Gang::N,ход,siúlóid
392,Schritt::N,ашкыл,céim
393,Schritt::N,ашкыл,coiscéim
394,Norden::N,йыдпелвел,tuaisceart
395,Süden::N,кечӹвӓлвел,deisceart
396,Westen::N,кечӹ шӹцмӹ,iarthar
397,Osten::N,ирвел,oirthear
398,Osten::N,кечӹ лӱлтмӹ,oirthear
399,Holz::N,пушӓнгӹ,adhmad
400,Brett::N,ханга,clár
401,Platte::N,плитӓ,leac
402,Stütze::N,цӓрӓк,taca
403,Stange::N,равы,polla
404,Stange::N,равы,cuaille
405,Stange::N,намаш,polla
406,Stange::N,намаш,cuaille
407,Stock::N,панды,bata
408,Stock::N,панды,maide
409,Stab::N,равы,maide
410,Stab::N,равы,bachall
411,Rohr::N,пыч,píopa
412,Haus::N,пöрт,teach
413,Heim::N,пöрт,baile
414,Ofen::N,камака,sornóg
415,Fußboden::N,седӹрӓ,urlár
416,Tisch::N,стöл,bord
417,Tisch::N,стöл,tábla
418,Stuhl::N,пöкен,cathaoir
419,Wiege::N,шипкӓ,cliabhán
420,Bett::N,койка,leaba
421,Bett::N,кравать,leaba
422,Regal::N,полицӓ,seilf
423,Kiste::N,шӱ́ндӹк,bosca
424,Fenster::N,окня,fuinneoig
425,Tür::N,амаса,doras
426,Tor::N,хапка,geata
427,Zaun::N,забор,fál
428,Zaun::N,забор,claí
429,Dach::N,левӓш,díon
430,Leiter::N,ташкалтыш,dréimire
431,Besen::N,сало,scuab
432,Besen::N,салко,scuab
433,Spaten::N,кольмы,spád
434,Spaten::N,кольмы,rámhainn
435,Schaufel::N,лоток,sluasaid
436,Gabel::N,ви́лка,forc
437,Gabel::N,ви́лка,gabhlóg
438,Löffel::N,савала,spúnóg
439,Messer::N,кӹзӹ,scian
440,Nagel::N,пыда,tairne
441,Netz::N,вӓпш,líon
442,Netz::N,вӓпш,eangach
443,Haken::N,крӱк,croch
444,Haken::N,кагак,croch
445,Griff::N,кычем,cos
446,Griff::N,кычем,hanla
447,Schloss::N,замок,glas
448,Schloss::N,сыравач,glas
449,Bild::N,картин,pictiúr
450,Figur::N,кӓн,fíor
451,Puppe::N,поханя,bábóg
452,Beutel::N,мешӓк,mála
453,Beutel::N,мешӓк,mealbhóg
454,Bündel::N,топ,beart
455,Bündel::N,пидӹш,beart
456,Bündel::N,кӹлдӹш,beart
457,Tasche::N,сумкы,mála
458,Eimer::N,ведӹрӓ,buicéad
459,Deckel::N,комдыш,clár
460,Deckel::N,комдыш,claibín
461,Geschirr::N,ӓтӹ,soithí
462,Geschirr::N,ӓтӹ,gréithe
463,Sack::N,мешӓк,sac
464,Sack::N,мешӓк,mála
465,Tasse::N,цӓшкӓ,cupán
466,Topf::N,ми́ска,pota
467,Kessel::N,пад,citeal
468,Essen::N,качкыш,béile
469,Essen::N,качкыш-йӱш,béile
470,Nahrung::N,качкыш,bia
471,Nahrung::N,качкыш-йӱш,bia
472,Speise::N,няня,mias
473,Fleisch::N,пай,feoil
474,Getreide::N,киндӹ,grán
475,Getreide::N,киндӹ,arbhar
476,Brei::N,шӹрӓш,brúitín
477,Brot::N,сыкыр,arán
