,Concept_ID,fr,el
0,Auge::N,œil,μάτι
1,Auge::N,œil,οφθαλμός
2,Ohr::N,oreille,αυτί
3,Nase::N,nez,μύτη
4,Mund::N,bouche,στόμα
5,Zahn::N,dent,δόντι
6,Zunge::N,langue,γλώσσα
7,Lippe::N,lèvre,χείλος
8,Wange::N,joue,παρειά
9,Wange::N,joue,μάγουλο
10,Gesicht::N,face,πρόσωπο
11,Gesicht::N,visage,πρόσωπο
12,Stirn::N,front,μέτωπο
13,Haar::N,cheveu,μαλλιά
14,Schnurrbart::N,moustache,μουστάκι
15,Bart::N,barbe,γένια
16,Kinn::N,menton,πιγούνι
17,Kiefer[Anatomie]::N,mâchoire,σαγόνι
18,Kehle::N,gorge,λαρύγγι
19,Hals::N,cou,λαιμός
20,Genick::N,nuque,σβέρκος
21,Kopf::N,tête,κεφάλι
22,Rücken::N,dos,ράχη
23,Bauch::N,ventre,κοιλιά
24,Nabel::N,nombril,αφαλός
25,Busen::N,sein,στήθος
26,Brust::N,poitrine,στήθος
27,Schulter::N,épaule,ώμος
28,Arm::N,bras,χέρι
29,Arm::N,bras,μπράτςο
30,Ellenbogen::N,coude,αγκώνας
31,Hand::N,main,χέρι
32,Handfläche::N,paume,παλάμη
33,Finger::N,doigt,δάχτυλο
34,Fingernagel::N,ongle,νύχι
35,Nagel[Anatomie]::N,ongle,νύχι
36,Zeh::N,orteil,δάχτυλο του ποδιού
37,Zeh::N,doigt de pied,δάχτυλο του ποδιού
38,Fuß::N,pied,πόδι
39,Ferse::N,talon,φτέρνα
40,Knie::N,genou,γόνατο
41,Oberschenkel::N,cuisse,μηρός
42,Bein::N,jambe,πόδι
43,Körper::N,corps,σώμα
44,Körper::N,corps,κορμί
45,Haut::N,peau,πετσί
46,Blut::N,sang,αίμα
47,Ader::N,veine,φλέβα
48,Sehne::N,tendon,νεύρο
49,Sehne::N,tendon,τένοντας
50,Knochen::N,os,οστό
51,Knochen::N,os,κόκκαλο
52,Gehirn::N,cerveau,μυαλό
53,Gehirn::N,cerveau,εγκέφαλος
54,Herz::N,cœur,καρδιά
55,Magen::N,estomac,στομάχι
56,Leber::N,foie,ήπαρ
57,Leber::N,foie,συκωτί
58,Atem::N,haleine,αναπνοή
59,Hunger::N,faim,πείνα
60,Träne::N,larme,δάκρυ
61,Geschmack::N,goût,γεύση
62,Geschmack::N,saveur,γεύση
63,Geruch::N,odeur,οσμή
64,Geruch::N,odeur,μυρωδία
65,Schlaf::N,sommeil,ύπνος
66,Traum::N,songe,όνειρο
67,Himmel::N,ciel,ουρανός
68,Sonne::N,soleil,ήλιος
69,Mond::N,lune,σελήνη
70,Mond::N,lune,φεγγάρι
71,Stern::N,étoile,άστρο
72,Stern::N,étoile,αστέρι
73,Luft::N,air,αέρας
74,Wind::N,vent,αέρας
75,Wind::N,vent,άνεμος
76,Welle::N,vague,κύμα
77,Wasser::N,eau,νερό
78,Stein::N,pierre,πέτρα
79,Boden::N,sol,χώμα
80,Boden::N,terrain,χώμα
81,Erde::N,terre,γη
82,Staub::N,poussière,σκόνη
83,Rauch::N,fumée,καπνός
84,Funke::N,étincelle,σπίθα
85,Funke::N,étincelle,σπινθήρας
86,Feuer::N,feu,φωτιά
87,Licht::N,lumière,φως
88,Schatten::N,ombre,σκιά
89,Schatten::N,ombre,ίσκιος
90,Wetter::N,temps,καιρός
91,Nebel::N,brume,ομίχλη
92,Nebel::N,brouillard,ομίχλη
93,Wolke::N,nuage,σύννεφο
94,Regen::N,pluie,βροχή
95,Schnee::N,neige,χιόνι
96,Eis::N,glace,πάγος
97,Frost::N,gel,παγωνία
98,Frost::N,gelée,παγωνία
99,Kälte::N,froid,κρύο
100,Kälte::N,froid,ψύχος
101,Hitze::N,chaleur,ζέστη
102,Raureif::N,givre,πάχνη
103,Regenbogen::N,arc-en-ciel,ουράνιο τόξο
104,Donner::N,tonnerre,βροντή
105,Strömung::N,courant,ρεύμα
106,Tropfen::N,goutte,στάλα
107,Schaum::N,écume,αφρός
108,Schaum::N,mousse,αφρός
109,Schmutz::N,boue,βρωμιά
110,Schmutz::N,saleté,βρωμιά
111,See::N,lac,λίμνη
112,Sumpf::N,marais,βάλτος
113,Sumpf::N,marécage,βάλτος
114,Moor::N,tourbière,έλος
115,Wiese::N,pré,λιβάδι
116,Wald::N,bois,δάσος
117,Wald::N,forêt,δάσος
118,Hügel::N,coteau,λόφος
119,Hügel::N,colline,λόφος
120,Anhöhe::N,éminence,ύψωμα
121,Anhöhe::N,élévation,ύψωμα
122,Berg::N,mont,όρος
123,Berg::N,mont,βουνό
124,Berg::N,montagne,όρος
125,Berg::N,montagne,βουνό
126,Gipfel::N,cime,κορυφή
127,Gipfel::N,sommet,κορυφή
128,Höhle::N,caverne,σπηλιά
129,Abhang::N,pente,πλαγιά
130,Abhang::N,versant,πλαγιά
131,Quelle::N,source,πηγή
132,Quelle::N,source,βρύση
133,Quelle::N,fontaine,πηγή
134,Quelle::N,fontaine,βρύση
135,Bach::N,ruisseau,ρυάκι
136,Fluss::N,fleuve,ποτάμι
137,Fluss::N,fleuve,ποταμός
138,Fluss::N,rivière,ποτάμι
139,Fluss::N,rivière,ποταμός
140,Ufer::N,bord,όχθη
141,Ufer::N,rivage,όχθη
142,Küste::N,côte,ακτή
143,Küste::N,côte,ακρογιαλιά
144,Festland::N,terre ferme,στεριά
145,Meer::N,mer,θάλασσα
146,Bucht::N,baie,κόλπος
147,Insel::N,île,νησί
148,Insel::N,île,νήσος
149,Blume::N,fleur,άνθος
