,Concept_ID,de,pt
0,Auge::N,Auge,olho
1,Ohr::N,Ohr,orelha
2,Nase::N,Nase,nariz
3,Mund::N,Mund,boca
4,Zahn::N,Zahn,dente
5,Zunge::N,Zunge,língua
6,Lippe::N,Lippe,lábio
7,Wange::N,Wange,face
8,Gesicht::N,Gesicht,cara
9,Gesicht::N,Gesicht,rosto
10,Stirn::N,Stirn,testa
11,Haar::N,Haar,cabelo
12,Schnurrbart::N,Schnurrbart,bigode
13,Bart::N,Bart,barba
14,Kinn::N,Kinn,queixo
15,Kiefer[Anatomie]::N,Kiefer,maxila
16,Kiefer[Anatomie]::N,Kiefer,mandíbula
17,Kehle::N,Kehle,garganta
18,Hals::N,Hals,colo
19,Hals::N,Hals,pescoço
20,Genick::N,Genick,nuca
21,Kopf::N,Kopf,cabeça
22,Rücken::N,Rücken,dorso
23,Rücken::N,Rücken,costas
24,Bauch::N,Bauch,ventre
25,Bauch::N,Bauch,barriga
26,Nabel::N,Nabel,umbigo
27,Busen::N,Busen,seio
28,Brust::N,Brust,peito
29,Schulter::N,Schulter,ombro
30,Arm::N,Arm,braço
31,Ellenbogen::N,Ellenbogen,cotovelo
32,Hand::N,Hand,mão
33,Handfläche::N,Handfläche,palma
34,Handfläche::N,Handfläche,palma da mão
35,Finger::N,Finger,dedo
36,Fingernagel::N,Fingernagel,unha
37,Nagel[Anatomie]::N,Nagel,unha
38,Zeh::N,Zeh,dedo do pé
39,Fuß::N,Fuß,pé
40,Ferse::N,Ferse,calcanhar
41,Knie::N,Knie,joelho
42,Oberschenkel::N,Oberschenkel,coxa
43,Bein::N,Bein,perna
44,Körper::N,Körper,corpo
45,Haut::N,Haut,pele
46,Blut::N,Blut,sangue
47,Ader::N,Ader,veia
48,Sehne::N,Sehne,tendão
49,Knochen::N,Knochen,osso
50,Gehirn::N,Gehirn,cérebro
51,Herz::N,Herz,coração
52,Magen::N,Magen,estômago
53,Leber::N,Leber,fígado
54,Atem::N,Atem,fôlego
55,Hunger::N,Hunger,fome
56,Träne::N,Träne,lágrima
57,Geschmack::N,Geschmack,gosto
58,Geruch::N,Geruch,odor
59,Geruch::N,Geruch,cheiro
60,Schlaf::N,Schlaf,sono
61,Traum::N,Traum,sonho
62,Himmel::N,Himmel,céu
63,Sonne::N,Sonne,sol
64,Mond::N,Mond,lua
65,Stern::N,Stern,estrela
66,Luft::N,Luft,ar
67,Wind::N,Wind,vento
68,Welle::N,Welle,onda
69,Wasser::N,Wasser,água
70,Stein::N,Stein,pedra
71,Boden::N,Boden,solo
72,Erde::N,Erde,terra
73,Staub::N,Staub,pó
74,Rauch::N,Rauch,fumo
75,Funke::N,Funke,faísca
76,Funke::N,Funke,centelha
77,Feuer::N,Feuer,fogo
78,Licht::N,Licht,luz
79,Schatten::N,Schatten,sombra
80,Wetter::N,Wetter,tempo
81,Nebel::N,Nebel,nevoeiro
82,Wolke::N,Wolke,nuvem
83,Regen::N,Regen,chuva
84,Schnee::N,Schnee,neve
85,Eis::N,Eis,gelo
86,Frost::N,Frost,gelo
87,Frost::N,Frost,geada
88,Kälte::N,Kälte,frio
89,Hitze::N,Hitze,ardor
90,Raureif::N,Raureif,geada
91,Regenbogen::N,Regenbogen,arco-iris
92,Donner::N,Donner,trovão
93,Strömung::N,Strömung,corrente
94,Tropfen::N,Tropfen,gota
