,Concept_ID,lez,ko
0,Auge::N,вил,눈
1,Ohr::N,яб,귀
2,Nase::N,нер,코
3,Mund::N,сив,입
4,Zahn::N,сас,이
5,Zahn::N,свах,이
6,Zunge::N,мез,혀
7,Lippe::N,пӏуз,입술
8,Wange::N,хъвехъ,뺨
9,Gesicht::N,ччин,얼굴
10,Stirn::N,пел,이마
11,Haar::N,чӏар,털
12,Schnurrbart::N,спел,윗수몀
13,Schnurrbart::N,спел,코밑수염
14,Schnurrbart::N,спелар,윗수몀
15,Schnurrbart::N,спелар,코밑수염
16,Bart::N,ччуру,수엄
17,Kinn::N,чене,아래턱
18,Kiefer[Anatomie]::N,чене,턱
19,Kehle::N,туьд,인후
20,Hals::N,гардан,목
21,Genick::N,кьам,먹덜이
22,Kopf::N,кьил,머리
23,Rücken::N,далу,든
24,Bauch::N,руфун,배
25,Nabel::N,пицӏ,배꼽
26,Busen::N,мам,가슴속
27,Brust::N,хур,가슴
28,Schulter::N,къуьн,어깨
29,Arm::N,гъил,팔
30,Ellenbogen::N,кьуьнт,팔쿰치
31,Hand::N,капаш,손
32,Handfläche::N,капан юкь,손바닥
33,Finger::N,тӏуб,속가락
34,Fingernagel::N,кек,손톱
35,Nagel[Anatomie]::N,кек,손톱
36,Zeh::N,кул,발가락
37,Fuß::N,кӏвач,발
38,Ferse::N,дабан,발꿈치
39,Knie::N,мет,무릎
40,Bein::N,кӏвач,다리
41,Körper::N,беден,구간
42,Haut::N,хам,살갗
43,Blut::N,иви,피
44,Ader::N,дамар,정맥
45,Sehne::N,кьуру дамар,현
46,Knochen::N,кӏараб,뼈
47,Gehirn::N,мефт,뇌
48,Gehirn::N,мефт,뇌수
49,Herz::N,рикӏ,염통
50,Magen::N,хук,위
51,Leber::N,лекь,간
52,Atem::N,ял,기식
53,Atem::N,нефес,기식
54,Hunger::N,каш,공복
55,Träne::N,вилин нагъв,눈물
56,Geschmack::N,дад,기호
57,Geschmack::N,тӏям,기호
58,Geruch::N,ни,냄새
59,Schlaf::N,ахвар,수면
60,Traum::N,ахвар,쿰
61,Himmel::N,цав,하늘
62,Sonne::N,рагъ,해
63,Mond::N,варз,달
64,Stern::N,гъед,별
65,Luft::N,гьава,동준
66,Luft::N,гьава,가스채
67,Wind::N,гар,바람
68,Welle::N,лепе,물결
69,Wasser::N,яд,물
70,Stein::N,къван,돌
71,Boden::N,накьв,바닥
72,Erde::N,ччил,흙
73,Staub::N,руг,먼지
74,Rauch::N,гум,연기
75,Funke::N,цӏелхем,불티
76,Feuer::N,цӏай,불
77,Licht::N,экв,불
78,Schatten::N,серин,어스레함
79,Wetter::N,гьава,기상
80,Nebel::N,ччилин циф,안개
81,Wolke::N,циф,구름
82,Regen::N,марф,비
83,Schnee::N,жив,눈
84,Eis::N,мурк,얼음
85,Frost::N,аяз,혹한
86,Kälte::N,мекь,추위
87,Kälte::N,мекь,차가움
88,Kälte::N,мекьивал,추위
89,Kälte::N,мекьивал,차가움
90,Hitze::N,зегьем,고온
91,Hitze::N,зегьем,더위
92,Raureif::N,къирав,
93,Regenbogen::N,яргъируш,무지개
94,Donner::N,цавун ван,뇌명
95,Tropfen::N,стӏал,물방울
96,Schaum::N,каф,포말
97,Schmutz::N,чирк,때
98,Schmutz::N,кьуруш,때
99,See::N,вир,호수
100,Sumpf::N,уьлен,습지
101,Wiese::N,векь,목초지
102,Wald::N,там,숲
103,Hügel::N,кӏунтӏ,언덕
104,Anhöhe::N,тепе,언덕
105,Anhöhe::N,гьуьндуьрвал,언덕
106,Berg::N,дагъ,산
107,Gipfel::N,кӏукӏ,졀졍
108,Höhle::N,кьветӏ,공동
109,Abhang::N,гуьне,몰매
110,Quelle::N,чешме,근원
111,Bach::N,булах,내
112,Fluss::N,вацӏ,강
113,Ufer::N,къерех,강변
114,Ufer::N,къерех,바닷가
115,Küste::N,къерех,해변
116,Küste::N,къерех,해변가
117,Festland::N,кьурамат,본토
118,Meer::N,гьуьл,바다
119,Bucht::N,бухта,협만
120,Insel::N,остров,섬
121,Blume::N,цуьк,꽃
122,Gras::N,хъач,풀
123,Wurzel::N,дувул,뿌리
124,Baum::N,ттар,나무
125,Stamm::N,тан,대
126,Rinde::N,чкал,나무껍질
127,Ast::N,тӏур,가지
128,Zweig::N,хел,가지
129,Blatt::N,пеш,잎
130,Birke::N,верх,자작나무
131,Kiefer[Baum]::N,шамагъаж,소나무
132,Weide[Baum]::N,цӏвелин ттар,쉬양버들
133,Tanne::N,ель,전나무
134,Horn::N,карч,뿔
135,Feder::N,цӏакул,깃털
136,Fell::N,хам,피혁모피
137,Flügel::N,лув,날개
138,Klaue::N,къармах,갈고리 발톺
139,Kralle::N,пац,발툭
140,Kralle::N,тапас,발툭
141,Schwanz::N,ттум,꼬리
142,Ei::N,кака,알
143,Nest::N,муг,보금자리
144,Bau::N,тӏеквен,굴
145,Tier::N,гьайван,짐승
146,Herde::N,суьруь,가축의떼
147,Kuh::N,ккал,암소
148,Bulle::N,яц,황소
149,Bulle::N,бугъа,황소
150,Pferd::N,балкӏан,말
151,Schaf::N,хеб,양
152,Schwein::N,вак,돼지
153,Hund::N,кицӏ,개
154,Katze::N,кац,고양이
155,Bär::N,сев,콤
156,Eichhörnchen::N,белка,다람쥐
157,Elch::N,лось,고라니
158,Fuchs::N,сикӏ,여우
159,Hase::N,къуьр,토끼
160,Maus::N,кьиф,쥐
161,Wolf::N,жанавур,늑대
162,Vogel::N,луван ничхир,새
163,Schwarm::N,луж,뗴
164,Huhn::N,верч,암탉
165,Hahn::N,кӏек,수탉
166,Gans::N,къаз,거위
167,Adler::N,лекь,수리
168,Ente::N,пӏатӏ,오리
169,Eule::N,тӏиб,부엉이
170,Kranich::N,дурна,두루미
171,Krähe::N,къаргъа,까마귀
172,Kuckuck::N,кукупӏ,뻐꾸기
173,Schwan::N,къугь,배조
174,Fisch::N,гъед,물고기
175,Barsch::N,окунь,농어
176,Hecht::N,щука,에속스
177,Schlange[Tier]::N,илан,뱀
178,Schlange[Tier]::N,гъуьлягъ,뱀
179,Wurm::N,квак,벌레
180,Spinne::N,хуьшрекан,거미
181,Ameise::N,цегв,개미
182,Laus::N,нет,이
183,Mücke::N,ветӏ,모기
184,Fliege::N,тӏветӏ,날기
185,Schmetterling::N,чепелукь,나비
186,Beere::N,куьлуь емиш,장과
187,Apfel::N,ич,사과
188,Pilz::N,къарникъуз,고방이
189,Zwiebel::N,чичӏек,양파
190,Saat::N,тумар,씨
191,Korn::N,твар,알맹이
192,Heu::N,векь,건초
193,Heu::N,векьер,건초
194,Schale::N,пириш,피상
195,Schale::N,хъуьруьш,피상
196,Grube::N,фур,
197,Falle::N,ракьар,함정
198,Schlinge::N,гьалкъа,올가미
199,Schlinge::N,гьалкъа,멜빵붕대
200,Spur::N,гел,발지국
201,Asche::N,руьхъ,재
202,Dreck::N,чирк,똥
203,Dreck::N,чирк,오물
204,Dreck::N,кьуруш,똥
205,Dreck::N,кьуруш,오물
206,Eisen::N,ракь,쇠
207,Eisen::N,ракь,철
208,Gold::N,алтун,항금
209,Silber::N,гимиш,은
210,Kohle::N,цӏивин,슻
211,Glas::N,шуьше,유리
212,Lehm::N,ччеб,찰흙
213,Sand::N,къум,모래
214,Mensch::N,инсан,사람
215,Mann::N,итим,남자
216,Frau::N,паб,여자
217,Frau::N,дишегьли,여자
218,Kind::N,аял,아이
219,Junge::N,гада,소녁
220,Mädchen::N,руш,소녀
221,Familie::N,хзан,가족
222,Familie::N,килфет,가족
223,Großvater::N,чӏехи буба,할아버지
224,Großmutter::N,чӏехи диде,할머니
225,Eltern::N,диде-буба,어버오
226,Vater::N,буба,아버지
227,Mutter::N,диде,어머니
228,Sohn::N,хва,아들
229,Tochter::N,руш,딸기
230,Bruder::N,стха,형제
231,Schwester::N,вах,누이
232,Onkel::N,ими,백부
233,Onkel::N,халу,백부
234,Tante::N,эме,아주머니
235,Tante::N,хала,아주머니
236,Ehemann::N,гъуьл,남편
237,Ehefrau::N,паб,아내
238,Freude::N,шадвал,기쁨
239,Gelächter::N,хъвер,웃음
240,Glück::N,бахт,즐거움
241,Kummer::N,дерт,슬픔
242,Kummer::N,хажалат,슬픔
243,Wunsch::N,мурад,소망
244,Lust::N,гьевес,
245,Geist::N,руьгь,할기
246,Gedanke::N,фикир,상념
247,Verstand::N,акьул,분별
248,Verstand::N,акьул,지능
249,Sinn::N,мана,센스
250,Grund::N,себеб,까닭
251,Wahrheit::N,керчек,참
252,Wahrheit::N,керчек,진실
