,Concept_ID,zh,ru
0,Auge::N,眼睛,глаз
1,Ohr::N,耳朵,ухо
2,Nase::N,鼻子,нос
3,Mund::N,嘴,рот
4,Zahn::N,牙齿,зуб
5,Zunge::N,舌头,язык
6,Lippe::N,嘴唇,губа
7,Wange::N,面颊,щека
8,Gesicht::N,脸,лицо
9,Stirn::N,额,лоб
10,Haar::N,头发,волос
11,Haar::N,头发,волосы
12,Schnurrbart::N,髭须,ус
13,Schnurrbart::N,髭须,усы
14,Bart::N,胡子,борода
15,Kinn::N,下巴,подбородок
16,Kiefer[Anatomie]::N,颌,челюсть
17,Kehle::N,嗓子,горло
18,Hals::N,颈,шея
19,Genick::N,后颈,затылок
20,Kopf::N,头,голова
21,Rücken::N,背,спина
22,Bauch::N,肚子,живот
23,Nabel::N,肚脐,пупок
24,Busen::N,胸脯,женская грудь
25,Brust::N,胸,грудь
26,Schulter::N,肩膀,плечо
27,Arm::N,臂膀,рука
28,Ellenbogen::N,肘,локоть
29,Hand::N,手,кисть
30,Handfläche::N,手掌,ладонь
31,Finger::N,手指,палец
32,Fingernagel::N,指甲,ноготь
33,Nagel[Anatomie]::N,指甲,ноготь
34,Zeh::N,脚趾,палец
35,Fuß::N,脚,ступня
36,Ferse::N,后跟,пята
37,Ferse::N,后跟,пятка
38,Knie::N,膝,колено
39,Oberschenkel::N,大腿,бедро
40,Bein::N,腿,нога
41,Körper::N,身体,тело
42,Haut::N,皮肤,кожа
43,Blut::N,血,кровь
44,Ader::N,血管,вена
45,Ader::N,血管,сосуд
46,Sehne::N,腱,жила
47,Sehne::N,腱,тетива
48,Sehne::N,腱,сухожилие
49,Knochen::N,骨,кость
50,Gehirn::N,脑,мозг
51,Herz::N,心,сердце
52,Magen::N,胃,желудок
53,Leber::N,肝,печень
54,Atem::N,呼吸,дух
55,Atem::N,呼吸,дыхание
56,Hunger::N,饿,голод
57,Träne::N,眼泪,слеза
58,Geschmack::N,味道,вкус
59,Geruch::N,气味,запах
60,Schlaf::N,睡眠,сон
