,Concept_ID,mhr,ce
0,Auge::N,шинча́,бӏаьрг
1,Ohr::N,пы́лыш,лерг
2,Nase::N,нер,мара
3,Mund::N,умша́,бага
4,Zahn::N,пӱй,церг
5,Zunge::N,йы́лме,мотт
6,Lippe::N,тӱ́рвӧ,балда
7,Wange::N,шӱ́ргӧ,бесни
8,Gesicht::N,чури́й,юьхь
9,Stirn::N,саҥга́,хьаж
10,Haar::N,ӱп,мас
11,Schnurrbart::N,ӧ́рыш,мекх
12,Bart::N,понда́ш,маж
13,Kinn::N,оҥыла́ш,чӏениг
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,мочхал
15,Kiefer[Anatomie]::N,пӱйората́,мочхал
16,Kehle::N,лога́р,къамкъарг
17,Hals::N,шӱй,ворта
18,Genick::N,шӱйло́дыш,кӏесаркӏаг
19,Kopf::N,вуй,корта
20,Rücken::N,туп,букъ
21,Bauch::N,мӱ́шкыр,кийра
22,Nabel::N,кы́лымде,цӏонга
23,Busen::N,чы́зе,зударийн накха
24,Brust::N,оҥ,накха
25,Schulter::N,ва́че,белш
26,Arm::N,кид,пхьарс
27,Ellenbogen::N,кынерву́й,пхьаьрсан гола
28,Hand::N,кид,куьг
29,Hand::N,копа́,куьг
30,Handfläche::N,со́во,кераюкъ
31,Finger::N,парня́,пӏелг
32,Fingernagel::N,кидкӱ́ч,мӏара
33,Fingernagel::N,парнягӱ́ч,мӏара
34,Nagel[Anatomie]::N,кӱч,мӏара
35,Zeh::N,йолварня́,кога пӏелг
36,Fuß::N,йол,ког
37,Fuß::N,йолкопа́,ког
38,Ferse::N,тага́н,кӏажа
39,Knie::N,пулву́й,гола
40,Oberschenkel::N,э́рде,варе
41,Bein::N,йол,ког
42,Körper::N,кап,хӏума
43,Haut::N,кова́ште,чкъор
44,Blut::N,вӱр,цӏий
45,Ader::N,шӧн,пха
46,Sehne::N,шӧн,хьорзам
47,Sehne::N,кӱсе́н,хьорзам
48,Knochen::N,лу,даьӏахк
49,Gehirn::N,вем,хье
50,Gehirn::N,вуйве́м,хье
51,Herz::N,шӱм,дог
52,Magen::N,пага́р,зорх
53,Leber::N,мокш,доӏах
54,Atem::N,шӱ́лыш,садеӏар
55,Hunger::N,шужыма́ш,мацалла
56,Träne::N,шинчавӱ́д,бӏаьрхи
57,Geschmack::N,там,чам
58,Geruch::N,пуш,хьожа
59,Schlaf::N,о́мо,наб
60,Traum::N,йӱдо́мо,гӏан
61,Himmel::N,кава́,стигал
62,Sonne::N,ке́че,малх
63,Mond::N,ты́лзе,бутт
64,Stern::N,шӱ́дыр,седа
65,Luft::N,юж,xӏаваъ
66,Wind::N,марде́ж,мох
67,Welle::N,то́лкын,тулгӏе
68,Wasser::N,вӱд,хи
69,Stein::N,кӱ,тӏулг
70,Boden::N,рок,цӏенкъа
71,Erde::N,мла́нде,латта
72,Staub::N,пура́к,чан
73,Rauch::N,шикш,кӏур
74,Funke::N,сеске́м,суй
75,Funke::N,тулйы́п,суй
76,Feuer::N,тул,цӏе
77,Licht::N,со́то,серло
78,Schatten::N,ӱ́мыл,ӏиндагӏ
79,Wetter::N,иге́че,хенан хӏоттам
80,Nebel::N,тӱтыра́,дохк
81,Wolke::N,пыл,марха
82,Regen::N,йӱр,догӏа
83,Schnee::N,лум,ло
84,Eis::N,ий,ша
85,Frost::N,чатлама́,шело
86,Kälte::N,йӱ́штӧ,шело
87,Hitze::N,шо́кшо,йовхо
88,Raureif::N,пӧрш,йис
89,Raureif::N,по́кшым,йис
90,Regenbogen::N,шонанпы́л,стелаӏад
91,Donner::N,кӱ́дырчӧ,ткъес
92,Strömung::N,йо́гын,дӏаэхар
93,Strömung::N,йо́гын,дӏасалелар
94,Tropfen::N,чӱча́лтыш,тӏадам
95,Schaum::N,шоҥ,чопа
96,Schmutz::N,лавыра́,хатт
97,See::N,ер,ӏам
98,Sumpf::N,лӱ́кӧ,уьшал
99,Moor::N,куп,уьшал
100,Wiese::N,о́лык,бай
101,Wald::N,чодыра́,хьун
102,Hügel::N,арка́,гу
103,Hügel::N,арка́,шу
104,Hügel::N,арка́,барз
105,Anhöhe::N,тӧва́,акъари
106,Anhöhe::N,кӱкшака́,акъари
107,Berg::N,ку́рык,лам
108,Gipfel::N,чаҥга́,бохь
109,Gipfel::N,курыкву́й,бохь
110,Höhle::N,пеще́р,хьех
111,Höhle::N,курыкпо́мыш,хьех
112,Abhang::N,та́йыл,басе
113,Quelle::N,важ,шовда
114,Quelle::N,вӱдшинча́,шовда
115,Bach::N,изэҥе́р,татол
116,Fluss::N,эҥе́р,хи
117,Ufer::N,сер,хийист
118,Küste::N,вӱдтӱ́р,йист
119,Festland::N,мла́нде,латта
120,Meer::N,те́ҥыз,xӏорд
121,Bucht::N,икса́,чож
122,Insel::N,отро́,гӏайре
123,Blume::N,пеле́дыш,зезаг
124,Gras::N,шу́до,буц
125,Wurzel::N,вож,орам
126,Baum::N,пуше́ҥге,дитт
127,Stamm::N,йы́тыр,гӏад
128,Stamm::N,йы́тыр,тайпа
129,Rinde::N,шӱм,кевстиг
130,Ast::N,укш,га
131,Zweig::N,торма́к,га
132,Blatt::N,лышта́ш,гӏа
133,Birke::N,куэ́,дакх
134,Kiefer[Baum]::N,пӱ́нчӧ,бага
135,Weide[Baum]::N,уа́,дак
136,Tanne::N,кож,база
137,Horn::N,шур,маӏа
138,Feder::N,пы́стыл,пелаг
139,Fell::N,кова́ште,цӏока
140,Flügel::N,шу́лдыр,тӏам
141,Klaue::N,кӱч,мӏара
142,Kralle::N,ла́па,тlод
143,Kralle::N,копа́,тlод
144,Schwanz::N,поч,цӏога
145,Ei::N,му́но,xӏoa
146,Nest::N,пыжа́ш,бен
147,Bau::N,пыжа́ш,lуьрг
148,Tier::N,я́нлык,дийнат
149,Tier::N,живо́тный,дийнат
150,Herde::N,кӱ́тӱ,жа
151,Herde::N,тӱшка́,жа
152,Kuh::N,ушка́л,етт
153,Bulle::N,ӱ́шкыж,сту
154,Pferd::N,и́мне,говр
155,Schaf::N,шо́рык,жий
156,Schaf::N,шо́рык,уьстагӏ
157,Schwein::N,сӧсна́,хьакха
158,Hund::N,пий,жӏаьла
159,Katze::N,пы́рыс,цициг
160,Bär::N,маска́,ча
161,Eichhörnchen::N,ур,тарсал
162,Elch::N,шо́рдо,сай
