,Concept_ID,az,ja
0,Auge::N,göz,目
1,Ohr::N,qulaq,耳
2,Nase::N,burun,鼻
3,Mund::N,ağız,口
4,Zahn::N,diş,歯
5,Zunge::N,dil,舌
6,Lippe::N,dodaq,唇
7,Wange::N,yanaq,頬
8,Gesicht::N,üz,顔
9,Stirn::N,alın,額
10,Haar::N,saç,髪
11,Schnurrbart::N,bığ,口髭
12,Bart::N,saqqal,髭
13,Kinn::N,çənə,顎
14,Kiefer[Anatomie]::N,çənə,顎
15,Kehle::N,boğaz,喉
16,Hals::N,boyun,首
17,Genick::N,ənsə,首
18,Kopf::N,baş,頭
19,Rücken::N,bel,背中
20,Bauch::N,qarın,腹
21,Bauch::N,qarın,お腹
22,Nabel::N,göbək,へそ
23,Busen::N,məmə,乳房
24,Brust::N,döş,胸
25,Schulter::N,çiyin,肩
26,Arm::N,qol,腕
27,Ellenbogen::N,dirsək,肘
28,Hand::N,əl,手
29,Handfläche::N,ovuc,手のひら
30,Finger::N,barmaq,指
31,Fingernagel::N,barmaq dırnağı,爪
32,Nagel[Anatomie]::N,dırnak,爪
33,Zeh::N,ayaq barmağı,足の指
34,Fuß::N,ayaq,足
35,Ferse::N,daban,かかと
36,Knie::N,diz,膝
37,Oberschenkel::N,bud,上腿
38,Bein::N,qıç,足
39,Körper::N,əndam,体
40,Haut::N,dəri,皮膚
41,Blut::N,qan,血
42,Ader::N,damar,血管
43,Sehne::N,vətər,腱
44,Knochen::N,sümük,骨
45,Gehirn::N,beyin,脳
46,Herz::N,ürək,心
47,Herz::N,ürək,心臓
48,Magen::N,mədə,胃
49,Leber::N,qara ciyər,肝臓
50,Atem::N,nəfəs,息
51,Atem::N,nəfəs,呼吸
52,Hunger::N,aclıq,空腹
53,Träne::N,göz yaşı,涙
54,Geschmack::N,tam,味
55,Geschmack::N,ləzzət,味
56,Geruch::N,qoxu,匂い
57,Schlaf::N,yuxu,睡眠
58,Traum::N,röya,夢
59,Himmel::N,göy,空
