,Concept_ID,bg,az
0,Auge::N,око,göz
1,Ohr::N,ухо,qulaq
2,Nase::N,нос,burun
3,Mund::N,уста,ağız
4,Zahn::N,зъб,diş
5,Zunge::N,език,dil
6,Lippe::N,устна,dodaq
7,Wange::N,буза,yanaq
8,Gesicht::N,лице,üz
9,Gesicht::N,образ,üz
10,Stirn::N,чело,alın
11,Haar::N,коса,saç
12,Haar::N,косъм,saç
13,Schnurrbart::N,мустаци,bığ
14,Bart::N,брада,saqqal
15,Kinn::N,брада,çənə
16,Kinn::N,брадичка,çənə
17,Kiefer[Anatomie]::N,челюст,çənə
18,Kehle::N,гърло,boğaz
19,Hals::N,врат,boyun
20,Genick::N,тил,ənsə
21,Kopf::N,глава,baş
22,Rücken::N,гръб,bel
23,Bauch::N,корем,qarın
24,Nabel::N,пъп,göbək
25,Busen::N,бозка,məmə
26,Brust::N,гръд,döş
27,Schulter::N,рамо,çiyin
28,Schulter::N,плещи,çiyin
29,Arm::N,ръка,qol
30,Ellenbogen::N,лакът,dirsək
31,Hand::N,ръка,əl
32,Hand::N,китка,əl
33,Handfläche::N,длан,ovuc
34,Finger::N,пръст,barmaq
35,Fingernagel::N,нокът,barmaq dırnağı
36,Nagel[Anatomie]::N,нокът,dırnak
37,Zeh::N,пръст на крак,ayaq barmağı
38,Fuß::N,крак,ayaq
39,Fuß::N,нога,ayaq
40,Ferse::N,пета,daban
41,Knie::N,коляно,diz
42,Oberschenkel::N,бедро,bud
43,Bein::N,крак,qıç
44,Bein::N,нога,qıç
45,Körper::N,тяло,əndam
46,Haut::N,кожа,dəri
47,Blut::N,кръв,qan
48,Ader::N,вена,damar
49,Ader::N,артерия,damar
50,Sehne::N,жила,vətər
51,Sehne::N,сухожилие,vətər
52,Knochen::N,кост,sümük
53,Gehirn::N,мозък,beyin
54,Herz::N,сърце,ürək
55,Magen::N,стомах,mədə
56,Leber::N,черен дроб,qara ciyər
57,Atem::N,дишане,nəfəs
58,Hunger::N,глад,aclıq
59,Träne::N,сълза,göz yaşı
60,Geschmack::N,вкус,tam
61,Geschmack::N,вкус,ləzzət
62,Geruch::N,миризма,qoxu
63,Schlaf::N,сън,yuxu
64,Traum::N,сън,röya
65,Himmel::N,небе,göy
66,Himmel::N,небе,səma
67,Sonne::N,слънце,günəş
68,Mond::N,луна,ay
69,Mond::N,месец,ay
70,Stern::N,звезда,ulduz
71,Luft::N,въздух,hava
72,Wind::N,вятър,yel
73,Wind::N,вятър,külək
74,Welle::N,вълна,dalğa
75,Wasser::N,вода,su
76,Stein::N,камък,daş
77,Boden::N,земя,yer
78,Boden::N,земя,zəmin
79,Boden::N,почва,yer
80,Boden::N,почва,zəmin
81,Erde::N,земя,yer torpaq
82,Erde::N,почва,yer torpaq
83,Staub::N,прах,toz
84,Rauch::N,дим,tüstü
85,Rauch::N,пушек,tüstü
86,Funke::N,искра,qığılcım
87,Feuer::N,огън,od
88,Licht::N,светлина,işıq
89,Schatten::N,сянка,kölgə
90,Wetter::N,време,hava
91,Nebel::N,мъгла,duman
92,Wolke::N,облак,bulud
93,Regen::N,дъжд,yağış
94,Regen::N,дъжд,yağmur
95,Schnee::N,сняг,qar
96,Eis::N,лед,buz
97,Frost::N,мраз,ayaz
98,Kälte::N,студ,soyuq
99,Hitze::N,жега,coşğunluq
100,Hitze::N,горещина,coşğunluq
101,Raureif::N,скреж,qırov
102,Raureif::N,слана,qırov
103,Regenbogen::N,дъга,göy qurşağı
104,Donner::N,гръм,göy gurultusu
105,Strömung::N,течение,axın
106,Tropfen::N,капка,damcı
107,Schaum::N,пяна,köpük
108,Schmutz::N,кал,çamır
109,Schmutz::N,мръсотия,çamır
110,See::N,езеро,göl
111,Sumpf::N,блато,bataqlıq
112,Moor::N,мочурище,bataqlıq
113,Wiese::N,ливада,çəmən
114,Wald::N,гора,meşə
115,Hügel::N,рид,təpə
116,Hügel::N,хълм,təpə
117,Anhöhe::N,могила,təpə
118,Anhöhe::N,възвишение,təpə
119,Berg::N,планина,dağ
120,Gipfel::N,връх,zirvə
121,Höhle::N,пещера,mağara
122,Abhang::N,склон,yamac
123,Abhang::N,стръмнина,yamac
124,Quelle::N,извор,bulaq
125,Bach::N,поток,kiçik çay
126,Fluss::N,река,çay
127,Ufer::N,бряг,kənar
128,Küste::N,бряг,sahil
