,Concept_ID,fa,he
0,Auge::N,چشم,עין
1,Ohr::N,گوش,אזן
2,Nase::N,بینی,אף
3,Nase::N,بینی,חטם
4,Mund::N,دهان,פה
5,Zahn::N,دندان,שן
6,Zunge::N,زبان,לשון
7,Lippe::N,لب,שפה
8,Wange::N,لپ,לחי
9,Gesicht::N,رو,פנים
10,Gesicht::N,چهره,פנים
11,Stirn::N,پیشانی,מצח
12,Haar::N,مو,שערה
13,Schnurrbart::N,سبیل,שפם
14,Bart::N,ریش,זקן
15,Kinn::N,چانه,סנטר
16,Kiefer[Anatomie]::N,فک,לסת
17,Kiefer[Anatomie]::N,آرواره,לסת
18,Kehle::N,حلق,גרון
19,Hals::N,گردن,צואר
20,Genick::N,پشت گردن,ערף
21,Kopf::N,سر,ראש
22,Kopf::N,کله,ראש
23,Rücken::N,پشت,גב
24,Bauch::N,شکم,בטן
25,Nabel::N,ناف,טבור
26,Busen::N,پستان,שד
27,Brust::N,سینه,חזה
28,Schulter::N,دوش,כתף
29,Schulter::N,شانه,כתף
30,Arm::N,بازو,זרוע
31,Ellenbogen::N,آرنج,מרפק
32,Hand::N,دست,יד
33,Handfläche::N,کف دست,כף יד
34,Finger::N,انگشت,אצבע
35,Fingernagel::N,ناخن دست,צפרן
36,Nagel[Anatomie]::N,ناخن,צפרן
37,Zeh::N,انگشت پا,אצבע
38,Fuß::N,پا,רגל
39,Ferse::N,پاشنه,עקב
40,Knie::N,زانو,ברך
41,Oberschenkel::N,ران,ירך
42,Bein::N,پا,רגל
43,Bein::N,لنگ,רגל
44,Körper::N,تن,גוף
45,Körper::N,بدن,גוף
46,Haut::N,پوست,עור
47,Blut::N,خون,דם
48,Ader::N,رگ,וריד
49,Sehne::N,زردپی,גיד
50,Knochen::N,استخوان,עצם
51,Gehirn::N,مخ,מוח
52,Gehirn::N,مغز,מוח
53,Herz::N,دل,לב
54,Herz::N,قلب,לב
55,Magen::N,معده,קבה
56,Leber::N,کبد,כבד
57,Atem::N,نفس,נשימה
58,Hunger::N,گرسنگی,רעב
59,Träne::N,اشک,דמעה
60,Geschmack::N,مزه,טעם
61,Geruch::N,بو,ריח
62,Schlaf::N,خواب,שנה
63,Traum::N,رؤیا,חלום
64,Himmel::N,فلک,שמים
65,Himmel::N,آسمان,שמים
66,Sonne::N,آفتاب,שמש
67,Sonne::N,خورشید,שמש
68,Mond::N,ماه,ירח
69,Stern::N,ستاره,כוכב
70,Luft::N,هوا,אויר
71,Wind::N,باد,רוח
72,Welle::N,موج,גל
73,Wasser::N,آب,מים
74,Stein::N,سنگ,אבן
75,Boden::N,زمین,קרקע
76,Erde::N,خاک,אדמה
77,Erde::N,زمین,אדמה
78,Staub::N,گرد,אבק
79,Staub::N,غبار,אבק
80,Rauch::N,دود,עשן
81,Funke::N,جرقه,ניצוץ
82,Feuer::N,آتش,אש
83,Licht::N,نور,אור
84,Licht::N,روشنی,אור
85,Schatten::N,سایه,צל
86,Wetter::N,هوا,מזג אויר
87,Nebel::N,مه,ערפל
88,Wolke::N,ابر,ענן
89,Regen::N,باران,גשם
90,Schnee::N,برف,שלג
91,Eis::N,یخ,קרח
92,Frost::N,یخبندان,צנה
93,Kälte::N,سرما,קר
94,Hitze::N,گرما,חם
95,Hitze::N,حرارت,חם
96,Raureif::N,برف ریزه,כפור
97,Regenbogen::N,رنگین‌کمان,קשת
98,Donner::N,رعد,רעם
99,Strömung::N,جریان,זרימה
100,Tropfen::N,قطره,טפה
101,Schaum::N,کف,קצף
102,Schmutz::N,گل,לכלוך
103,Schmutz::N,کثافت,לכלוך
104,See::N,دریاچه,אגם
105,Sumpf::N,مرداب,בצה
106,Sumpf::N,باتلاق,בצה
107,Moor::N,باتلاق,בצה
108,Wiese::N,چمن,מרעה
109,Wald::N,جنگل,יער
110,Hügel::N,تل,תל
111,Hügel::N,تپه,תל
112,Anhöhe::N,بلندی,מעלה
113,Berg::N,کوه,הר
114,Gipfel::N,قله,פסגה
115,Höhle::N,غار,מערה
116,Abhang::N,سرازیری,מדרון
117,Abhang::N,سرازیری,שפוע
118,Quelle::N,چشمه,מעין
119,Bach::N,نهر,נחל
120,Fluss::N,رود,נהר
121,Ufer::N,ساحل,גדה
122,Ufer::N,کرانه,גדה
123,Küste::N,ساحل,חוף
124,Festland::N,خشکی,יבשה
125,Meer::N,دریا,ים
126,Bucht::N,خلیج,מפרץ
127,Insel::N,جزیره,אי
128,Blume::N,گل,פרח
129,Gras::N,علف,דשא
130,Wurzel::N,ریشه,שרש
131,Baum::N,درخت,עץ
132,Stamm::N,تنه,גזע
133,Rinde::N,توژ,קלפת עץ
134,Rinde::N,پوست,קלפת עץ
135,Ast::N,شاخه,ענף
136,Zweig::N,شاخه,ענף
137,Blatt::N,برگ,עלה
138,Birke::N,غان,שדר
139,Kiefer[Baum]::N,کاج,ארן
140,Weide[Baum]::N,بید,ערבה
141,Tanne::N,صنوبر,אשוח
142,Horn::N,شاخ,קרן
143,Feder::N,پر,נוצה
144,Fell::N,خز,פרוה
145,Flügel::N,پر,כנף
146,Flügel::N,بال,כנף
147,Klaue::N,چنگ,טלף
148,Klaue::N,پنجه,טלף
149,Kralle::N,پنجه,טפר
150,Schwanz::N,دم,זנב
151,Ei::N,تخم,ביצה
152,Nest::N,لانه,קן
153,Bau::N,بنا,מחלה
154,Bau::N,ساختمان,מחלה
155,Tier::N,هیوان,חיה
156,Herde::N,رمه,עדר
157,Kuh::N,گاو,פרה
158,Bulle::N,گاو نر,פר
159,Pferd::N,اسب,סוס
160,Schaf::N,گوسفند,כבשה
161,Schwein::N,خوک,חזיר
162,Hund::N,سگ,כלב
163,Katze::N,گربه,חתול
164,Bär::N,خرس,דב
165,Eichhörnchen::N,سنجاب,סנאי
166,Elch::N,گوزن شمالی,דישון
167,Fuchs::N,روباه,שועל
168,Hase::N,خرگوش,ארנב
169,Maus::N,موش,עכבר
170,Wolf::N,گرگ,זאב
171,Vogel::N,پرنده,צפור
172,Schwarm::N,دسته,נחיל
173,Schwarm::N,دسته,להקה
174,Huhn::N,مرغ,תרנגלת
175,Hahn::N,خروس,תרנגול
176,Gans::N,غاز,אוז
177,Adler::N,عقاب,עיט
178,Ente::N,اردک,ברוז
179,Ente::N,مرغابی,ברוז
180,Eule::N,جغد,ינשוף
181,Kranich::N,درنا,עגור
182,Kranich::N,درنا,כרוכיה
183,Krähe::N,زاغ,עורב
184,Krähe::N,کلاغ,עורב
185,Kuckuck::N,فاخته,קוקיה
186,Schwan::N,قو,ברבור
187,Fisch::N,ماهی,דג
