,Concept_ID,kk,cv
0,Auge::N,көз,куҫ
1,Ohr::N,құлақ,хӑлха
2,Nase::N,мұрын,сӑмса
3,Mund::N,ауыз,ҫӑвар
4,Zahn::N,тіс,шӑл
5,Zunge::N,тіл,чӗлхе
6,Lippe::N,ерін,тута
7,Wange::N,ұрт,пит ҫӑмарти
8,Gesicht::N,бет-аузы,пит
9,Gesicht::N,бет-аузы,пит-куҫ
10,Stirn::N,маңдай,ҫамка
11,Haar::N,қыл,ҫӳҫ
12,Schnurrbart::N,мұрт,усси
13,Bart::N,сақал,сухал
14,Kinn::N,иек,янах
15,Kiefer[Anatomie]::N,жақ,янах
16,Kehle::N,алқым,пыр
17,Kehle::N,алқым,карланкӑ
18,Hals::N,мойын,пыр
19,Genick::N,желке,ӗнсе
20,Kopf::N,кәллә,пуҫ
21,Rücken::N,арқа,ҫурӑм
22,Bauch::N,қарын,
23,Nabel::N,кіндік,кӑвапа
24,Busen::N,омырау,кӑкӑр
25,Brust::N,кеуде,умӗ
26,Schulter::N,иық,хул пуҫҫи
27,Arm::N,қол,алӑ
28,Ellenbogen::N,шынтақ,чавса
29,Hand::N,қол,алӑ сыппи
30,Handfläche::N,алақан,ал лаппи
31,Finger::N,саусақ,пӳрне
32,Fingernagel::N,тырнақ,чӗрне
33,Nagel[Anatomie]::N,тырнақ,чӗрне
34,Zeh::N,тырнақ,пӳрне
35,Zeh::N,тұяқ,пӳрне
36,Fuß::N,аяқ-басы,ура лаппи
37,Ferse::N,өкше,кӗле
38,Ferse::N,өкшелік,кӗле
39,Knie::N,тізе,чӗркуҫҫи
40,Oberschenkel::N,жамбас,пӗҫӗ
41,Bein::N,аяқ,ура
42,Körper::N,дене,ӳт
43,Körper::N,дене,ӳт-пӳ
44,Haut::N,тері,тир
45,Blut::N,қан,юн
46,Ader::N,көктамыр,вена
47,Ader::N,күретамыр,вена
48,Sehne::N,сіңір,шӑнӑр
49,Knochen::N,жілік,шӑмӑ
50,Gehirn::N,ми,миме
51,Herz::N,жүрек,чӗре
52,Magen::N,асқазан,хырӑмлӑх
53,Leber::N,бауыр,пӗвер
54,Atem::N,леп,сывлав
55,Hunger::N,ашаршылық,выҫлӑх
56,Träne::N,жас,куҫҫуль
57,Geschmack::N,дәм,техӗм
58,Geschmack::N,татым,техӗм
59,Geschmack::N,талғам,техӗм
60,Geruch::N,иіс,шӑршӑ
61,Schlaf::N,ұйқы,ыйхӑ
62,Schlaf::N,ұйықтау,ыйхӑ
63,Traum::N,түс,тӗлӗк
64,Himmel::N,аспан,пӗлӗт
65,Himmel::N,көқ,пӗлӗт
66,Himmel::N,таңдай,пӗлӗт
67,Sonne::N,күн,хӗвел
68,Mond::N,ай,уйӑх
69,Stern::N,жұлдыз,ҫӑлтӑр
70,Luft::N,әуе,сывлӑш
71,Wind::N,жел,ҫил
72,Welle::N,толқын,хум
73,Wasser::N,су,шыв
74,Wasser::N,су,шыв-шур
75,Stein::N,тас,чул
76,Boden::N,қыртыс,тӑпра
77,Erde::N,топырақ,ҫӗр
78,Staub::N,шаң,тусан
79,Rauch::N,түтін,тӗтӗм
80,Funke::N,ұшқын,хӗм
81,Feuer::N,алау,вут
82,Feuer::N,алау,ҫулӑм
83,Licht::N,шұғыла,ҫутӑ
84,Schatten::N,көлеңке,сулхӑн
85,Wetter::N,ауа райы,ҫанталӑк
86,Nebel::N,тұман,тӗтре
87,Wolke::N,бұлт,пӗлӗт
88,Regen::N,жаңбыр,ҫумӑр
89,Schnee::N,қар,юр
90,Eis::N,мұз,пӑр
91,Frost::N,суық,сивӗ
