,Concept_ID,el,mhr
0,Auge::N,μάτι,шинча́
1,Auge::N,οφθαλμός,шинча́
2,Ohr::N,αυτί,пы́лыш
3,Nase::N,μύτη,нер
4,Mund::N,στόμα,умша́
5,Zahn::N,δόντι,пӱй
6,Zunge::N,γλώσσα,йы́лме
7,Lippe::N,χείλος,тӱ́рвӧ
8,Wange::N,παρειά,шӱ́ргӧ
9,Wange::N,μάγουλο,шӱ́ргӧ
10,Gesicht::N,πρόσωπο,чури́й
11,Stirn::N,μέτωπο,саҥга́
12,Haar::N,μαλλιά,ӱп
13,Schnurrbart::N,μουστάκι,ӧ́рыш
14,Bart::N,γένια,понда́ш
15,Kinn::N,πιγούνι,оҥыла́ш
16,Kiefer[Anatomie]::N,σαγόνι,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,σαγόνι,пӱйората́
18,Kehle::N,λαρύγγι,лога́р
19,Hals::N,λαιμός,шӱй
20,Genick::N,σβέρκος,шӱйло́дыш
21,Kopf::N,κεφάλι,вуй
22,Rücken::N,ράχη,туп
23,Bauch::N,κοιλιά,мӱ́шкыр
24,Nabel::N,αφαλός,кы́лымде
25,Busen::N,στήθος,чы́зе
26,Brust::N,στήθος,оҥ
27,Schulter::N,ώμος,ва́че
28,Arm::N,χέρι,кид
29,Arm::N,μπράτςο,кид
30,Ellenbogen::N,αγκώνας,кынерву́й
31,Hand::N,χέρι,кид
32,Hand::N,χέρι,копа́
33,Handfläche::N,παλάμη,со́во
34,Finger::N,δάχτυλο,парня́
35,Fingernagel::N,νύχι,кидкӱ́ч
36,Fingernagel::N,νύχι,парнягӱ́ч
37,Nagel[Anatomie]::N,νύχι,кӱч
38,Zeh::N,δάχτυλο του ποδιού,йолварня́
39,Fuß::N,πόδι,йол
40,Fuß::N,πόδι,йолкопа́
41,Ferse::N,φτέρνα,тага́н
42,Knie::N,γόνατο,пулву́й
43,Oberschenkel::N,μηρός,э́рде
44,Bein::N,πόδι,йол
45,Körper::N,σώμα,кап
46,Körper::N,κορμί,кап
47,Haut::N,πετσί,кова́ште
48,Blut::N,αίμα,вӱр
49,Ader::N,φλέβα,шӧн
50,Sehne::N,νεύρο,шӧн
51,Sehne::N,νεύρο,кӱсе́н
