,Concept_ID,ku,ta
0,Auge::N,çav,கண்
1,Ohr::N,guh,காது
2,Nase::N,bêvil,மூக்கு
3,Mund::N,dev,வாய்
4,Zahn::N,didan,பல்
5,Zunge::N,ziman,நாக்கு
6,Lippe::N,lêv,உதடு
7,Wange::N,dêm,கன்னம்
8,Wange::N,hinarik,கன்னம்
9,Gesicht::N,rû,முகம்
10,Stirn::N,enî,முன்னெற்றி
11,Haar::N,por,முடி
12,Schnurrbart::N,simbêl,மீசை
13,Bart::N,rih,தாடி
14,Kinn::N,zenî,கீழதாடை
15,Kiefer[Anatomie]::N,arguşk,தாடை
16,Kehle::N,qirik,தொண்டை
17,Hals::N,stû,கழுத்து
18,Hals::N,qirik,கழுத்து
19,Genick::N,stû,கழுத்து
20,Kopf::N,serî,தலை
21,Rücken::N,pişt,முதுகு
22,Bauch::N,ûr,வயிறு
23,Bauch::N,zik,வயிறு
24,Nabel::N,navik,தொப்புள்
25,Busen::N,sîng,மார்பகம்
26,Brust::N,sîng, மார்பு
27,Schulter::N,mil,தோள்பட்டை
28,Arm::N,çepil,கரம்
29,Ellenbogen::N,enîşk,முழங்கை
30,Hand::N,dest,கை
31,Handfläche::N,kefadest,உள்ளங்கை
32,Finger::N,tilî,விரல்
33,Fingernagel::N,neynuk,விரல் நகம்
34,Nagel[Anatomie]::N,bizmar,நகம்
35,Zeh::N,tilî linga,கால்விரல்
36,Fuß::N,ling,கால்
37,Ferse::N,pahnî,குதிகால்
38,Knie::N,kabok,முழங்கால்
39,Oberschenkel::N,rahn,தொடை
40,Bein::N,çip,கால்
41,Körper::N,laş,உடல்
42,Körper::N,gowde,உடல்
43,Haut::N,çerm,சருமம்
44,Blut::N,xwîn,இரத்தம்
45,Ader::N,reh,நாளம்
46,Sehne::N,reh,தசைநார்
47,Knochen::N,hestî,எலுமபு
48,Gehirn::N,mêjî,மூனை
49,Herz::N,dil,இதயம
50,Magen::N,navêş,வயிறு
51,Leber::N,kezeb,கல்லீரல்
52,Atem::N,hilm,மூச்சு
53,Hunger::N,birçîtî,பசி
54,Träne::N,hêstir,கண்ணீர்
55,Geschmack::N,tam,நறுமணம்
56,Geruch::N,bêhn,துர்நாற்றம்
57,Schlaf::N,xew,தூக்கம்
58,Traum::N,xewn,கனவு
59,Himmel::N,ezman,வானம்
60,Sonne::N,roj,சூரியன்
61,Mond::N,heyv,சந்திரன்
62,Stern::N,stêrk,நட்சத்திரம்
63,Luft::N,ba,காறறு
64,Wind::N,ba,காற்று
65,Welle::N,şewl,அலை
66,Wasser::N,av,நீர்
67,Stein::N,kevir,கல்
68,Boden::N,herd,தரை
69,Erde::N,ax,மண்
70,Staub::N,toz,தூசி
71,Rauch::N,dû,புகை
72,Funke::N,çirûşk,தீப்பொறி
73,Feuer::N,agir,தீ
74,Licht::N,ronahî,வெளிச்சம்
75,Schatten::N,sî,நிழல்
76,Wetter::N,hewa,வானிலை
77,Nebel::N,mij,பனிமூட்டம்
78,Wolke::N,ewr,மேகம்
79,Regen::N,baran,மழை
80,Schnee::N,berf,உறைபனி
81,Eis::N,qeşa,பனிக்கட்டி
82,Frost::N,xûsik,உறைபனி
83,Kälte::N,serma,குளிர்ந்த
84,Hitze::N,germayî,சூடு
85,Raureif::N,şext,உறைபனி வெண்திரை
86,Regenbogen::N,heftreng,வானவில்
87,Donner::N,gire-gir,இடி
88,Strömung::N,şewl,நீரோட்டம்
89,Tropfen::N,dilop,துளி
90,Schaum::N,kef,நுரை
91,Schmutz::N,gemar,அழுக்கு
92,See::N,gol,ஏரி
93,Sumpf::N,hezek,சதுப்பு நிலம்
94,Moor::N,mafêl,முட்புதற்காடு
95,Wiese::N,sûrik,பசும் புல்தரை
