,Concept_ID,pt,lbe
0,Auge::N,olho,я
1,Ohr::N,orelha,вичӏи
2,Nase::N,nariz,май
3,Mund::N,boca,кьацӏ
4,Zahn::N,dente,ккарччи
5,Zunge::N,língua,маз
6,Lippe::N,lábio,мурччи
7,Wange::N,face,чӏав
8,Gesicht::N,cara,лажин
9,Gesicht::N,rosto,лажин
10,Stirn::N,testa,ненттабакӏ
11,Haar::N,cabelo,чӏара
12,Schnurrbart::N,bigode,ссирссилтту
13,Bart::N,barba,чӏири
14,Kinn::N,queixo,лунттубакӏ
15,Kiefer[Anatomie]::N,maxila,ххинчулул
16,Kiefer[Anatomie]::N,mandíbula,ххинчулул
17,Kehle::N,garganta,кьакьари
18,Hals::N,colo,ссурссу
19,Hals::N,pescoço,ссурссу
20,Genick::N,nuca,махъабакӏ
21,Kopf::N,cabeça,бакӏ
22,Rücken::N,dorso,ттиликӏ
23,Rücken::N,costas,ттиликӏ
24,Bauch::N,ventre,лякьа
25,Bauch::N,barriga,лякьа
26,Nabel::N,umbigo,цӏумуккутӏ
27,Busen::N,seio,ккукку
28,Brust::N,peito,хъазам
29,Schulter::N,ombro,хъачӏ
30,Arm::N,braço,ка
31,Ellenbogen::N,cotovelo,ссюрхъ
32,Hand::N,mão,бартка
33,Handfläche::N,palma,хъат
34,Handfläche::N,palma,битӏянхъ
35,Handfläche::N,palma da mão,хъат
36,Handfläche::N,palma da mão,битӏянхъ
37,Finger::N,dedo,кӏисса
38,Fingernagel::N,unha,михь
39,Nagel[Anatomie]::N,unha,михь
40,Zeh::N,dedo do pé,кӏисса
41,Fuß::N,pé,чӏанччан
42,Ferse::N,calcanhar,никъа
43,Knie::N,joelho,ник
44,Oberschenkel::N,coxa,жира
45,Bein::N,perna,ччан
46,Körper::N,corpo,чурх
47,Haut::N,pele,бурчу
48,Blut::N,sangue,оь
49,Ader::N,veia,тунну
50,Sehne::N,tendão,хьхьа
51,Knochen::N,osso,ттаркӏ
52,Gehirn::N,cérebro,ня
53,Herz::N,coração,дакӏ
54,Herz::N,coração,къюкӏ
55,Magen::N,estômago,лякьа
56,Leber::N,fígado,
