,Concept_ID,myv,ku
0,Auge::N,сельме,çav
1,Ohr::N,пиле,guh
2,Nase::N,судо,bêvil
3,Mund::N,курго,dev
4,Zahn::N,пей,didan
5,Zunge::N,кель,ziman
6,Lippe::N,турва,lêv
7,Wange::N,чамабока,dêm
8,Wange::N,чамабока,hinarik
9,Wange::N,чамаумарь,dêm
10,Wange::N,чамаумарь,hinarik
11,Gesicht::N,чама,rû
12,Stirn::N,коня,enî
13,Haar::N,черь,por
14,Schnurrbart::N,ус,simbêl
15,Schnurrbart::N,муюк,simbêl
16,Bart::N,сакал,rih
17,Kinn::N,уло,zenî
18,Kiefer[Anatomie]::N,пейпакар,arguşk
19,Kiefer[Anatomie]::N,пейловажа,arguşk
20,Kehle::N,кирьгапарь,qirik
21,Hals::N,кирьга,stû
22,Hals::N,кирьга,qirik
23,Genick::N,човонь,stû
24,Kopf::N,пря,serî
25,Rücken::N,копорь,pişt
26,Bauch::N,пеке,ûr
27,Bauch::N,пеке,zik
28,Nabel::N,почо,navik
29,Busen::N,поте,sîng
30,Brust::N,меште,sîng
31,Schulter::N,лавтов,mil
32,Arm::N,кедь,çepil
33,Ellenbogen::N,кенерепакарь,enîşk
34,Hand::N,кедь,dest
35,Handfläche::N,кедькуншка,kefadest
36,Handfläche::N,кедьлапушка,kefadest
37,Finger::N,сур,tilî
38,Fingernagel::N,кенже,neynuk
39,Nagel[Anatomie]::N,кенже,bizmar
40,Zeh::N,пильге сур,tilî linga
41,Fuß::N,пильге,ling
42,Ferse::N,кочкаря,pahnî
43,Knie::N,эле,kabok
44,Knie::N,эзне,kabok
45,Knie::N,кумажа,kabok
46,Oberschenkel::N,качо,rahn
47,Bein::N,пильге,çip
48,Körper::N,рунго,laş
49,Körper::N,рунго,gowde
50,Haut::N,киське,çerm
51,Blut::N,верь,xwîn
52,Ader::N,сан,reh
53,Sehne::N,коське сан,reh
54,Knochen::N,пакарь,hestî
55,Gehirn::N,удем,mêjî
56,Herz::N,седей,dil
57,Magen::N,пеке,navêş
58,Leber::N,максо,kezeb
59,Atem::N,лексема,hilm
60,Atem::N,оймень таргсема,hilm
61,Hunger::N,вачочи,birçîtî
62,Träne::N,селведь,hêstir
63,Geschmack::N,тансть,tam
64,Geruch::N,чине,bêhn
65,Schlaf::N,удома,xew
66,Traum::N,он,xewn
67,Himmel::N,менель,ezman
68,Sonne::N,чи,roj
69,Mond::N,ков,heyv
70,Stern::N,теште,stêrk
71,Luft::N,кошт,ba
72,Wind::N,варма,ba
73,Welle::N,толкун,şewl
74,Wasser::N,ведь,av
75,Stein::N,кев,kevir
76,Boden::N,мода,herd
77,Erde::N,мастор,ax
78,Staub::N,пуль,toz
79,Rauch::N,качамо,dû
80,Funke::N,сятко,çirûşk
81,Feuer::N,тол,agir
82,Licht::N,валдо,ronahî
83,Schatten::N,сулей,sî
84,Schatten::N,сулейкс,sî
85,Wetter::N,ушо,hewa
86,Nebel::N,сув,mij
87,Wolke::N,пель,ewr
88,Regen::N,пиземс,baran
89,Schnee::N,лов,berf
90,Eis::N,эй,qeşa
91,Frost::N,кельме,xûsik
92,Kälte::N,якшамо,serma
93,Hitze::N,пси,germayî
94,Raureif::N,лекш,şext
95,Regenbogen::N,пурьгинечирьке,heftreng
96,Regenbogen::N,пурьгинеёнкс,heftreng
97,Donner::N,пурьгине,gire-gir
98,Strömung::N,чудема,şewl
99,Strömung::N,чудевкс,şewl
100,Tropfen::N,петнявкс,dilop
101,Schaum::N,чов,kef
102,Schmutz::N,рудаз,gemar
103,See::N,эрьке,gol
104,Sumpf::N,чей,hezek
105,Moor::N,чей,mafêl
106,Wiese::N,луга,sûrik
107,Wald::N,вирь,çiya
108,Wald::N,вирь,daristan
109,Hügel::N,губорь,gir
110,Hügel::N,пандыне,gir
111,Anhöhe::N,губорь,sere gir
112,Anhöhe::N,пандыне,sere gir
113,Berg::N,пандо,kaş
114,Gipfel::N,пря,sere gir
115,Höhle::N,пещера,şikeft
116,Abhang::N,пандочама,kaş
117,Quelle::N,ушодкс,kanî
118,Bach::N,чудикерькс,çem
119,Fluss::N,лей,çem
120,Fluss::N,лей,rûbar
121,Ufer::N,чире,kevî
122,Küste::N,лейчире,berav
123,Festland::N,мода,bejahî
124,Meer::N,моря,behr
125,Bucht::N,усия,derav
126,Insel::N,усия,girav
127,Blume::N,цеця,kulînk
128,Gras::N,тикше,giha
129,Wurzel::N,юр,reh
130,Wurzel::N,ундокс,reh
131,Baum::N,чувто,dar
132,Stamm::N,рунго,bavik
133,Rinde::N,суд,qaqil
134,Rinde::N,керь,qaqil
135,Ast::N,морго,gulî
136,Zweig::N,тарад,şax
137,Blatt::N,лопа,pel
138,Birke::N,килей,dara sipî
139,Kiefer[Baum]::N,пиче,dara bî
140,Weide[Baum]::N,каль,dara belalûk
141,Tanne::N,куз,merx
142,Horn::N,сюро,strô
143,Feder::N,толга,pîrtîk
144,Fell::N,пона,heyar
145,Flügel::N,сёлмо,per
146,Klaue::N,кенже,napîk
147,Kralle::N,кенже,dinik
148,Kralle::N,кенже,dirnax
149,Schwanz::N,пуло,dûv
150,Ei::N,ал,hêk
151,Nest::N,пизэ,hêlîn
152,Bau::N,варя,avahî
153,Bau::N,пизе,avahî
154,Tier::N,ракша,heywan
155,Herde::N,стада,hoz
156,Kuh::N,скал,çêlek
157,Bulle::N,бука,ga
158,Pferd::N,лишме,hesp
159,Schaf::N,реве,mîh
160,Schwein::N,туво,beraz
161,Hund::N,пине,seh
162,Hund::N,киска,seh
163,Katze::N,псака,pişîk
164,Bär::N,овто,hirç
165,Eichhörnchen::N,ур,pilûr
166,Elch::N,сярдо,pazkovî
167,Fuchs::N,ривезь,rovî
168,Hase::N,нумоло,kîroşk
169,Maus::N,чеерь,mişk
170,Wolf::N,верьгиз,gur
171,Vogel::N,нармунь,çûk
172,Schwarm::N,полк,lufik
173,Schwarm::N,стада,lufik
174,Huhn::N,сараз,mirîşk
175,Hahn::N,атякш,dîk
176,Gans::N,гала,qaz
177,Gans::N,мацей,qaz
178,Adler::N,куцькан,eylo
179,Adler::N,тумоатякш,eylo
180,Ente::N,яксярго,werdek
181,Eule::N,корж,bûm
182,Eule::N,корж,kund
183,Kranich::N,карго,quling
184,Krähe::N,варака,qijik
185,Kuckuck::N,куко,pepûk
186,Schwan::N,локсей,qû
187,Fisch::N,кал,masî
188,Barsch::N,окунь,okûn
189,Hecht::N,щука,mesîyê lûf
190,Schlange[Tier]::N,гуй,mar
191,Wurm::N,сукс,kurm
192,Spinne::N,шанжав,pîrê
193,Ameise::N,коткудав,mîro
194,Ameise::N,коткудав,gêrîk
195,Laus::N,сий,spi
196,Mücke::N,сеське,mêş
197,Fliege::N,карво,mêş
198,Schmetterling::N,нимиляв,perperîk
199,Beere::N,умарь,hirç
200,Apfel::N,умарь,sêv
201,Pilz::N,панго,bîrov
202,Zwiebel::N,чурька,pîvaz
203,Saat::N,видьметь,tov
204,Korn::N,сюро,dexl
205,Heu::N,тикше,sap
206,Schale::N,кедь,qaşik
207,Schale::N,ваткавкс,qaşik
208,Grube::N,латко,çahl
209,Falle::N,тувор,dafik
210,Falle::N,кундамка,dafik
211,Schlinge::N,килькш,dahf
212,Spur::N,челькс,rêç
213,Spur::N,пильгеки,rêç
214,Asche::N,кулов,xweli
215,Dreck::N,рудаз,gemarî
216,Eisen::N,кшни,hesing
217,Gold::N,сырне,zêr
218,Silber::N,сия,zîv
219,Kohle::N,сэдь,komir
220,Kohle::N,уголия,komir
221,Glas::N,сулика,qedeh
222,Lehm::N,сёвонь,kelpîç
223,Sand::N,човар,qûm
224,Mensch::N,ломань,mirov
225,Mann::N,аля,mêr
226,Mann::N,цёраломань,mêr
227,Frau::N,ава,jin
228,Kind::N,эйкакш,zarok
229,Junge::N,цёрыне,kur
230,Mädchen::N,тейтерне,keç
231,Mädchen::N,тейтерне,keçik
232,Familie::N,семия,malbat
233,Großvater::N,покштя,bapîr
234,Großmutter::N,баба,pîrik
235,Eltern::N,тетят-ават,bavudê
236,Vater::N,тетя,bav
237,Mutter::N,ава,dê
238,Mutter::N,ава,dayik
239,Sohn::N,цёра,kur
240,Tochter::N,тейтерь,keç
241,Bruder::N,леля,bira
242,Bruder::N,ялакс,bira
243,Schwester::N,сазор,xweh
244,Onkel::N,леля,am
245,Onkel::N,леля,xal
246,Tante::N,патя,metik
247,Tante::N,патя,xaltîk
248,Ehemann::N,мирде,mêr
249,Ehefrau::N,ни,kulfet
250,Freude::N,кеняркс,kêfxweşî
251,Gelächter::N,ракамо,pîrqînî
252,Gelächter::N,пейдема,pîrqînî
253,Glück::N,уцяска,bext
254,Kummer::N,рискс,derd
255,Kummer::N,мелявкс,derd
256,Wunsch::N,мель,daxwaz
257,Wunsch::N,мель,xwestek
258,Wunsch::N,бажамо,daxwaz
259,Wunsch::N,бажамо,xwestek
260,Lust::N,бажамо,şewq
261,Geist::N,ойме,aqil
262,Gedanke::N,мель,fikir
263,Gedächtnis::N,мель,aqil
264,Verstand::N,прев,fêm
265,Sinn::N,толк,aqil
266,Sinn::N,смысла,aqil
267,Grund::N,тувтал,asas
268,Wahrheit::N,видечи,rastî
269,Gespräch::N,кортнема,guftûgo
270,Märchen::N,ёвкс,çirok
271,Erzählung::N,ёвтнема,çirok
272,Erzählung::N,ёвтнема,vegotin
273,Nachricht::N,куля,nûçe
274,Neuigkeit::N,куля,hewal
275,Name::N,лем,nav
276,Name::N,лем,paşnav
277,Rätsel::N,содамоёвкс,tiştonek
278,Rede::N,кортамо,gotar
279,Rede::N,кортамо,axavtin
280,Sprache::N,кель,ziman
281,Stimme::N,ваигель,pejn
282,Wort::N,вал,gotin
283,Zeichen::N,теште,şanek
284,Ruf::N,тердема,hawar
285,Lärm::N,шалнома,xarbalix
286,Laut::N,вайгель,deng
287,Laut::N,вайгель,hês
288,Ton::N,гайнема,awaz
289,Lied::N,моро,sitran
290,Ruhe::N,оймамо,rihetî
291,Leute::N,ломанть,xelk
292,Volk::N,народ,xelk
293,Arbeit::N,тев,xebat
294,Gast::N,инже,mêvan
295,Geschenk::N,казне,diyarî
296,Spiel::N,налксема,lîstik
297,Gesellschaft::N,община,komal
298,Hilfe::N,лездамо,alîkarî
299,Freund::N,оя,heval
300,Freund::N,ялга,heval
301,Kamerad::N,оя,heval
302,Kamerad::N,ялга,heval
303,Angelegenheit::N,тев,pirsgirêk
304,Anzahl::N,ламоксчи,çend
305,Art::N,вид,çeh
306,Stück::N,пакш,lib
307,Stück::N,пакш,parçe
308,Stück::N,пелькс,lib
309,Stück::N,пелькс,parçe
310,Teil::N,часть,parçe
311,Teil::N,пелькс,parçe
312,Hälfte::N,пель,nîvî
313,Hälfte::N,пелькс,nîvî
314,Kreis::N,кирькс,çemil
315,Kreuz::N,крёст,xaç
316,Linie::N,кикс,xezik
317,Strich::N,межа,xezik
318,Abstand::N,ютко,dûrahî
319,Entfernung::N,ютко,dûrahî
320,Gegend::N,тарка,dever
321,Gegend::N,пертьпелькс,dever
322,Platz::N,васолкс,çih
323,Ort::N,тарка,dever
324,Seite::N,ён,rûpel
325,Seite::N,чире,rûpel
326,Mitte::N,куншка,nav
327,Mitte::N,куншка,nabênê
328,Gegenstand::N,предмет,tişt
329,Sache::N,тев,tişt
330,Sache::N,веща,tişt
331,Rand::N,пе,kevî
332,Rand::N,чире,kevî
333,Kante::N,ирдез,kevî
334,Ecke::N,ужо,qunç
335,Spitze::N,пряне,derzî
336,Spitze::N,пе,derzî
337,Ende::N,пе,talî
338,Loch::N,варя,qul
339,Winkel::N,ужо,kurnîşk
340,Muster::N,сёрма,desen
341,Größe::N,сэрь,mezinî
342,Größe::N,покшолма,mezinî
343,Länge::N,кувалмо,dirêjahî
344,Höhe::N,сэрь,bilindayî
345,Höhe::N,пандо,bilindayî
346,Gewicht::N,сталмо,giranî
347,Menge::N,лововкс,qas
348,Haufen::N,мар,lod
349,Haufen::N,валявкс,lod
350,Reihe::N,ряд,rêz
351,Boot::N,венч,kelek
352,Ruder::N,милё,bêrik
353,Schlitten::N,нурдт,xîjik
354,Ski::N,сокс,lakan
355,Lagerfeuer::N,толбандя,agir
356,Last::N,сталмо,bar
357,Last::N,кандома,bar
358,Gang::N,молема,fîtêz
359,Gang::N,якамо,fîtêz
360,Schritt::N,эскелькс,gav
361,Norden::N,якшамо ёнкс,bakur
362,Süden::N,лембе ёнкс,başur
363,Westen::N,чивалгома,rojava
364,Osten::N,чилисема,rojhilat
365,Holz::N,чувто,dep
366,Brett::N,лаз,dep
367,Platte::N,плита,dep
368,Stütze::N,неже,destek
369,Stange::N,олга,sing
370,Stock::N,мандо,çam
371,Stab::N,олога,qat
372,Rohr::N,турба,borî
373,Haus::N,кудо,mal
374,Haus::N,кудо,xanî
375,Heim::N,кудо,mal
376,Ofen::N,каштомо,sobe
377,Fußboden::N,киякс,binpê
378,Tisch::N,столь,mase
379,Stuhl::N,стул,kursî
380,Wiege::N,лавсь,derguş
381,Wiege::N,нурямот,derguş
382,Bett::N,ацамо,qerewêle
383,Regal::N,лався,rêbaz
384,Regal::N,лавсяланго,rêbaz
385,Kiste::N,горобия,sindoq
386,Kiste::N,сундук,sindoq
387,Fenster::N,вальма,çam
388,Fenster::N,вальма,şibeke
389,Tür::N,кенкш,derî
390,Tor::N,ортат,derge
391,Zaun::N,пирявт,hejik
392,Zaun::N,пирвякс,hejik
