,Concept_ID,uk,mn
0,Auge::N,око,нүд
1,Ohr::N,вухо,чих
2,Nase::N,ніс,хамар
3,Mund::N,рот,ам
4,Zahn::N,зуб,шүд
5,Zunge::N,язик,хэл
6,Lippe::N,губа,уруул
7,Wange::N,щока,хацар
8,Gesicht::N,обличчя,царай
9,Gesicht::N,обличчя,нүүр
10,Stirn::N,лоб,дух
11,Haar::N,волосся,үс
12,Schnurrbart::N,вуса,дээд сахал
13,Schnurrbart::N,вуса,живэр сахал
14,Bart::N,борода,сахал
15,Kinn::N,підборіддя,эрүү
16,Kiefer[Anatomie]::N,щелепа,эрүү
17,Kehle::N,горло,хоолой
18,Hals::N,шия,хүзүү
19,Genick::N,потилиця,шил
20,Genick::N,потилиця,хүзүү
21,Kopf::N,голова,толгой
22,Rücken::N,спина,ар
23,Rücken::N,спина,нуруу
24,Bauch::N,живіт,хэвлий
25,Bauch::N,живіт,гэдэс
26,Nabel::N,пупок,хүйс
27,Busen::N,груди,хөх
28,Brust::N,груди,цээж
29,Schulter::N,плече,мөр
30,Schulter::N,плече,бугалга
31,Arm::N,рука,гар
32,Ellenbogen::N,лікоть,тохой
33,Hand::N,рука,гар
34,Hand::N,рука,алга
35,Handfläche::N,долоня,алга
36,Finger::N,палець,хуруу
37,Fingernagel::N,ніготь,хурууны хумс
38,Nagel[Anatomie]::N,ніготь,хумс
39,Zeh::N,палець на нозі,хуруу
40,Fuß::N,нога,хөл
41,Ferse::N,п’ятка,өсгий
42,Knie::N,коліно,өвдөг
43,Oberschenkel::N,стегно,гуя
44,Bein::N,нога,хөл
45,Körper::N,тіло,бие
46,Haut::N,шкіра,арьс
47,Blut::N,кров,цус
48,Ader::N,вена,судас
49,Sehne::N,сухожилля,бүлх
50,Sehne::N,сухожилля,шандас
51,Knochen::N,кістка,яс
52,Gehirn::N,мозок,тархи
53,Herz::N,серце,зүрх
54,Magen::N,шлунок,ходоод
55,Leber::N,печінка,элэг
56,Atem::N,дихання,амьсгаа
57,Hunger::N,голод,өлсгөлөн
58,Träne::N,сльоза,нулимс
59,Geschmack::N,смак,амт
60,Geruch::N,запах,үнэр
61,Schlaf::N,сон,нойр
62,Schlaf::N,сплячка,нойр
63,Traum::N,сон,зүүд
64,Himmel::N,небо,тэнгэр
65,Himmel::N,небо,огторгуй
66,Sonne::N,сонце,нар
67,Mond::N,місяць,сар
68,Stern::N,зірка,од
69,Luft::N,повітря,агаар
70,Wind::N,вітер,салхи
71,Welle::N,хвиля,долгио
72,Welle::N,хвиля,давалгаа
73,Wasser::N,вода,ус
74,Stein::N,камінь,чулуу
75,Boden::N,ґрунт,хөрс
76,Erde::N,земля,газар
77,Erde::N,земля,шороо
78,Staub::N,пил,тоос
79,Rauch::N,дим,утаа
80,Funke::N,іскра,оч
81,Feuer::N,вогонь,гал
82,Licht::N,світло,гэрэл
83,Licht::N,світло,гэгээ
84,Schatten::N,тінь,сүүдэр
85,Wetter::N,погода,тэнгэр
86,Wetter::N,погода,цаг уур
87,Nebel::N,туман,будан
88,Wolke::N,хмара,үүл
89,Regen::N,дощ,бороо
90,Schnee::N,сніг,цас
91,Eis::N,лід,мөс
92,Frost::N,мороз,хүйт
93,Kälte::N,холод,хүйт
94,Hitze::N,жар,халуун
95,Raureif::N,іній,цан
96,Raureif::N,іній,хяруу
97,Regenbogen::N,райдуга,солонго
98,Donner::N,грім,тэнгэрийн дуу
99,Strömung::N,струмина,урсгал
100,Tropfen::N,крапля,дусал
101,Schaum::N,піна,хөөс
102,Schmutz::N,бруд,хир
103,Schmutz::N,бруд,шавхай
104,See::N,озеро,нуур
105,Sumpf::N,драговина,намаг
106,Sumpf::N,драговина,балчиг
107,Moor::N,болото,хүлрийн намаг
108,Wiese::N,луг,нуга
109,Wiese::N,лука,нуга
110,Wald::N,ліс,ой
111,Hügel::N,горб,болдог
112,Anhöhe::N,височина,гүвээ
113,Berg::N,гора,уул
114,Gipfel::N,вершина,орой
115,Gipfel::N,вершина,оргил
116,Höhle::N,печера,агуй
117,Abhang::N,схил,хүр
118,Quelle::N,джерело,булаг
119,Bach::N,струмок,горхи
120,Fluss::N,річка,гол
121,Fluss::N,річка,мөрөн
122,Ufer::N,берег,эрэг
123,Küste::N,узбережжя,эрэг
124,Festland::N,суша,хуурай газар
125,Meer::N,море,далай
126,Meer::N,море,тэнгис
127,Bucht::N,бухта,булан
128,Bucht::N,бухта,далайн тохой
129,Bucht::N,затока,булан
130,Bucht::N,затока,далайн тохой
131,Insel::N,острів,арал
132,Blume::N,квітка,цэцэг
133,Gras::N,трава,өвс
134,Gras::N,трава,ногоо
135,Wurzel::N,корінь,үндэс
136,Baum::N,дерево,мод
137,Stamm::N,стовбур,иш
138,Stamm::N,стовбур,гуалин
139,Rinde::N,кора,холтос
140,Ast::N,гілка,гишүү
141,Zweig::N,галузь,салаа
142,Blatt::N,лист,навч
143,Birke::N,береза,хус
144,Kiefer[Baum]::N,сосна,нарс
145,Weide[Baum]::N,верба,уд
146,Weide[Baum]::N,верба,бургас
147,Tanne::N,ялиця,гачуур
148,Horn::N,ріг,эвэр
149,Feder::N,перо,өд
