,Concept_ID,lbe,kv
169,Kranich::N,кьурукь,тури
170,Krähe::N,хъатӏу,рака
171,Kuckuck::N,ччикку,кӧк
172,Schwan::N,урттил къаз,юсь
173,Fisch::N,чавахъ,чери
174,Schlange[Tier]::N,шатта,змей
175,Wurm::N,кьюнукьай шатта,номыр
176,Spinne::N,ххялцу,черань
177,Ameise::N,митӏикьукьу,кӧдзывкар
178,Mücke::N,мичӏак,ном
179,Fliege::N,зимиз,гут
180,Schmetterling::N,чӏимучӏали,бабыв
181,Beere::N,хӏаллил ахъулсса,ягӧд
182,Apfel::N,гьивч,яблоко
183,Pilz::N,ттуккул иис,тшак
184,Zwiebel::N,лаччул чсмусул бакӏ,грез
185,Saat::N,гьанна,кӧдзыс
186,Korn::N,къама,сю
187,Heu::N,ххулув,турун
188,Schale::N,ккиртту,кыш
189,Schale::N,ккиртту,киль
190,Grube::N,кӏаланг,яма
191,Falle::N,къатӏа,нальк
192,Falle::N,къатӏа,кляпча
193,Schlinge::N,хӏатӏ,лӧч
194,Spur::N,ша,туй
195,Asche::N,лах,пӧим
196,Dreck::N,кьяркьи,нять
197,Dreck::N,венп,нять
198,Eisen::N,мах,кӧрт
199,Gold::N,муси,зарни
200,Silber::N,арцу,язісь
201,Kohle::N,кӏалаш,шом
202,Kohle::N,кӏалаш,уголь
203,Kohle::N,хъуручӏ,шом
204,Kohle::N,хъуручӏ,уголь
205,Glas::N,пюрун,стекло
206,Lehm::N,сина аьрщи,сёй
207,Sand::N,къун,лыа
208,Mensch::N,инсан,морт
209,Mann::N,чув,мужик
210,Mann::N,адимина,мужик
211,Frau::N,щарсса,инька
212,Frau::N,хъамитайпа,инька
213,Kind::N,чӏиви оьрчӏ,кага
214,Junge::N,оьрчӏ,зонка
215,Junge::N,бурхьин оьрчӏ,зонка
216,Mädchen::N,душ,нывкаок
217,Familie::N,кулпат,семья
218,Großvater::N,ттатта,дед
219,Großvater::N,ниттил ппу,дед
220,Großmutter::N,буттал нину,баб
221,Eltern::N,нину-ппу,ай-мам
222,Vater::N,ппу,ай
223,Mutter::N,нину,мам
224,Sohn::N,арс,зон
225,Tochter::N,душ,ныв
226,Bruder::N,уссу,вон
227,Schwester::N,ссу,сой
228,Onkel::N,буттауссу,дядь
229,Tante::N,буттал ссу,айӧлӧн сой
230,Tante::N,буттал ссу,ичинь
231,Ehemann::N,лас,жӧник
232,Ehefrau::N,щар,инь
233,Ehefrau::N,щарсса,инь
234,Freude::N,шадшиву,гаж
235,Freude::N,шадшиву,радъялӧм
236,Freude::N,ххаришиву,гаж
237,Freude::N,ххаришиву,радъялӧм
238,Gelächter::N,хъяхъаву,сералӧм
239,Glück::N,талихӏ,мичлун
240,Kummer::N,дард,шог
241,Wunsch::N,мурад,мӧдӧм
242,Wunsch::N,мурад,охотитӧм
243,Lust::N,гьавас,охота
244,Lust::N,ччаву,охота
245,Geist::N,рухӏ,лов
246,Gedanke::N,пикри,дума
247,Gedächtnis::N,дакӏний личӏаву,тӧдвыв
248,Verstand::N,аькьлу,вежӧр
249,Sinn::N,мяъна,ылӧс
250,Grund::N,багьана,мог
251,Wahrheit::N,тӏайламур,правда
252,Wahrheit::N,хӏакьмур,правда
253,Gespräch::N,ихтилат,сёрни
254,Märchen::N,магьа,сказка
255,Erzählung::N,хавар,висьт
256,Nachricht::N,хавар,юӧр
257,Nachricht::N,хавар,висьталӧм
258,Neuigkeit::N,хавар,новость
259,Name::N,цӏа,ним
260,Rätsel::N,ссигьа,загадка
261,Rede::N,гъалгъа,сёрни
262,Sprache::N,маз,кыв
263,Stimme::N,чӏу,голос
264,Stimme::N,чӏукӏа,голос
265,Wort::N,махъ,кыв
266,Zeichen::N,лишан,пас
267,Lärm::N,чӏу,шум
268,Laut::N,чӏу,шы
269,Ton::N,чӏу,гор
270,Lied::N,балай,сьыланкыв
271,Ruhe::N,дигьалагру,спокой
272,Leute::N,инсантал,йӧз
273,Volk::N,ил,йӧз
274,Volk::N,ил,народ
275,Volk::N,халкь,йӧз
276,Volk::N,халкь,народ
277,Arbeit::N,заву,удж
278,Gast::N,хъамаличу,гӧсь
279,Geschenk::N,бухчакарши,гӧснеч
280,Geschenk::N,бухчакарши,подарок
281,Geschenk::N,лажинккакку,гӧснеч
282,Geschenk::N,лажинккакку,подарок
283,Spiel::N,тӏуркӏу,орсӧм
284,Gesellschaft::N,жямат,компания
285,Gesellschaft::N,ккуран,компания
286,Hilfe::N,кумаг,отсӧт
287,Freund::N,дус,модз
288,Freund::N,дус,дружок
289,Kamerad::N,хӏаласу,тӧдса
290,Angelegenheit::N,иш,дело
291,Anzahl::N,аьдад,лыд
292,Art::N,жинс,пӧлӧс
293,Stück::N,касак,тор
294,Teil::N,бутӏа,юкӧм
295,Hälfte::N,дачӏи,джын
296,Kreis::N,кюрщан,круг
297,Kreuz::N,ххач,перна
298,Linie::N,щва,визь
299,Strich::N,щва,кырӧв
300,Abstand::N,манзил,колас
301,Entfernung::N,манзил,ылына
302,Gegend::N,кӏану,места
303,Ort::N,кӏану,места
304,Seite::N,чул,ладор
305,Seite::N,чулухалу,ладор
306,Mitte::N,дя,шӧр
307,Gegenstand::N,зат,тор
308,Sache::N,зат,тор
309,Rand::N,зума,дор
310,Ecke::N,мурцӏу,пельӧс
311,Spitze::N,мицӏ,йыв
312,Ende::N,зума,йыв
313,Loch::N,ккутӏ,осьта
314,Winkel::N,мурцӏу,пельӧс
315,Muster::N,накьич,сер
316,Länge::N,лахъишиву,кузя
317,Höhe::N,лахъшиву,сувда
318,Höhe::N,лахъшиву,вылына
319,Gewicht::N,дуццин,сьӧкта
320,Gewicht::N,кӏушиву,сьӧкта
321,Haufen::N,бакӏу,куча
322,Reihe::N,кьюкьа,лёдз
323,Boot::N,луткка,пыж
324,Ruder::N,весло,пелыс
325,Ruder::N,чӏатӏа,пелыс
326,Schlitten::N,чана,додь
327,Schlitten::N,санкка,додь
328,Ski::N,лижарду,лямпа
329,Lagerfeuer::N,къавтӏн,бипур
330,Last::N,гьиву,тягота
331,Gang::N,нанаву,мунӧм
332,Schritt::N,ша,вожмӧв
333,Norden::N,ухссав,ой
334,Norden::N,ухссавнил чулухалу,ой
335,Süden::N,кьилва,лун
336,Westen::N,баргълагавал,рытвыв
337,Westen::N,баргълагавал чул,рытвыв
338,Osten::N,баргъбуккай чулухалу,асыв
339,Holz::N,тӏама,пу
340,Brett::N,тахта,пӧв
341,Platte::N,гъуни,плита
342,Stütze::N,гьалакӏу,пика
343,Stange::N,къазихъ,зор
344,Stange::N,къазихъ,потш
345,Stock::N,ттархь,бедь
346,Stab::N,ччантӏакъу,шест
347,Rohr::N,бургъу,труба
348,Haus::N,къатта,керку
349,Heim::N,къатта,керку
350,Ofen::N,пач,пӧжавны
351,Fußboden::N,чӏанкъатта,джодж
352,Tisch::N,усттул,пызан
353,Stuhl::N,кӏану,стул
354,Wiege::N,оьрчӏал кӏану,зыбка
355,Bett::N,тах,кровать
356,Regal::N,чӏаму,джадж
357,Kiste::N,яшикӏ,ящик
358,Kiste::N,къурши,ящик
359,Fenster::N,чӏавахьулу,ӧшын
360,Tür::N,нуз,ыбӧс
361,Tür::N,нузкьун,ыбӧс
362,Tor::N,къапу,ворота
363,Tor::N,дарваза,ворота
364,Zaun::N,дайгьузанну,забор
365,Dach::N,магъи,крыша
366,Dach::N,цӏиялу,крыша
367,Leiter::N,чуртту,лиснич
368,Besen::N,чӏатлу,рос
369,Spaten::N,бил,зыр
370,Schaufel::N,чӏатӏа,зыр
371,Gabel::N,гьиссилу,вила
372,Löffel::N,къуса,пань
373,Messer::N,чӏила,пурт
374,Nagel::N,мяр,кӧрттув
375,Netz::N,къери,кыйӧт
376,Haken::N,къича,ем
377,Griff::N,куяму,пу
378,Schloss::N,кьункьула,замок
379,Bild::N,сурат,картина
380,Puppe::N,ссихьу,акань
381,Beutel::N,чантай,мешӧк
382,Bündel::N,гьи,нин
383,Bündel::N,къар,нин
384,Eimer::N,бадра,ведра
385,Deckel::N,къапаза,вевт
386,Geschirr::N,пюрунчӏул,доз
387,Geschirr::N,пюрунчӏул,бекӧрпань
388,Geschirr::N,тӏахӏникӏичӏу,доз
389,Geschirr::N,тӏахӏникӏичӏу,бекӧрпань
390,Sack::N,къап,мешӧк
391,Sack::N,дарваг,мешӧк
392,Tasse::N,пижан,бекӧр
393,Tasse::N,пинжан,бекӧр
394,Tasse::N,инкираччатӏи,бекӧр
395,Tasse::N,цинцилттал бушкъап,бекӧр
396,Topf::N,кӏункӏур,кастрюля
397,Kessel::N,чаг,пӧрт
398,Kessel::N,кӏункӏур,пӧрт
399,Essen::N,дукия,сёйӧм
400,Essen::N,дукин,сёйӧм
401,Nahrung::N,дукра,вердан
402,Speise::N,дукра,сёян
403,Fleisch::N,дикӏ,яй
404,Getreide::N,къама,сю
405,Brei::N,ккурч,каша
406,Brot::N,ччатӏ,нянь
407,Scheibe::N,парча,шӧрӧм
408,Fett::N,аьгъушиву,гос
409,Butter::N,нагь,ви
410,Butter::N,лагаву,ви
411,Salz::N,цӏву,сов
412,Suppe::N,накь,шыд
413,Honig::N,ницӏ,ма
414,Milch::N,накӏ,йӧв
415,Tee::N,чяй,чай
416,Leder::N,бурчу,кучик
417,Wolle::N,ппал,гӧн
418,Stoff::N,янна,дӧра
419,Nadel::N,ххалаххи,ем
420,Faden::N,ххал,сунис
421,Knopf::N,банд,кизь
422,Knoten::N,къурхъ,узӧв
423,Knoten::N,къурхъ,гӧрӧд
424,Farbe::N,сир,краска
425,Kleidung::N,янна,паськӧм
426,Kleidung::N,лаххия,паськӧм
427,Hemd::N,гьухъа,йӧрнӧс
428,Kragen::N,дарвач,воротник
429,Ärmel::N,кахха,сос
430,Hose::N,хӏажак,вешьян
431,Gürtel::N,мухӏлу,йи
432,Mütze::N,кьяпа,шапка
433,Stiefel::N,чакма,сапог
434,Ring::N,кӏисса,чунькытш
435,Band::N,линт,ленточка
436,Kamm::N,ттарал,сынан
437,Spiegel::N,дагьани,зеркало
438,Riemen::N,эн,ремень
439,Schnur::N,хьхьа,гез
440,Decke::N,виргъан,одеяло
441,Kissen::N,кӏаралу,подушка
442,Tuch::N,карщи,чышьян
443,Handtuch::N,калихьу,чышкӧт
444,Handtuch::N,лажинлихьу,чышкӧт
445,Kraft::N,эллаж,прак
446,Stärke::N,гуж,вын
447,Gesundheit::N,цӏуллу-сагъшиву,здоровье
448,Krankheit::N,къашайшиву,шог
449,Schmerz::N,къюву,зубыт
450,Wunde::N,щаву,рана
451,Fieber::N,кӏиришиву,лёк тресся
452,Fieber::N,кӏиришиву,кынтан шогӧт
453,Arznei::N,дару,лекарство
454,Brücke::N,ламу,пос
455,Brunnen::N,къуй,колодец 
456,Weide::N,бизантту,пода йирсян
457,Pfad::N,жегъир ххуллу,туй
458,Weg::N,ххуллу,туй
459,Straße::N,ххуллу,туй
460,Dorf::N,щар,деревня
461,Dorf::N,шяравалу,деревня
462,Stadt::N,шагьру,город
463,Brief::N,чагъар,гижӧт
464,Buch::N,лу,книга
465,Buchstabe::N,хӏарп,буква
466,Zeitung::N,кказит,газета
467,Leben::N,оьрму,олан
468,Tod::N,ажал,кулӧм
469,Tod::N,бивкӏу,кулӧм
470,Tod::N,ивчӏаву,кулӧм
471,Grab::N,гьав,гу
472,Kirche::N,килиса,вичку
473,Sünde::N,бунагъ,грек
474,Gott::N,зал,ен
475,Arbeiter::N,зузала,уджалiсь
476,Chef::N,ялувма,начальник
477,Meister::N,усттар,мастер
478,Arzt::N,хӏакин,врач
479,Lehrer::N,учитель,велӧтісь
480,Geld::N,арцу,деньга
481,Geschäft::N,даву,удж
482,Laden::N,ттучан,магазин
483,Preis::N,багъа,дон
484,Ware::N,хъус,товар
485,Nutzen::N,хайр,путь
486,Nutzen::N,мюнпат,путь
487,Reichtum::N,давлат,богатство
488,Reichtum::N,аваданшиву,богатство
489,Welt::N,дуниял,му
490,Land::N,билаят,страна
491,Staat::N,паччахӏлугъ,государство
492,Macht::N,власть,власть
493,Grenze::N,дазу,граница
494,Krieg::N,дяъви,война
495,Feind::N,душман,враг
496,Gewalt::N,къия,
497,Kampf::N,лачӏуи уккаву,нярасьӧм
498,Kampf::N,лачӏуи уккаву,вермасьӧм
499,Bogen[Waffe]::N,ккуртта,лук
500,Pfeil::N,чӏатӏаракӏ,ньӧв
501,Gewehr::N,ттупанг,ружьё
502,Fehler::N,гъалатӏ,ошибка
503,Lüge::N,щялмахъ,ылӧтӧм
504,Lüge::N,щялмахъ,пӧрьялӧм
505,Schaden::N,зарал,лёк
506,Unglück::N,бала,пик
507,Unglück::N,бала,оказзё
508,Schuld::N,тахсир,вина
509,Alter::N,оьрму,
510,Schluss::N,ахир,ком
511,Zeit::N,чӏун,кад
512,Tag::N,кьини,лун
513,Morgen::N,кӏюрх,асыв
514,Mittag::N,ахттайн,луншӧр кад
515,Mittag::N,дяахттайн,луншӧр кад
516,Mittag::N,ахттайн чӏун,луншӧр кад
517,Abend::N,маркӏачӏан,рыт
518,Nacht::N,хьхьу,ой
519,Woche::N,нюжмар,неделя
520,Monat::N,барз,тӧлicь
521,Jahr::N,шин,год
522,Frühling::N,инт,тулыс
523,Sommer::N,гъи,гожум
524,Herbst::N,ссут,ар
525,Winter::N,кӏи,тӧв
526,Januar::N,цалчинмур барз,январ
527,Februar::N,кӏилчинмур барз,февраль
528,März::N,шамилчинмур барз,март
529,April::N,апрель,апрель
530,April::N,мукьилчинмур барз,апрель
531,Mai::N,май,май
532,Mai::N,ххюлчинмур барз,май
533,Juni::N,июнь,юнь
534,Juni::N,ряххилчинмур барз,юнь
535,Juli::N,июль,юль
536,Juli::N,Арулчинмур барз,юль
537,August::N,мяйлчинмур барз,август
538,September::N,урчӏилчинмур барз,сентяб
539,Oktober::N,ацӏилчинмур барз,октяб
540,November::N,ацӏния цалчинмур барз,нояб
541,Dezember::N,ацӏния кӏилчинмур барз,декаб
542,Montag::N,итин,вильлун
543,Montag::N,итин кьини,вильлун
544,Dienstag::N,тталат,мӧдӧдзлун
545,Dienstag::N,тталат кьини,мӧдӧдзлун
546,Mittwoch::N,арвахӏ,шӧрлун
547,Donnerstag::N,хамис,нёльӧдзлун
548,Freitag::N,нюжмар,витӧдзлун
549,Freitag::N,нюжмар кьини,витӧдзлун
550,Samstag::N,ххуллун,пывсянлун
551,Samstag::N,ххуллун кьини,пывсянлун
552,Sonntag::N,алхӏат,кресення
553,Sonntag::N,алхӏат кьини,кресення
554,groß::A,бугъарасса,ыджыт
555,klein::A,чӏивисса,учӧтик
556,lang::A,лахъисса,кузь
557,kurz::A,кутӏасса,дженыт
558,breit::A,уттасса,ота
559,schmal::A,уттакӏюласса,векнит
560,dicht::A,ццунсса,тшӧк
561,dick[Gegenstand]::A,ганзсса,кыз
562,dünn::A,кӏюласса,вӧснит
563,fest::A,цӏакьсса,крепыт
564,fest::A,кьянкьасса,крепыт
565,flach::A,баягъисса,лапкӧса
566,flach::A,цӏубакъасса,лапкӧса
567,flach::A,куртӏ дакъасса,лапкӧса
568,glatt::A,дюрчӏусса,волькыт
569,hart::A,кьянкьасса,чӧрыт
570,weich::A,кӏукӏлусса,небыт
571,rund::A,ккурккисса,гӧгрӧса
572,spitz::A,ярксса,ёся
573,spitz::A,дайлсса,ёся
574,spitz::A,мицӏ бусса,ёся
575,scharf::A,ярксса,лэчыт
576,scharf::A,дайлсса,лэчыт
577,scharf::A,мицӏ бусса,лэчыт
578,stumpf::A,къуркъасса,ныж
579,schwer::A,кӏусса,сьӧкыт
580,schön::A,аьнтӏикӏасса,басӧк
581,heiß::A,кӏирисса,жар
582,warm::A,гъелисса,шоныт
583,kalt::A,дяркъусса,кӧдзыт
584,kühl::A,дюхлулсса,сайкыт
585,frisch::A,цӏусса,виль
586,feucht::A,атилсса,вакодь
587,feucht::A,хъавтусса,вакодь
588,nass::A,атилсса,ва
589,nass::A,хъавтусса,ва
590,trocken::A,кьавкьсса,кӧс
591,trocken::A,кьакьан бувсса,кӧс
592,voll::A,бувцӏусса,тыра
593,leer::A,бачӏвасса,тыртӧм
594,offen::A,тӏивтӏусса,оссьӧм
595,geschlossen::A,лавкьусса,игана
596,geschlossen::A,лавкьусса,пӧдана
597,sauber::A,марцӏсса,сӧдз
598,sauber::A,марцӏсса,сӧстӧм
599,schmutzig::A,чапалсса,нятьӧсь
600,roh::A,шакъавхьсса,путӧм
601,reif::A,дирсса,кисьмалӧм
602,lecker::A,нахӏусса,кӧра 
603,lecker::A,тӏааьнсса,кӧра 
604,süß::A,нацӏусса,чӧскыт
605,bitter::A,кьурчӏисса,курыт
606,sauer::A,туршсса,шӧма 
607,hell::A,чаннасса,югыт
608,dunkel::A,цӏансса,пемыт
609,schwarz::A,лухӏисса,сьӧд
610,weiß::A,кӏяласса,чочком
611,rot::A,ятӏулсса,гӧрд
612,gelb::A,хъахъисса,веж
613,blau::A,някӏсса,лӧз
614,grün::A,щюлисса,веж
615,grau::A,оьрусса,руд
616,grau::A,оьрусса,бусӧй
617,bunt::A,оьрчӏикӏурисса,быдрӧма
618,billig::A,кьювкьусса,донтӧм
619,teuer::A,ххирасса,дона
620,wertvoll::A,багьасса,дона
621,blind::A,мурчӏисса,синтӧм
622,taub::A,къюкӏсса,пельтӧм
623,kräftig::A,гужсса,вына
624,stark::A,кьянкьасса,вына
625,schwach::A,заэвсса,некодя
626,fett::A,бучсса,госа
627,schlank::A,бювхъусса,статя
628,hübsch::A,янусса,басӧк
629,böse::A,оьсса,лёк
630,dumm::A,ахӏмакьсса,бӧбӧв
631,dumm::A,ахӏмакьсса,вежӧртӧм
632,faul::A,танмалсса,дыш
633,faul::A,курчӏилсса,дыш
634,fleißig::A,хӏарачат бусса,уджалicь
635,geizig::A,янттарцӏансса,жикмӧра
636,geizig::A,янттарцӏансса,горшаліcь
637,klug::A,аькьлу бусса,авья
638,klug::A,аькьлу бусса,вежӧра
639,geschickt::A,паргалсса,кипода
640,lieb::A,аьзизсса,муса
641,lieb::A,аьзизсса,дзулиньӧй
642,lustig::A,тяхъасса,гажа
643,sanft::A,иминсса,лебезнӧй
644,hungrig::A,ккашилсса,тшыг
645,krank::A,къашавайсса,шогалiсь
646,nackt::A,кӏачӏасса,куш
647,traurig::A,пашмансса,жугыль
648,lebendig::A,уттавасса,ловья
649,gut::A,ххуйсса,бур
650,schlecht::A,оьккисса,умӧль
651,richtig::A,саргъунсса,
652,schlimm::A,оьккисса,нештӧм
653,wahr::A,хӏакьсса,
654,alt::A,кугьнасса,важ
655,neu::A,цӏусса,виль
656,ehemalig::A,хъхъичӏвасса,вӧвлӧм
657,alt[Lebewesen]::A,агьилсса,года
658,alt[Lebewesen]::A,агьилсса,годдэза
659,jung::A,чӏавасса,том
660,jung::A,жагьилсса,том
661,arm::A,мискинсса,гов
662,arm::A,мискинсса,беднӧй
663,reich::A,авадансса,эма
664,bekannt::A,дусъсса,тӧдса
665,berühmt::A,машгьурсса,
666,fremd::A,чил,чужӧй
667,verschieden::A,личӏи-личӏисса,быдкодь
668,nah::A,гъансса,матiсь
669,fern::A,архсса,ылicь
670,linker::A,кияхсса,шульга
671,linker::A,кюччахсса,шульга
672,rechter::A,урчӏахсса,веськытланись
673,anderer::A,цамур,мукӧд
674,erster::A,цалчинмур,медодзза
675,erster::A,цалчиннсса,медодзза
676,zweiter::A,кӏилчиимур,кыкӧт
677,dritter::A,шамулчинмур,куимӧт
678,dritter::A,шамулчинмур,куимӧдз
679,letzter::A,махъва-махъмур,бӧрья
680,letzter::A,махъва-махъмур,мёдбӧрья
681,allein::ADV,ялгъузну,
682,zusammen::ADV,цачӏу,ӧтлаын
683,zusammen::ADV,архӏал,ӧтлаын
684,lange::ADV,батӏи къабуклай,дыр
685,lange::ADV,хъунмасса хӏаллай,дыр
686,plötzlich::ADV,цакуну,друг
687,sofort::ADV,мугьлат бакъа,тшӧтш
688,später::ADV,махъ,медбӧрын
689,jetzt::ADV,утти,ӧні
690,jetzt::ADV,цӏана,ӧні
691,heute::ADV,хӏакьину,талун
692,morgen::ADV,гьуит,ашын
693,morgen::ADV,гьунттий,ашын
694,dann::ADV,яла,сыбӧрын
695,gestern::ADV,лахьхьу,тӧн
696,damals::ADV,та чӏумал,сэк
697,damals::ADV,та чӏумал,сэки
698,danach::ADV,яла,сэсся
699,vorher::ADV,хьхьнчӏ,одзжык
700,vorher::ADV,хьхьичӏва,одзжык
701,zuerst::ADV,бакӏрай,наперво
702,zuerst::ADV,цӏу бутӏуй,наперво
703,einmal::ADV,цал,ӧтпыр
704,manchmal::ADV,ваксса-таксса,мукӧдпыр
705,oft::ADV,чӏявуну,-лы-
706,immer::ADV,мудан,быдпыр
707,immer::ADV,мудан,быдпырся
708,immer::ADV,даиман,быдпыр
709,immer::ADV,даиман,быдпырся
710,niemals::ADV,тачӏав,некӧр
711,hier::ADV,шикку,татӧн
712,hierhin::ADV,шиккун,татчӧ
713,von hier::ADV,шичча,тасянь
714,dort::ADV,гикку,сэтӧн
715,dorthin::ADV,тиккун,сэтчин
716,geradeaus::ADV,тӏайланм,веськыта
717,vorwärts::ADV,хьхьичӏунмай,одзӧ
718,rückwärts::ADV,махъа-хьхьичӏунмай,бӧр
719,zurück::ADV,махъунмай,бӧр
720,unten::ADV,лув,увтын
721,hinab::ADV,бакӏ-ялавай,увтас
722,hinab::ADV,бакӏъялавай,увтас
723,oben::ADV,ялув,вевдӧрас
