,Concept_ID,pt,sl
141,Baum::N,árvore,drevó
142,Stamm::N,tronco,dêblo
143,Rinde::N,casca,lúbje
144,Rinde::N,casca,skórja
145,Ast::N,ramo,véja
146,Zweig::N,galho,véja
147,Blatt::N,folha,líst
148,Birke::N,bétula,bréza
149,Kiefer[Baum]::N,pinheiro,bòr
150,Weide[Baum]::N,salgueiro,vŕba
151,Tanne::N,abeto,hója
152,Horn::N,corno,róg
153,Horn::N,chifre,róg
154,Feder::N,pena,peró
155,Fell::N,pele,kŕzno
156,Flügel::N,asa,krílo
157,Klaue::N,pata,párkelj
158,Kralle::N,unha,krémpelj
159,Kralle::N,garra,krémpelj
160,Schwanz::N,rabo,rèp
161,Schwanz::N,cauda,rèp
162,Ei::N,ovo,jájce
163,Nest::N,ninho,gnézdo
164,Bau::N,toca,brlòg
165,Bau::N,covil,brlòg
166,Tier::N,animal,živál
167,Herde::N,rebanho,čréda
168,Kuh::N,vaca,kráva
169,Bulle::N,touro,bìk
170,Pferd::N,cavalo,kònj
171,Schaf::N,ovelha,ôvca
172,Schwein::N,porco,svínja
173,Hund::N,cão,pès
174,Katze::N,gata,máčka
175,Bär::N,urso,mêdved
176,Eichhörnchen::N,esquilo,véverica
177,Elch::N,alce,lós
178,Fuchs::N,raposa,lisíca
179,Hase::N,lebre,zájec
180,Maus::N,rato,mìš
181,Wolf::N,lobo,vólk
182,Vogel::N,ave,ptìč
183,Vogel::N,ave,ptíca
184,Vogel::N,pássaro,ptìč
185,Vogel::N,pássaro,ptíca
186,Schwarm::N,bando,játa
187,Schwarm::N,enxame,játa
188,Huhn::N,galinha,kokóš
189,Hahn::N,galo,petêlin
190,Gans::N,ganso,gós
191,Adler::N,águia,ôrel
192,Ente::N,pata,ráca
193,Eule::N,mocho,sôva
194,Eule::N,coruja,sôva
195,Kranich::N,grou,žerjàv
196,Krähe::N,gralha,vrána
197,Kuckuck::N,cuco,kúkavica
198,Schwan::N,cisne,labód
199,Fisch::N,peixe,ríba
200,Barsch::N,perca,ostríž
201,Hecht::N,lúcio,ščúka
202,Schlange[Tier]::N,serpente,káča
203,Wurm::N,verme,čr̀v
204,Wurm::N,verme,glísta
205,Spinne::N,aranha,pájek
206,Ameise::N,formiga,mrávlja
207,Laus::N,piolho,úš
208,Mücke::N,mosquito,komár
209,Fliege::N,mosca,múha
210,Schmetterling::N,borboleta,metúlj
211,Beere::N,bago,jágoda
212,Apfel::N,maçã,jábolko
213,Pilz::N,fungo,góba
214,Pilz::N,cogumelo,góba
215,Zwiebel::N,cebola,čebúla
216,Saat::N,sementeira,séme
217,Korn::N,grão,zŕno
218,Heu::N,feno,senó
219,Schale::N,casca,lupína
220,Grube::N,cova,jáma
221,Grube::N,fossa,jáma
222,Falle::N,armadilha,pást
223,Schlinge::N,laço,zánka
224,Schlinge::N,laço,pêtlja
225,Spur::N,pista,sléd
226,Spur::N,vestígio,sléd
227,Asche::N,cinza,pepél
228,Dreck::N,sujidade,bláto
229,Eisen::N,ferro,želézo
230,Gold::N,ouro,zlató
231,Silber::N,prata,srebró
232,Kohle::N,carvão,ógel
233,Glas::N,vidro,stêklo
234,Lehm::N,barro,ílo
235,Lehm::N,argila,ílo
236,Sand::N,areia,pések
237,Mensch::N,homem,člôvek
238,Mensch::N,pessoa,člôvek
239,Mann::N,homem,móž
240,Mann::N,homem,môški
241,Frau::N,mulher,gospá
242,Frau::N,mulher,žénska
243,Kind::N,filho,déte
244,Kind::N,filho,otròk
245,Kind::N,criança,déte
246,Kind::N,criança,otròk
247,Junge::N,rapaz,fànt
248,Junge::N,rapaz,déček
249,Junge::N,menino,fànt
250,Junge::N,menino,déček
251,Mädchen::N,menina,deklè
252,Mädchen::N,menina,déklica
253,Mädchen::N,rapariga,deklè
254,Mädchen::N,rapariga,déklica
255,Familie::N,família,družína
256,Großvater::N,avô,dèd
257,Großvater::N,avô,dédek
258,Großmutter::N,avó,bábica
259,Eltern::N,pais,stárši
260,Vater::N,pai,ôče
261,Mutter::N,mãe,máma
262,Sohn::N,filho,sín
263,Tochter::N,filha,hčí
264,Tochter::N,filha,hčérka
265,Bruder::N,irmão,bràt
266,Schwester::N,irmã,sêstra
267,Onkel::N,tio,újec
268,Onkel::N,tio,stríc
269,Tante::N,tia,têta
270,Tante::N,tia,strína
271,Ehemann::N,esposo,móž
272,Ehemann::N,esposo,sopróg
273,Ehefrau::N,esposa,žêna
274,Ehefrau::N,esposa,sopróga
275,Freude::N,prazer,rádost
276,Freude::N,prazer,vesêlje
277,Freude::N,alegria,rádost
278,Freude::N,alegria,vesêlje
279,Gelächter::N,risada,sméh
280,Gelächter::N,risada,grohòt
281,Gelächter::N,gargalhada,sméh
282,Gelächter::N,gargalhada,grohòt
283,Glück::N,felicidade,sréča
284,Kummer::N,aflição,gorjé
285,Kummer::N,desgosto,gorjé
286,Wunsch::N,desejo,žêlja
287,Lust::N,vontade,poželênje
288,Geist::N,mente,dúša
289,Geist::N,espírito,dúša
290,Gedanke::N,ideia,mísel
291,Gedanke::N,pensamento,mísel
292,Gedächtnis::N,memória,pámet
293,Verstand::N,razão,
294,Verstand::N,inteligência,
295,Sinn::N,sentido,pomèn
296,Sinn::N,sentido,smísel
297,Sinn::N,significado,pomèn
298,Sinn::N,significado,smísel
299,Grund::N,causa,vzròk
300,Grund::N,motivo,vzròk
301,Wahrheit::N,verdade,resníca
302,Gespräch::N,conversa,pogóvor
303,Gespräch::N,conversação,pogóvor
304,Märchen::N,conto,právljica
305,Erzählung::N,conto,povést
306,Erzählung::N,narrativa,povést
307,Nachricht::N,mensagem,sporočílo
308,Neuigkeit::N,notícia,novóst
309,Neuigkeit::N,novidade,novóst
310,Name::N,nome,imé
311,Rätsel::N,adivinha,ugánka
312,Rede::N,oração,góvor
313,Rede::N,discurso,góvor
314,Sprache::N,língua,jêzik
315,Stimme::N,voz,glás
316,Wort::N,palavra,beséda
317,Zeichen::N,marca,znák
318,Ruf::N,grito,klíc
319,Ruf::N,chamada,klíc
320,Lärm::N,ruído,hrúp
321,Lärm::N,ruído,trúšč
322,Lärm::N,barulho,hrúp
323,Lärm::N,barulho,trúšč
324,Laut::N,som,glás
325,Ton::N,tom,tón
326,Lied::N,canção,pésem
327,Ruhe::N,calma,pokòj
328,Ruhe::N,silêncio,pokòj
329,Leute::N,gente,ljudjé
330,Leute::N,pessoas,ljudjé
331,Volk::N,povo,národ
332,Volk::N,nação,národ
333,Arbeit::N,trabalho,délo
334,Gast::N,hóspede,gòst
335,Gast::N,convidado,gòst
336,Geschenk::N,prenda,darílo
337,Geschenk::N,presente,darílo
338,Spiel::N,jogo,ígra
339,Gesellschaft::N,companhia,drúžba
340,Hilfe::N,ajuda,pomóč
341,Hilfe::N,socorro,pomóč
342,Freund::N,amigo,prijátelj
343,Kamerad::N,camarada,továriš
344,Angelegenheit::N,assunto,zadéva
345,Anzahl::N,número,števílo
346,Anzahl::N,quantidade,števílo
347,Art::N,tipo,vŕsta
348,Art::N,espécie,vŕsta
349,Stück::N,pedaço,kós
350,Teil::N,peça,dél
351,Teil::N,parte,dél
352,Hälfte::N,metade,polovíca
353,Kreis::N,círculo,króg
354,Kreis::N,círculo,kolobár
355,Kreuz::N,cruz,kríž
356,Linie::N,linha,próga
357,Strich::N,traço,čŕta
358,Abstand::N,distância,preslédek
359,Entfernung::N,distância,oddáljenost
360,Gegend::N,área,kràj
361,Gegend::N,área,dežêla
362,Gegend::N,região,kràj
363,Gegend::N,região,dežêla
364,Platz::N,lugar,prôstor
365,Ort::N,sítio,mésto
366,Seite::N,lado,bòk
367,Seite::N,lado,strán
368,Mitte::N,meio,sredína
369,Gegenstand::N,objecto,prédmet
370,Sache::N,coisa,réč
371,Sache::N,coisa,stvár
372,Rand::N,bordo,kràj
373,Rand::N,margem,kràj
374,Kante::N,borda,rób
375,Kante::N,aresta,rób
376,Ecke::N,esquina,vogál
377,Spitze::N,ponta,óst
378,Ende::N,cabo,kônec
379,Ende::N,extremo,kônec
380,Loch::N,furo,lúknja
381,Loch::N,buraco,lúknja
382,Winkel::N,canto,kót
383,Winkel::N,ângulo,kót
384,Muster::N,padrão,vzórec
385,Muster::N,desenho,vzórec
386,Größe::N,tamanho,veličína
387,Länge::N,comprimento,dolžína
388,Höhe::N,altura,vršína
389,Höhe::N,altitude,vršína
390,Gewicht::N,peso,téža
391,Menge::N,quantidade,količína
392,Haufen::N,pilha,kùp
393,Haufen::N,pilha,kopíca
394,Reihe::N,fila,níz
395,Reihe::N,fila,vŕsta
396,Boot::N,barco,čóln
397,Ruder::N,remo,vêslo
398,Schlitten::N,trenó,saní
399,Ski::N,esqui,smučí
400,Lagerfeuer::N,fogueira,táborni ôgenj
401,Last::N,carga,tôvor
402,Gang::N,curso,hòd
403,Gang::N,caminhada,hòd
404,Schritt::N,passo,korák
405,Norden::N,norte,séver
406,Süden::N,sul,júg
407,Westen::N,oeste,zapàd
408,Westen::N,ocidente,zapàd
409,Osten::N,este,vzhòd
410,Osten::N,leste,vzhòd
411,Osten::N,oriente,vzhòd
412,Holz::N,madeira,lés
413,Brett::N,tábua,deskà
414,Brett::N,prancha,deskà
415,Platte::N,laje,plôča
416,Platte::N,chapa,plôča
417,Stütze::N,apoio,opóra
418,Stütze::N,apoio,zaslómba
419,Stütze::N,suporte,opóra
420,Stütze::N,suporte,zaslómba
421,Stange::N,vara,gréd
422,Stange::N,barra,gréd
423,Stock::N,pau,pálica
424,Stock::N,bengala,pálica
425,Stab::N,bastão,pálica
426,Rohr::N,cano,cév
427,Haus::N,casa,híša
428,Heim::N,lar,dóm
429,Heim::N,casa,dóm
430,Ofen::N,estufa,péč
431,Ofen::N,aquecedor,péč
432,Fußboden::N,piso,pòd
433,Tisch::N,mesa,míza
434,Stuhl::N,cadeira,stòl
435,Wiege::N,berço,zíbel
436,Bett::N,cama,póstelja
437,Regal::N,estante,políca
438,Regal::N,prateleira,políca
439,Kiste::N,caixa,zabòj
440,Fenster::N,janela,ôkno
441,Tür::N,porta,vráta
442,Tor::N,portão,velíka vráta
443,Zaun::N,cerca,ográja
444,Zaun::N,vedação,ográja
445,Dach::N,telhado,stréha
446,Leiter::N,escada,léstev
447,Leiter::N,escada móvel,léstev
448,Besen::N,vassoura,mêtla
449,Spaten::N,pá,lopáta
450,Schaufel::N,pá,lopáta
451,Gabel::N,garfo,vílice
452,Löffel::N,colher,žlíca
453,Messer::N,faca,nòž
454,Nagel::N,cravo,žebèlj
455,Netz::N,rede,mréža
456,Haken::N,gancho,kljúka
457,Griff::N,asa,ročáj
458,Griff::N,asa,oprijèm
459,Griff::N,cabo,ročáj
460,Griff::N,cabo,oprijèm
461,Schloss::N,fechadura,ključávnica
462,Bild::N,imagem,slíka
463,Figur::N,figura,figúra
464,Figur::N,figura,postáva
465,Puppe::N,boneca,lútka
466,Beutel::N,saco,môšnja
467,Beutel::N,bolsa,môšnja
468,Bündel::N,fardo,cúla
469,Bündel::N,fardo,svéženj
470,Tasche::N,saco,tórba
471,Tasche::N,saco,tobôlec
472,Tasche::N,bolso,tórba
473,Tasche::N,bolso,tobôlec
474,Eimer::N,balde,vêdro
475,Deckel::N,tampa,pokròv
476,Deckel::N,tampa,poklópec
477,Geschirr::N,louça,posóda
478,Sack::N,saca,vréča
479,Tasse::N,chávena,skodélica
480,Topf::N,tacho,lônec
481,Topf::N,panela,lônec
482,Kessel::N,caldeira,kôtel
483,Essen::N,refeição,hrána
484,Nahrung::N,comida,živílo
485,Nahrung::N,alimento,živílo
486,Speise::N,prato,jéd
487,Fleisch::N,carne,mesó
488,Getreide::N,cereais,žíto
489,Brei::N,puré,káša
490,Brot::N,pão,krùh
491,Scheibe::N,fatia,réženj
