,Concept_ID,vep,kl
0,Auge::N,sil'm,isi
1,Ohr::N,korv,siut
2,Nase::N,nena,
3,Mund::N,su,paaq
4,Mund::N,su,qaneq
5,Zahn::N,pi,kigut
6,Zahn::N,hambaz,kigut
7,Zunge::N,kel',oqaq
8,Lippe::N,hul',qarloq
9,Wange::N,modpolišk,ersaq
10,Gesicht::N,mod,kiinaq
11,Stirn::N,oc,qaaq
12,Haar::N,tuk,meqqoq
13,Haar::N,hibuz,meqqoq
14,Schnurrbart::N,habinod,
15,Bart::N,bard,umik
16,Kinn::N,löug,talloq
17,Kiefer[Anatomie]::N,hambazlu,alleroq
18,Kehle::N,kurk,malaq
19,Hals::N,kagl,qungaseq
20,Genick::N,tagarai,pukusuk
21,Kopf::N,pä,niaqoq
22,Rücken::N,sel'g,qimerlut
23,Bauch::N,vac,naaq
24,Bauch::N,koht,naaq
25,Nabel::N,naba,qalaseq
26,Busen::N,niža,iviangeq
27,Brust::N,rind,iviangeq
28,Schulter::N,oug,ersik
29,Schulter::N,oug,assaqqoq
30,Arm::N,käzi,taleq
31,Ellenbogen::N,künambruz,ikusik
32,Hand::N,käzi,assak
33,Hand::N,käzitera,assak
34,Handfläche::N,kämen,itumak
35,Finger::N,sor'm,inuak
36,Fingernagel::N,künz',kikiak
37,Nagel[Anatomie]::N,künz',kukik
38,Zeh::N,barbaz,isigak
39,Fuß::N,jaug,
40,Ferse::N,kand,kimmik
41,Knie::N,komb,seeqqoq
42,Knie::N,pol'v,seeqqoq
43,Oberschenkel::N,riiže,uppat
44,Oberschenkel::N,riiže,quttoraq
45,Bein::N,jaug,isigak
46,Körper::N,hibj,timi
47,Haut::N,nahk,mattak
48,Blut::N,čak,aak
49,Blut::N,veri,aak
50,Ader::N,son',taqaq
51,Sehne::N,jände,ujalu
52,Sehne::N,jände,ujaloq
53,Knochen::N,lu,saanikut
54,Gehirn::N,aivod,qarasaq
55,Herz::N,südäin,uummat
56,Magen::N,südäikoht,aqajaroq
57,Leber::N,maks,tinguk
58,Atem::N,hengaiduz,anerneq
59,Hunger::N,näl'g,kaanneq
60,Träne::N,kündal',qia
61,Träne::N,kündal',qiak
62,Geschmack::N,magu,qilanaartuut
63,Geruch::N,haju,tipi
64,Geruch::N,haju,tipik
65,Schlaf::N,uni,
66,Traum::N,unikuva,sinnattoq
67,Traum::N,unikuva,sinnattugaq
68,Himmel::N,taivaz,qilak
69,Sonne::N,päiväine,seqineq
70,Mond::N,kudmaine,qaammat
71,Stern::N,tähtaz,ulloriaq
72,Luft::N,il'm,silaannaq
73,Wind::N,döl,anori
74,Wind::N,döl,anorsarik
75,Wind::N,tullei,anori
