,Concept_ID,vep,az
0,Auge::N,sil'm,göz
1,Ohr::N,korv,qulaq
2,Nase::N,nena,burun
3,Mund::N,su,ağız
4,Zahn::N,pi,diş
5,Zahn::N,hambaz,diş
6,Zunge::N,kel',dil
7,Lippe::N,hul',dodaq
8,Wange::N,modpolišk,yanaq
9,Gesicht::N,mod,üz
10,Stirn::N,oc,alın
11,Haar::N,tuk,saç
12,Haar::N,hibuz,saç
13,Schnurrbart::N,habinod,bığ
14,Bart::N,bard,saqqal
15,Kinn::N,löug,çənə
16,Kiefer[Anatomie]::N,hambazlu,çənə
17,Kehle::N,kurk,boğaz
18,Hals::N,kagl,boyun
19,Genick::N,tagarai,ənsə
20,Kopf::N,pä,baş
21,Rücken::N,sel'g,bel
22,Bauch::N,vac,qarın
23,Bauch::N,koht,qarın
24,Nabel::N,naba,göbək
25,Busen::N,niža,məmə
26,Brust::N,rind,döş
27,Schulter::N,oug,çiyin
28,Arm::N,käzi,qol
29,Ellenbogen::N,künambruz,dirsək
30,Hand::N,käzi,əl
31,Hand::N,käzitera,əl
32,Handfläche::N,kämen,ovuc
33,Finger::N,sor'm,barmaq
34,Fingernagel::N,künz',barmaq dırnağı
35,Nagel[Anatomie]::N,künz',dırnak
36,Zeh::N,barbaz,ayaq barmağı
37,Fuß::N,jaug,ayaq
38,Ferse::N,kand,daban
39,Knie::N,komb,diz
40,Knie::N,pol'v,diz
41,Oberschenkel::N,riiže,bud
42,Bein::N,jaug,qıç
43,Körper::N,hibj,əndam
44,Haut::N,nahk,dəri
45,Blut::N,čak,qan
46,Blut::N,veri,qan
47,Ader::N,son',damar
48,Sehne::N,jände,vətər
49,Knochen::N,lu,sümük
50,Gehirn::N,aivod,beyin
51,Herz::N,südäin,ürək
52,Magen::N,südäikoht,mədə
53,Leber::N,maks,qara ciyər
54,Atem::N,hengaiduz,nəfəs
55,Hunger::N,näl'g,aclıq
56,Träne::N,kündal',göz yaşı
57,Geschmack::N,magu,tam
58,Geschmack::N,magu,ləzzət
59,Geruch::N,haju,qoxu
60,Schlaf::N,uni,yuxu
61,Traum::N,unikuva,röya
62,Himmel::N,taivaz,göy
63,Himmel::N,taivaz,səma
64,Sonne::N,päiväine,günəş
65,Mond::N,kudmaine,ay
66,Stern::N,tähtaz,ulduz
67,Luft::N,il'm,hava
68,Wind::N,döl,yel
69,Wind::N,döl,külək
70,Wind::N,tullei,yel
71,Wind::N,tullei,külək
72,Welle::N,ald,dalğa
73,Welle::N,laineh,dalğa
74,Wasser::N,vezi,su
75,Stein::N,kivi,daş
76,Boden::N,ma,yer
77,Boden::N,ma,zəmin
78,Boden::N,pohj,yer
79,Boden::N,pohj,zəmin
80,Erde::N,ma,yer torpaq
81,Staub::N,pölü,toz
82,Rauch::N,savu,tüstü
83,Funke::N,kibin,qığılcım
84,Feuer::N,lämoi,od
85,Licht::N,vauktuz,işıq
86,Schatten::N,pil'vez,kölgə
87,Schatten::N,kuvahaine,kölgə
88,Wetter::N,sä,hava
89,Nebel::N,sumeg,duman
90,Wolke::N,pil'v,bulud
91,Regen::N,vihm,yağış
92,Regen::N,vihm,yağmur
93,Schnee::N,lumi,qar
94,Eis::N,jä,buz
95,Frost::N,hala,ayaz
96,Frost::N,pakaine,ayaz
97,Kälte::N,vilu,soyuq
98,Hitze::N,räk,coşğunluq
99,Raureif::N,hüde,qırov
100,Regenbogen::N,jumalanbembel',göy qurşağı
101,Donner::N,juru,göy gurultusu
102,Donner::N,jumalanjuru,göy gurultusu
103,Strömung::N,joksmuz,axın
104,Tropfen::N,tilkuine,damcı
105,Schaum::N,vaht,köpük
106,Schmutz::N,redu,çamır
107,Schmutz::N,pačak,çamır
108,See::N,järv,göl
109,Sumpf::N,so,bataqlıq
110,Moor::N,so,bataqlıq
111,Wiese::N,nit,çəmən
112,Wald::N,mec,meşə
113,Hügel::N,kukaz,təpə
114,Anhöhe::N,kukaz,təpə
115,Berg::N,mägi,dağ
116,Gipfel::N,ladv,zirvə
117,Höhle::N,mägionduz,mağara
118,Abhang::N,paute,yamac
119,Quelle::N,lähte,bulaq
120,Bach::N,oja,kiçik çay
121,Fluss::N,jogi,çay
122,Ufer::N,rand,kənar
123,Küste::N,randišt,sahil
124,Festland::N,kuivma,materik
125,Meer::N,meri,dəniz
126,Bucht::N,laht,körfəz
127,Insel::N,sar',ada
128,Blume::N,änik,çiçək
129,Gras::N,hein,ot
130,Wurzel::N,jur',kök
131,Baum::N,pu,ağac
132,Stamm::N,tüvi,gövdə
133,Rinde::N,kor',qabıq
134,Ast::N,oks,şax
135,Zweig::N,oks,budaq
136,Zweig::N,barb,budaq
137,Blatt::N,lehtez,yarpaq
138,Birke::N,koiv,tozağacı
139,Kiefer[Baum]::N,pedai,şam
140,Weide[Baum]::N,raid,söyüd
141,Tanne::N,kuz',küknar
142,Horn::N,sar'v,buynuz
143,Feder::N,höuneh,tük
144,Feder::N,höuneh,lələk
145,Fell::N,nahk,xəz
146,Flügel::N,suug,qanad
147,Klaue::N,künz',pəncə
148,Kralle::N,künz',dırnaq
149,Schwanz::N,händ,quyruq
