,Concept_ID,zh,he
0,Auge::N,眼睛,עין
1,Ohr::N,耳朵,אזן
2,Nase::N,鼻子,אף
3,Nase::N,鼻子,חטם
4,Mund::N,嘴,פה
5,Zahn::N,牙齿,שן
6,Zunge::N,舌头,לשון
7,Lippe::N,嘴唇,שפה
8,Wange::N,面颊,לחי
9,Gesicht::N,脸,פנים
10,Stirn::N,额,מצח
11,Haar::N,头发,שערה
12,Schnurrbart::N,髭须,שפם
13,Bart::N,胡子,זקן
14,Kinn::N,下巴,סנטר
15,Kiefer[Anatomie]::N,颌,לסת
16,Kehle::N,嗓子,גרון
17,Hals::N,颈,צואר
18,Genick::N,后颈,ערף
19,Kopf::N,头,ראש
20,Rücken::N,背,גב
21,Bauch::N,肚子,בטן
22,Nabel::N,肚脐,טבור
23,Busen::N,胸脯,שד
24,Brust::N,胸,חזה
25,Schulter::N,肩膀,כתף
26,Arm::N,臂膀,זרוע
27,Ellenbogen::N,肘,מרפק
28,Hand::N,手,יד
29,Handfläche::N,手掌,כף יד
30,Finger::N,手指,אצבע
31,Fingernagel::N,指甲,צפרן
32,Nagel[Anatomie]::N,指甲,צפרן
33,Zeh::N,脚趾,אצבע
34,Fuß::N,脚,רגל
35,Ferse::N,后跟,עקב
36,Knie::N,膝,ברך
37,Oberschenkel::N,大腿,ירך
38,Bein::N,腿,רגל
39,Körper::N,身体,גוף
40,Haut::N,皮肤,עור
41,Blut::N,血,דם
42,Ader::N,血管,וריד
43,Sehne::N,腱,גיד
44,Knochen::N,骨,עצם
45,Gehirn::N,脑,מוח
46,Herz::N,心,לב
47,Magen::N,胃,קבה
48,Leber::N,肝,כבד
49,Atem::N,呼吸,נשימה
50,Hunger::N,饿,רעב
51,Träne::N,眼泪,דמעה
52,Geschmack::N,味道,טעם
53,Geruch::N,气味,ריח
54,Schlaf::N,睡眠,שנה
55,Traum::N,梦,חלום
56,Himmel::N,天空,שמים
57,Sonne::N,太阳,שמש
58,Mond::N,月亮,ירח
59,Stern::N,星,כוכב
60,Luft::N,空气,אויר
61,Wind::N,风,רוח
62,Welle::N,波,גל
63,Wasser::N,水,מים
64,Stein::N,石头,אבן
65,Boden::N,地面,קרקע
66,Erde::N,地,אדמה
67,Staub::N,灰尘,אבק
68,Rauch::N,烟,עשן
69,Funke::N,火花,ניצוץ
70,Feuer::N,火,אש
71,Licht::N,光,אור
72,Schatten::N,影子,צל
73,Wetter::N,天气,מזג אויר
74,Nebel::N,雾,ערפל
75,Wolke::N,云,ענן
76,Regen::N,雨,גשם
77,Schnee::N,雪,שלג
78,Eis::N,冰,קרח
79,Frost::N,霜冻,צנה
80,Kälte::N,寒冷,קר
81,Hitze::N,炎热,חם
82,Raureif::N,霜,כפור
83,Regenbogen::N,虹,קשת
84,Donner::N,雷,רעם
85,Strömung::N,水流,זרימה
86,Tropfen::N,滴,טפה
87,Schaum::N,泡沫,קצף
88,Schmutz::N,赃物,לכלוך
89,See::N,湖,אגם
90,Sumpf::N,沼泽,בצה
91,Moor::N,沼泽,בצה
92,Wiese::N,草地,מרעה
93,Wald::N,森林,יער
