,Concept_ID,kk,sv
0,Auge::N,көз,öga
1,Ohr::N,құлақ,öra
2,Nase::N,мұрын,näsa
3,Mund::N,ауыз,mun
4,Zahn::N,тіс,tand
5,Zunge::N,тіл,tunga
6,Lippe::N,ерін,läpp
7,Wange::N,ұрт,kind
8,Gesicht::N,бет-аузы,syn
9,Gesicht::N,бет-аузы,ansikte
10,Stirn::N,маңдай,panna
11,Haar::N,қыл,hår
12,Schnurrbart::N,мұрт,mustasch
13,Bart::N,сақал,skägg
14,Kinn::N,иек,haka
15,Kiefer[Anatomie]::N,жақ,käke
16,Kehle::N,алқым,strupe
17,Hals::N,мойын,hals
18,Genick::N,желке,nacke
19,Kopf::N,кәллә,huvud
20,Rücken::N,арқа,rygg
21,Bauch::N,қарын,buk
22,Bauch::N,қарын,mage
23,Nabel::N,кіндік,navel
24,Busen::N,омырау,barm
25,Brust::N,кеуде,bröst
26,Schulter::N,иық,skuldra
27,Arm::N,қол,arm
28,Ellenbogen::N,шынтақ,armbåge
29,Hand::N,қол,hand
30,Handfläche::N,алақан,handflata
31,Finger::N,саусақ,finger
32,Fingernagel::N,тырнақ,fingernagel
33,Nagel[Anatomie]::N,тырнақ,nagel
34,Zeh::N,тырнақ,tå
35,Zeh::N,тұяқ,tå
36,Fuß::N,аяқ-басы,fot
37,Ferse::N,өкше,häl
38,Ferse::N,өкшелік,häl
39,Knie::N,тізе,knä
40,Oberschenkel::N,жамбас,lår
41,Bein::N,аяқ,ben
42,Körper::N,дене,kropp
43,Haut::N,тері,hud
44,Haut::N,тері,skinn
45,Blut::N,қан,blod
46,Ader::N,көктамыр,åder
47,Ader::N,күретамыр,åder
48,Sehne::N,сіңір,sena
49,Knochen::N,жілік,ben
50,Gehirn::N,ми,hjärna
51,Herz::N,жүрек,hjärta
52,Magen::N,асқазан,mage
53,Leber::N,бауыр,lever
54,Atem::N,леп,anda
55,Atem::N,леп,andedräkt
56,Hunger::N,ашаршылық,svält
57,Hunger::N,ашаршылық,hunger
58,Träne::N,жас,tår
59,Geschmack::N,дәм,smak
60,Geschmack::N,татым,smak
61,Geschmack::N,талғам,smak
