,Concept_ID,se,te
0,Auge::N,tjelmie,కన్ను
1,Auge::N,tjalmme,కన్ను
2,Auge::N,čalbmi,కన్ను
3,Auge::N,čalme,కన్ను
4,Auge::N,čâ´lmm,కన్ను
5,Auge::N,ча̄лльм,కన్ను
6,Ohr::N,bieljie,చెవి
7,Ohr::N,biellje,చెవి
8,Ohr::N,beallji,చెవి
9,Ohr::N,pelji,చెవి
10,Ohr::N,pe´llj,చెవి
11,Ohr::N,пе̄лльй,చెవి
12,Nase::N,njuenie,ముక్కు
13,Nase::N,njunnje,ముక్కు
14,Nase::N,njunni,ముక్కు
15,Nase::N,njuṇe,ముక్కు
16,Nase::N,njuu´nn,ముక్కు
17,Nase::N,нюннҍ,ముక్కు
18,Mund::N,njaelmie,నోరు
19,Mund::N,njálmme,నోరు
20,Mund::N,njálbmi,నోరు
21,Mund::N,njälmi,నోరు
22,Mund::N,njä´lmm,నోరు
23,Mund::N,ня̄лльм,నోరు
24,Zahn::N,baenie,పల్లు
25,Zahn::N,bádne,పల్లు
26,Zahn::N,bátni,పల్లు
27,Zahn::N,pääṇi,పల్లు
28,Zahn::N,pää´nn,పల్లు
29,Zahn::N,па̄ннҍ,పల్లు
30,Zunge::N,njoektjeme,నాలుక
31,Zunge::N,njuovtjav,నాలుక
32,Zunge::N,njuovčča,నాలుక
33,Zunge::N,njuovčâ,నాలుక
34,Zunge::N,njuhččâm,నాలుక
35,Zunge::N,нюхчем,నాలుక
36,Lippe::N,bangseme,పెదవి
37,Lippe::N,njálmmerabdda,పెదవి
38,Lippe::N,bavssa,పెదవి
39,Lippe::N,poovsâ,పెదవి
40,Lippe::N,põõus,పెదవి
41,Lippe::N,пэ̄кс,పెదవి
42,Wange::N,skiehrie,చెంప
43,Wange::N,nierra,చెంప
44,Wange::N,muohtu,చెంప
45,Wange::N,nieṛâ,చెంప
46,Wange::N,njiõrr,చెంప
47,Wange::N,нӣрр,చెంప
48,Gesicht::N,ååredæjja,ముఖము
49,Gesicht::N,muohto,ముఖము
50,Gesicht::N,muođut,ముఖము
51,Gesicht::N,ámadadju,ముఖము
52,Gesicht::N,muáđuh,ముఖము
53,Gesicht::N,muâđ,ముఖము
54,Gesicht::N,ка̄ссв,ముఖము
55,Stirn::N,gaalloe,నుదురు
56,Stirn::N,gállo,నుదురు
57,Stirn::N,gállu,నుదురు
58,Stirn::N,kállu,నుదురు
59,Stirn::N,käll,నుదురు
60,Stirn::N,вуэххьц,నుదురు
61,Haar::N,voepte,వెండ్రుక
62,Haar::N,vuoppta,వెండ్రుక
63,Haar::N,vuokta,వెండ్రుక
64,Haar::N,vuop'tâ,వెండ్రుక
65,Haar::N,vuõpt,వెండ్రుక
66,Haar::N,вӯппт,వెండ్రుక
67,Schnurrbart::N,bijjie-skaavtjoe,మీసము
68,Schnurrbart::N,njunjevuolskávttjá,మీసము
69,Schnurrbart::N,seamu,మీసము
70,Schnurrbart::N,siämu,మీసము
71,Schnurrbart::N,ää´bben,మీసము
72,Schnurrbart::N,о̄а̄бпан,మీసము
73,Bart::N,skaavtja,గడ్డము
74,Bart::N,skaavtjoe,గడ్డము
75,Bart::N,skávttjá,గడ్డము
76,Bart::N,seamu,గడ్డము
77,Bart::N,siämu,గడ్డము
78,Bart::N,seäm,గడ్డము
79,Bart::N,ся̄м,గడ్డము
80,Kinn::N,gaejpie,గడ్డము
81,Kinn::N,gájbbe,గడ్డము
82,Kinn::N,gáibi,గడ్డము
83,Kinn::N,käibi,గడ్డము
84,Kinn::N,käi´bb,గడ్డము
85,Kinn::N,ка̄ййп,గడ్డము
86,Kiefer[Anatomie]::N,gaejpie,దౌడ
87,Kiefer[Anatomie]::N,oalol,దౌడ
88,Kiefer[Anatomie]::N,oaloldákte,దౌడ
89,Kiefer[Anatomie]::N,gáibi,దౌడ
90,Kiefer[Anatomie]::N,uá'lultähti,దౌడ
91,Kiefer[Anatomie]::N,vuâl'lõš,దౌడ
92,Kiefer[Anatomie]::N,вуаллнешш,దౌడ
93,Kehle::N,gealoe,గొంతు
94,Kehle::N,tjåttå,గొంతు
95,Kehle::N,njiello,గొంతు
96,Kehle::N,čotta,గొంతు
97,Kehle::N,čuudâ,గొంతు
98,Kehle::N,čoodd,గొంతు
