,Concept_ID,mrj,udm
0,Auge::N,сӹнзӓ,син
1,Ohr::N,пӹлӹш,пель
2,Nase::N,нер,ныр
3,Mund::N,ышма,ым
4,Zahn::N,пӱ,пинь
5,Zunge::N,йӹлмӹ,кыл
6,Lippe::N,тӹрвӹ,ымдур
7,Wange::N,шӹргӹ,бам
8,Gesicht::N,лицӓ,ымныр
9,Stirn::N,лепкӓ,кымес
10,Haar::N,ӱп,йырси
11,Schnurrbart::N,öрш,мыйык
12,Bart::N,пандаш,туш
13,Kinn::N,онгылаш,ангес
14,Kiefer[Anatomie]::N,пӱ арата,ан
15,Kiefer[Anatomie]::N,пӱ арата,анлы
16,Kehle::N,логер,гульым
17,Hals::N,шӱ,чырты
18,Genick::N,ланга,йырбер
19,Kopf::N,вуй,йыр
20,Rücken::N,туп,мыш
21,Bauch::N,мӹшкӹр,кӧт
22,Nabel::N,кӹлӹмдӹ,гогы
23,Busen::N,цӹзӹ,ноны
24,Brust::N,мел,мӧля
25,Schulter::N,ӹнгӹжӓ,пельпум
26,Arm::N,кид,суй
27,Ellenbogen::N,кӹнервуй,гырпум
28,Hand::N,лапа,ки
29,Handfläche::N,кид лапа,ки пыдэс
30,Handfläche::N,кид лапа,кырым пыдэс
31,Finger::N,парня,чиньы
32,Fingernagel::N,кӹч,гижы
33,Fingernagel::N,кӹч,гиждӥнь
34,Nagel[Anatomie]::N,кӹч,гижы
35,Zeh::N,парня,пыдчиньы
36,Fuß::N,ял лапа,пыд
37,Ferse::N,ялгавал,пыдбер
38,Ferse::N,ял кавал,пыдбер
39,Knie::N,пылвуй,пыдес
40,Oberschenkel::N,ӓрдӹ,макес
41,Bein::N,ял,пыд
42,Körper::N,монгыр,мугор
43,Körper::N,монгыр,вылтыр
44,Haut::N,кавашты,ку
45,Blut::N,вӹр,вир
46,Ader::N,вӹршӓр,вирсэр
47,Sehne::N,кукшышӱн,вуж
48,Knochen::N,лу,лы
49,Gehirn::N,вим,вим
50,Herz::N,шӱм,сюлэм
51,Magen::N,шӱм,ӝуш
52,Leber::N,мокш,мус
53,Atem::N,шӱлӹш,лул
54,Atem::N,шӱлӹш,шокан
55,Hunger::N,шужымаш,кӧтсюман
56,Träne::N,сӹнзӓвӹд,синкыли
57,Geschmack::N,тот,шӧм
58,Geruch::N,пыш,зын
59,Schlaf::N,ом,вӧт
60,Traum::N,ом,уйвӧт
61,Himmel::N,пӹлгом,ин
62,Sonne::N,кечӹ,шунды
63,Mond::N,тӹлзӹ,толэзь
64,Stern::N,шӹдӹр,кизили
65,Luft::N,юж,омыр
66,Luft::N,воздух,омыр
67,Wind::N,мардеж,тӧл
68,Welle::N,ко,тулкым
69,Welle::N,коэ,тулкым
