,Concept_ID,hi,hr
0,Auge::N,आँख,oko
1,Auge::N,चक्षु,oko
2,Ohr::N,कान,uho
3,Ohr::N,कर्ण,uho
4,Nase::N,नाक,nos
5,Nase::N,नासा,nos
6,Mund::N,मुख,usta
7,Mund::N,मुँह,usta
8,Zahn::N,दंत,zub
9,Zahn::N,दाँत,zub
10,Zunge::N,जीभ,jezik
11,Zunge::N,ज़बान,jezik
12,Zunge::N,जिह्वा,jezik
13,Lippe::N,ओंठ,usna
14,Lippe::N,होंठ,usna
15,Wange::N,गाल,obraz
16,Wange::N,कपोल,obraz
17,Gesicht::N,मुँह,lice
18,Gesicht::N,चेहरा,lice
19,Stirn::N,माथा,čelo
20,Stirn::N,मस्तक,čelo
21,Haar::N,बाल,kosa
22,Schnurrbart::N,मूँछें,brkovi
23,Bart::N,दाढ़ी,brada
24,Kinn::N,चिबुक,brada
25,Kinn::N,चिबुक,podbradak
26,Kiefer[Anatomie]::N,जबड़ा,čeljust
27,Kehle::N,गला,grlo
28,Hals::N,गला,vrat
29,Hals::N,गरदन,vrat
30,Genick::N,गरदन,zatiljak
31,Genick::N,ग्रीवा,zatiljak
32,Kopf::N,सिर,glava
33,Kopf::N,शीर्ष,glava
34,Rücken::N,पीठ,leđa
35,Rücken::N,पीठ,hrbat
36,Bauch::N,उदर,trbuh
37,Nabel::N,नाभि,pupak
38,Nabel::N,ढोंढी,pupak
39,Busen::N,कुच,sisa
40,Busen::N,कुच,njedra
41,Busen::N,स्तन,sisa
42,Busen::N,स्तन,njedra
43,Brust::N,वक्ष,prsa
44,Schulter::N,कंधा,rame
45,Schulter::N,कंधा,pleći
46,Schulter::N,स्कंध,rame
47,Schulter::N,स्कंध,pleći
48,Arm::N,बाँह,ruka
49,Arm::N,बाज़ू,ruka
50,Ellenbogen::N,कुहनी,lakat
51,Hand::N,हाथ,ruka
52,Hand::N,हस्त,ruka
53,Handfläche::N,हथेली,dlan
54,Finger::N,उँगली,prst
55,Finger::N,अँगुली,prst
56,Fingernagel::N,नख,nokat
57,Fingernagel::N,नाख़ून,nokat
58,Nagel[Anatomie]::N,नख,nokat
59,Nagel[Anatomie]::N,नाख़ून,nokat
60,Zeh::N,उँगली,nozni prst
61,Zeh::N,पाँव की उँगली,nozni prst
62,Fuß::N,चरण,noga
63,Fuß::N,चरण,stopalo
64,Fuß::N,पाँव,noga
65,Fuß::N,पाँव,stopalo
66,Ferse::N,एड़ी,peta
67,Knie::N,जानु,koljeno
68,Knie::N,घुटना,koljeno
69,Oberschenkel::N,उरु,bedro
70,Bein::N,टाँग,noga
71,Körper::N,तन,tijelo
72,Körper::N,देह,tijelo
73,Körper::N,शरीर,tijelo
74,Haut::N,चर्म,put
75,Haut::N,चर्म,koža
76,Haut::N,त्वचा,put
77,Haut::N,त्वचा,koža
78,Blut::N,लहू,krv
79,Blut::N,ख़ून,krv
80,Ader::N,रग,žila
81,Ader::N,शिरा,žila
82,Sehne::N,कंडरा,tetiva
83,Sehne::N,स्नायु,tetiva
84,Knochen::N,अस्थि,kost
85,Gehirn::N,दिमाग़,
86,Gehirn::N,मस्तिष्क,
87,Herz::N,दिल,srce
88,Herz::N,हृदय,srce
89,Magen::N,मेदा,stomak
90,Magen::N,मेदा,želudac
91,Magen::N,अमाशय,stomak
92,Magen::N,अमाशय,želudac
93,Leber::N,जिगर,jetra
94,Leber::N,यकृत्,jetra
95,Atem::N,दम,dah
96,Atem::N,साँस,dah
