,Concept_ID,ro,fi
0,Auge::N,ochi,silmä
1,Ohr::N,ureche,korva
2,Nase::N,nas,nenä
3,Mund::N,gură,suu
4,Zahn::N,dinte,hammas
5,Zunge::N,limbă,kieli
6,Lippe::N,buză,huuli
7,Wange::N,bucă,poski
8,Wange::N,obraz,poski
9,Gesicht::N,față,naama
10,Gesicht::N,față,kasvot
11,Gesicht::N,figură,naama
12,Gesicht::N,figură,kasvot
13,Stirn::N,frunte,otsa
14,Haar::N,păr,hius
15,Haar::N,păr,tukka
16,Schnurrbart::N,mustață,viikset
17,Bart::N,barbă,parta
18,Kinn::N,bărbie,leuka
19,Kiefer[Anatomie]::N,falcă,leukaluu
20,Kehle::N,beregată,kurkku
21,Hals::N,gât,kaula
22,Genick::N,ceafă,niska
23,Kopf::N,cap,pää
24,Rücken::N,dos,selkä
25,Rücken::N,spate,selkä
26,Rücken::N,spinare,selkä
27,Bauch::N,burtă,maha
28,Bauch::N,burtă,vatsa
29,Bauch::N,pântece,maha
30,Bauch::N,pântece,vatsa
31,Nabel::N,buric,napa
32,Busen::N,sân,rinta
33,Brust::N,piept,rinta
34,Schulter::N,umăr,olka
35,Schulter::N,umăr,hartia
36,Schulter::N,umăr,olkapää
37,Schulter::N,spate,olka
38,Schulter::N,spate,hartia
39,Schulter::N,spate,olkapää
40,Arm::N,braț,käsivarsi
41,Ellenbogen::N,cot,kyynärpää
42,Hand::N,mână,käsi
43,Handfläche::N,palmă,kämmen
44,Finger::N,deget,sormi
45,Fingernagel::N,unghie,kynsi
46,Nagel[Anatomie]::N,unghie,kynsi
47,Zeh::N,deget de la picior,varvas
48,Fuß::N,picior,jalka
49,Ferse::N,călcâi,kantapää
50,Knie::N,genunchi,polvi
51,Oberschenkel::N,coapsă,reisi
52,Bein::N,picior,jalka
53,Körper::N,corp,keho
54,Körper::N,corp,ruumis
55,Haut::N,piele,iho
56,Blut::N,sânge,veri
57,Ader::N,vână,suoni
58,Ader::N,arteră,suoni
59,Sehne::N,tendon,jänne
60,Knochen::N,os,luu
61,Gehirn::N,creier,aivot
62,Herz::N,inimă,sydän
63,Magen::N,stomac,maha
64,Magen::N,stomac,vatsa
65,Leber::N,ficat,maksa
66,Atem::N,răsuflare,henki
67,Atem::N,răsuflare,hengitys
68,Atem::N,respirație,henki
69,Atem::N,respirație,hengitys
70,Hunger::N,foame,nälkä
