,Concept_ID,ka,ps
0,Auge::N,თვალი,سترګه
1,Ohr::N,ყური,غوږ
2,Nase::N,ცხვირი,پوزه
3,Mund::N,პირი,خوله
4,Zahn::N,კბილი,غاښ
5,Zunge::N,ენა,جبه
6,Lippe::N,ბაგე,شونډه
7,Wange::N,ლოყა,باړخو
8,Gesicht::N,სახე,مخ
9,Stirn::N,შუბლი,تندی
10,Stirn::N,შუბლი,وچولی
11,Haar::N,თმა,وېښته
12,Schnurrbart::N,ულვაში,برېت
13,Bart::N,წვერი,ږیره
14,Kinn::N,ნიკაპი,زنه
15,Kiefer[Anatomie]::N,ყბა,جامه
16,Kehle::N,ყელი,غاړه
17,Hals::N,ყელი,غاړه
18,Hals::N,კისერი,غاړه
19,Genick::N,კეფა,ورمېږ
20,Kopf::N,თავი,سر
21,Rücken::N,ზურგი,شا
22,Bauch::N,მუცელი,نس
23,Bauch::N,მუცელი,ګېډه
24,Nabel::N,ჭიპი,نوم
25,Busen::N,ძუძუ,تی
26,Brust::N,მკერდი,سینه
27,Schulter::N,მხარი,اوږه
28,Schulter::N,მკლავი,اوږه
29,Arm::N,ხელი,لاس
30,Ellenbogen::N,იდაყვი,څنګل
31,Hand::N,ხელი,لاس
32,Handfläche::N,ნები,ورغوی
33,Handfläche::N,ხელისგული,ورغوی
34,Finger::N,თითი,ګوته
35,Fingernagel::N,ფრჩხილი,نوک
36,Nagel[Anatomie]::N,ფრჩხილი,نوک
37,Zeh::N,ფეხის თითი,ګوته
38,Fuß::N,ტერფი,پښه
39,Fuß::N,ფეხისგული,پښه
40,Ferse::N,ქუსლი,پونده
41,Knie::N,მუხლი,زنګون
42,Oberschenkel::N,ბარძაყი,پتون
43,Bein::N,ფეხი,پښه
44,Körper::N,ტანი,ځان
45,Körper::N,სხეული,ځان
46,Haut::N,კანი,پوټکی
47,Blut::N,სისხლი,وینه
48,Ader::N,ძარღვი,رګ
49,Sehne::N,მყესი,پله
50,Knochen::N,ძვალი,هډوکی
51,Gehirn::N,ტვინი,ماغزه
52,Herz::N,გული,زړه
53,Magen::N,კუჭი,معده
54,Leber::N,ღვიძლი,ينه
55,Leber::N,ღვიძლი,ځیګر
56,Atem::N,სუნთქვა,نفس
57,Hunger::N,შიმშილი,ولږه
58,Träne::N,ცრემლი,اوښکه
59,Geschmack::N,გემო,مزه
60,Geschmack::N,გემო,خوند
61,Geruch::N,სუნი,بوی
62,Schlaf::N,ძილი,خوب
63,Traum::N,სიზმარი,خوب
64,Himmel::N,ცა,اسمان
65,Sonne::N,მზე,لمر
66,Mond::N,მთვარე,سپوږمۍ
67,Stern::N,ვარსკვლავი,ستوری
68,Luft::N,ჰაერი,هوا
69,Wind::N,ქარი,ورښ
70,Welle::N,ტალღა,موج
71,Wasser::N,წყალი,اوبه
72,Stein::N,ქვა,ډبره
73,Boden::N,მიწა,مځکه
74,Erde::N,ნიადაგი,خاوره
75,Staub::N,მტვერი,ګرد
76,Staub::N,მტვერი,خاوره
77,Rauch::N,ბოლი,دود
78,Rauch::N,ბოლი,لوګی
79,Rauch::N,კვამლი,دود
80,Rauch::N,კვამლი,لوګی
81,Funke::N,ნაკვესი,سپرغۍ
82,Feuer::N,ცეცხლი,اور
83,Licht::N,შუქი,رڼا
84,Licht::N,სინათლე,رڼا
85,Schatten::N,ლანდი,سیوری
86,Schatten::N,ჩრდილი,سیوری
87,Wetter::N,ამინდი,هوا
88,Nebel::N,ნისლი,لړه
89,Wolke::N,ღრუბელი,ورېځ
90,Regen::N,წვიმა,وریا
91,Regen::N,წვიმა,باران
92,Schnee::N,თოვლი,واوره
93,Eis::N,თოში,یخ
94,Eis::N,თოში,کنګل
95,Eis::N,ყინული,یخ
96,Eis::N,ყინული,کنګل
97,Frost::N,ყინვა,یخ
98,Kälte::N,სიცივე,ساړه
99,Hitze::N,სიცხე,تودوخي
100,Raureif::N,ჭირხლი,سپینه پرخه
101,Raureif::N,თრთვილი,سپینه پرخه
102,Regenbogen::N,ცისარტყელა,بوډۍ ټال
103,Regenbogen::N,ცისარტყელა,سره زرغونه
104,Donner::N,ქუხილი,تالنده
105,Strömung::N,დინება,بهېدنه
106,Tropfen::N,წვეთი,قطره
107,Tropfen::N,წვეთი,څاڅکی
108,Schaum::N,ქაფი,ځګ
109,Schaum::N,დორბლი,ځګ
110,Schmutz::N,ჭუჭყი,ناپاکي
111,Schmutz::N,ტალახი,ناپاکي
112,See::N,ტბა,جهیل
113,Sumpf::N,ჭაობი,جبه
114,Moor::N,ტორფნარი,جبه
115,Wiese::N,ველი,چمن
116,Wiese::N,ველი,شنېلی
117,Wiese::N,მდელო,چمن
118,Wiese::N,მდელო,شنېلی
119,Wald::N,ტყე,ځنګل
120,Hügel::N,ბორცვი,تپه
121,Anhöhe::N,მაღლობი,غونډۍ
122,Berg::N,მთა,غ‍‍‍‍‍ر
123,Gipfel::N,მწვერვალი,څوکه
124,Höhle::N,მღვიმე,کاز
125,Höhle::N,გამოქვებული,کاز
126,Abhang::N,ფერდობი,لمن
127,Quelle::N,წყარო,چینه
128,Quelle::N,სათავე,چینه
129,Bach::N,რუ,واله
130,Bach::N,ნაკადული,واله
131,Fluss::N,მდინარე,سیند
132,Ufer::N,კიდე,غاړه
133,Ufer::N,ნაპირი,غاړه
134,Küste::N,ნაპირი,ساحل
135,Festland::N,ხმელეთი,وچه
136,Meer::N,ზღვა,بحر
137,Meer::N,ზღვა,سمندر
138,Bucht::N,ყურე,کارۍ
139,Insel::N,კუნძული,ټاپو
140,Insel::N,კუნძული,جزيره
141,Blume::N,ყვავილი,ګل
142,Gras::N,ბალახი,واښه
143,Wurzel::N,ძირი,ریښه
144,Wurzel::N,ფესვი,ریښه
145,Baum::N,ხე,ونه
146,Stamm::N,ტანი,ډډ
147,Rinde::N,ქერქი,پوستکی
148,Ast::N,ტოტი,ښاخ
149,Zweig::N,შტო,څانګه
150,Blatt::N,ფოთოლი,پاڼه
151,Birke::N,არყი,توس
152,Kiefer[Baum]::N,ფიჭვი,نښتر
153,Weide[Baum]::N,ტირიფი,وله
154,Tanne::N,ნაძვი,ناجو
155,Horn::N,რქა,ښکر
156,Feder::N,ფრთა,بڼکه
157,Fell::N,ტყავი,پوستکی
158,Flügel::N,ფრთა,وزر
159,Klaue::N,კლანჭი,پنجه
160,Klaue::N,კლანჭი,منګول
161,Kralle::N,ტორი,پنجه
162,Kralle::N,ტორი,منګول
163,Schwanz::N,კუდი,لکۍ
164,Ei::N,კვერცხი,وۍ
165,Ei::N,კვერცხი,هګۍ
166,Nest::N,ბუდე,جاله
167,Bau::N,სორო,کاز
168,Tier::N,ნადირი,ژوی
169,Tier::N,ნადირი,حیوان
170,Tier::N,ცხოველი,ژوی
171,Tier::N,ცხოველი,حیوان
172,Herde::N,ფარა,رمه
173,Herde::N,ფარა,غېله
174,Kuh::N,ფური,غوا
175,Kuh::N,ძროხა,غوا
176,Bulle::N,ხარი,غوئی
177,Pferd::N,რაში,آس
178,Pferd::N,ცხენი,آس
179,Schaf::N,ცხვარი,پسه
180,Schwein::N,ღორი,سرکوزی
181,Hund::N,ძაღლი,سپی
182,Katze::N,კატა,پشه
183,Bär::N,დათვი,خرس
184,Eichhörnchen::N,ციყვი,خړ لمی
185,Elch::N,ცხენ-ირემი,ګوزن
186,Fuchs::N,მელა,سپلم
187,Hase::N,კურდღელი,سوی
188,Maus::N,თაგვი,مږک
189,Wolf::N,მგელი,لېوه
190,Vogel::N,ჩიტი,مرغه
191,Vogel::N,ფრინველი,مرغه
192,Schwarm::N,გუნდი,سېل
193,Huhn::N,დედალი,چرګه
194,Hahn::N,მამალი,چرګ
195,Gans::N,ბატი,بته
196,Adler::N,არწივი,عقاب
197,Ente::N,იხვი,ایلۍ
198,Eule::N,ბუ,ګونګی
199,Kranich::N,წერო,کلنګ
200,Krähe::N,ყვავი,کارغه
201,Kuckuck::N,გუგული,فاخته
202,Schwan::N,გედი,قو
203,Fisch::N,თევზი,کب
204,Fisch::N,თევზი,ماهی
205,Barsch::N,ქორჭილა,
206,Hecht::N,ქარიყლაპია,
207,Schlange[Tier]::N,გველი,مار
208,Wurm::N,ჭია,چینجی
209,Spinne::N,ობობა,غڼه
210,Spinne::N,ობობა,تارکښ
211,Ameise::N,ჭიანჭველა,مېږی
212,Laus::N,ტილი,سپږه
213,Laus::N,მკბენარი,سپږه
214,Mücke::N,კოღო,ماشی
215,Fliege::N,ბუზი,مچ
216,Schmetterling::N,პეპელა,پتنګ
217,Beere::N,კენკრა,مېوۍ
218,Apfel::N,ვაშლი,مڼه
219,Pilz::N,სოკო,خرېړی
220,Zwiebel::N,ხახვი,پیاز
221,Saat::N,თესლი,تخم
222,Korn::N,მარცვალი,تخم
223,Korn::N,მარცვალი,دانه
224,Heu::N,თივა,بوس
225,Heu::N,თივა,پروړه
226,Schale::N,ჩენჩო,پوستکی
227,Grube::N,ორმო,کنده
