,Concept_ID,kv,ce
0,Auge::N,син,бӏаьрг
1,Ohr::N,пель,лерг
2,Nase::N,ныр,мара
3,Mund::N,ӧм,бага
4,Zahn::N,пинь,церг
5,Zunge::N,кыв,мотт
6,Lippe::N,тырп,балда
7,Wange::N,рожабан,бесни
8,Gesicht::N,бан,юьхь
9,Stirn::N,кымӧс,хьаж
10,Haar::N,юрси,мас
11,Schnurrbart::N,уссэз,мекх
12,Bart::N,тош,маж
13,Kinn::N,тшӧка,чӏениг
14,Kiefer[Anatomie]::N,ан,мочхал
15,Kehle::N,юан,къамкъарг
16,Hals::N,юан,ворта
17,Genick::N,юр бӧр,кӏесаркӏаг
18,Kopf::N,юр,корта
19,Rücken::N,мышк,букъ
20,Bauch::N,кынӧм,кийра
21,Nabel::N,гӧг,цӏонга
22,Busen::N,морос,зударийн накха
23,Brust::N,морос,накха
24,Schulter::N,пельпон,белш
25,Arm::N,ки,пхьарс
26,Ellenbogen::N,гырдзза,пхьаьрсан гола
27,Hand::N,кикар,куьг
28,Handfläche::N,ки пыдӧс,кераюкъ
29,Finger::N,чунь,пӏелг
30,Fingernagel::N,гыж,мӏара
31,Nagel[Anatomie]::N,гыж,мӏара
32,Zeh::N,чунь,кога пӏелг
33,Fuß::N,кокпыдӧс,ког
34,Ferse::N,кокдзир,кӏажа
35,Knie::N,пидзӧс,гола
36,Oberschenkel::N,лядьбей,варе
37,Bein::N,кок,ког
38,Körper::N,вывтыр,хӏума
39,Haut::N,кучик,чкъор
40,Blut::N,вир,цӏий
41,Ader::N,сӧн,пха
42,Sehne::N,жила,хьорзам
43,Knochen::N,коска,даьӏахк
44,Gehirn::N,вем,хье
45,Herz::N,сьӧлӧм,дог
46,Magen::N,жӧвдӧк,зорх
47,Leber::N,мус,доӏах
48,Atem::N,лолалӧм,садеӏар
49,Hunger::N,тшыг,мацалла
50,Träne::N,синва,бӏаьрхи
51,Geschmack::N,кӧр,чам
52,Geruch::N,дук,хьожа
