,Concept_ID,lez,ar
0,Auge::N,вил,عين
1,Ohr::N,яб,أذن
2,Nase::N,нер,أنف
3,Mund::N,сив,فم
4,Zahn::N,сас,سن
5,Zahn::N,свах,سن
6,Zunge::N,мез,لسان
7,Lippe::N,пӏуз,شفة
8,Wange::N,хъвехъ,خد
9,Wange::N,хъвехъ,وجنة
10,Gesicht::N,ччин,وجه
11,Stirn::N,пел,جبين
12,Haar::N,чӏар,شعر
13,Schnurrbart::N,спел,شارب
14,Schnurrbart::N,спелар,شارب
15,Bart::N,ччуру,لحية
16,Kinn::N,чене,ذقن
17,Kiefer[Anatomie]::N,чене,فك
18,Kehle::N,туьд,حلق
19,Hals::N,гардан,عنق
20,Hals::N,гардан,رقبة
21,Genick::N,кьам,قفا
22,Kopf::N,кьил,رأس
23,Rücken::N,далу,ظهر
24,Bauch::N,руфун,بطن
25,Nabel::N,пицӏ,سرة
26,Busen::N,мам,ثدي
27,Brust::N,хур,صدر
28,Schulter::N,къуьн,كتف
29,Arm::N,гъил,ذراع
30,Ellenbogen::N,кьуьнт,كوع
31,Hand::N,капаш,يد
32,Handfläche::N,капан юкь,كف
33,Finger::N,тӏуб,إصبع
34,Fingernagel::N,кек,ظفر
35,Nagel[Anatomie]::N,кек,ظفر
36,Zeh::N,кул,إصبع القدم
37,Fuß::N,кӏвач,قدم
38,Ferse::N,дабан,كعب
39,Knie::N,мет,ركبة
40,Bein::N,кӏвач,ساق
41,Körper::N,беден,جسم
42,Haut::N,хам,بشرة
43,Blut::N,иви,دم
44,Ader::N,дамар,عرق
45,Sehne::N,кьуру дамар,طنب
46,Knochen::N,кӏараб,عظم
47,Gehirn::N,мефт,دماغ
48,Herz::N,рикӏ,قلب
49,Magen::N,хук,معدة
50,Leber::N,лекь,كبد
51,Atem::N,ял,نفس
52,Atem::N,нефес,نفس
53,Hunger::N,каш,جوع
54,Träne::N,вилин нагъв,دمعة
55,Geschmack::N,дад,طعم
56,Geschmack::N,дад,مذاق
57,Geschmack::N,тӏям,طعم
58,Geschmack::N,тӏям,مذاق
59,Geruch::N,ни,رائحة
60,Schlaf::N,ахвар,نوم
61,Schlaf::N,ахвар,منام
62,Traum::N,ахвар,حلم
63,Himmel::N,цав,سماء
64,Sonne::N,рагъ,شمس
65,Mond::N,варз,قمر
66,Stern::N,гъед,نجم
67,Stern::N,гъед,كوكب
68,Luft::N,гьава,هواء
69,Wind::N,гар,ريح
70,Welle::N,лепе,موجة
71,Wasser::N,яд,ماء
