,Concept_ID,et,ko
0,Auge::N,silm,눈
1,Ohr::N,kõrv,귀
2,Nase::N,nina,코
3,Mund::N,suu,입
4,Zahn::N,hammas,이
5,Zunge::N,keel,혀
6,Lippe::N,huul,입술
7,Wange::N,põsk,뺨
8,Gesicht::N,nägu,얼굴
9,Stirn::N,otsmik,이마
10,Haar::N,juus,털
11,Schnurrbart::N,vurrud,윗수몀
12,Schnurrbart::N,vurrud,코밑수염
13,Schnurrbart::N,vuntsid,윗수몀
14,Schnurrbart::N,vuntsid,코밑수염
15,Bart::N,habe,수엄
16,Kinn::N,lõug,아래턱
17,Kiefer[Anatomie]::N,lõualuu,턱
18,Kehle::N,kõri,인후
19,Hals::N,kael,목
20,Genick::N,kukal,먹덜이
21,Kopf::N,pea,머리
22,Rücken::N,selg,든
23,Bauch::N,kõht,배
24,Nabel::N,naba,배꼽
25,Busen::N,rind,가슴속
26,Brust::N,rind,가슴
27,Schulter::N,õlg,어깨
28,Arm::N,käsivars,팔
29,Ellenbogen::N,küünarnukk,팔쿰치
30,Hand::N,käsi,손
31,Handfläche::N,pihk,손바닥
32,Finger::N,sõrm,속가락
33,Fingernagel::N,küüs,손톱
34,Nagel[Anatomie]::N,küüs,손톱
35,Zeh::N,varvas,발가락
36,Fuß::N,jalg,발
37,Ferse::N,kand,발꿈치
38,Knie::N,põlv,무릎
39,Oberschenkel::N,reis,허벅다리
40,Bein::N,jalg,다리
41,Körper::N,ihu,구간
42,Körper::N,keha,구간
43,Haut::N,nahk,살갗
44,Blut::N,veri,피
45,Ader::N,veen,정맥
46,Sehne::N,kõõlus,현
47,Knochen::N,luu,뼈
48,Gehirn::N,aju,뇌
49,Gehirn::N,aju,뇌수
50,Herz::N,süda,염통
51,Magen::N,magu,위
52,Leber::N,maks,간
53,Atem::N,hingeõhk,기식
54,Atem::N,hingamine,기식
55,Hunger::N,nälg,공복
56,Träne::N,pisar,눈물
57,Geschmack::N,maitse,기호
58,Geruch::N,lõhn,냄새
59,Schlaf::N,uni,수면
60,Traum::N,unenägu,쿰
61,Himmel::N,taevas,하늘
62,Sonne::N,päike,해
63,Mond::N,kuu,달
64,Stern::N,täht,별
65,Luft::N,õhk,동준
66,Luft::N,õhk,가스채
67,Wind::N,tuul,바람
68,Welle::N,laine,물결
69,Wasser::N,vesi,물
70,Stein::N,kivi,돌
71,Boden::N,maa,바닥
72,Boden::N,pinnas,바닥
73,Erde::N,maa,흙
74,Staub::N,põrm,먼지
75,Rauch::N,suits,연기
76,Funke::N,säde,불티
77,Feuer::N,tuli,불
78,Licht::N,valgus,불
79,Schatten::N,vari,어스레함
80,Wetter::N,ilm,기상
81,Nebel::N,udu,안개
82,Wolke::N,pilv,구름
83,Regen::N,sadu,비
84,Schnee::N,lumi,눈
85,Eis::N,jää,얼음
86,Frost::N,pakane,혹한
87,Kälte::N,külm,추위
88,Kälte::N,külm,차가움
89,Kälte::N,külmus,추위
90,Kälte::N,külmus,차가움
91,Hitze::N,kuumus,고온
92,Hitze::N,kuumus,더위
93,Hitze::N,palavus,고온
94,Hitze::N,palavus,더위
95,Raureif::N,härmatis,
96,Regenbogen::N,vikerkaar,무지개
97,Donner::N,kõu,뇌명
98,Donner::N,müristamine,뇌명
99,Strömung::N,voolus,유동
100,Strömung::N,jõevool,유동
101,Tropfen::N,tilk,물방울
102,Schaum::N,vaht,포말
103,Schmutz::N,pori,때
104,Schmutz::N,mustus,때
105,See::N,järv,호수
106,Sumpf::N,soo,습지
107,Moor::N,raba,저습지
108,Wiese::N,aas,목초지
109,Wiese::N,nurm,목초지
110,Wald::N,mets,숲
111,Hügel::N,küngas,언덕
112,Anhöhe::N,küngas,언덕
113,Berg::N,mägi,산
114,Gipfel::N,mäetipp,졀졍
115,Höhle::N,koobas,공동
116,Abhang::N,nõlvak,몰매
117,Quelle::N,allikas,근원
118,Bach::N,oja,내
119,Fluss::N,jõgi,강
120,Ufer::N,kallas,강변
121,Ufer::N,kallas,바닷가
122,Küste::N,rannik,해변
123,Küste::N,rannik,해변가
124,Festland::N,mander,본토
125,Festland::N,maismaa,본토
126,Meer::N,meri,바다
127,Bucht::N,laht,협만
128,Insel::N,saar,섬
129,Blume::N,lill,꽃
130,Gras::N,rohi,풀
131,Wurzel::N,juur,뿌리
132,Baum::N,puu,나무
133,Stamm::N,tüvi,대
134,Rinde::N,koor,나무껍질
135,Ast::N,oks,가지
136,Zweig::N,oks,가지
137,Blatt::N,leht,잎
138,Birke::N,kask,자작나무
139,Kiefer[Baum]::N,mänd,소나무
140,Weide[Baum]::N,paju,쉬양버들
141,Tanne::N,nulg,전나무
142,Horn::N,sarv,뿔
143,Feder::N,sulg,깃털
144,Fell::N,karvkate,피혁모피
145,Fell::N,karusnahk,피혁모피
146,Flügel::N,tiib,날개
147,Flügel::N,tiivik,날개
148,Klaue::N,küüs,갈고리 발톺
149,Kralle::N,küünis,발툭
150,Schwanz::N,saba,꼬리
151,Ei::N,muna,알
152,Nest::N,pesa,보금자리
153,Bau::N,urg,굴
