,Concept_ID,eu,ba
0,Auge::N,begi,күҙ
1,Ohr::N,belarri,ҡолаҡ
2,Nase::N,sudur,танау
3,Mund::N,aho,ауыҙ
4,Zahn::N,hortz,теш
5,Zunge::N,mihi,тел
6,Lippe::N,ezpain,ирен
7,Wange::N,masail,яцаҡтар
8,Gesicht::N,aurpegi,бит
9,Stirn::N,bekoki,маңлай
10,Haar::N,ile,сәс
11,Haar::N,bilo,сәс
12,Schnurrbart::N,bibote,мылтыҡ
13,Schnurrbart::N,sudurpeko,мылтыҡ
14,Bart::N,bizar,һаҡал
15,Kinn::N,kokots,эйэк
16,Kiefer[Anatomie]::N,masailezur,яңаҡ һөйәге
17,Kehle::N,eztarri,тамаҡ
18,Hals::N,sama,муйын
19,Genick::N,garondo,соңҡа
20,Kopf::N,buru,баш
21,Rücken::N,bizkar,арҡа
22,Bauch::N,sabel,ҡорһаҡ
23,Nabel::N,zilbor,кендек
24,Busen::N,titi,күкрәк
25,Busen::N,ugatz,күкрәк
26,Brust::N,bular,түш
27,Schulter::N,besaburu,яурын
28,Arm::N,beso,ҡул
29,Ellenbogen::N,ukondo,терһәк
30,Hand::N,esku,ҡул
31,Hand::N,esku,ҡул суғы
32,Handfläche::N,ahur,ус төбө
33,Finger::N,hatz,бармаҡ
34,Fingernagel::N,azazkal,тырнаҡ
35,Nagel[Anatomie]::N,azazkal,тырнаҡ
36,Zeh::N,behatz,бармаҡ
37,Fuß::N,oin,табан
38,Ferse::N,orpo,үксә
39,Ferse::N,oinburu,үксә
40,Knie::N,belaun,тубыҡ
41,Oberschenkel::N,izter,сандыр
42,Bein::N,zango,аяҡ
43,Körper::N,soin,тән
44,Haut::N,azal,тире
45,Blut::N,odol,ҡан
46,Ader::N,zain,тамыр
47,Sehne::N,gihar-zain,һеңер
48,Sehne::N,gihar-zain,тарамыш
49,Knochen::N,hezur,һойәк
50,Gehirn::N,garun,мейе
51,Gehirn::N,burmuin,мейе
52,Herz::N,bihotz,йорәк
53,Magen::N,urdail,ашҡаҙан
54,Leber::N,gibel,бауыр
55,Atem::N,hats,һулыш
56,Atem::N,arnasa,һулыш
57,Hunger::N,gose,аслыҡ
58,Träne::N,malko,күҙ иәше
59,Geschmack::N,dasta,тәм
60,Geruch::N,usain,еҫ
