,Concept_ID,ta,se
0,Auge::N,கண்,tjelmie
1,Auge::N,கண்,tjalmme
2,Auge::N,கண்,čalbmi
3,Auge::N,கண்,čalme
4,Auge::N,கண்,čâ´lmm
5,Auge::N,கண்,ча̄лльм
6,Ohr::N,காது,bieljie
7,Ohr::N,காது,biellje
8,Ohr::N,காது,beallji
9,Ohr::N,காது,pelji
10,Ohr::N,காது,pe´llj
11,Ohr::N,காது,пе̄лльй
12,Nase::N,மூக்கு,njuenie
13,Nase::N,மூக்கு,njunnje
14,Nase::N,மூக்கு,njunni
15,Nase::N,மூக்கு,njuṇe
16,Nase::N,மூக்கு,njuu´nn
17,Nase::N,மூக்கு,нюннҍ
18,Mund::N,வாய்,njaelmie
19,Mund::N,வாய்,njálmme
20,Mund::N,வாய்,njálbmi
21,Mund::N,வாய்,njälmi
22,Mund::N,வாய்,njä´lmm
23,Mund::N,வாய்,ня̄лльм
24,Zahn::N,பல்,baenie
25,Zahn::N,பல்,bádne
26,Zahn::N,பல்,bátni
27,Zahn::N,பல்,pääṇi
28,Zahn::N,பல்,pää´nn
29,Zahn::N,பல்,па̄ннҍ
30,Zunge::N,நாக்கு,njoektjeme
31,Zunge::N,நாக்கு,njuovtjav
32,Zunge::N,நாக்கு,njuovčča
33,Zunge::N,நாக்கு,njuovčâ
34,Zunge::N,நாக்கு,njuhččâm
35,Zunge::N,நாக்கு,нюхчем
36,Lippe::N,உதடு,bangseme
37,Lippe::N,உதடு,njálmmerabdda
38,Lippe::N,உதடு,bavssa
39,Lippe::N,உதடு,poovsâ
40,Lippe::N,உதடு,põõus
41,Lippe::N,உதடு,пэ̄кс
42,Wange::N,கன்னம்,skiehrie
43,Wange::N,கன்னம்,nierra
44,Wange::N,கன்னம்,muohtu
45,Wange::N,கன்னம்,nieṛâ
46,Wange::N,கன்னம்,njiõrr
47,Wange::N,கன்னம்,нӣрр
48,Gesicht::N,முகம்,ååredæjja
49,Gesicht::N,முகம்,muohto
50,Gesicht::N,முகம்,muođut
51,Gesicht::N,முகம்,ámadadju
52,Gesicht::N,முகம்,muáđuh
53,Gesicht::N,முகம்,muâđ
54,Gesicht::N,முகம்,ка̄ссв
55,Stirn::N,முன்னெற்றி,gaalloe
56,Stirn::N,முன்னெற்றி,gállo
57,Stirn::N,முன்னெற்றி,gállu
58,Stirn::N,முன்னெற்றி,kállu
59,Stirn::N,முன்னெற்றி,käll
60,Stirn::N,முன்னெற்றி,вуэххьц
61,Haar::N,முடி,voepte
62,Haar::N,முடி,vuoppta
63,Haar::N,முடி,vuokta
64,Haar::N,முடி,vuop'tâ
65,Haar::N,முடி,vuõpt
66,Haar::N,முடி,вӯппт
67,Schnurrbart::N,மீசை,bijjie-skaavtjoe
68,Schnurrbart::N,மீசை,njunjevuolskávttjá
69,Schnurrbart::N,மீசை,seamu
70,Schnurrbart::N,மீசை,siämu
71,Schnurrbart::N,மீசை,ää´bben
72,Schnurrbart::N,மீசை,о̄а̄бпан
73,Bart::N,தாடி,skaavtja
74,Bart::N,தாடி,skaavtjoe
75,Bart::N,தாடி,skávttjá
76,Bart::N,தாடி,seamu
77,Bart::N,தாடி,siämu
78,Bart::N,தாடி,seäm
79,Bart::N,தாடி,ся̄м
80,Kinn::N,கீழதாடை,gaejpie
81,Kinn::N,கீழதாடை,gájbbe
82,Kinn::N,கீழதாடை,gáibi
83,Kinn::N,கீழதாடை,käibi
84,Kinn::N,கீழதாடை,käi´bb
85,Kinn::N,கீழதாடை,ка̄ййп
86,Kiefer[Anatomie]::N,தாடை,gaejpie
87,Kiefer[Anatomie]::N,தாடை,oalol
88,Kiefer[Anatomie]::N,தாடை,oaloldákte
89,Kiefer[Anatomie]::N,தாடை,gáibi
90,Kiefer[Anatomie]::N,தாடை,uá'lultähti
91,Kiefer[Anatomie]::N,தாடை,vuâl'lõš
92,Kiefer[Anatomie]::N,தாடை,вуаллнешш
93,Kehle::N,தொண்டை,gealoe
94,Kehle::N,தொண்டை,tjåttå
95,Kehle::N,தொண்டை,njiello
96,Kehle::N,தொண்டை,čotta
97,Kehle::N,தொண்டை,čuudâ
98,Kehle::N,தொண்டை,čoodd
99,Kehle::N,தொண்டை,чонт
100,Kehle::N,தொண்டை,кэ̄ҏс
101,Hals::N,கழுத்து,tjeapohke
102,Hals::N,கழுத்து,tjiebet
103,Hals::N,கழுத்து,čeabet
104,Hals::N,கழுத்து,čiäppát
105,Hals::N,கழுத்து,čeäppat
106,Hals::N,கழுத்து,ча̄пэх
107,Genick::N,கழுத்து,tjovrese
108,Genick::N,கழுத்து,nisske
109,Genick::N,கழுத்து,niehkki
110,Genick::N,கழுத்து,niski
111,Genick::N,கழுத்து,niek'ki
112,Genick::N,கழுத்து,nji´šǩǩmaadd
113,Genick::N,கழுத்து,нышшькмоант
114,Kopf::N,தலை,åejjie
115,Kopf::N,தலை,oajvve
116,Kopf::N,தலை,oaivi
