,Concept_ID,ru,kn
0,Auge::N,глаз,ಕಣ್ಣು
1,Ohr::N,ухо,ಕಿವಿ
2,Nase::N,нос,ಮೂಗು
3,Mund::N,рот,ಬಾಯಿ
4,Zahn::N,зуб,ಹಲ್ಲು
5,Zunge::N,язык,ನಾಲಿಗೆ
6,Lippe::N,губа,ತುಟಿ
7,Wange::N,щека,ಗಲ್ಲ
8,Gesicht::N,лицо,ಮುಖ
9,Stirn::N,лоб,ಹಣೆ
10,Haar::N,волос,ಕೂದಲು
11,Haar::N,волосы,ಕೂದಲು
12,Schnurrbart::N,ус,ಮೀಸೆ
13,Schnurrbart::N,усы,ಮೀಸೆ
14,Bart::N,борода,ಗಡ್ಡ
15,Kinn::N,подбородок,ಗದ್ದ
16,Kiefer[Anatomie]::N,челюсть,ದವಡೆ
17,Kehle::N,горло,ಗಂಟಲು
18,Hals::N,шея,ಕೊರಳು
19,Genick::N,затылок,ಹಿಂಗತ್ತು
20,Kopf::N,голова,ತಲೆ
21,Rücken::N,спина,ಬೆನ್ನು
22,Bauch::N,живот,ಹೊಟ್ಟೆ
23,Nabel::N,пупок,ಹೊಕ್ಕುಳು
24,Busen::N,женская грудь,ಸ್ತನ
25,Brust::N,грудь,ಎದೆ
26,Schulter::N,плечо,ಭುಜ
27,Arm::N,рука,ತೋಳು
28,Ellenbogen::N,локоть,ಮೊಣಕೈ
29,Hand::N,кисть,ಕೈ
30,Handfläche::N,ладонь,ಅಂಗೈ
31,Finger::N,палец,ಕೈಬೆರಳು
32,Fingernagel::N,ноготь,ಉಗುರು
33,Nagel[Anatomie]::N,ноготь,ಉಗುರು
34,Zeh::N,палец,ಕಾಲ್ಬೆರಳು
35,Fuß::N,ступня,ಪಾದ
36,Ferse::N,пята,ಹಿಮ್ಮಡಿ
37,Ferse::N,пятка,ಹಿಮ್ಮಡಿ
38,Knie::N,колено,ಮಂಡಿ
39,Oberschenkel::N,бедро,ತೊಡೆ
40,Bein::N,нога,ಕಾಲು
41,Körper::N,тело,ದೇಹ
42,Haut::N,кожа,ಚರ್ಮ
43,Blut::N,кровь,ರಕ್ತ
44,Ader::N,вена,ನರ
45,Ader::N,сосуд,ನರ
46,Sehne::N,жила,ನರ
47,Sehne::N,тетива,ನರ
48,Sehne::N,сухожилие,ನರ
49,Knochen::N,кость,ಮೂಳೆ
50,Gehirn::N,мозг,ಮಿದುಳು
51,Herz::N,сердце,ಹೃದಯ
52,Magen::N,желудок,ಉದರ
53,Leber::N,печень,ಯಕೃತ್ತು
54,Atem::N,дух,ಉಸಿರು
55,Atem::N,дыхание,ಉಸಿರು
56,Hunger::N,голод,ಹಸಿವು
57,Träne::N,слеза,ಕಣ್ಣೀರು
58,Geschmack::N,вкус,ರುಚಿ
59,Geruch::N,запах,ವಾಸನೆ
60,Schlaf::N,сон,ನಿದ್ರೆ
61,Traum::N,сновидение,ಕನಸು
62,Himmel::N,небо,ಬಾನು
63,Sonne::N,солнце,ಸೂರ್ಯ
64,Mond::N,луна,ಚಂದ್ರ
65,Stern::N,звезда,ಚುಕ್ಕಿ
66,Luft::N,воздух,ವಾಯು
67,Wind::N,ветер,ಗಾಳಿ
68,Welle::N,волна,ಅಲೆ
69,Wasser::N,вода,ನೀರು
70,Stein::N,камень,ಕಲ್ಲು
71,Boden::N,почва,ನೆಲ
72,Erde::N,земля,ಭೂಮಿ
73,Staub::N,пыль,ದೂಳು
74,Rauch::N,дым,ಹೊಗೆ
75,Funke::N,искра,ಕಿಡಿ
76,Feuer::N,огонь,ಬೆಂಕಿ
77,Licht::N,свет,ಬೆಳಕು
78,Schatten::N,тень,ನೆರಳು
79,Wetter::N,погода,ಹವ
80,Nebel::N,туман,ಮಂಜು
81,Wolke::N,облако,ಮೋಡ
82,Regen::N,дождь,ಮಳೆ
83,Schnee::N,снег,ಹಿಮ
84,Eis::N,лед,ಮಂಜುಗಡ್ಡೆ
85,Frost::N,мороз,ಮಂಜು
86,Kälte::N,холод,ಹಿಮ
87,Hitze::N,жара,ಉಷ್ಣ
88,Raureif::N,иней,ಇಬ್ಬನಿ
89,Regenbogen::N,радуга,ಇಂದ್ರಚಾಪ
90,Donner::N,гром,ಗುಡುಗು
91,Strömung::N,течение,ಪ್ರವಾಹ
92,Tropfen::N,капля,ತೊಟ್ಟು
93,Schaum::N,пена,ನೊರೆ
94,Schmutz::N,грязь,ಕಸ
95,See::N,озеро,ಸರೋವರ
96,Sumpf::N,топь,ಜೌಗುಸ್ಥಳ
97,Moor::N,болото,ಬಂಜರು ಭೂಮಿ
98,Wiese::N,луг,ಹುಲ್ಲುಗಾವಲು
99,Wald::N,лес,ಕಾಡು
100,Hügel::N,холм,ಗುಡ್ಡೆ
101,Anhöhe::N,возвышенность,ದಿಬ್ಬ
102,Berg::N,гора,ಮಲೆ
103,Berg::N,гора,ಪರ್ವತ
104,Gipfel::N,вершина,ಶೃಂಗ
105,Höhle::N,пещера,ಗುಹೆ
106,Abhang::N,склон,ಇಳಿಜಾರು
107,Quelle::N,источник,ಮೂಲ
108,Bach::N,ручей,ತೊರೆ
109,Fluss::N,река,ನದಿ
110,Ufer::N,берег,ತೀರ
111,Küste::N,побережье,ದಂಡೆ
112,Festland::N,суша,ಭೂಮಿ
113,Meer::N,море,ಕಡಲು
114,Bucht::N,бухта,ಖಾರಿ
115,Insel::N,остров,ದ್ವೀಪ
116,Blume::N,цветок,ಸುಮ
117,Gras::N,трава,ಹುಲ್ಲು
118,Wurzel::N,корень,ಬೇರು
119,Baum::N,дерево,ಮರ
120,Stamm::N,ствол,ಕಾಂಡ
121,Rinde::N,кора,ತೂಗಟಿ
122,Ast::N,сук,ಶಾಖೆ
123,Zweig::N,ветвь,ರೆಂಬೆ
124,Blatt::N,лист,ಎಲೆ
125,Birke::N,береза,ಬರ್ಚ್ ಮರ
126,Kiefer[Baum]::N,сосна,ದೇವದಾರು ಮರ
