,Concept_ID,be,ko
0,Auge::N,вока,눈
1,Ohr::N,вуха,귀
2,Nase::N,нос,코
3,Mund::N,рот,입
4,Zahn::N,зуб,이
5,Zunge::N,язык,혀
6,Lippe::N,губа,입술
7,Wange::N,шчака,뺨
8,Gesicht::N,твар,얼굴
9,Stirn::N,лоб,이마
10,Haar::N,волас,털
11,Haar::N,валасы,털
12,Schnurrbart::N,вус,윗수몀
13,Schnurrbart::N,вус,코밑수염
14,Schnurrbart::N,вусы,윗수몀
15,Schnurrbart::N,вусы,코밑수염
16,Bart::N,барада,수엄
17,Kinn::N,падбародак,아래턱
18,Kiefer[Anatomie]::N,сківіца,턱
19,Kehle::N,горла,인후
20,Hals::N,шыя,목
21,Genick::N,патыліца,먹덜이
22,Kopf::N,галава,머리
23,Rücken::N,спіна,든
24,Bauch::N,жывот,배
25,Nabel::N,пупок,배꼽
26,Busen::N,грудзі,가슴속
27,Brust::N,грудзі,가슴
28,Schulter::N,плячо,어깨
29,Arm::N,рука,팔
30,Ellenbogen::N,локаць,팔쿰치
31,Hand::N,кісць,손
32,Handfläche::N,далонь,손바닥
33,Finger::N,палец,속가락
34,Fingernagel::N,ногаць,손톱
35,Nagel[Anatomie]::N,ногаць,손톱
36,Zeh::N,палец,발가락
37,Fuß::N,нага,발
38,Ferse::N,пята,발꿈치
39,Ferse::N,пятка,발꿈치
40,Knie::N,калена,무릎
41,Oberschenkel::N,бядро,허벅다리
42,Oberschenkel::N,сцягно,허벅다리
43,Bein::N,нага,다리
44,Körper::N,цела,구간
45,Haut::N,скура,살갗
46,Blut::N,кроў,피
47,Ader::N,вена,정맥
48,Ader::N,сасуд,정맥
49,Sehne::N,жыла,현
50,Sehne::N,цеціва,현
51,Sehne::N,сухажылле,현
52,Knochen::N,косць,뼈
53,Gehirn::N,мозг,뇌
54,Gehirn::N,мозг,뇌수
55,Herz::N,сэрца,염통
56,Magen::N,страўнік,위
57,Leber::N,печань,간
58,Atem::N,дыханне,기식
59,Hunger::N,голад,공복
60,Träne::N,сляза,눈물
61,Geschmack::N,смак,기호
62,Geruch::N,пах,냄새
63,Schlaf::N,сон,수면
64,Traum::N,сон,쿰
65,Himmel::N,неба,하늘
66,Sonne::N,сонца,해
67,Mond::N,месяц,달
68,Stern::N,зорка,별
69,Luft::N,паветра,동준
70,Luft::N,паветра,가스채
71,Wind::N,вецер,바람
72,Welle::N,хваля,물결
73,Wasser::N,вада,물
74,Stein::N,камень,돌
75,Boden::N,глеба,바닥
76,Erde::N,зямля,흙
77,Staub::N,пыл,먼지
78,Rauch::N,дым,연기
79,Funke::N,іскра,불티
80,Feuer::N,агонь,불
81,Licht::N,святло,불
82,Schatten::N,цень,어스레함
83,Wetter::N,пагода,기상
84,Wetter::N,надворʼе,기상
85,Nebel::N,туман,안개
86,Wolke::N,воблака,구름
87,Regen::N,дождж,비
88,Schnee::N,снег,눈
89,Eis::N,лёд,얼음
90,Frost::N,мароз,혹한
91,Kälte::N,холад,추위
92,Kälte::N,холад,차가움
93,Hitze::N,спёка,고온
94,Hitze::N,спёка,더위
95,Raureif::N,іней,
96,Regenbogen::N,вясёлка,무지개
97,Donner::N,гром,뇌명
98,Strömung::N,цячэнне,유동
99,Tropfen::N,кропля,물방울
100,Schaum::N,пена,포말
101,Schmutz::N,гразь,때
102,See::N,возера,호수
103,Sumpf::N,багна,습지
104,Moor::N,балота,저습지
105,Wiese::N,луг,목초지
106,Wald::N,лес,숲
107,Hügel::N,узгорак,언덕
108,Anhöhe::N,узвышша,언덕
109,Berg::N,гара,산
110,Gipfel::N,вяршыня,졀졍
111,Höhle::N,пячора,공동
112,Abhang::N,схіл,몰매
113,Quelle::N,крыніца,근원
114,Bach::N,ручай,내
115,Fluss::N,рака,강
116,Ufer::N,бераг,강변
117,Ufer::N,бераг,바닷가
118,Küste::N,узбярэжжа,해변
119,Küste::N,узбярэжжа,해변가
120,Festland::N,суша,본토
121,Meer::N,мора,바다
122,Bucht::N,бухта,협만
123,Insel::N,востраў,섬
124,Blume::N,кветка,꽃
125,Gras::N,трава,풀
126,Wurzel::N,корань,뿌리
127,Baum::N,дрэва,나무
128,Stamm::N,ствол,대
129,Rinde::N,кара,나무껍질
130,Ast::N,сук,가지
131,Zweig::N,галіна,가지
132,Blatt::N,ліст,잎
133,Birke::N,бяроза,자작나무
134,Kiefer[Baum]::N,хвоя,소나무
135,Kiefer[Baum]::N,сасна,소나무
136,Weide[Baum]::N,вярба,쉬양버들
137,Tanne::N,яліна,전나무
138,Horn::N,рог,뿔
139,Feder::N,пяро,깃털
140,Fell::N,шкура,피혁모피
141,Flügel::N,крыло,날개
142,Klaue::N,кіпцюр,갈고리 발톺
143,Kralle::N,лапа,발툭
144,Schwanz::N,хвост,꼬리
145,Ei::N,яйка,알
146,Nest::N,гняздо,보금자리
147,Bau::N,нара,굴
148,Tier::N,жывёла,짐승
149,Herde::N,статак,가축의떼
150,Kuh::N,карова,암소
151,Bulle::N,бык,황소
152,Pferd::N,конь,말
153,Schaf::N,авечка,양
154,Schwein::N,свіння,돼지
155,Hund::N,сабака,개
156,Katze::N,кошка,고양이
157,Bär::N,мядзведзь,콤
158,Eichhörnchen::N,вавёрка,다람쥐
159,Elch::N,лось,고라니
160,Fuchs::N,ліса,여우
161,Hase::N,заяц,토끼
162,Maus::N,мыш,쥐
163,Wolf::N,воўк,늑대
164,Vogel::N,птах,새
165,Vogel::N,птушка,새
166,Schwarm::N,чарада,뗴
167,Huhn::N,курыца,암탉
168,Hahn::N,певень,수탉
169,Gans::N,гусь,거위
170,Adler::N,арол,수리
171,Ente::N,качка,오리
172,Eule::N,сава,부엉이
173,Kranich::N,жораў,두루미
174,Kranich::N,журавель,두루미
175,Krähe::N,варона,까마귀
176,Kuckuck::N,зязюля,뻐꾸기
177,Schwan::N,лебедзь,배조
178,Fisch::N,рыба,물고기
179,Barsch::N,акунь,농어
180,Hecht::N,шчупак,에속스
181,Schlange[Tier]::N,змяя,뱀
182,Wurm::N,чарвяк,벌레
183,Spinne::N,павук,거미
184,Ameise::N,мурашка,개미
185,Laus::N,вош,이
186,Mücke::N,камар,모기
187,Fliege::N,муха,날기
188,Schmetterling::N,матыль,나비
189,Beere::N,ягада,장과
190,Apfel::N,яблык,사과
191,Pilz::N,грыб,고방이
192,Zwiebel::N,цыбуля,양파
193,Saat::N,семя,씨
194,Korn::N,зерне,알맹이
195,Heu::N,сена,건초
196,Schale::N,шалупінне,피상
197,Grube::N,яма,
198,Falle::N,пастка,함정
199,Schlinge::N,сіло,올가미
200,Schlinge::N,сіло,멜빵붕대
201,Spur::N,след,발지국
202,Asche::N,попел,재
203,Dreck::N,бруд,똥
204,Dreck::N,бруд,오물
205,Eisen::N,жалеза,쇠
206,Eisen::N,жалеза,철
207,Gold::N,золата,항금
208,Silber::N,сребра,은
209,Kohle::N,вугаль,슻
210,Glas::N,шкло,유리
211,Lehm::N,гліна,찰흙
212,Sand::N,пясок,모래
213,Mensch::N,чалавек,사람
214,Mann::N,мужчына,남자
215,Frau::N,жанчына,여자
216,Kind::N,дзіця,아이
217,Junge::N,хлопчык,소녁
218,Mädchen::N,дзяўчынка,소녀
219,Familie::N,сямʼя,가족
220,Großvater::N,дзядуля,할아버지
221,Großmutter::N,бабуля,할머니
222,Eltern::N,бацькі,어버오
223,Vater::N,бацька,아버지
224,Mutter::N,маці,어머니
225,Sohn::N,сын,아들
226,Tochter::N,дачка,딸기
227,Bruder::N,брат,형제
228,Schwester::N,сястра,누이
229,Onkel::N,дзядзька,백부
230,Tante::N,цётка,아주머니
231,Ehemann::N,муж,남편
232,Ehefrau::N,жонка,아내
233,Freude::N,радасць,기쁨
234,Gelächter::N,смех,웃음
