,Concept_ID,kn,lt
0,Auge::N,ಕಣ್ಣು,akis
1,Ohr::N,ಕಿವಿ,ausis
2,Nase::N,ಮೂಗು,nosis
3,Mund::N,ಬಾಯಿ,burna
4,Zahn::N,ಹಲ್ಲು,dantis
5,Zunge::N,ನಾಲಿಗೆ,liežuvis
6,Lippe::N,ತುಟಿ,lūpa
7,Wange::N,ಗಲ್ಲ,žandas
8,Wange::N,ಗಲ್ಲ,skruostas
9,Gesicht::N,ಮುಖ,veidas
10,Stirn::N,ಹಣೆ,kakta
11,Haar::N,ಕೂದಲು,plaukai
12,Schnurrbart::N,ಮೀಸೆ,ūsai
13,Bart::N,ಗಡ್ಡ,barzda
14,Kinn::N,ಗದ್ದ,smakras
15,Kiefer[Anatomie]::N,ದವಡೆ,žandikaulis
16,Kehle::N,ಗಂಟಲು,gerklė
17,Hals::N,ಕೊರಳು,kaklas
18,Genick::N,ಹಿಂಗತ್ತು,sprandas
19,Kopf::N,ತಲೆ,galva
20,Rücken::N,ಬೆನ್ನು,nugara
21,Bauch::N,ಹೊಟ್ಟೆ,pilvas
22,Nabel::N,ಹೊಕ್ಕುಳು,bamba
23,Busen::N,ಸ್ತನ,krūtinė
24,Brust::N,ಎದೆ,krūtis
25,Schulter::N,ಭುಜ,petys
26,Arm::N,ತೋಳು,ranka
27,Ellenbogen::N,ಮೊಣಕೈ,alkūnė
28,Hand::N,ಕೈ,ranka
29,Hand::N,ಕೈ,plaštaka
30,Handfläche::N,ಅಂಗೈ,delnas
31,Handfläche::N,ಅಂಗೈ,plaštaka
32,Finger::N,ಕೈಬೆರಳು,pirštas
33,Fingernagel::N,ಉಗುರು,nagas
34,Nagel[Anatomie]::N,ಉಗುರು,nagas
35,Zeh::N,ಕಾಲ್ಬೆರಳು,pirštas
36,Fuß::N,ಪಾದ,pėda
37,Ferse::N,ಹಿಮ್ಮಡಿ,kulnas
38,Knie::N,ಮಂಡಿ,kelis
39,Oberschenkel::N,ತೊಡೆ,kulšis
40,Oberschenkel::N,ತೊಡೆ,šlaunis
41,Bein::N,ಕಾಲು,koja
42,Körper::N,ದೇಹ,kūnas
43,Haut::N,ಚರ್ಮ,oda
44,Blut::N,ರಕ್ತ,kraujas
45,Ader::N,ನರ,kraujagyslė
46,Sehne::N,ನರ,sausgyslė
47,Knochen::N,ಮೂಳೆ,kaulas
48,Gehirn::N,ಮಿದುಳು,smegenys
49,Herz::N,ಹೃದಯ,širdis
50,Magen::N,ಉದರ,skrandis
51,Leber::N,ಯಕೃತ್ತು,kepenys
52,Atem::N,ಉಸಿರು,kvapas
53,Hunger::N,ಹಸಿವು,badas
54,Hunger::N,ಹಸಿವು,alkis
55,Träne::N,ಕಣ್ಣೀರು,ašara
56,Geschmack::N,ರುಚಿ,skonis
57,Geruch::N,ವಾಸನೆ,kvapas
58,Schlaf::N,ನಿದ್ರೆ,miegas
59,Traum::N,ಕನಸು,sapnas
60,Himmel::N,ಬಾನು,dangus
61,Sonne::N,ಸೂರ್ಯ,saulė
62,Mond::N,ಚಂದ್ರ,mėnulis
63,Stern::N,ಚುಕ್ಕಿ,žvaigždė
64,Luft::N,ವಾಯು,oras
65,Wind::N,ಗಾಳಿ,vėjas
66,Welle::N,ಅಲೆ,banga
67,Welle::N,ಅಲೆ,vilnis
68,Wasser::N,ನೀರು,vanduo
69,Stein::N,ಕಲ್ಲು,akmuo
70,Boden::N,ನೆಲ,žemė
71,Boden::N,ನೆಲ,dugnas
72,Erde::N,ಭೂಮಿ,žemė
73,Staub::N,ದೂಳು,dulkės
74,Rauch::N,ಹೊಗೆ,dūmai
75,Funke::N,ಕಿಡಿ,kibirkštis
76,Feuer::N,ಬೆಂಕಿ,ugnis
77,Licht::N,ಬೆಳಕು,šviesa
78,Schatten::N,ನೆರಳು,paūksmė
79,Wetter::N,ಹವ,oras
80,Nebel::N,ಮಂಜು,migla
81,Nebel::N,ಮಂಜು,rūkas
82,Wolke::N,ಮೋಡ,debesis
83,Regen::N,ಮಳೆ,lietus
84,Schnee::N,ಹಿಮ,sniegas
85,Eis::N,ಮಂಜುಗಡ್ಡೆ,ledas
86,Frost::N,ಮಂಜು,šalna
87,Kälte::N,ಹಿಮ,šaltis
88,Hitze::N,ಉಷ್ಣ,karštis
89,Raureif::N,ಇಬ್ಬನಿ,šerkšnas
