,Concept_ID,tt,no
0,Auge::N,күз,øye
1,Ohr::N,колак,øre
2,Nase::N,борын,nese
3,Mund::N,авыз,munn
4,Mund::N,тамак,munn
5,Zahn::N,теш,tann
6,Zunge::N,тел,tunge
7,Lippe::N,ирен,leppe
8,Wange::N,яңак,kinn
9,Gesicht::N,йөз,fjes
10,Gesicht::N,йөз,ansikt
11,Stirn::N,маңгай,panne
12,Haar::N,чәч,hår
13,Schnurrbart::N,мыек,bart
14,Bart::N,сакал,skjegg
15,Kinn::N,ияк,hake
16,Kiefer[Anatomie]::N,казналык,kjeve
17,Kehle::N,тамак,strupe
18,Hals::N,бугаз,hals
19,Genick::N,җилкә,nakke
20,Kopf::N,баш,hode
21,Rücken::N,сырт,rygg
22,Bauch::N,корсак,buk
23,Bauch::N,корсак,mage
24,Nabel::N,кендек,navle
25,Busen::N,түш,barm
26,Brust::N,имчәк,bryst
27,Brust::N,күкрәк,bryst
28,Schulter::N,иңбаш,skulder
29,Schulter::N,кулбаш,skulder
30,Arm::N,кул,arm
31,Ellenbogen::N,терсәк,albue
32,Hand::N,кул,hånd
33,Handfläche::N,уч,håndflate
34,Finger::N,бармак,finger
35,Fingernagel::N,тырнак,fingernegl
36,Nagel[Anatomie]::N,тырнак,negl
37,Zeh::N,бармак,tå
38,Fuß::N,табан,fot
39,Ferse::N,үкчә,hæl
40,Knie::N,тез,kne
41,Oberschenkel::N,бот,lår
42,Bein::N,аяк,bein
43,Körper::N,тән,kropp
44,Körper::N,тән,legeme
45,Körper::N,җисем,kropp
46,Körper::N,җисем,legeme
47,Haut::N,тире,hud
48,Haut::N,тире,skinn
49,Blut::N,кан,blod
50,Ader::N,тамыр,åre
51,Sehne::N,сеңер,sene
52,Knochen::N,сөяк,bein
53,Knochen::N,сөяк,knokkel
54,Gehirn::N,ми,hjerne
55,Herz::N,йөрәк,hjerte
56,Magen::N,ашказаны,mage
57,Leber::N,бавыр,lever
58,Atem::N,сулыш,pust
59,Hunger::N,ачлык,sult
60,Träne::N,яшь,tåre
61,Geschmack::N,тәм,smak
62,Geschmack::N,зәвык,smak
63,Geruch::N,ис,lukt
64,Schlaf::N,йокы,søvn
65,Traum::N,төш,drøm
66,Himmel::N,күк,himmel
67,Sonne::N,кояш,sol
68,Mond::N,ай,måne
69,Stern::N,йолдыз,stjerne
70,Luft::N,һава,luft
71,Wind::N,җил,vind
72,Welle::N,дулкын,bølge
73,Wasser::N,су,vann
74,Stein::N,таш,stein
75,Boden::N,туфрак,bakke
76,Erde::N,җир,jord
77,Staub::N,тузан,støv
78,Rauch::N,төтен,røyk
79,Funke::N,очкын,gnist
80,Feuer::N,ут,ild
81,Licht::N,якты,lys
82,Schatten::N,күләгә,skygge
83,Wetter::N,һава,vær
84,Nebel::N,томан,tåke
85,Wolke::N,болыт,sky
86,Regen::N,яңгыр,regn
87,Schnee::N,кар,snø
88,Eis::N,боз,is
89,Frost::N,суык,frost
90,Frost::N,салкын,frost
91,Kälte::N,суык,kulde
92,Kälte::N,салкын,kulde
93,Hitze::N,эсселек,hete
94,Raureif::N,бәс,rimfrost
95,Raureif::N,сыкы,rimfrost
96,Regenbogen::N,салават күпере,regnbue
97,Donner::N,күкрәү,torden
98,Strömung::N,агыш'агым,strømning
99,Tropfen::N,тамчы,dråpe
100,Schaum::N,күбек,skum
101,Schmutz::N,пычрак,søl
102,Schmutz::N,пычрак,skitt
103,See::N,күл,sjø
104,Sumpf::N,саз,sump
105,Sumpf::N,саз,myrlende
106,Moor::N,торфлык,myr
107,Moor::N,торфлык,myrhei
108,Wiese::N,болын,eng
109,Wald::N,урман,skog
110,Hügel::N,калку,haug
111,Hügel::N,калку,bakke
112,Anhöhe::N,үр,haug
113,Anhöhe::N,үр,bakke
114,Berg::N,тау,berg
115,Berg::N,тау,fjell
116,Gipfel::N,оч,topp
117,Höhle::N,мәгарә,hule
118,Abhang::N,кабырга,li
119,Abhang::N,кабырга,skråning
120,Quelle::N,чишмә,kilde
121,Bach::N,елга,bekk
122,Fluss::N,дәрья,elv
123,Ufer::N,су кырые,bredd
124,Küste::N,яр буе,kyst
125,Festland::N,коры җир,fastland
126,Meer::N,диңгез,hav
127,Bucht::N,бухта,bukt
128,Bucht::N,култык,bukt
129,Insel::N,атау,øy
130,Insel::N,утрау,øy
131,Blume::N,чәчкә,blomst
132,Gras::N,үлән,gress
133,Wurzel::N,тамыр,rot
134,Baum::N,агач,tre
135,Stamm::N,кәүсә,stamme
136,Rinde::N,кабык,bark
137,Ast::N,ботак,gren
138,Zweig::N,ботак,kvist
139,Zweig::N,тармак,kvist
140,Blatt::N,яфрак,blad
141,Birke::N,каен,bjørk
142,Kiefer[Baum]::N,нарат,furu
143,Weide[Baum]::N,тал,selje
144,Weide[Baum]::N,тал,piletre
145,Tanne::N,чыршы,gran
146,Horn::N,мөгез,horn
147,Feder::N,йон,fjær
148,Fell::N,тире,skinn
149,Flügel::N,канат,vinge
150,Klaue::N,тырнак,klauv
151,Kralle::N,тырнак,klo
152,Schwanz::N,койрык,hale
153,Ei::N,күкәй,egg
154,Ei::N,йомырка,egg
155,Nest::N,оя,rede
156,Bau::N,өн,hi
157,Tier::N,хайван,dyr
158,Herde::N,көтү,flokk
159,Kuh::N,сыер,ku
160,Bulle::N,үгез,tyr
161,Pferd::N,ат,hest
162,Schaf::N,сарык,får
163,Schwein::N,дуңгыз,gris
164,Hund::N,эт,hund
165,Katze::N,песи,katt
166,Bär::N,аю,bjørn
167,Eichhörnchen::N,тиен,ekorn
168,Elch::N,поши,elg
169,Fuchs::N,төлке,rev
170,Hase::N,куян,hare
171,Maus::N,тычкан,mus
172,Wolf::N,бүре,ulv
173,Wolf::N,бүре,varg
174,Vogel::N,кош,fugl
175,Schwarm::N,көтү,sverm
176,Huhn::N,тавык,høne
177,Hahn::N,әтәч,hane
178,Gans::N,каз,gås
179,Adler::N,каракош,ørn
180,Ente::N,үрдәк,and
181,Eule::N,ябалак,ugle
182,Kranich::N,торна,trane
183,Krähe::N,карга,kråke
184,Kuckuck::N,күке,gjøk
185,Kuckuck::N,кәккүк,gjøk
186,Schwan::N,аккош,svane
187,Fisch::N,балык,fisk
188,Barsch::N,алабуга,abbor
189,Hecht::N,чуртан,gjedde
190,Schlange[Tier]::N,елан,orm
191,Schlange[Tier]::N,елан,slange
192,Wurm::N,корт,orm
193,Wurm::N,корт,mark
194,Spinne::N,үрмәкүч,edderkopp
195,Ameise::N,кырмыска,maur
196,Laus::N,бет,lus
197,Mücke::N,черки,mygg
198,Mücke::N,озынборын,mygg
199,Fliege::N,чебен,flue
200,Schmetterling::N,күбәләк,sommerfugl
201,Beere::N,җиләк,bær
202,Apfel::N,алма,eple
203,Pilz::N,гөмбә,sopp
204,Zwiebel::N,суган,løk
205,Zwiebel::N,суганбаш,løk
206,Saat::N,орлык,sæd
207,Korn::N,иген,korn
208,Korn::N,орлык,korn
209,Heu::N,печән,høy
210,Schale::N,кабык,skall
211,Grube::N,баз,grop
212,Grube::N,чокыр,grop
213,Falle::N,тозак,felle
214,Falle::N,капкын,felle
215,Schlinge::N,элмәк,snare
216,Spur::N,эз,spor
217,Asche::N,көл,aske
218,Dreck::N,пычрак,møkk
219,Dreck::N,пычрак,skitt
220,Eisen::N,тимер,jern
221,Gold::N,алтын,gull
222,Silber::N,көмеш,sølv
223,Kohle::N,күмер,kol
224,Kohle::N,күмер,kull
225,Glas::N,пыяла,glass
226,Lehm::N,балчык,leire
227,Sand::N,ком,sand
228,Mensch::N,адәм,menneske
229,Mensch::N,инсан,menneske
230,Mann::N,ир,mann
231,Frau::N,хатын,kvinne
232,Kind::N,бала,barn
233,Junge::N,малай,gutt
234,Mädchen::N,кыз,pike
235,Mädchen::N,кыз,jente
236,Familie::N,гаилә,familie
237,Großvater::N,бабай,bestefar
238,Großmutter::N,әби,bestemor
