,Concept_ID,cv,ja
0,Auge::N,куҫ,目
1,Ohr::N,хӑлха,耳
2,Nase::N,сӑмса,鼻
3,Mund::N,ҫӑвар,口
4,Zahn::N,шӑл,歯
5,Zunge::N,чӗлхе,舌
6,Lippe::N,тута,唇
7,Wange::N,пит ҫӑмарти,頬
8,Gesicht::N,пит,顔
9,Gesicht::N,пит-куҫ,顔
10,Stirn::N,ҫамка,額
11,Haar::N,ҫӳҫ,髪
12,Schnurrbart::N,усси,口髭
13,Bart::N,сухал,髭
14,Kinn::N,янах,顎
15,Kiefer[Anatomie]::N,янах,顎
16,Kehle::N,пыр,喉
17,Kehle::N,карланкӑ,喉
18,Hals::N,пыр,首
19,Genick::N,ӗнсе,首
20,Kopf::N,пуҫ,頭
21,Rücken::N,ҫурӑм,背中
22,Nabel::N,кӑвапа,へそ
23,Busen::N,кӑкӑр,乳房
24,Brust::N,умӗ,胸
25,Schulter::N,хул пуҫҫи,肩
26,Arm::N,алӑ,腕
27,Ellenbogen::N,чавса,肘
28,Hand::N,алӑ сыппи,手
29,Handfläche::N,ал лаппи,手のひら
30,Finger::N,пӳрне,指
31,Fingernagel::N,чӗрне,爪
32,Nagel[Anatomie]::N,чӗрне,爪
33,Zeh::N,пӳрне,足の指
34,Fuß::N,ура лаппи,足
35,Ferse::N,кӗле,かかと
36,Knie::N,чӗркуҫҫи,膝
37,Oberschenkel::N,пӗҫӗ,上腿
38,Bein::N,ура,足
39,Körper::N,ӳт,体
40,Körper::N,ӳт-пӳ,体
41,Haut::N,тир,皮膚
42,Blut::N,юн,血
43,Ader::N,вена,血管
44,Sehne::N,шӑнӑр,腱
45,Knochen::N,шӑмӑ,骨
46,Gehirn::N,миме,脳
47,Herz::N,чӗре,心
48,Herz::N,чӗре,心臓
49,Magen::N,хырӑмлӑх,胃
50,Leber::N,пӗвер,肝臓
51,Atem::N,сывлав,息
52,Atem::N,сывлав,呼吸
53,Hunger::N,выҫлӑх,空腹
54,Träne::N,куҫҫуль,涙
55,Geschmack::N,техӗм,味
56,Geruch::N,шӑршӑ,匂い
57,Schlaf::N,ыйхӑ,睡眠
58,Traum::N,тӗлӗк,夢
59,Himmel::N,пӗлӗт,空
60,Sonne::N,хӗвел,太陽
61,Mond::N,уйӑх,月
62,Stern::N,ҫӑлтӑр,星
63,Luft::N,сывлӑш,空気
64,Wind::N,ҫил,風
65,Welle::N,хум,波
66,Wasser::N,шыв,水
67,Wasser::N,шыв-шур,水
68,Stein::N,чул,石
69,Boden::N,тӑпра,土地
70,Erde::N,ҫӗр,土
71,Staub::N,тусан,埃
72,Rauch::N,тӗтӗм,煙
73,Funke::N,хӗм,火花
74,Feuer::N,вут,火
75,Feuer::N,ҫулӑм,火
76,Licht::N,ҫутӑ,光
77,Schatten::N,сулхӑн,陰
78,Wetter::N,ҫанталӑк,天気
79,Nebel::N,тӗтре,霧
80,Wolke::N,пӗлӗт,雲
81,Regen::N,ҫумӑр,雨
82,Schnee::N,юр,雪
83,Eis::N,пӑр,氷
84,Frost::N,сивӗ,霜
85,Kälte::N,сивӗ,寒さ
86,Hitze::N,вӗри,暑さ
87,Hitze::N,шӑрӑх,暑さ
88,Raureif::N,пас,霧氷
89,Regenbogen::N,асамат кӗперӗ,虹
90,Donner::N,аслати,雷
91,Strömung::N,юхӑ,流れ
92,Tropfen::N,тумлам,滴
93,Schaum::N,кӑпӑк,泡
94,Schmutz::N,пылчӑк,汚れ
95,See::N,кӳлӗ,湖
96,Sumpf::N,шур,沼
97,Sumpf::N,шурлӑх,沼
98,Moor::N,торфлӑ шурлӑх,湿原
99,Wiese::N,улӑх,草原
100,Wiese::N,ҫаран,草原
101,Wald::N,вӑрман,森
102,Hügel::N,сӑрт,丘
103,Hügel::N,тӗмеске,丘
104,Anhöhe::N,сӑрт,高み
105,Berg::N,ту,山
106,Gipfel::N,тӳпе,頂上
107,Höhle::N,ҫӗр хӑвӑлӗ,洞窟
108,Abhang::N,тӑвайкки,斜面
109,Quelle::N,ҫӑл куҫ,泉
110,Bach::N,пӗчӗк шыв,小川
111,Fluss::N,юхан шыв,川
112,Ufer::N,ҫыран,岸
113,Küste::N,тинӗс ҫыранӗ,海岸
114,Festland::N,тип ҫӗр,陸
115,Meer::N,тинӗс,海
116,Bucht::N,тинӗс кукӑрӗ,湾
117,Insel::N,утрав,島
118,Blume::N,чечек,花
119,Gras::N,курӑк,草
120,Wurzel::N,тымар,根
121,Baum::N,йывӑҫ,木
122,Stamm::N,вулӑ,幹
123,Rinde::N,хуйӑр,皮層
124,Ast::N,турат,枝
125,Zweig::N,турат,小枝
126,Blatt::N,ҫулҫӑ,葉
127,Birke::N,хурӑн,樺
128,Kiefer[Baum]::N,хыр,松
129,Weide[Baum]::N,хӑва,柳
130,Tanne::N,чӑрӑш,樅
131,Horn::N,мӑйрака,角
132,Feder::N,тӗк,羽根
133,Fell::N,ҫӑм,毛皮
134,Flügel::N,ҫунат,羽
135,Klaue::N,чӗрне,鉤爪
136,Kralle::N,ура,爪
137,Schwanz::N,хӳре,尻尾
138,Ei::N,ҫӑмарта,卵
139,Nest::N,йӑва,巣
140,Bau::N,йӗнӗ,穴
141,Tier::N,выльӑх,動物
142,Herde::N,кӗтӳ,群れ
143,Kuh::N,ӗне,牛
144,Bulle::N,вӑкӑр,雄牛
145,Pferd::N,лаша,馬
146,Schaf::N,сурӑх,羊
147,Schwein::N,сысна,豚
148,Hund::N,йытӑ,犬
149,Katze::N,кушак,猫
150,Bär::N,упа,熊
151,Eichhörnchen::N,пакша,栗鼠
152,Elch::N,пӑши,ヘラジカ
153,Fuchs::N,тилӗ,狐
154,Hase::N,куян,兎
155,Hase::N,мулкач,兎
156,Maus::N,шӑши,鼠
157,Wolf::N,кашкӑр,狼
158,Vogel::N,кайӑк,鳥
159,Vogel::N,вӗҫен кайӑк,鳥
160,Schwarm::N,ушкӑн,群れ
161,Huhn::N,чӑх,鶏
162,Huhn::N,чӑхӑ,鶏
163,Hahn::N,автан,雄鶏
164,Gans::N,хур,ガチョウ
165,Adler::N,ӑмӑрт кайӑк,鷲
166,Ente::N,кӑвакал,鴨
167,Eule::N,тӑмана,フクロウ
168,Kranich::N,тӑрна,鶴
169,Krähe::N,ула курак,烏
170,Kuckuck::N,куккук,郭公
171,Schwan::N,акӑш,白鳥
172,Fisch::N,пулӑ,魚
173,Barsch::N,уланкӑ,鱸
174,Hecht::N,ҫӑрттан,川魳
175,Schlange[Tier]::N,ҫӗлен,蛇
176,Wurm::N,ӑман,虫
177,Spinne::N,эрешмен,蜘蛛
178,Ameise::N,кӑткӑ,蟻
179,Laus::N,пыйтӑ,虱
180,Mücke::N,вӑрӑм туна,蚊
181,Fliege::N,шӑна,蝿
182,Schmetterling::N,лӗпӗш,蝶
183,Beere::N,ҫырла,漿果
184,Apfel::N,улма,林檎
185,Apfel::N,пан улми,林檎
186,Pilz::N,кӑмпа,茸
187,Zwiebel::N,сухан,玉葱
188,Saat::N,вӑрӑ,種
189,Korn::N,тӗшӗ,粒
190,Korn::N,пӗрчӗ,粒
191,Heu::N,утӑ,干し草
192,Schale::N,хупӑ,皮
193,Grube::N,шӑтӑк,穴
194,Falle::N,тапӑ,わな
195,Falle::N,капкӑн,わな
196,Schlinge::N,йӑлӑ,輪
197,Spur::N,йӗр,跡
198,Asche::N,кӗл,灰
199,Dreck::N,пылчӑк,泥
200,Eisen::N,тимӗр,鉄
201,Gold::N,ылтӑн,金
202,Silber::N,кӗмӗл,銀
203,Kohle::N,кӑмрӑк,炭
204,Glas::N,кӗленче,ガラス
205,Lehm::N,тӑм,ローム
206,Sand::N,хӑйӑр,砂
207,Mensch::N,ҫын,人
208,Mensch::N,этем,人
209,Mann::N,ар,男
210,Mann::N,ар,男性
211,Frau::N,хӗрарӑм,女
212,Frau::N,хӗрарӑм,女性
213,Kind::N,ача,子
214,Kind::N,ача,子供
215,Junge::N,ача,男の子
216,Junge::N,ар ҫын ача,男の子
217,Mädchen::N,хӗр ача,女の子
218,Familie::N,ҫемье,家族
219,Familie::N,кил-йыш,家族
220,Großvater::N,кукаҫи,祖父
221,Großvater::N,кукаҫи,おじいさん
222,Großmutter::N,кукамай,祖母
223,Großmutter::N,кукамай,おばあさん
224,Eltern::N,аҫа-ама,親
225,Eltern::N,аҫа-ама,両親
226,Vater::N,атте,父
227,Vater::N,атте,お父さん
228,Mutter::N,анне,母
229,Mutter::N,анне,お母さん
230,Sohn::N,ывӑл,息子
