,Concept_ID,bg,pt
830,berühmt::A,известен,célebre
831,fremd::A,чужд,alheio
832,fremd::A,чужд,estranho
833,verschieden::A,разен,diverso
834,verschieden::A,разен,diferente
835,verschieden::A,различен,diverso
836,verschieden::A,различен,diferente
837,nah::A,близък,próximo
838,fern::A,далечен,remoto
839,fern::A,далечен,distante
840,linker::A,ляв,esquerdo
841,rechter::A,прав,direito
842,anderer::A,друг,outro
843,erster::A,пръв,primeiro
844,erster::A,първи,primeiro
845,zweiter::A,втори,segundo
846,dritter::A,трети,terceiro
847,letzter::A,последен,final
848,letzter::A,последен,último
849,allein::ADV,само,só
850,auf einmal::ADV,същевременно,de vez
851,zusammen::ADV,заедно,juntos
852,lange::ADV,дълго,muito tempo
853,plötzlich::ADV,изведнъж,de repente
854,sofort::ADV,веднага,imediatamente
855,später::ADV,по-късно,mais tarde
856,jetzt::ADV,сега,agora
857,heute::ADV,днес,hoje
858,morgen::ADV,утре,amanhã
859,bald::ADV,скоро,logo
860,bald::ADV,скоро,breve
861,dann::ADV,после,então
862,dann::ADV,после,depois
863,dann::ADV,тогава,então
864,dann::ADV,тогава,depois
865,gestern::ADV,вчера,ontem
866,einst::ADV,някога,antigamente
867,damals::ADV,тогава,então
868,danach::ADV,после,logo
869,danach::ADV,после,depois
870,danach::ADV,след това,logo
871,danach::ADV,след това,depois
872,vorher::ADV,преди,antes
873,vorher::ADV,преди това,antes
874,zuerst::ADV,най-напред,primeiro
875,einmal::ADV,веднъж,uma vez
876,einmal::ADV,един път,uma vez
877,manchmal::ADV,понякога,às vezes
878,oft::ADV,често,muitas vezes
879,immer::ADV,винаги,sempre
880,niemals::ADV,никога,nunca
881,hier::ADV,тук,cá
882,hier::ADV,тук,aqui
883,hier::ADV,тука,cá
884,hier::ADV,тука,aqui
885,hierhin::ADV,насам,para cá
886,von hier::ADV,оттук,daqui
887,von hier::ADV,оттука,daqui
888,dort::ADV,там,lá
889,dort::ADV,там,ali
890,dorthin::ADV,натам,lá
891,dorthin::ADV,натам,para lá
892,dorthin::ADV,нататък,lá
893,dorthin::ADV,нататък,para lá
894,geradeaus::ADV,направо,em frente
895,vorwärts::ADV,напред,avante
896,rückwärts::ADV,назад,para trás
897,zurück::ADV,обратно,atrás
898,unten::ADV,долу,debaixo
899,unten::ADV,долу,em baixo
900,hinab::ADV,надолу,para baixo
901,oben::ADV,горе,em cima
902,hinauf::ADV,нагоре,para cima
903,überall::ADV,навсякъде,em toda parte
904,nicht::ADV,не,não
905,ein wenig::ADV,малко,um pouco
906,ein wenig::ADV,малко,um bocado
907,kaum::ADV,едва,apenas
908,kaum::ADV,едвам,apenas
909,sehr::ADV,много,muito
910,sehr::ADV,твърде,muito
911,so::ADV,тъй,tão
912,so::ADV,тъй,assim
913,so::ADV,така,tão
914,so::ADV,така,assim
915,noch::ADV,още,ainda
916,nur::ADV,само,só
917,nur::ADV,само,apenas
918,nur::ADV,само,somente
919,schon::ADV,вече,já
920,wieder::ADV,пак,outra vez
921,wieder::ADV,отново,outra vez
922,vergebens::ADV,напразно,em vão
923,vor::PRP,пред,diante de
924,hinter::PRP,зад,atrás de
925,unter::PRP,под,sob
926,unter::PRP,под,debaixo de
927,durch::PRP,през,por
928,durch::PRP,през,através de
929,neben::PRP,до,junto de
930,neben::PRP,до,ao lado de
931,neben::PRP,при,junto de
932,neben::PRP,при,ao lado de
933,zwischen::PRP,между,entre
934,zwischen::PRP,помежду,entre
935,wegen::PRP,заради,por
936,wegen::PRP,заради,por causa de
937,dies::PRN,този,isto
938,das::PRN,туй,isso
939,das::PRN,туй,aquilo
940,das::PRN,това,isso
941,das::PRN,това,aquilo
942,alles::PRN,всичко,todo
943,ich::PRN,аз,eu
944,du::PRN,ти,tu
945,er::PRN,той,ele
946,wir::PRN,ние,nós
947,ihr::PRN,вие,vós
948,ihr::PRN,вие,vocês
949,sie::PRN,те,eles
950,was::FPRN,що,quê
951,was::FPRN,какво,quê
952,wer::FPRN,кой,quem
953,wo::FADV,къде,onde
954,wohin::FADV,накъде,aonde
955,wohin::FADV,накъде,para onde
956,wohin::FADV,накъдето,aonde
957,wohin::FADV,накъдето,para onde
958,wie::FADV,как,como
959,warum::FADV,защо,porquê
960,warum::FADV,защо,por que
961,wieviel::FNUM,колко,quanto
962,eins::NUM,един,um
963,zwei::NUM,два,dois
964,drei::NUM,три,três
965,vier::NUM,четири,quatro
966,fünf::NUM,пет,cinco
967,sechs::NUM,шест,seis
968,sieben::NUM,седем,sete
969,acht::NUM,осем,oito
970,neun::NUM,девет,nove
971,zehn::NUM,десет,dez
972,elf::NUM,единайсет,onze
